,Antigen presenting cell (RPS high),B cell (Plasmocyte),Dendritic cell,Endothelial cell (APC),Fibroblast,Macrophage,Mast cell,Monocyte,Smooth muscle cell,Stromal cell,T cell,Ventricle cardiomyocyte
PDIA6,0.0,1.9329935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YWHAZ,0.0,0.0,0.0,0.0,0.0,0.0,3.1174605,0.0,0.0,0.0,0.0,0.0
RPL34,3.792878,2.4153492,3.0090346,3.0914245,0.0,2.872466,3.9430985,2.7907803,0.0,0.0,3.0784864,1.2170621
SEC61B,0.0,2.454301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP5F1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2170621
MFGE8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7942023,0.0,0.0,0.0
UBB,3.1220112,2.9127007,0.0,0.0,0.0,0.0,3.674073,0.0,0.0,0.0,2.7999618,0.0
RPL35A,0.0,2.454301,2.6852047,2.8109076,0.0,1.9869515,3.0785296,2.5049024,2.7621083,2.6417553,2.886752,3.085019
B2M,5.0294166,3.8459158,3.2629168,3.759541,0.0,0.0,0.0,4.0904474,0.0,0.0,4.712248,0.0
SSR3,0.0,1.9329935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL9,0.0,0.0,0.0,0.0,0.0,2.0259457,2.624988,0.0,0.0,0.0,0.0,2.732705
TYROBP,3.1931264,0.0,2.983747,0.0,0.0,2.981079,1.4625659,3.214662,0.0,0.0,0.0,0.0
FKBP11,0.0,1.9329935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRELP,0.0,0.0,0.0,0.0,1.1445091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS13,0.0,2.4153492,2.8101737,0.0,0.0,2.4024532,1.3288203,2.6961212,0.0,0.0,0.0,1.2170621
S100A9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.179823,0.0,0.0,0.0,0.0
C1QB,3.2414207,0.0,2.9036927,0.0,0.0,3.0984704,0.0,0.0,0.0,0.0,0.0,0.0
RPS29,4.1908045,2.930153,3.001737,3.03442,0.0,3.0182397,3.5855188,3.0919569,0.0,0.0,3.3470778,3.1812162
BCL2A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.756811,0.0,0.0,0.0,0.0
CDKN1A,0.0,0.0,2.3816903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UFM1,0.0,2.2724578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPLP0,0.0,1.9329935,2.601533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRDX1,0.0,1.9329935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA-DPA1,3.1220112,0.0,3.599698,0.0,0.0,2.3745885,0.0,0.0,0.0,0.0,0.0,0.0
MS4A7,3.1096535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7355297
CALU,0.0,2.2724578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCN1,3.0618289,0.0,0.0,0.0,0.0,0.0,0.0,3.6140976,0.0,0.0,0.0,0.0
RPL31,3.1220112,0.0,3.1220112,2.9574163,0.0,2.933516,3.235663,2.9626365,1.933487,0.0,3.2521687,1.4821815
GNG11,0.0,0.0,0.0,3.0560234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
