,B cell (Plasmocyte),Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Enterocyte progenitor,Fetal endocrine cell,Macrophage,Pancreas exocrine cell,Stromal cell
RPL18A,3.0488553,3.1047578,2.9843507,3.2714128,3.2402418,0.0,2.7499142,3.0640967,3.0191653
ATP6V1F,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERGIC2,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.30637,0.0
ATP5PD,0.0,0.0,0.0,2.603848,0.0,0.0,0.0,0.0,0.0
A2M,0.0,3.7918944,3.0964565,3.4903219,0.0,0.0,0.0,0.0,3.0696275
RPL5,3.0387905,2.8923588,3.038251,3.1015067,3.4205358,2.9678988,2.7707157,3.2849236,3.228526
CYBRD1,0.0,0.0,0.0,2.8272102,0.0,0.0,0.0,0.0,0.0
RPL3,3.008175,3.6171865,2.8663764,2.8453426,3.9631724,3.7225404,3.0331652,3.971863,3.423402
RPL32,3.3058288,3.8886356,3.3329406,2.885944,3.6753263,2.9462445,3.0974605,3.5500631,3.50788
TPM2,0.0,0.0,0.0,2.8392575,0.0,0.0,0.0,0.0,2.6551776
MGP,0.0,0.0,0.0,4.8661833,0.0,0.0,0.0,0.0,4.20968
CHGB,0.0,0.0,0.0,0.0,0.0,3.8155825,0.0,0.0,0.0
C1QA,0.0,0.0,0.0,0.0,0.0,0.0,2.6890318,0.0,0.0
RPL13,3.4785655,2.9478827,3.2541308,3.1015067,3.5240583,2.8332186,2.9574163,3.5105758,3.473518
RHOA,1.3172597,0.0,1.2460434,2.603848,0.0,0.0,2.387057,0.0,0.0
PCAT19,0.0,2.7415423,1.2460434,0.0,0.0,0.0,0.0,0.0,0.0
S100A6,0.0,1.313077,3.0964565,0.0,0.0,0.0,3.4320538,0.0,2.8716798
SPCS3,1.3172597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL10A,0.0,1.2961677,0.0,2.615516,2.7540364,0.0,0.0,2.5434372,2.5221024
IFITM2,0.0,3.1765852,3.5488415,3.1015067,0.0,0.0,0.0,0.0,2.9704857
ENSG00000224373,1.3172597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSR4,3.0488553,0.0,0.0,2.8453426,0.0,2.8530097,0.0,0.0,0.0
S100A4,0.0,0.0,0.0,0.0,0.0,0.0,3.9654963,0.0,0.0
ATP5MJ,0.0,0.0,0.0,2.6381292,0.0,0.0,0.0,0.0,0.0
PTMA,0.0,2.8799367,3.51155,0.0,0.0,0.0,2.1482704,0.0,2.524212
DERL3,2.217636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEM1,0.0,0.0,0.0,2.615516,0.0,0.0,0.0,0.0,0.0
COX7A2,1.3551934,0.0,0.0,0.0,0.0,1.9357932,0.0,0.0,0.0
NDUFA1,2.776341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
