,B cell (Plasmocyte),Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Enterocyte progenitor,Fetal endocrine cell,Macrophage,Pancreas exocrine cell,Stromal cell
ENSG00000132341,0.0,0.0,0.0,2.603848,0.0,0.0,0.0,0.0,0.0
ENSG00000122862,3.0488553,0.0,1.3770176,0.0,0.0,0.0,2.288222,0.0,0.0
ENSG00000204291,0.0,0.0,3.007234,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000174021,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137818,3.8253143,3.9177437,3.7864594,4.152271,3.7269998,3.0814714,3.7795427,3.569047,4.067406
ENSG00000118680,0.0,0.0,0.0,2.615516,0.0,0.0,0.0,0.0,0.0
ENSG00000083845,1.1768202,0.0,0.0,0.0,2.7249184,0.0,0.0,2.7032104,2.6551776
ENSG00000100604,0.0,0.0,0.0,0.0,0.0,3.1180224,0.0,0.0,0.0
ENSG00000168028,1.3551934,0.0,0.0,0.0,2.6986742,0.0,0.0,2.643775,2.6190474
ENSG00000172183,1.5091199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3588278
ENSG00000132475,2.9302673,3.157488,0.0,0.0,0.0,0.0,2.6345193,0.0,3.001737
ENSG00000100097,0.0,0.0,0.0,3.9693112,0.0,0.0,3.1644506,0.0,3.6660006
ENSG00000041357,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000233276,0.0,0.0,0.0,0.0,0.0,0.0,2.7581758,0.0,0.0
ENSG00000167283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9918545
ENSG00000172757,1.0408161,3.0804744,2.8124762,3.2592993,0.0,0.0,2.9293141,0.0,2.7202682
ENSG00000177410,0.0,0.0,0.0,2.603848,0.0,0.0,0.0,0.0,0.0
ENSG00000184009,0.0,0.0,1.499961,2.8392575,0.0,0.0,0.0,0.0,2.7202682
ENSG00000183291,0.0,1.2961677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204287,0.0,0.0,1.8414267,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130255,2.4940798,3.1047578,3.4381561,2.8332133,3.540985,2.6903124,2.8638523,3.3923461,3.3799326
ENSG00000177606,0.0,0.0,2.7581856,0.0,0.0,0.0,0.0,0.0,2.4900556
ENSG00000162618,0.0,0.0,1.2460434,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171858,0.0,2.7105267,0.0,2.615516,2.678863,0.0,2.729593,2.4645743,2.4739776
ENSG00000110799,0.0,0.0,2.776636,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000108107,3.008175,2.8247247,2.7581856,2.8453426,2.7721202,0.0,2.5215757,2.3306916,2.6190474
ENSG00000127184,0.0,1.4469839,2.6230612,0.0,2.5653193,2.2116718,2.7992365,0.0,2.3273454
ENSG00000173660,1.3172597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.524212
ENSG00000130770,1.3172597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000008394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8035953
ENSG00000142227,1.1768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101335,0.0,0.0,0.0,2.603848,0.0,0.0,0.0,0.0,0.0
ENSG00000154723,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000165949,0.0,0.0,2.6272116,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105640,3.0488553,3.1047578,2.9843507,3.2714128,3.2402418,0.0,2.7499142,3.0640967,3.0191653
ENSG00000128524,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000087502,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000158516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.30637,0.0
ENSG00000167863,0.0,0.0,0.0,2.603848,0.0,0.0,0.0,0.0,0.0
ENSG00000175899,0.0,3.7918944,3.0964565,3.4903219,0.0,0.0,0.0,0.0,3.0696275
ENSG00000122406,3.0387905,2.8923588,3.038251,3.1015067,3.4205358,2.9678988,2.7707157,3.2849236,3.228526
ENSG00000071967,0.0,0.0,0.0,2.8272102,0.0,0.0,0.0,0.0,0.0
ENSG00000100316,3.008175,3.6171865,2.8663764,2.8453426,3.9631724,3.7225404,3.0331652,3.971863,3.423402
ENSG00000144713,3.3058288,3.8886356,3.3329406,2.885944,3.6753263,2.9462445,3.0974605,3.5500631,3.50788
ENSG00000198467,0.0,0.0,0.0,2.8392575,0.0,0.0,0.0,0.0,2.6551776
ENSG00000111341,0.0,0.0,0.0,4.8661833,0.0,0.0,0.0,0.0,4.20968
ENSG00000089199,0.0,0.0,0.0,0.0,0.0,3.8155825,0.0,0.0,0.0
ENSG00000173372,0.0,0.0,0.0,0.0,0.0,0.0,2.6890318,0.0,0.0
ENSG00000167526,3.4785655,2.9478827,3.2541308,3.1015067,3.5240583,2.8332186,2.9574163,3.5105758,3.473518
ENSG00000067560,1.3172597,0.0,1.2460434,2.603848,0.0,0.0,2.387057,0.0,0.0
ENSG00000267107,0.0,2.7415423,1.2460434,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000197956,0.0,1.313077,3.0964565,0.0,0.0,0.0,3.4320538,0.0,2.8716798
ENSG00000129128,1.3172597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198755,0.0,1.2961677,0.0,2.615516,2.7540364,0.0,0.0,2.5434372,2.5221024
ENSG00000185201,0.0,3.1765852,3.5488415,3.1015067,0.0,0.0,0.0,0.0,2.9704857
ENSG00000224373,1.3172597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000180879,3.0488553,0.0,0.0,2.8453426,0.0,2.8530097,0.0,0.0,0.0
ENSG00000196154,0.0,0.0,0.0,0.0,0.0,0.0,3.9654963,0.0,0.0
ENSG00000156411,0.0,0.0,0.0,2.6381292,0.0,0.0,0.0,0.0,0.0
ENSG00000187514,0.0,2.8799367,3.51155,0.0,0.0,0.0,2.1482704,0.0,2.524212
ENSG00000099958,2.217636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127922,0.0,0.0,0.0,2.615516,0.0,0.0,0.0,0.0,0.0
ENSG00000112695,1.3551934,0.0,0.0,0.0,0.0,1.9357932,0.0,0.0,0.0
ENSG00000125356,2.776341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000197756,3.2141237,3.5312943,3.4191158,2.885944,3.4111395,3.0359917,3.1644506,3.222724,3.2689776
ENSG00000139329,0.0,0.0,0.0,3.687905,0.0,0.0,0.0,0.0,4.066654
ENSG00000137154,2.5979676,3.9592013,3.3691797,3.9044416,4.23618,3.2337842,3.6728308,4.053522,3.9204552
ENSG00000135046,0.0,0.0,0.0,2.6381292,0.0,0.0,0.0,0.0,0.0
ENSG00000166562,2.7384071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000145741,0.0,2.6092448,0.0,2.6381292,0.0,0.0,0.0,0.0,2.2779405
ENSG00000140988,0.0,0.0,1.3770176,2.603848,2.8094404,0.0,2.373705,2.8499343,2.373705
ENSG00000085063,1.3172597,3.0362582,3.0539892,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142089,0.0,3.7701576,3.741089,4.3443975,3.1303434,0.0,0.0,2.547769,4.3796377
ENSG00000162438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1117015,0.0
ENSG00000075624,0.0,3.1995828,0.0,3.9044416,0.0,0.0,3.6942573,0.0,3.0062912
ENSG00000163513,0.0,1.4272748,2.6272116,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000118271,0.0,0.0,0.0,0.0,0.0,6.7527227,0.0,0.0,0.0
ENSG00000135404,0.0,0.0,2.776636,2.6381292,0.0,2.7798982,2.7581758,0.0,3.3799326
ENSG00000102265,0.0,0.0,1.3770176,6.2547526,0.0,0.0,0.0,0.0,5.101722
ENSG00000132002,0.0,0.0,0.0,2.6381292,0.0,0.0,0.0,0.0,0.0
ENSG00000112306,3.1922812,3.5312943,3.0164986,3.1015067,3.9306016,0.0,3.0598898,3.7764115,3.5361168
ENSG00000070756,0.0,0.0,3.0164986,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000125144,0.0,0.0,0.0,0.0,2.663219,0.0,0.0,3.1864293,0.0
ENSG00000145423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.361434
ENSG00000182718,0.0,2.765739,2.6272116,3.2592993,0.0,0.0,2.9436815,0.0,2.4900556
ENSG00000245532,2.4619637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000177556,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000068697,0.0,0.0,0.0,2.8272102,0.0,0.0,0.0,0.0,2.361434
ENSG00000111348,0.0,0.0,0.0,0.0,0.0,0.0,2.6166916,0.0,0.0
ENSG00000087460,0.0,0.0,0.0,0.0,0.0,3.1429954,0.0,0.0,0.0
ENSG00000172115,0.0,0.0,0.0,2.603848,0.0,0.0,0.0,0.0,0.0
ENSG00000175535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1461742,0.0
ENSG00000119655,0.0,0.0,2.6272116,0.0,0.0,0.0,3.3524806,0.0,0.0
ENSG00000142871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.079179
ENSG00000197728,3.0864513,3.565755,3.0539892,3.2714128,3.085428,2.9293616,2.9748845,2.8245964,2.9218001
ENSG00000149131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8294566
ENSG00000115263,0.0,0.0,0.0,0.0,0.0,7.7715836,0.0,0.0,0.0
ENSG00000167658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.544519,2.2779405
ENSG00000150687,0.0,0.0,2.8995793,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9214652,0.0
ENSG00000142676,2.8542485,3.5371099,3.1741729,3.4903219,3.5361168,2.9775345,2.9436815,3.3972187,3.2808084
ENSG00000082515,1.1768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000011465,0.0,0.0,0.0,4.2294855,0.0,0.0,0.0,0.0,4.619373
ENSG00000173915,2.217636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000189043,2.8263795,0.0,0.0,2.8392575,0.0,0.0,2.7071173,0.0,2.5221024
ENSG00000134825,1.4990551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000091704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5007768,0.0
ENSG00000042493,0.0,0.0,0.0,0.0,0.0,0.0,2.2677875,0.0,0.0
ENSG00000162244,2.8263795,0.0,0.0,0.0,2.49975,0.0,0.0,2.3938146,2.254699
ENSG00000149591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9918545
ENSG00000254647,2.7165556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105193,1.4990551,3.1590428,3.2831938,2.8453426,3.1579585,0.0,2.9713638,2.97665,2.978419
ENSG00000164587,2.8263795,3.6144347,3.046677,3.933052,4.0704203,3.098471,3.6942573,3.8421881,3.88791
ENSG00000109472,0.0,0.0,0.0,0.0,0.0,1.092263,0.0,0.0,0.0
ENSG00000243480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8775954,0.0
ENSG00000165678,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164266,0.0,0.0,0.0,0.0,4.4874306,0.0,0.0,5.5709047,0.0
ENSG00000167996,0.0,0.0,0.0,2.8453426,2.978419,0.0,4.0297813,0.0,4.291091
ENSG00000173221,2.217636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163466,1.4990551,0.0,0.0,2.6381292,0.0,0.0,2.62141,0.0,0.0
ENSG00000241343,1.1768202,0.0,2.8124762,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000126267,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000132465,5.619033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000166598,3.0387905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000184752,1.1768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204525,2.8542485,0.0,3.0714538,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000231500,4.033951,3.6052437,3.118209,4.368461,4.0885115,3.0864253,3.4996157,3.918318,3.9838612
ENSG00000155659,0.0,0.0,0.0,0.0,0.0,0.0,2.2677875,0.0,0.0
ENSG00000122026,3.7179985,3.7914371,3.9365277,3.8981102,4.208048,3.7283325,3.5808492,4.0521326,4.1367917
ENSG00000145592,3.1853004,2.975478,3.2614417,3.5507934,3.2750783,1.9357932,3.0512137,3.1091423,3.4082158
ENSG00000261371,0.0,2.7403517,3.2831938,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000148303,2.217636,2.6092448,2.9625983,2.8453426,3.1797805,0.0,2.3942668,3.1060805,2.995099
ENSG00000177575,0.0,0.0,0.0,0.0,0.0,0.0,2.62141,0.0,0.0
ENSG00000149564,0.0,0.0,1.4128578,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000130066,1.0408161,0.0,0.0,0.0,3.0735521,0.0,3.2948744,0.0,2.5221024
ENSG00000163399,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000177600,2.217636,0.0,3.007234,3.4903219,3.1830995,0.0,3.0426197,3.035048,3.0062912
ENSG00000170476,2.9202027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134419,3.2996473,3.1206162,3.1094723,3.1015067,3.196494,0.0,2.898817,3.0331652,3.001737
ENSG00000002586,0.0,0.0,0.0,0.0,0.0,3.098471,0.0,0.0,0.0
ENSG00000111716,2.3580756,0.0,0.0,2.8272102,0.0,0.0,0.0,0.0,0.0
ENSG00000142534,2.5979676,3.0804744,1.499961,2.885944,3.095444,2.7693315,2.9891067,2.9703393,2.9574163
ENSG00000198034,3.6853766,2.8996458,2.912819,3.1015067,3.440786,2.941133,2.9293141,3.3813038,2.8843477
ENSG00000116741,0.0,0.0,0.0,2.615516,0.0,0.0,0.0,0.0,0.0
ENSG00000291237,0.0,0.0,0.0,0.0,2.6055884,0.0,0.0,0.0,0.0
ENSG00000105372,2.7165556,3.6052437,3.2831938,3.4965076,3.7574956,2.2421126,3.3979166,3.505863,3.6118915
ENSG00000240583,0.0,0.0,2.6456618,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204472,0.0,0.0,0.0,0.0,0.0,0.0,1.9081383,0.0,0.0
ENSG00000211892,1.6455652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204592,0.0,0.0,2.8124762,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000174444,0.0,0.0,2.7581856,0.0,0.0,0.0,0.0,2.1624413,2.373705
ENSG00000157514,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142937,3.1853004,3.099804,3.3384736,2.8453426,3.1387522,0.0,2.8622952,3.003101,2.762336
ENSG00000265972,0.0,2.7600608,1.2460434,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000197746,0.0,0.0,1.3770176,0.0,0.0,0.0,3.1886563,0.0,0.0
ENSG00000048462,2.672453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164405,2.3580756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1116865
ENSG00000101439,0.0,0.0,0.0,3.5027342,0.0,0.0,2.6345193,0.0,3.6458006
ENSG00000164919,0.0,0.0,0.0,3.2714128,0.0,0.0,0.0,0.0,0.0
ENSG00000111229,2.8949287,0.0,0.0,0.0,0.0,0.0,2.8622952,0.0,0.0
ENSG00000114391,3.1853004,1.2961677,1.2460434,2.885944,3.0618289,2.7026305,2.1482704,2.833967,3.1261678
ENSG00000139644,3.008175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.361434
ENSG00000173486,0.0,0.0,0.0,0.0,0.0,2.802571,0.0,0.0,0.0
ENSG00000008952,2.776341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115875,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000174748,2.68594,3.6427255,3.1212335,3.5507934,3.6430793,3.0666957,3.1720836,3.4063349,3.3125494
ENSG00000114902,1.1768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000189058,0.0,0.0,0.0,4.5683975,0.0,0.0,0.0,0.0,5.352605
ENSG00000171863,2.9608827,2.7584517,0.0,2.615516,2.765818,0.0,2.3942668,2.4158137,2.5742302
ENSG00000197747,0.0,0.0,3.0714538,2.8392575,0.0,0.0,2.9436815,0.0,0.0
ENSG00000114315,0.0,0.0,2.6230612,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000118785,0.0,0.0,0.0,0.0,0.0,0.0,5.3747044,0.0,0.0
ENSG00000106366,0.0,0.0,0.0,2.603848,0.0,0.0,0.0,0.0,0.0
ENSG00000145088,1.1768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000125148,0.0,0.0,0.0,4.4007907,0.0,0.0,0.0,2.542088,5.649417
ENSG00000118705,1.1768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000026025,0.0,0.0,2.7898755,3.2714128,0.0,0.0,2.9748845,0.0,2.8545496
ENSG00000108821,0.0,0.0,0.0,3.5507934,0.0,0.0,0.0,0.0,2.6551776
ENSG00000138061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9918545
ENSG00000166794,2.9297516,0.0,0.0,2.615516,0.0,0.0,0.0,0.0,2.2173874
ENSG00000065518,1.3172597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000123416,0.0,0.0,0.0,2.8272102,0.0,0.0,2.6237786,0.0,1.9918545
ENSG00000106211,0.0,0.0,0.0,2.8272102,0.0,0.0,0.0,0.0,3.0062912
ENSG00000169908,0.0,0.0,1.2460434,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198668,0.0,0.0,0.0,2.8332133,0.0,0.0,0.0,0.0,0.0
ENSG00000170889,2.5979676,0.0,2.7581856,0.0,3.1178734,0.0,2.6237786,3.085428,2.762336
ENSG00000113387,1.4211475,0.0,0.0,2.8332133,0.0,0.0,0.0,0.0,1.9918545
ENSG00000153002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6411495,0.0
ENSG00000166741,0.0,0.0,0.0,2.8272102,0.0,0.0,0.0,0.0,2.9574163
ENSG00000089009,1.1768202,2.6092448,2.949359,2.6381292,3.001737,0.89986014,2.681394,2.8701086,2.9704857
ENSG00000080824,1.3172597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7272826
ENSG00000211897,2.4824796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116209,2.4940798,0.0,1.2460434,0.0,0.0,2.8206415,0.0,0.0,0.0
ENSG00000132965,0.0,0.0,0.0,0.0,0.0,0.0,3.8130195,0.0,0.0
ENSG00000211895,1.546716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000087086,1.3551934,0.0,0.0,0.0,0.0,0.0,4.956735,0.0,3.4659781
ENSG00000172023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.788679,0.0
ENSG00000196262,0.0,1.5203605,0.0,2.8332133,0.0,0.0,2.7992365,0.0,2.6551776
ENSG00000164932,0.0,0.0,0.0,2.6381292,0.0,0.0,0.0,0.0,2.3588278
ENSG00000158869,0.0,0.0,0.0,0.0,0.0,0.0,2.9891067,0.0,0.0
ENSG00000197614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.373705
ENSG00000143954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.482951,0.0
ENSG00000109971,1.1768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000233927,2.672453,2.7403517,3.0714538,2.6381292,3.10761,0.0,0.0,2.9682941,2.6551776
ENSG00000169567,2.5979676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000129538,0.0,0.0,2.6230612,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000124614,1.1768202,0.0,0.0,2.615516,0.0,0.0,0.0,0.0,1.7272826
ENSG00000111640,0.0,0.0,1.3770176,2.8272102,0.0,0.0,2.8638523,0.0,2.5742302
ENSG00000164687,0.0,0.0,2.888441,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.326556,0.0
ENSG00000148834,0.0,0.0,0.0,2.603848,0.0,0.0,0.0,0.0,0.0
ENSG00000169715,0.0,0.0,0.0,0.0,3.3253832,0.0,0.0,3.5232596,0.0
ENSG00000114942,1.4211475,0.0,0.0,2.603848,2.401093,0.0,2.373705,2.6594927,2.5221024
ENSG00000149806,1.3172597,0.0,0.0,0.0,0.0,0.0,2.519998,0.0,2.511632
ENSG00000115414,0.0,0.0,0.0,5.240342,0.0,0.0,0.0,0.0,3.9269361
ENSG00000088986,1.0408161,0.0,0.0,2.603848,0.0,0.0,0.0,0.0,0.0
ENSG00000108654,0.0,2.8726497,2.9740312,0.0,0.0,0.0,0.0,0.0,2.3273454
ENSG00000234741,1.3172597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000182774,3.2996473,3.0630746,2.6272116,3.4965076,3.3895733,2.506079,3.0145464,3.3683586,3.003556
ENSG00000147403,3.883916,3.6155314,2.7581856,3.4903219,4.126741,2.6769717,3.4035203,3.8957467,3.7279894
ENSG00000166295,1.0408161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000138326,1.5397353,3.0171611,2.927884,3.4903219,3.3596034,2.5854163,3.148305,3.2282352,3.3125494
ENSG00000188846,2.9302673,3.1047578,0.0,2.8272102,3.121493,0.0,1.9056978,2.85147,2.866975
ENSG00000182326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5742302
ENSG00000128567,0.0,0.0,1.4128578,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136942,1.3172597,3.139946,2.920131,2.6381292,3.0053785,0.0,2.7581758,2.8638523,2.8545496
ENSG00000213088,0.0,0.0,1.5072732,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000166441,3.7836356,3.342554,3.3139,3.5027342,3.5771804,2.8272417,3.3771966,3.4229238,3.5557365
ENSG00000164733,0.0,0.0,0.0,0.0,0.0,0.0,3.2911303,0.0,2.6131697
ENSG00000096384,0.0,1.2961677,2.7581856,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000076554,2.4940798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198918,0.0,2.8525672,2.6272116,2.8332133,2.6055899,0.0,2.3215222,2.2058036,2.6190474
ENSG00000142156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.193677
ENSG00000118181,2.5979676,3.0824041,2.776636,2.8453426,3.2515097,2.7410777,2.8257155,3.083438,3.4926367
ENSG00000205542,1.3172597,4.308055,4.58815,2.8332133,2.9634924,0.0,5.276127,0.0,3.2701943
ENSG00000131871,1.1768202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000109861,0.0,0.0,0.0,3.2592993,0.0,0.0,0.0,0.0,2.4739776
ENSG00000185624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8411269,0.0
ENSG00000126432,2.3580756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
