,Endothelia,Fibroblast,Lymphocyte,MP & DC,Mural cell,Neutrophil
ENSG00000135919,0.0,1.3449391,0.0,0.0,0.0,0.0
ENSG00000115053,0.0,0.8648961,1.7880193,1.2094253,0.0,0.0
ENSG00000187514,3.0516937,2.4984667,3.6492136,3.3434336,3.2685723,2.819925
ENSG00000115468,0.0,0.0,0.0,0.0,0.72555184,0.0
ENSG00000188042,0.0,0.0,1.8014076,0.0,0.0,0.0
ENSG00000144476,0.0,1.0411627,0.0,0.0,0.0,0.0
ENSG00000163359,0.0,1.5135784,0.0,0.0,0.0,0.0
ENSG00000124831,0.0,0.0,0.0,1.6095183,0.0,0.0
ENSG00000168385,0.0,1.0581769,0.0,0.67089,0.0,0.0
ENSG00000241553,0.0,0.0,0.0,1.0032446,0.0,0.0
ENSG00000254999,0.0,1.0145375,0.0,0.8993674,0.0,0.0
ENSG00000144713,2.8417625,2.7101684,3.53208,3.2687342,2.7273638,2.3140993
ENSG00000163520,0.0,2.8300567,0.0,0.0,0.0,0.0
ENSG00000174748,2.4809742,2.5923355,3.0949404,3.0160255,2.6877544,0.0
ENSG00000144642,0.0,0.96992,0.0,0.0,0.0,0.0
ENSG00000091317,0.0,0.0,0.0,1.1793486,0.0,0.0
ENSG00000144655,0.0,0.0,0.0,0.7174008,0.0,0.0
ENSG00000168028,1.7853302,1.9722519,2.8646321,2.0681748,1.7231116,0.0
ENSG00000114784,0.0,0.0,0.0,0.8498025,0.0,0.0
ENSG00000188846,2.0552483,2.196514,2.955688,2.5025234,2.395561,0.0
ENSG00000168036,0.0,0.0,0.0,0.7056526,0.0,0.0
ENSG00000114857,1.1950182,0.0,0.0,0.0,0.0,0.0
ENSG00000011198,0.0,0.0,0.0,0.68793863,0.0,0.0
ENSG00000232112,0.0,1.370602,1.8852731,1.3668151,1.0329353,0.0
ENSG00000067560,1.6272738,1.8742176,1.5217818,1.9286464,1.5727137,0.0
ENSG00000114353,1.7569991,0.99802387,1.450639,1.8903763,0.0,0.0
ENSG00000068001,0.974982,0.0,0.0,0.0,0.0,0.0
ENSG00000162244,2.4467468,2.3447819,2.9788618,2.8358374,2.4360251,0.0
ENSG00000114902,0.0,0.9802047,0.0,0.7254969,0.8384817,0.0
