,B cell,Cholangiocyte,Erythroid,Hepatocyte,Inflammatory Macs,LSEC 1,"LSEC 2,3",NK-like,Non-inflammatory Macs,Plasma,Portal endothelial,Stellate,abT cell,gdT cell 1,gdT cell 2
C8A,0.0,0.0,0.0,0.3057768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TACSTD2,0.0,0.7049082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUN,1.948508,1.4536438,0.0,0.0,0.8656926,0.95843923,0.8653802,1.4164312,0.1437923,1.593664,1.1519394,0.6036433,2.5376792,2.3088083,0.30495048
FGGY,0.0,0.64514035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFIA,0.0,0.0,0.0,0.52225024,0.0,0.36517298,0.0,0.0,0.0,0.0,0.7144758,0.5554906,0.0,0.0,0.0
ANGPTL3,0.0,0.0,0.0,1.3336434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3822053,0.0,0.0,0.0,0.0
LEPROT,0.0,0.0,0.0,0.0,0.0,0.47006583,0.0,0.0,0.0,0.0,0.0,0.114840515,0.0,0.0,0.0
SERBP1,0.0,0.5533351,0.0,0.69223744,0.0,0.24989654,0.0,0.0,0.0,0.0,0.34104335,0.6977273,0.0,0.0,1.1089377
SRSF11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4835868,0.0,0.0,0.0
NEXN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0663689,0.0,0.0,0.0
ADGRL4,0.0,0.0,0.0,0.0,0.0,0.0,1.115881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNG5,0.0,0.6609298,0.0,0.80942434,0.7285245,0.8274767,0.0,0.0,0.73625666,0.40370277,0.6183413,0.33826655,0.0,0.0,0.6970633
CCN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9737884,0.0,0.0,0.0
SH3GLB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114840515,0.0,0.0,0.0
TGFBR3,0.0,0.0,0.0,0.0,0.0,0.7384163,0.8667658,0.0,0.0,0.0,0.8348869,0.0,0.0,0.0,0.0
RPL5,3.7235384,2.1736872,0.0,2.0600214,2.9778733,2.5705562,1.8111151,3.1460137,1.9376869,3.2729723,2.4412966,2.6919217,3.2915978,2.977874,3.2714987
CNN3,0.0,0.0,0.0,0.0,0.0,0.63343555,1.099843,0.0,0.0,0.0,0.53764445,1.0468421,0.0,0.0,0.0
VCAM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4586694,0.0,0.0,0.0,0.0,0.0,0.0
LAMTOR5,0.0,0.47168985,0.0,0.34471035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89862084,0.75203156,0.0,0.0,0.0,1.0372889,1.6938958,0.47077546
ATP5PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7131651
