Celltypes,mean,std,median,count,q1,q3,f_score
DC_plasmacytoid,0.06697650104409937,0.3630841585805316,0.240630835,322,-0.14346166500000002,0.340232925,0.5910543130990416
Endothelia_vascular_arterial_systemic,0.12773644351627905,0.27798202386858745,0.21250029,215,-0.01031810925,0.352655445,0.4046997389033943
DC_2,0.1045874427631422,0.26964743646762923,0.20854504,1301,0.0055002295,0.29442775,0.6138294755347202
Myoepithelial,0.06304097873640091,0.313277337344188,0.20655482,439,-0.075438193,0.293466825,0.8067030397505845
CD8_EM/EMRA,0.08282800774253908,0.30936644378304456,0.1876849,2085,-0.10338501,0.34492114,0.4419558898957086
Fibro_alveolar,0.02010405126722857,0.3353461774484399,0.175801665,7420,-0.2863577025,0.31504271,0.6308886509635975
Endothelia_vascular_venous_pulmonary,0.08881848114457831,0.2728700517290668,0.15542607,2075,-0.16153224,0.354693115,0.6281233844563157
Endothelia_vascular_arterial_pulmonary,0.07483020951593922,0.2243144598410878,0.128088495,2172,-0.10034601300000001,0.2607578625,0.7369337979094077
Fibro_perichondrial,0.06467210000990267,0.2650936350770965,0.12736472,411,-0.10129852,0.30065594500000004,0.4389086595492289
SMG_Basal,0.02977920394007874,0.2456041475314557,0.11199759,381,-0.072482504,0.21367331,0.5771365149833518
Secretory_Club,0.0019648032690646818,0.28844910362709403,0.09911955,2149,-0.13355273,0.21264344,0.6275132275132275
DC_activated,-0.07172765034727668,0.29280576202474673,0.09845388,459,-0.30403824,0.145158695,0.7149404216315307
Fibro_peribronchial,0.03533757295528162,0.19506203993787227,0.09672401,1083,-0.054160230000000004,0.18257549,0.3931252469379692
Ciliated,-0.028875158367497367,0.23155557330157028,0.055503397499999996,3796,-0.24518229249999998,0.1715282025,0.9161680717976612
Muscle_perivascular_immune_recruiting,-0.04071794210382916,0.2962588065871348,0.050610434,679,-0.28277677,0.2266129,0.5421293272371
Macro_alveolar,-0.0388456684664588,0.21385921404607716,0.042601686,17098,-0.062232282750000006,0.09963663125,0.8102273077753447
CD8_TRM,-0.04509094826166584,0.20363658903595303,0.033661723,2023,-0.172669775,0.119964915,0.3110241532856564
