,ASDC,BFU-E,Basophilic Erythroblast,CD14 Mono,CD16 Mono,CD4 Central Memory,CD4 Effector Memory,CD4 Naive,CD4 Regulatory,CD8 Central Memory,CD8 Effector Memory 1,CD8 Effector Memory 2,CD8 Naive,CD8 Tissue Resident Memory,CFU-E,CLP,Cycling Progenitor,Early GMP,Early ProMono,EoBasoMast Precursor,GMP-Cycle,GMP-Mono,GMP-Neut,HSC,Immature B,LMPP,Large Pre-B,Late ProMono,MEP,MLP,MLP-II,MPP-MkEry,MPP-MyLy,Mature B,Megakaryocyte,Megakaryocyte Precursor,NK,NK CD56high,NK Proliferating,Orthochromatic Erythroblast,Plasma Cell,Polychromatic Erythroblast,Pre-ProB,Pre-cDC,Pre-pDC,Pre-pDC Cycling,Pro-B Cycling,Pro-B VDJ,Pro-Erythroblast,Small Pre-B,Stromal,T Proliferating,cDC1,cDC2,pDC
ENSG00000166927,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000095002,0.0,0.0,0.9814814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9852979955849824,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000153944,0.0,0.7527394990126292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8344422369091599,0.7702530710785477,0.7598974141809676,0.0,0.0,0.0,0.0,0.0,0.7728221714496613,0.0,0.7869200298079738,0.7921388281716241,0.0,0.7699417968591055,0.7858058545324538,0.0,0.7823758897957979,0.786207937532001,0.0,0.0,0.7407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.8419492653122654,0.0,0.746861665337174,0.0,0.7958368681095265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000147065,0.6120908293459151,0.5920627933961374,0.0,0.6839780807495117,0.731676517813294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5683857070075141,0.0,0.5913274343366977,0.5811451265105495,0.6674072488590523,0.0,0.567178976756555,0.5647179672011623,0.0,0.0,0.0,0.5851251836176272,0.0,0.7441867192586263,0.587294633741732,0.5708439107294436,0.0,0.0,0.0,0.0,0.8282123020401707,0.626416810132839,0.0,0.0,0.7218709963339346,0.0,0.0,0.0,0.5742887181264383,0.6684810971772229,0.5967751134324957,0.5596075863749893,0.0,0.0,0.5555555555555556,0.0,0.0,0.699828960277416,0.5924694151790054,0.6553774133876518,0.0
ENSG00000174099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198899,0.04108936036074603,0.05423946292312057,0.02379654403086062,0.09403326114018758,0.08864905767970616,0.030469754227885493,0.031582653522491455,0.02693556856226038,0.028917576427812928,0.06185167144846033,0.07175466087129381,0.10321360384976422,0.039953257198686955,0.09309829495571277,0.050523996353149414,0.04455479979515076,0.06597753807350441,0.06481748819351196,0.1509182541458695,0.05267200536198086,0.068270241772687,0.06562463221726594,0.05229199705300508,0.06516128005804839,0.06384001617078428,0.059449859239436964,0.022855435256604797,0.11776695207313255,0.05425416429837545,0.03842010873335379,0.04382177083580582,0.06495929536996065,0.06431667009989421,0.06781143060436955,0.1120447626820317,0.08079391717910767,0.08194670964170385,0.07387189732657538,0.07372695207595825,0.0,0.007410912602036087,0.009061085957067984,0.03486491132665564,0.09043952601927298,0.04652875441092032,0.04303077635941682,0.029766679913909348,0.027691184370606033,0.055975792584595854,0.014063934485117594,0.01969126198026869,0.04179290488914207,0.035797057328400786,0.05504958276395445,0.028736182936915645
ENSG00000198804,0.06895081202189128,0.05229028838652151,0.02725277234006811,0.1587144136428833,0.14949594382886533,0.016351241756368567,0.017157691496389883,0.011748062239752876,0.04789206606370432,0.03831341090025725,0.06000505111835621,0.09015487631162007,0.016923926494739675,0.055583054268801654,0.07071605103987234,0.047428251416594895,0.0368957155280643,0.03836332427130805,0.10977326388712283,0.031865330757918184,0.016357738662649085,0.028424721073221276,0.013474702835083008,0.015238224356262773,0.06093819936116537,0.042197957083030986,0.023536383001892654,0.14096842540635002,0.04390035293720387,0.042649434672461614,0.07228245006667243,0.026310454916071008,0.02544190596651148,0.0687453360469253,0.008635559567698726,0.059491774550190675,0.10666656273382681,0.09832868863035131,0.09810929386704056,0.0,5.903067412199797e-05,0.020581873478712858,0.03135887892157943,0.08173242983994661,0.044362812130539504,0.040620633849391234,0.015408845963301483,0.01383610345699169,0.06954102494098523,0.013529590986393116,0.006393633506916187,0.08873298543470877,0.0763855046696133,0.11417395759511877,0.047737191120783486
ENSG00000198712,0.050898076207549485,0.0615384214454227,0.035889882732320716,0.09567780958281623,0.10683805964611194,0.01755969171170835,0.020255890157487657,0.015517786697105126,0.02052778999010722,0.03433998977696454,0.0377900743926013,0.05854354743604307,0.027461163423679495,0.054227476870572125,0.07974751459227668,0.03462663182505855,0.054203399905452025,0.05648277203241984,0.1375184765568486,0.04202800216498198,0.056103927117806894,0.06732058525085449,0.042527108280747024,0.015670865774154663,0.04991033894044382,0.03249459354965775,0.024990762825365418,0.1180746974768462,0.034037248955832586,0.03307447610078035,0.0380969555289657,0.019485888657746493,0.01915270421240065,0.06031579110357496,0.013044899260556256,0.06916332244873047,0.06793709816756072,0.06101072386459068,0.0674787715629295,0.0,0.004539610059173019,0.00808150017703021,0.03681708265233923,0.09665183226267497,0.06118153421967118,0.056338613783871686,0.025125236422927293,0.023887478642993502,0.09590663071031924,0.012426066177862662,0.007460087537765503,0.0481649085327431,0.03606132666269938,0.05829026412080835,0.03309736538816382
ENSG00000198938,0.041564722855885826,0.07015154979847095,0.09126518280417831,0.10476246476173401,0.060464960557443125,0.01864998980804726,0.02219269121134723,0.01699130513049938,0.020836260583665635,0.03485790778089453,0.037374272390648174,0.04186622853632326,0.02579764525095622,0.054412149720721774,0.11695436084711994,0.03456974471056903,0.04639113390887225,0.049617772852932965,0.13669763560648318,0.04505054376743458,0.042777208266434844,0.049653587517914946,0.032227922368932654,0.02992802306457802,0.05437900291548835,0.04354015654987759,0.02365621151747527,0.1260742997681653,0.04363295767042372,0.03571639899854307,0.04291420071213334,0.03637737587646202,0.03503444680461177,0.05579626008316323,0.01073285495793378,0.06291912440900449,0.04176766342586941,0.07117317230613143,0.03749205779146265,0.0,0.0036883078239582203,0.0113462938202752,0.031323658095465765,0.08501488522247032,0.050427139909179124,0.032534537491975005,0.021933086492397166,0.018603652715682983,0.13956179883744982,0.011962063886501171,0.008905347850587633,0.05748898563561616,0.04136828912629022,0.06533121069272359,0.022038680535775644
ENSG00000198727,0.04717381132973565,0.08537433986310605,0.03392212368823864,0.033290986661557796,0.03462842106819153,0.03375154623278865,0.04282245702213711,0.02730656001302931,0.02212922661392777,0.07854621829809966,0.07191385825475057,0.08503981541704249,0.040912262819431444,0.10596464629526492,0.09814674655596416,0.07856678631570604,0.10554909706115723,0.09553236873061569,0.03968828695791739,0.0457956283180802,0.03883710393199214,0.02639063861634996,0.022117397299519292,0.09143998115151017,0.05191563676904749,0.09409929425628097,0.022450170031300298,0.03743535500985605,0.07110611487317968,0.07311739413826554,0.05759160165433531,0.07990413241916233,0.08519501818550958,0.06028796014962373,0.014209204249911837,0.0907929473453098,0.03512123116740474,0.03652453532925359,0.04225030210283068,0.0,0.007803826420395462,0.007825585427107635,0.060937978603221754,0.06897170565746448,0.07137784913734153,0.06715648593725981,0.033674667278925575,0.03280345598856608,0.0996934661158809,0.012293174310966774,0.017064788827189693,0.03355493700062787,0.03056556096783391,0.03563362028863695,0.022848648053628427
ENSG00000198888,0.03714233526477107,0.10707372095849779,0.07543502140928197,0.07717478054541128,0.06135737233691745,0.0220361418194241,0.031917031164522526,0.018723857623559458,0.021728312527691876,0.05434028307596842,0.05191249207214073,0.04716714995878714,0.02216539669919897,0.07564522491561042,0.1500916768003393,0.042145612063231294,0.07847199947745712,0.0758579240904914,0.14202890462345547,0.09736726571012426,0.1015702971705684,0.09930149051878187,0.07209664914343092,0.09293339208320335,0.043487733161007916,0.0705903669198354,0.02204517744205616,0.07399249959875036,0.07958373758527967,0.045658238508083204,0.03811490535736084,0.08601447498356854,0.09072401015846818,0.04431279389946549,0.05326212666652821,0.10645827099129006,0.02687588996357388,0.05030330574070966,0.033189972241719566,0.0,0.010096062112737584,0.013980166779624091,0.037516782681147255,0.1092457550543326,0.06288546544534189,0.046261861368461894,0.026337947006578797,0.021607439827035974,0.16924613493460197,0.009170887646851715,0.023104684220419988,0.033535619576772056,0.04311023818122016,0.051387274706805194,0.036153439018461436
ENSG00000198763,0.029552233439904672,0.07001800559185169,0.038273528770164204,0.08063882699719181,0.12161212938803213,0.06049590199081986,0.09031856722301906,0.047187991716243605,0.0230428002498768,0.13351948945610612,0.11064161746590226,0.1027447470912227,0.07568358050452338,0.15473106834623548,0.08021613293223911,0.027648580295068247,0.06681724830910012,0.05306993700839855,0.07049469925739148,0.04018134872118632,0.03545407785309686,0.030505572204236633,0.022151852095568622,0.12194855897514909,0.08201035746821651,0.056812547975116305,0.016064364601064612,0.06755525977523238,0.05518972101034941,0.031999280055363975,0.021708570144794607,0.08475992635444358,0.09855022916087398,0.08562123223587319,0.04834915973522045,0.07304800219006008,0.06794037090407477,0.0975606397346214,0.05350842961558589,0.0,0.016242118897261442,0.00847320865701746,0.027890590605912386,0.05871414255212854,0.024508912254262855,0.022973375187979803,0.0213123791747623,0.01400138603316413,0.08808147134604277,0.011434676470579925,0.034047083722220525,0.024977242505108868,0.028849847890712595,0.04145343325756214,0.03334331291693228
ENSG00000198840,0.0415112817728961,0.03331537048021952,0.022683997948964436,0.17908432748582628,0.1634199387497372,0.08744609355926514,0.09882220294740465,0.08685788732987863,0.03357864419619242,0.14164179453143366,0.13674158851305643,0.1348666250705719,0.12332009275754292,0.17032152303942927,0.04534132723455076,0.045568227767944336,0.03477296012419241,0.04182550421467534,0.16912969946861267,0.026168052796964294,0.05021139206709685,0.08443010405257896,0.059585751206786546,0.015948945725405658,0.15161539338253163,0.03882015524087129,0.014091391254354406,0.17777599118374013,0.03060103456179301,0.041813119694038677,0.03230789524537546,0.024775790947454947,0.026867579530786584,0.16009798425215263,0.023752400168666133,0.021275426502580994,0.09441453770354942,0.12875396896291663,0.07262863273973819,0.0,0.012973296421545523,0.010841516432938752,0.02863678777659381,0.06939097687050148,0.02706028245113514,0.018326490013687698,0.01748521018911291,0.013764166169696383,0.04693939178078263,0.013044110050907842,0.06280444176108749,0.029626570366047048,0.042027937041388616,0.09022065224470915,0.03166900409592523
ENSG00000198886,0.044553033731601854,0.0733789669142829,0.03305801528471487,0.07665439115630256,0.04852459717679907,0.01894462881264863,0.021439276359699392,0.018206037856914378,0.01386675790504173,0.042883864155522096,0.04079783183557016,0.047824085862548264,0.0347768211806262,0.05086604312614158,0.08115407934895268,0.0747608189229612,0.08918233933272185,0.08323041046107257,0.11391307358388547,0.05094299493012605,0.06355368208002161,0.05894433789783054,0.04749171932538351,0.05472850247665688,0.049183413938239766,0.07055823891251176,0.018661746272334346,0.10289316486429285,0.052204260119685424,0.06315822513015182,0.05871392289797465,0.05170076423221164,0.05791100418126142,0.057857279424314144,0.0103605588277181,0.07974375839586612,0.03969137205017938,0.042844049356601854,0.04512188390449241,0.0,0.006486586950443409,0.008094283165755096,0.05311985479460822,0.08509891562991673,0.0653370773350751,0.053874591986338295,0.024787413853186148,0.024849590328004625,0.08463911215464275,0.010676345339527837,0.01724237424355966,0.024379503947717172,0.030515482028325398,0.055768476592169866,0.03132380379570855
ENSG00000212907,0.0,0.5329277956927264,0.5275056196583642,0.7084045023829849,0.6891903479894003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5430960611060813,0.0,0.5611806081400977,0.5446790600264514,0.7288748379106875,0.0,0.5910105639033847,0.6323369884932483,0.5948364282095874,0.0,0.0,0.5310454611425046,0.0,0.700658940606647,0.0,0.0,0.0,0.0,0.0,0.6963191385622378,0.0,0.5447790733090153,0.0,0.0,0.5896530758451533,0.0,0.5298991468217638,0.5185185185185185,0.5646817021899753,0.6176280059196331,0.5319303759822139,0.5213326900093643,0.5504695839352078,0.0,0.5706904066933526,0.0,0.636468067213341,0.0,0.5759207948490426,0.6052687057742366,0.0
