,AT0,AT1,AT2,AT2 proliferating,Adventitial fibroblasts,Alveolar Mph CCL3+,Alveolar Mph MT-positive,Alveolar Mph proliferating,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club (nasal),Club (non-nasal),DC1,DC2,Deuterosomal,EC aerocyte capillary,EC arterial,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet (bronchial),Goblet (nasal),Goblet (subsegmental),Hematopoietic stem cells,Hillock-like,Interstitial Mph perivascular,Ionocyte,Lymphatic EC differentiating,Lymphatic EC mature,Lymphatic EC proliferating,Mast cells,Mesothelium,Migratory DCs,Monocyte-derived Mph,Multiciliated (nasal),Multiciliated (non-nasal),Myofibroblasts,NK cells,Neuroendocrine,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,Plasmacytoid DCs,SM activated stress response,SMG duct,SMG mucous,SMG serous (bronchial),SMG serous (nasal),Smooth muscle,Smooth muscle FAM83D+,Subpleural fibroblasts,Suprabasal,T cells proliferating,Tuft,pre-TB secretory
ENSG00000004455,0.0,0.0,0.0,0.2547828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35661322,0.37599057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15026504,0.0,0.0,0.0,0.0,0.0,0.0,0.2137756,0.0,0.0,0.0,0.0,0.0,0.27154112,0.28083512,0.0,0.15267935,0.0
ENSG00000004478,0.0,0.0,0.0,0.0,0.0,0.26785204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39871845,0.35518852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15798737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13786587,0.0
ENSG00000004700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25876626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37814885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004779,0.0,0.0,0.60525596,0.75264716,0.50548995,0.87553096,0.0,0.6499827,0.0,0.6974679,0.0,0.0,0.0,0.0,0.0,0.60736555,0.0,0.43953723,0.0,0.9765364,0.0,0.0,0.0,0.0,0.0,0.0,0.34075326,0.0,0.75032854,0.9613976,0.0,0.61415356,0.0,0.0,0.74399436,0.0,0.54918677,0.0,0.6235797,1.0856172,0.9684114,0.0,0.0,0.8111194,0.0,0.0,0.0,0.0,0.0,0.5606514,0.64471734,0.0,0.0,1.209968,0.0,0.0,0.5686365,0.7136272,0.7218022,0.80731064,0.0
ENSG00000004799,0.0,0.0,0.0,0.0,0.2523923,0.0,0.0,0.4676061,0.0,0.4400072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.764935,0.0,0.0,0.0,0.0,0.91923356,0.0,0.0,1.4539776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5246725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.309398,1.3499401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44190618,0.0,0.0,0.0,0.095231675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18794791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005020,0.0,0.0,0.0,0.0,0.0,0.5292147,0.0,0.4505067,0.0,0.5097058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000005022,1.3218987,0.0,1.9572474,2.0226307,0.7458463,1.1896684,1.3054514,1.8145238,0.0,1.4933392,0.8681674,1.3137144,0.0,0.0,1.1758878,1.6306585,1.0383464,1.7802904,1.5619683,0.78693867,0.0,0.0,0.0,0.0,0.0,0.5162102,1.11051,0.0,1.5270247,2.1550066,1.2879299,1.7904,0.0,0.5220671,1.6606772,0.0,0.921601,1.0864753,1.5738174,0.72593856,0.5726237,0.0,0.0,1.0309677,1.5603293,0.0,0.0,0.8098526,1.4915954,0.7602789,1.112458,0.0,0.0,1.1676018,0.0,0.0,0.71921194,1.8470819,1.8997133,1.6397712,1.1706539
