,cardiac muscle cell,endothelial cell,fibroblast,leukocyte,mesothelial cell of epicardium,neuron,smooth muscle cell
SH3GLB1,0.708288379401908,0.6666666666666666,0.0,0.0,0.0,0.0,0.7709786557956617
SELENOF,1.0,0.0,0.0,0.0,0.0,0.0,0.0
HS2ST1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LMO4,0.0,0.0,1.0,0.0,0.0,0.0,0.0
PKN2,0.0,0.05415993472166727,0.0300177192642375,0.17262713239659946,0.02043307644666433,0.12398866853798352,0.0027747485864425547
LRRC8C,0.0,0.6950603366528227,0.0,0.0,0.697614629111417,0.0,0.6666666666666666
LRRC8D,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ZNF326,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF644,0.0,0.015022501561802015,0.014200630154126814,0.20081528896526124,0.06784256345284496,0.06697922230177639,0.11728668165620147
HFM1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TGFBR3,0.6666666666666666,0.0,0.8497021423163919,0.0,0.6831981185903326,0.0,0.0
RPAP2,0.8641560262791271,0.0,0.8333333333333334,0.0,0.0,0.0,0.0
EVI5,0.03297246037486634,0.0,0.1557968599214551,0.09984477574190716,0.07693090623684751,0.08614348229663389,0.14595404122242903
DIPK1A,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MTF2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000223745,0.16666666666666666,0.0,0.3098213170402262,0.23448679826450566,0.4695579926873304,0.3886112286940566,0.24169720182628604
FNBP1L,0.6666666666666666,0.747746902720778,0.0,0.0,0.8160741511906959,0.0,0.0
BCAR3,0.3333333333333333,0.49610867323761876,0.0,0.0,0.48626703000216054,0.4358231408545726,0.3540519548620085
ARHGAP29,0.3333333333333333,0.5746855765960226,0.45470752347043764,0.0,0.5187143086661767,0.0,0.4989664763944841
ABCD3,0.8333333333333334,0.0,0.0,0.0,0.0,0.8968739919782657,0.0
F3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
