,Bcells,CentralHep,Cholangiocyte,Erythroid,InfMac,InterHep,NKTcell,NonInfMac,PortalEndo,PortalHep,Stellate,cvLSECs
ENSG00000054611,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9566841450604525
ENSG00000054654,0.0,0.8181818181818182,0.9060393463481556,0.0,0.0,0.0,0.0,0.0,0.8629661527546969,0.0,0.0,0.0
ENSG00000055130,0.0,0.9505142298611727,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000055609,0.0,0.7604949311776594,0.7787013487382368,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.7406048341230913,0.0
ENSG00000055917,0.0,0.8033738353035667,0.7466521859169006,0.0,0.0,0.7427425276149403,0.0,0.0,0.0,0.0,0.7272727272727273,0.0
ENSG00000055957,0.0,0.8384754495187239,0.0,0.0,0.0,0.8680266467007723,0.0,0.0,0.0,0.8181818181818182,0.0,0.0
ENSG00000056097,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000058091,0.0,0.8511107834902677,0.8478720459071073,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000058272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ENSG00000058866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ENSG00000060237,0.0,0.9480661804025824,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000060566,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000060762,0.0,0.9246848171407526,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000060971,0.0,0.923533325845545,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000061987,0.0,0.7896972352808173,0.7450875206427141,0.0,0.0,0.7303162000396035,0.0,0.0,0.0,0.0,0.7272727272727273,0.0
ENSG00000062194,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000062716,0.0,0.7841795628721063,0.7272727272727273,0.0,0.0,0.7448646155270663,0.0,0.0,0.0,0.0,0.730940889228474,0.0
ENSG00000063177,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000064042,0.0,0.0,0.9264577735554088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091
ENSG00000064115,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000064225,0.0,0.9379394271157004,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000064393,0.0,0.754806865345348,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.7331518910147927,0.0,0.0,0.8188632347367026
ENSG00000064989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000064999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.9407261284914884
ENSG00000065243,0.0,0.9851531332189386,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000065485,0.0,0.947549272667278,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000065534,0.0,0.8930561596697028,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.8182325308973138,0.0
