,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),Dendritic cell,Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Enterocyte progenitor,Epithelial cell,Fetal epithelial progenitor,Intercalated cell,Loop of Henle,Macrophage,Mast cell,Monocyte,Neutrophil,Proximal tubule progenitor,Sinusoidal endothelial cell,Smooth muscle cell,Stromal cell,T cell,Ureteric bud cell
ENSG00000133318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89091444,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116251,0.0,2.9327407,0.0,2.4260936,0.0,0.0,1.1194087,0.0,2.0676317,0.0,2.3644848,1.8505582,2.3240128,2.5866365,2.1993608,0.0,0.0,0.0,0.0,2.4100456,2.573111,0.0
ENSG00000130066,3.0755208,0.0,0.0,3.5742464,0.0,0.0,0.0,3.634961,0.0,0.0,0.0,0.0,4.2256026,0.0,3.828519,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4214053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.035244
ENSG00000177600,3.0637722,3.2418053,0.0,2.9118779,0.0,0.0,3.077119,2.9678564,0.0,2.7430592,0.0,0.0,0.0,0.0,2.1482704,0.0,0.0,3.010868,0.0,2.74683,2.8050528,0.0
ENSG00000170476,0.0,0.0,3.204398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134419,0.0,3.6717792,0.0,3.2051547,2.9864268,2.7567935,2.7654011,0.0,2.5236843,0.0,2.8099294,2.4662986,2.952241,2.9987943,3.190889,2.3947256,0.0,3.620698,0.0,3.5679212,3.5640335,0.0
ENSG00000114383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000093144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000182093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.160399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000179344,0.0,0.0,0.0,3.0884218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000002586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.614342,0.0,0.0,0.0,0.0
