,acinar,alpha,beta,delta,duct,endothelial,mesenchymal,pp,unclear
KBTBD2,0.0,0.0,0.0,0.0,0.0,0.9090908765792847,0.0,0.0,0.0
REEP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCAF5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MPC2,0.0,0.6249999701976776,0.45454543828964233,0.45454543828964233,0.45454543828964233,0.0,0.0,0.45454543828964233,0.0
ARL6IP5,0.22727271914482117,0.22727271914482117,0.5357142686843872,0.22727271914482117,0.5357142686843872,0.0,0.0,0.22727271914482117,0.22727271914482117
FAM174A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UMPS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TERF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPP1R1A,0.0,0.838414654135704,0.7862903028726578,0.6249999776482582,0.0,0.0,0.0,0.0,0.520833358168602
IL6ST,0.0,0.0,0.0,0.0,0.357142835855484,0.6707317233085632,0.357142835855484,0.0,0.0
FUT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLLT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NISCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZFAND6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYH14,0.0,0.0,0.7954545170068741,0.0,0.7954545170068741,0.0,0.0,0.0,0.0
RB1CC1,0.22727271914482117,0.0,0.22727271914482117,0.22727271914482117,0.22727271914482117,0.22727271914482117,0.22727271914482117,0.0,0.5952380746603012
ATP6V1E1,0.0,0.0,0.476190447807312,0.0,0.0,0.0,0.0,0.0,0.0
CRIM1,0.0,0.0,0.0,0.0,0.7954545170068741,0.7954545170068741,0.0,0.0,0.0
CRISPLD2,0.0,0.0,0.0,0.0,0.0,0.0,0.9090908765792847,0.0,0.0
TMCC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM4SF20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SF3B1,0.0,0.0,0.327380932867527,0.0,0.1562499701976776,0.327380932867527,0.1562499701976776,0.0,0.1562499701976776
TXNIP,0.0,0.0,0.0,0.0,0.8522726967930794,0.0,0.0,0.0,0.7291667014360428
TAF6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THBD,0.0,0.0,0.0,0.0,0.0,0.9523809552192688,0.0,0.0,0.0
ITSN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333730697632
ITFG1,0.0,0.5681817978620529,0.5681817978620529,0.0,0.5681817978620529,0.0,0.0,0.5681817978620529,0.0
WDR36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUBB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLIP1,0.5113636180758476,0.0,0.5113636180758476,0.0,0.5113636180758476,0.0,0.5113636180758476,0.0,0.4166666865348816
ENAH,0.6249999776482582,0.0,0.0,0.0,0.6249999776482582,0.0,0.8035714253783226,0.0,0.520833358168602
ACTB,0.21291210502386093,0.0,0.09683097153902054,0.04098360240459442,0.442880816757679,0.37690839916467667,0.4932228773832321,0.0,0.06628790497779846
TGFBI,0.0,0.0,0.0,0.0,0.0,0.0,0.9523809552192688,0.0,0.0
ZNHIT1,0.0,0.0,0.0,0.0,0.0,0.0,0.9090908765792847,0.0,0.0
CTSD,0.7954545170068741,0.0,0.0,0.0,0.8928571417927742,0.0,0.0,0.0,0.0
SECISBP2L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRSS23,0.0,0.0,0.5859374776482582,0.45454543828964233,0.45454543828964233,0.9344059377908707,0.0,0.45454543828964233,0.0
LYRM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC6A6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAFF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL32,0.9226190522313118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7291667014360428
CDK5RAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMSAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYT11,0.0,0.5681817978620529,0.5681817978620529,0.5681817978620529,0.0,0.0,0.0,0.5681817978620529,0.0
CACNA1A,0.0,0.7954545170068741,0.0,0.0,0.0,0.0,0.0,0.8928571417927742,0.0
SMIM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMA21,0.0,0.0,0.7954545170068741,0.7954545170068741,0.0,0.0,0.0,0.0,0.0
GNA12,0.0,0.0,0.0,0.0,0.0,0.0,0.9090908765792847,0.0,0.0
PSMD2,0.0,0.0,0.0,0.0,0.6818181574344635,0.6818181574344635,0.6818181574344635,0.0,0.0
SNW1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC26A9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM167B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNQ1,0.9090908765792847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SETBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARNT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNAI1,0.0,0.6818181574344635,0.0,0.6818181574344635,0.0,0.0,0.0,0.6818181574344635,0.0
TMSB10,0.45454543828964233,0.0,0.0,0.0,0.6653225645422935,0.7965686395764351,0.6249999701976776,0.0,0.45454543828964233
PLCB4,0.0,0.0,0.9090908765792847,0.0,0.0,0.0,0.0,0.0,0.0
RFC1,0.7954545170068741,0.0,0.7954545170068741,0.0,0.0,0.0,0.0,0.0,0.0
SPP1,0.0,0.0,0.0,0.0,0.9929078221321106,0.0,0.0,0.0,0.0
XBP1,0.8299180194735527,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.0,0.11363635957241058,0.11363635957241058,0.3515624552965164
DCAF10,0.0,0.0,0.7954545170068741,0.0,0.0,0.0,0.7954545170068741,0.0,0.0
CCNT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZSCAN31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAPTM5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZDHHC5,0.0,0.0,0.0,0.0,0.0,0.9090908765792847,0.0,0.0,0.0
C4BPB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LGALS9,0.0,0.0,0.0,0.0,0.9090908765792847,0.0,0.0,0.0,0.0
PRG4,0.0,0.0,0.0,0.9677419066429138,0.0,0.0,0.0,0.0,0.0
MAP2K1,0.0,0.0,0.0,0.0,0.0,0.8522726967930794,0.0,0.0,0.7291667014360428
UBE2A,0.0,0.0,0.0,0.0,0.0,0.7386363372206688,0.7386363372206688,0.0,0.6250000298023224
NFIB,0.6818181574344635,0.0,0.0,0.0,0.7738095223903656,0.7738095223903656,0.0,0.0,0.0
NDFIP1,0.05681817978620529,0.3273809403181076,0.3273809403181076,0.3273809403181076,0.05681817978620529,0.05681817978620529,0.05681817978620529,0.3273809403181076,0.0
TVP23B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CES1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIGD1A,0.34090907871723175,0.6547618880867958,0.0,0.0,0.34090907871723175,0.34090907871723175,0.34090907871723175,0.0,0.34090907871723175
HOOK3,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.5357142612338066,0.11363635957241058,0.11363635957241058,0.0
RNGTT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOCS7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRYBA2,0.0,0.9523809552192688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GK5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C14orf132,0.0,0.0,0.7954545170068741,0.7954545170068741,0.0,0.0,0.0,0.0,0.0
VPS39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASP6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GCG,0.0,0.9707716405391693,0.16692545264959335,0.2010233923792839,0.05165288597345352,0.0,0.022522523999214172,0.37608223408460617,0.15224358439445496
LRIG3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NT5E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDE2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAB6A,0.0,0.0,0.6249999776482582,0.0,0.6249999776482582,0.6249999776482582,0.520833358168602,0.0,0.0
BCOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KLHDC8B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALG3,0.0,0.0,0.0,0.0,0.0,0.0,0.9090908765792847,0.0,0.0
COQ10B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NDUFAF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMPH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EP400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TM9SF4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MTF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIRPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCM3AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSAT1,0.7386363372206688,0.0,0.0,0.0,0.0,0.0,0.7386363372206688,0.0,0.6250000298023224
DSTYK,0.0,0.0,0.5681817978620529,0.5681817978620529,0.0,0.5681817978620529,0.0,0.5681817978620529,0.0
HCG18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOCS6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYLIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090908765792847
ATP2B1,0.0,0.22727271914482117,0.22727271914482117,0.22727271914482117,0.0,0.22727271914482117,0.22727271914482117,0.22727271914482117,0.22727271914482117
IFT81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERP27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFCP2L1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDK16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBPL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPA13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNHG12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COBLL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333730697632
LRRC57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8522726967930794,0.7291667014360428
CAPRIN1,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.0
CMBL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPTLC1,0.0,0.0,0.0,0.6818181574344635,0.6818181574344635,0.6818181574344635,0.0,0.0,0.0
KEAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAD2,0.0,0.5681817978620529,0.6854838505387306,0.7317073345184326,0.0,0.0,0.0,0.7317073345184326,0.0
ACAD9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STX6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPP1CB,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.11363635957241058,0.5059523582458496,0.11363635957241058,0.0,0.11363635957241058,0.3515624552965164
GEMIN8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TKT,0.34090909361839294,0.0,0.34090909361839294,0.0,0.34090909361839294,0.34090909361839294,0.6547618955373764,0.0,0.34090907871723175
HDAC7,0.0,0.0,0.0,0.0,0.0,0.9523809552192688,0.0,0.0,0.0
ENSG00000154874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000254635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAMD8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARPC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS3A,0.277777798473835,0.0,0.19366195797920227,0.10245900601148605,0.0,0.0,0.277777798473835,0.0,0.0
ZC2HC1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARL8B,0.0,0.0,0.34090907871723175,0.34090907871723175,0.34090907871723175,0.6547618880867958,0.34090907871723175,0.0,0.34090907871723175
PDE3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAF2,0.0,0.0,0.0,0.0,0.0,0.0,0.7291667014360428,0.0,0.7291667014360428
SLC1A5,0.0,0.0,0.0,0.0,0.0,0.7386363372206688,0.8630952388048172,0.0,0.6250000298023224
TMEM45B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC44A4,0.0,0.0,0.0,0.0,0.9090908765792847,0.0,0.0,0.0,0.0
LUC7L3,0.0,0.148809514939785,0.148809514939785,0.148809514939785,0.148809514939785,0.148809514939785,0.0,0.4233870878815651,0.0781249850988388
LRRCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNASET2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DANCR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090908765792847,0.0
DLGAP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAB3B,0.0,0.7621951401233673,0.6854838505387306,0.5681817978620529,0.0,0.0,0.0,0.6854838505387306,0.0
WFS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLE2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPWD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SEMA4C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STX12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLCD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090908765792847,0.0
USP15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPBP1,0.0,0.5113636180758476,0.5113636180758476,0.5113636180758476,0.5113636180758476,0.0,0.0,0.0,0.4166666865348816
ENSG00000186369,0.0,0.0,0.0,0.9090908765792847,0.0,0.0,0.0,0.0,0.0
RPL26,0.4464285969734192,0.030487805604934692,0.2992957830429077,0.12254901975393295,0.12254901975393295,0.0,0.3371710851788521,0.030487805604934692,0.030487805604934692
STIP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METTL17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STAT1,0.0,0.0,0.5681817978620529,0.0,0.5681817978620529,0.0,0.5681817978620529,0.5681817978620529,0.0
MPRIP,0.0,0.0,0.0,0.0,0.0,0.8928571417927742,0.7954545170068741,0.0,0.0
FAM217B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL22L1,0.0,0.0,0.0,0.0,0.0,0.0,0.8522726967930794,0.0,0.7291667014360428
GK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDCD7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MCTS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMP1,0.5681817978620529,0.0,0.0,0.0,0.5681817978620529,0.5681817978620529,0.773809514939785,0.0,0.0
YWHAZ,0.32012195885181427,0.059523805975914,0.059523805975914,0.059523805975914,0.5225410088896751,0.42892158031463623,0.32012195885181427,0.0,0.14423076808452606
BIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOP2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD15,0.0,0.9090908765792847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GGA2,0.0,0.9090908765792847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCL,0.0,0.0,0.0,0.0,0.0,0.386904738843441,0.386904738843441,0.0,0.23437495529651642
GALM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KCNK5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPL51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000189136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMSB4X,0.6315445005893707,0.119047611951828,0.0,0.24390244483947754,0.7079875469207764,0.49070246517658234,0.4393564388155937,0.0,0.34090911597013474
XRCC6,0.0,0.0,0.0,0.0,0.0,0.9090908765792847,0.0,0.0,0.0
FSTL5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM8B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POLR2E,0.0,0.0,0.0,0.0,0.0,0.9090908765792847,0.0,0.0,0.0
PLXNA2,0.0,0.0,0.0,0.0,0.0,0.9523809552192688,0.0,0.0,0.0
PTP4A2,0.47256098687648773,0.0,0.148809514939785,0.148809514939785,0.47256098687648773,0.148809514939785,0.3427419289946556,0.0,0.0781249850988388
TRUB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICAM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKIRIN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUS,0.0,0.0,0.0,0.0,0.0,0.7954545170068741,0.0,0.7954545170068741,0.0
PYGB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
