,cellular_classification,silhouette_score
D29.4_93,alpha,0.62806636
D29.4_94,beta,0.66918916
D29.5_3,alpha,0.6202746
D29.5_6,pp,0.84680367
D29.5_7,alpha,0.14261201
D29.5_8,alpha,0.59054834
D29.5_10,beta,0.5836861
D29.5_11,alpha,0.091881424
D29.5_12,beta,0.5991454
D29.5_14,beta,0.60751164
D29.5_17,alpha,0.5641354
D29.5_18,alpha,0.45465133
D29.5_19,alpha,0.5707342
D29.5_20,beta,0.5691306
D29.5_21,beta,0.4838224
D29.5_22,beta,0.5598325
D29.5_23,beta,0.44903785
D29.5_24,alpha,0.3030464
D29.5_30,beta,0.6326274
D29.5_31,alpha,0.54739505
D29.5_32,delta,0.697677
D29.5_33,alpha,0.5559046
D29.5_34,beta,0.5760568
D29.5_35,alpha,0.36864975
D29.5_36,delta,0.73919976
D29.5_37,beta,0.6353245
D29.5_39,alpha,0.5485945
D29.5_40,beta,0.5652905
D29.5_43,beta,-0.4678709
D29.5_44,alpha,0.5224648
D29.5_46,alpha,0.57234937
D29.5_47,delta,0.6983925
D29.5_48,beta,0.537064
D29.5_49,alpha,0.47698596
D29.5_51,pp,0.876808
D29.5_52,beta,0.45822567
D29.5_53,beta,0.5974619
D29.5_54,alpha,0.5718254
D29.5_55,beta,0.5555817
D29.5_56,alpha,0.4661768
D29.5_57,alpha,0.4680681
D29.5_58,beta,0.5533807
D29.5_59,alpha,0.6232928
D29.5_60,beta,0.5662799
D29.5_61,beta,0.66703635
D29.5_62,beta,0.47253364
D29.5_63,beta,0.54281247
D29.5_64,duct,0.39572477
D29.5_65,alpha,0.5255806
D29.5_66,delta,0.7574618
D29.5_67,alpha,-0.62676
D29.5_68,alpha,0.6540662
D29.5_69,beta,0.5267451
D29.5_70,beta,0.54533833
D29.5_71,alpha,0.63062346
D29.5_73,acinar,0.6106398
D29.5_75,alpha,0.3758551
D29.5_76,delta,0.7820784
D29.5_77,delta,0.80412406
D29.5_78,unclear,-0.7208856
D29.5_79,pp,0.8548963
D29.5_82,alpha,0.5260814
D29.5_83,delta,0.74685204
D29.5_86,beta,0.63741606
D29.5_87,alpha,0.6562821
D29.5_89,duct,0.3878524
D29.5_91,beta,0.5732123
D29.5_92,alpha,0.4604416
D29.6_1,alpha,0.40143108
D29.6_3,beta,0.62776
D29.6_4,pp,0.81909
D29.6_6,pp,0.855377
D29.6_8,alpha,0.5373221
D29.6_9,pp,0.87157893
D29.6_10,delta,0.7803205
D29.6_11,pp,0.86428493
D29.6_16,beta,0.61386967
D29.6_17,alpha,0.50173575
D29.6_19,alpha,0.58345634
D29.6_21,alpha,0.5639722
D29.6_22,delta,0.7718793
D29.6_24,alpha,0.56825656
D29.6_26,alpha,0.33756873
D29.6_27,alpha,0.60182214
D29.6_28,beta,0.6366848
D29.6_29,alpha,0.45602512
D29.6_30,delta,0.6278906
D29.6_32,beta,0.6282576
D29.6_33,pp,0.81701225
D29.6_34,alpha,0.46034026
D29.6_38,alpha,0.19137399
D29.6_39,beta,0.5184482
D29.6_40,alpha,0.48245993
D29.6_41,alpha,0.6132741
D29.6_42,alpha,0.4361965
D29.6_43,beta,0.62919825
D29.6_44,delta,0.7744073
D29.6_46,delta,0.78429407
D29.6_48,alpha,0.65899366
D29.6_50,beta,0.6182226
D29.6_51,alpha,0.16151288
D29.6_52,alpha,0.5766555
D29.6_53,alpha,0.5170176
D29.6_54,alpha,0.46397638
D29.6_55,pp,0.8669525
D29.6_56,beta,0.52184474
D29.6_57,alpha,0.5246462
D29.6_58,alpha,0.39667672
D29.6_59,beta,0.61242807
D29.6_60,alpha,0.5082719
D29.6_62,beta,0.636529
D29.6_63,delta,0.7197633
D29.6_64,alpha,0.45760885
D29.6_65,alpha,0.2988909
D29.6_66,delta,0.7073198
D29.6_67,beta,0.5932633
D29.6_69,alpha,0.63412285
D29.6_70,beta,0.6534868
D29.6_72,beta,0.6587477
D29.6_77,beta,0.67764914
D29.6_78,alpha,0.5899694
D29.6_79,beta,0.59425515
D29.6_80,beta,0.63155556
D29.6_82,alpha,0.63102895
D29.6_84,alpha,0.5928164
D29.6_86,alpha,0.62892324
D29.6_87,delta,0.7830863
D29.6_88,pp,0.877048
D29.6_89,alpha,0.62876564
D29.6_90,alpha,0.21281828
D29.6_91,alpha,0.088918984
D29.6_94,alpha,0.115664214
D29.7_1,alpha,0.5784532
D29.7_2,beta,0.6171539
D29.7_3,beta,0.50636095
D29.7_4,delta,0.74573594
D29.7_5,acinar,0.5766803
D29.7_6,alpha,0.5191527
D29.7_8,pp,0.80132365
D29.7_12,beta,0.55680805
D29.7_14,beta,0.5651143
D29.7_17,beta,0.62643087
D29.7_18,endothelial,0.8185329
D29.7_19,delta,0.7399448
D29.7_20,duct,0.614564
D29.7_21,delta,0.78901094
D29.7_23,unclear,-0.87431157
D29.7_25,alpha,0.529248
D29.7_28,delta,0.6884173
D29.7_30,pp,0.86338675
D29.7_31,beta,0.6012659
D29.7_32,alpha,0.45581847
D29.7_33,alpha,0.12506345
D29.7_34,pp,0.8298169
