,cellular_classification,silhouette_score
D30.3_81,beta,0.711244
D30.3_82,delta,0.8054781
D30.3_84,duct,0.21134913
D30.3_86,alpha,0.6272059
D30.3_87,delta,0.6594347
D30.3_88,alpha,0.5101953
D30.3_89,beta,0.39194208
D30.3_90,duct,0.6101427
D30.3_91,acinar,0.7274768
D30.3_92,alpha,0.53153706
D30.3_93,alpha,0.57399863
D30.3_94,endothelial,0.7962593
D30.4_1,beta,0.6380257
D30.4_2,beta,0.39851713
D30.4_3,alpha,0.4297892
D30.4_5,delta,0.7460274
D30.4_6,alpha,0.5650303
D30.4_7,duct,0.5091151
D30.4_8,beta,0.6957944
D30.4_9,beta,0.33460078
D30.4_10,mesenchymal,0.816511
D30.4_11,alpha,0.5811948
D30.4_12,alpha,0.08669002
D30.4_13,duct,0.56420654
D30.4_14,delta,0.80257326
D30.4_15,beta,0.70868427
D30.4_16,alpha,0.65292287
D30.4_17,delta,0.7817355
D30.4_18,acinar,0.6616621
D30.4_19,alpha,0.541757
D30.4_20,alpha,0.50378543
D30.4_21,alpha,0.52425694
D30.4_22,delta,0.657065
D30.4_23,alpha,-0.8497044
D30.4_24,alpha,0.20809945
D30.4_25,alpha,0.5398337
D30.4_26,delta,0.66023827
D30.4_27,duct,0.5296729
D30.4_28,delta,0.760562
D30.4_29,alpha,0.520554
D30.4_30,mesenchymal,0.8697313
D30.4_31,duct,0.56626105
D30.4_32,alpha,0.59176594
D30.4_33,beta,0.5663357
D30.4_34,beta,0.4184231
D30.4_35,mesenchymal,0.91020215
D30.4_36,alpha,0.44625834
D30.4_37,alpha,0.653256
D30.4_38,duct,0.5723956
D30.4_39,alpha,0.63402265
D30.4_40,alpha,0.5444462
D30.4_41,alpha,0.48301843
D30.4_42,duct,0.5971301
D30.4_43,alpha,0.4394847
D30.4_44,duct,0.46413472
D30.4_46,alpha,0.5311766
D30.4_47,alpha,0.5682323
D30.4_48,beta,0.69141626
D30.4_49,alpha,0.64821374
D30.4_50,alpha,0.6312001
D30.4_51,alpha,0.6078158
D30.4_52,alpha,0.6165485
D30.4_53,duct,0.50772697
D30.4_54,alpha,0.1349128
D30.4_55,mesenchymal,0.9119763
D30.4_58,duct,0.4562125
D30.4_59,delta,0.5486641
D30.4_60,alpha,0.64937216
D30.4_61,alpha,0.6037486
D30.4_62,acinar,0.7087747
D30.4_63,alpha,0.62142944
D30.4_64,mesenchymal,0.86178327
D30.4_65,duct,0.48084062
D30.4_66,alpha,0.59058684
D30.4_67,beta,0.5252897
D30.4_68,alpha,0.6202834
D30.4_69,alpha,0.5971941
D30.4_71,beta,0.63512355
D30.4_73,alpha,0.5295828
D30.4_74,alpha,0.46740484
D30.4_75,alpha,0.49098808
D30.4_76,beta,0.64688087
D30.4_77,alpha,0.43751314
D30.4_78,mesenchymal,0.8925562
D30.4_79,beta,0.64301455
D30.4_80,delta,0.5700009
D30.4_81,acinar,0.62264687
D30.4_82,acinar,0.68355495
D30.4_83,beta,0.49655712
D30.4_85,alpha,0.6398703
D30.4_86,alpha,0.60248834
D30.4_87,alpha,0.6213048
D30.4_88,alpha,0.59801185
D30.4_90,beta,0.6275365
D30.4_91,duct,0.40962425
D30.4_92,duct,0.44516122
D30.4_93,duct,0.38163352
D30.4_94,alpha,0.6597599
D30.5_3,mesenchymal,0.8870161
D30.5_4,mesenchymal,0.89023316
D30.5_5,duct,0.6205102
D30.5_7,beta,0.6934932
D30.5_8,alpha,0.4698203
D30.5_9,duct,0.50023896
D30.5_10,alpha,0.32340366
D30.5_11,delta,0.44767252
D30.5_12,delta,0.7887877
D30.5_13,alpha,0.07275419
D30.5_14,alpha,0.26180193
D30.5_15,mesenchymal,0.9094753
D30.5_17,delta,0.53919643
D30.5_18,delta,0.49888355
D30.5_20,alpha,0.34286445
D30.5_21,beta,0.579472
D30.5_22,delta,0.7157083
D30.5_23,alpha,0.5762966
D30.5_24,alpha,0.19740123
D30.5_26,alpha,0.25763527
D30.5_27,alpha,0.612542
D30.5_28,alpha,0.11799335
D30.5_29,mesenchymal,0.9075187
D30.5_31,duct,0.43794602
D30.5_32,beta,0.68259555
D30.5_33,alpha,0.24373151
D30.5_34,duct,0.3925876
D30.5_35,delta,0.79115534
D30.5_36,acinar,0.64111835
D30.5_37,alpha,0.58519197
D30.5_38,duct,0.52297944
D30.5_39,alpha,0.54415065
D30.5_40,beta,0.69862306
D30.5_41,duct,0.22107066
D30.5_42,duct,0.5213186
D30.5_43,alpha,0.39246857
D30.5_44,duct,0.6153209
D30.5_45,acinar,0.6838919
D30.5_46,duct,0.6096191
D30.5_48,alpha,0.11880109
D30.5_49,beta,0.6556034
D30.5_50,duct,0.47879615
D30.5_51,alpha,0.16482149
D30.5_53,alpha,0.5155124
D30.5_54,alpha,0.25723705
D30.5_55,alpha,0.55182123
D30.5_56,beta,0.6611246
D30.5_57,beta,0.68257815
D30.5_58,duct,0.46942094
D30.5_59,mesenchymal,0.9055919
D30.5_61,duct,0.53140897
D30.5_62,alpha,0.4986458
D30.5_63,alpha,0.45322287
D30.5_64,duct,0.4488193
D30.5_65,alpha,0.2890976
D30.5_66,alpha,0.64403397
D30.5_67,alpha,0.4656203
D30.5_69,beta,0.6581674
D30.5_70,alpha,0.6605567
D30.5_71,alpha,0.5469934
D30.5_72,mesenchymal,0.8901128
D30.5_73,alpha,0.409189
D30.5_74,pp,0.8243287
D30.5_75,alpha,0.5130119
D30.5_76,delta,0.8014388
D30.5_78,duct,0.55603296
D30.5_79,acinar,0.6954896
D30.5_80,mesenchymal,0.9054707
D30.5_81,duct,0.54796284
D30.5_82,delta,0.7642124
D30.5_83,alpha,0.20270112
D30.5_84,alpha,0.24018912
D30.5_85,delta,0.8052099
D30.5_88,alpha,0.51342785
D30.5_89,acinar,0.7409636
D30.5_90,mesenchymal,0.85259503
D30.5_91,delta,0.79136705
D30.5_92,alpha,0.6434469
D30.5_93,alpha,0.6241201
D30.5_94,alpha,0.6194776
D30.6_1,alpha,0.6009264
D30.6_2,alpha,0.62565017
D30.6_3,mesenchymal,0.86401683
D30.6_4,alpha,0.5838579
D30.6_5,acinar,0.55949205
D30.6_6,delta,0.6835306
D30.6_7,alpha,0.22987857
D30.6_9,alpha,0.08825705
D30.6_10,mesenchymal,0.9003821
D30.6_11,beta,0.3519015
D30.6_12,duct,0.5914729
D30.6_13,delta,0.7908782
D30.6_14,beta,0.673726
D30.6_15,beta,0.63579744
D30.6_16,alpha,0.48381287
D30.6_17,mesenchymal,0.9103319
D30.6_18,beta,0.63280416
D30.6_19,alpha,0.42177892
D30.6_20,duct,0.617464
D30.6_21,beta,0.6936093
D30.6_22,alpha,0.42800814
D30.6_23,mesenchymal,0.90075564
D30.6_24,alpha,0.2510777
D30.6_25,duct,0.5359101
D30.6_26,alpha,0.65363795
D30.6_27,mesenchymal,0.82898253
D30.6_28,mesenchymal,0.7893443
D30.6_30,alpha,0.6215022
D30.6_31,alpha,0.54466903
D30.6_32,alpha,0.57266504
D30.6_33,alpha,0.6321345
D30.6_34,duct,0.46732894
D30.6_35,delta,0.6062358
D30.6_36,alpha,0.48656574
D30.6_37,acinar,0.58648133
D30.6_38,beta,0.6949763
D30.6_39,alpha,0.6464342
D30.6_40,acinar,0.6838445
D30.6_41,alpha,0.4181449
D30.6_42,alpha,0.6517424
D30.6_44,acinar,0.76403975
D30.6_45,alpha,0.563244
D30.6_46,alpha,0.43806404
D30.6_47,beta,0.7020801
D30.6_48,duct,0.49707517
D30.6_49,delta,0.5727571
D30.6_50,alpha,0.6605016
D30.6_51,alpha,0.5637209
D30.6_52,duct,0.5963664
D30.6_53,delta,0.8011912
D30.6_54,beta,0.6612393
D30.6_55,alpha,0.61404055
D30.6_56,beta,0.66732013
D30.6_57,duct,0.58823675
D30.6_58,delta,0.7552422
D30.6_59,beta,0.6019841
D30.6_60,beta,0.7114704
D30.6_61,duct,0.49655405
D30.6_62,alpha,0.5121504
D30.6_63,alpha,0.43667442
D30.6_64,duct,0.53284216
D30.6_65,alpha,0.0037785405
D30.6_66,alpha,0.4411623
D30.6_67,alpha,0.548029
D30.6_68,beta,0.4255871
D30.6_69,duct,0.4747425
D30.6_70,alpha,0.41978163
D30.6_71,alpha,0.616137
D30.6_72,alpha,0.6474115
D30.6_74,alpha,0.42942208
D30.6_75,alpha,0.44290194
D30.6_76,beta,0.5515849
D30.6_77,duct,0.55115896
D30.6_78,duct,0.62497634
D30.6_79,beta,0.5221395
D30.6_80,acinar,0.5663199
D30.6_81,alpha,0.6263035
D30.6_82,alpha,0.64702374
D30.6_83,beta,0.16572468
D30.6_84,mesenchymal,0.8986267
D30.6_85,alpha,0.6327496
D30.6_86,duct,0.6050878
D30.6_87,alpha,0.47019622
D30.6_88,alpha,0.6121057
D30.6_89,alpha,0.50079715
D30.6_90,pp,0.81751513
D30.6_91,alpha,0.5091948
D30.6_92,delta,0.6524793
D30.6_93,mesenchymal,0.86970234
D30.6_94,beta,0.6831195
D30.7_1,acinar,0.7776719
D30.7_2,alpha,0.51116675
D30.7_3,beta,0.54473823
D30.7_4,beta,0.6581086
D30.7_5,alpha,0.6081668
D30.7_6,alpha,0.5660874
D30.7_7,delta,0.7980731
D30.7_8,alpha,0.5696647
D30.7_9,alpha,0.5274618
D30.7_10,alpha,0.5922115
D30.7_11,acinar,0.783036
D30.7_12,alpha,0.2752443
D30.7_13,delta,0.58243436
D30.7_14,alpha,0.5982462
D30.7_15,duct,0.43360198
D30.7_16,alpha,0.6357367
D30.7_17,duct,0.61307836
D30.7_18,alpha,0.6499547
D30.7_20,acinar,0.68225235
D30.7_21,beta,0.39347035
D30.7_22,beta,0.65381014
D30.7_23,delta,0.63684416
D30.7_24,acinar,0.6975586
D30.7_25,alpha,0.42619628
D30.7_26,alpha,0.39703515
D30.7_28,acinar,0.77246886
D30.7_29,delta,0.7848238
D30.7_30,mesenchymal,0.9086511
D30.7_31,delta,0.7944348
D30.7_32,delta,0.79427403
D30.7_33,mesenchymal,0.90108734
D30.7_35,duct,0.5205793
D30.7_36,alpha,0.50323933
D30.7_38,mesenchymal,0.90699315
D30.7_39,acinar,0.6212205
D30.7_40,alpha,0.5903896
D30.7_41,alpha,0.62955457
D30.7_42,alpha,0.41035017
D30.7_43,alpha,0.42346865
D30.7_44,beta,0.70014954
D30.7_45,alpha,0.5883425
D30.7_46,duct,0.4955301
D30.7_47,alpha,0.6284722
D30.7_48,beta,0.68945044
D30.7_49,alpha,0.6536557
D30.7_51,duct,0.4981015
D30.7_52,alpha,0.610595
D30.7_53,delta,0.613631
D30.7_54,beta,0.65577674
D30.7_55,delta,0.73414123
D30.7_56,beta,0.57344323
D30.7_57,alpha,0.6577171
D30.7_60,alpha,0.15988263
D30.7_61,alpha,0.56810343
D30.7_62,beta,0.6817852
D30.7_63,beta,0.44399217
D30.7_64,alpha,0.5464362
D30.7_65,alpha,0.4082809
D30.7_66,alpha,0.577686
D30.7_67,alpha,0.48496455
D30.7_68,alpha,0.5329337
D30.7_70,beta,0.54421157
D30.7_71,alpha,0.5383295
D30.7_72,mesenchymal,0.82968414
D30.7_73,alpha,0.57431763
D30.7_74,duct,0.22625613
D30.7_75,alpha,0.6098505
D30.7_76,beta,0.6379953
D30.7_77,alpha,0.44627285
D30.7_78,alpha,0.6172658
D30.7_79,beta,0.6488447
D30.7_80,beta,0.7123318
D30.7_81,mesenchymal,0.87065834
D30.7_82,beta,0.4935358
D30.7_83,duct,0.5591692
D30.7_84,duct,-0.008604738
D30.7_85,duct,0.5311048
D30.7_86,mesenchymal,0.8927859
D30.7_87,alpha,0.60440993
D30.7_88,duct,0.20540057
D30.7_89,delta,0.6506089
D30.7_90,endothelial,0.82277757
D30.7_91,acinar,0.7695306
D30.7_92,alpha,0.38286102
D30.7_93,alpha,0.39338002
D30.7_94,beta,0.40712103
D30.8_1,alpha,0.45936772
D30.8_2,alpha,0.56508553
D30.8_3,delta,0.7636083
D30.8_4,duct,0.5212542
D30.8_5,alpha,0.5336756
D30.8_6,beta,0.70684934
D30.8_7,alpha,0.53839916
D30.8_8,duct,0.4474722
D30.8_9,delta,0.7513448
D30.8_10,alpha,0.47759944
D30.8_11,alpha,0.56068856
D30.8_12,beta,0.68054557
D30.8_13,alpha,0.53224623
D30.8_14,beta,0.6849653
D30.8_15,mesenchymal,0.9134207
D30.8_16,beta,-0.75522
D30.8_17,beta,0.6790738
D30.8_18,mesenchymal,0.8205694
D30.8_19,alpha,0.63338614
D30.8_20,alpha,0.64287573
D30.8_21,duct,0.3607237
D30.8_22,beta,0.45721164
D30.8_23,alpha,0.5565063
D30.8_25,mesenchymal,0.90449613
D30.8_26,alpha,0.46763596
D30.8_27,beta,0.69284785
D30.8_28,alpha,0.44120142
D30.8_29,duct,0.5426283
D30.8_31,alpha,0.63940495
D30.8_32,delta,0.6214763
D30.8_33,acinar,0.6678348
D30.8_34,endothelial,0.8468386
D30.8_35,beta,0.60294735
D30.8_36,acinar,0.7133237
D30.8_37,acinar,0.62696904
D30.8_38,duct,0.54523283
D30.8_39,alpha,0.58839095
D30.8_40,delta,0.76790696
D30.8_43,alpha,0.6578498
D30.8_44,alpha,0.66097635
D30.8_45,beta,0.3970534
D30.8_46,beta,0.4407942
D30.8_47,alpha,0.39761811
D30.8_48,alpha,0.16223522
D30.8_49,beta,0.5155617
D30.8_50,mesenchymal,0.8969865
D30.8_51,beta,0.38976905
D30.8_52,alpha,0.45517975
D30.8_53,alpha,0.62892514
D30.8_54,alpha,0.640696
D30.8_55,delta,0.7174879
D30.8_57,mesenchymal,0.853919
D30.8_59,beta,0.5987633
D30.8_60,mesenchymal,0.8538518
D30.8_62,beta,0.646157
D30.8_63,acinar,0.6982309
D30.8_64,alpha,0.63325584
D30.8_65,acinar,0.69563556
D30.8_66,delta,0.43617934
D30.8_67,alpha,0.54390734
D30.8_68,beta,0.67562395
D30.8_69,acinar,0.76002437
D30.8_70,alpha,0.39188752
D30.8_71,alpha,0.51854336
D30.8_73,beta,0.7089684
D30.8_74,beta,0.6927358
D30.8_75,alpha,0.497759
D30.8_76,alpha,0.6402857
D30.8_77,alpha,0.630999
D30.8_78,alpha,0.56074643
D30.8_79,alpha,0.13948815
D30.8_80,beta,0.5952958
D30.8_81,acinar,0.66595525
D30.8_82,duct,0.62056553
D30.8_83,alpha,0.48264548
D30.8_84,acinar,0.6740668
D30.8_85,beta,0.65811807
D30.8_86,delta,0.43274778
D30.8_87,endothelial,0.83505064
D30.8_88,delta,0.7244344
D30.8_89,alpha,0.49175125
D30.8_90,alpha,0.44991148
D30.8_91,mesenchymal,0.8755909
D30.8_92,alpha,0.46883404
D30.8_93,duct,0.54307127
D30.8_94,mesenchymal,0.83504003
