,acinar,alpha,beta,delta,duct,endothelial,mesenchymal,pp,unclear
TFF1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
GOLGA2,0.1,1.1,1.1,1.1,0.1,0.1,1.1,2.1,0.1
MYH9,4.1,1.1,1.1,1.1,5.1,5.1,9.1,1.1,2.1
TRAPPC11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CAPN2,1.1,0.1,1.1,0.1,2.1,1.1,1.1,0.1,0.1
IDH3B,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
HAUS2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ZNF791,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LRRC8C,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1,0.1
CNOT2,0.1,0.1,0.1,0.1,1.1,1.1,0.1,0.1,0.1
CHLSN,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
DHX15,0.1,0.1,0.1,0.1,1.1,1.1,1.1,0.1,0.6
ASPH,2.1,2.1,2.1,1.1,1.1,0.1,3.1,1.1,1.1
POLR2C,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CSF3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
THAP11,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
KBTBD2,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1,0.1
REEP1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
DCAF5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
RGL3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MPC2,0.1,1.5999999,1.1,1.1,1.1,0.1,0.1,1.1,0.1
ARL6IP5,1.1,1.1,2.1,1.1,2.1,0.1,0.1,1.1,1.1
FAM174A,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UMPS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TERF1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PPP1R1A,0.1,4.1,3.1,1.1,0.1,0.1,0.1,0.1,0.6
IL6ST,1.1,1.1,1.1,1.1,2.1,4.1,2.1,1.1,1.1
FUT1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ISM1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MLLT3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
NISCH,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ZFAND6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TARS2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MYH14,0.1,0.1,1.1,0.1,1.1,0.1,0.1,0.1,0.1
RB1CC1,1.1,0.1,1.1,1.1,1.1,1.1,1.1,0.1,2.1
ATP6V1E1,1.1,1.1,2.1,1.1,1.1,1.1,1.1,1.1,1.1
CRIM1,0.1,0.1,0.1,0.1,1.1,1.1,0.1,0.1,0.1
CRISPLD2,0.1,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1
TMCC3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ZBTB44,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TM4SF20,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SF3B1,1.1,1.1,2.1,1.1,1.5999999,2.1,1.5999999,1.1,1.5999999
TXNIP,0.1,0.1,0.1,0.1,1.1,0.1,0.1,0.1,0.6
TAF6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
THBD,0.1,0.1,0.1,0.1,0.1,2.1,0.1,0.1,0.1
ITSN2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TOB2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
ITFG1,0.1,1.1,1.1,0.1,1.1,0.1,0.1,1.1,0.1
WDR36,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TUBB1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CLIP1,1.1,0.1,1.1,0.1,1.1,0.1,1.1,0.1,0.6
ENAH,1.1,0.1,0.1,0.1,1.1,0.1,2.1,0.1,0.6
ACTB,9.1,5.1,7.1,6.1,15.1,13.1,16.6,5.1,6.6000004
TGFBI,0.1,0.1,0.1,0.1,0.1,0.1,2.1,0.1,0.1
ZNHIT1,0.1,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1
CTSD,1.1,0.1,0.1,0.1,2.1,0.1,0.1,0.1,0.1
SECISBP2L,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PRSS23,0.1,0.1,1.5999999,1.1,1.1,10.1,0.1,1.1,0.1
LYRM2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SLC6A6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MAFF,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
IL32,2.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
CDK5RAP2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CAMSAP1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SYT11,0.1,1.1,1.1,1.1,0.1,0.1,0.1,1.1,0.1
CACNA1A,0.1,1.1,0.1,0.1,0.1,0.1,0.1,2.1,0.1
SMIM3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
VMA21,0.1,0.1,1.1,1.1,0.1,0.1,0.1,0.1,0.1
GNA12,0.1,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1
PSMD2,0.1,0.1,0.1,0.1,1.1,1.1,1.1,0.1,0.1
SNW1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SLC26A9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TMEM167B,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
KCNQ1,1.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SETBP1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ARNT2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
GNAI1,0.1,1.1,0.1,1.1,0.1,0.1,0.1,1.1,0.1
TMSB10,1.1,0.1,0.1,0.1,3.1,5.1,2.6,0.1,1.1
PLCB4,0.1,0.1,1.1,0.1,0.1,0.1,0.1,0.1,0.1
RFC1,1.1,0.1,1.1,0.1,0.1,0.1,0.1,0.1,0.1
SPP1,0.1,0.1,0.1,0.1,14.1,0.1,0.1,0.1,0.1
XBP1,6.1,1.1,1.1,1.1,1.1,0.1,1.1,1.1,1.5999999
DCAF10,0.1,0.1,1.1,0.1,0.1,0.1,1.1,0.1,0.1
CCNT1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ZSCAN31,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LAPTM5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ZDHHC5,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1,0.1
C4BPB,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
LGALS9,0.1,0.1,0.1,0.1,1.1,0.1,0.1,0.1,0.1
PRG4,0.1,0.1,0.1,3.1,0.1,0.1,0.1,0.1,0.1
MAP2K1,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1,0.6
UBE2A,0.1,0.1,0.1,0.1,0.1,1.1,1.1,0.1,0.6
NFIB,1.1,0.1,0.1,0.1,2.1,2.1,0.1,0.1,0.1
NDFIP1,1.1,2.1,2.1,2.1,1.1,1.1,1.1,2.1,0.6
TVP23B,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UBP1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CES1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
HIGD1A,1.1,2.1,0.1,0.1,1.1,1.1,1.1,0.1,1.1
HOOK3,1.1,1.1,1.1,1.1,1.1,2.1,1.1,1.1,0.1
RNGTT,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SOCS7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CRYBA2,0.1,2.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
GK5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
C14orf132,0.1,0.1,1.1,1.1,0.1,0.1,0.1,0.1,0.1
VPS39,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CASP6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
GCG,10.1,493.1,16.1,17.1,12.1,10.1,11.1,23.1,15.6
LRIG3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
NT5E,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SDE2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
RAB6A,0.1,0.1,1.1,0.1,1.1,1.1,0.6,0.1,0.1
BCOR,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
KLHDC8B,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHN1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ALG3,0.1,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1
COQ10B,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
NDUFAF2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ESRP1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
AMPH,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
EP400,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TM9SF4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MTF1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SIRPA,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
GOPC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MCM3AP,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PSAT1,1.1,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.6
DSTYK,0.1,0.1,1.1,1.1,0.1,1.1,0.1,1.1,0.1
HCG18,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SOCS6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MYLIP,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1
ATP2B1,0.1,1.1,1.1,1.1,0.1,1.1,1.1,1.1,1.1
IFT81,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ERP27,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TFCP2L1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CXCL5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CDK16,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TBPL1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
HSPA13,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SNHG12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
COBLL1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
LRRC57,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1,0.6
CAPRIN1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,0.1
CMBL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SPTLC1,0.1,0.1,0.1,1.1,1.1,1.1,0.1,0.1,0.1
KEAP1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
GAD2,0.1,1.1,3.1,4.1,0.1,0.1,0.1,4.1,0.1
ACAD9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
STX6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PPP1CB,1.1,1.1,1.1,1.1,2.1,1.1,0.1,1.1,1.5999999
GEMIN8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TKT,1.1,0.1,1.1,0.1,1.1,1.1,2.1,0.1,1.0999999
HDAC7,0.1,0.1,0.1,0.1,0.1,2.1,0.1,0.1,0.1
ENSG00000154874,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000254635,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
SAMD8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ARPC4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ME2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
RPS3A,8.1,5.1,7.1,6.1,5.1,5.1,8.1,5.1,5.1
ZC2HC1A,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ARL8B,0.1,0.1,1.1,1.1,1.1,2.1,1.1,0.1,1.1
PDE3A,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FAF2,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.6
SLC1A5,0.1,0.1,0.1,0.1,0.1,1.1,2.1,0.1,0.6
TMEM45B,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SLC44A4,0.1,0.1,0.1,0.1,1.1,0.1,0.1,0.1,0.1
LUC7L3,1.1,2.1,2.1,2.1,2.1,2.1,1.1,3.1,1.5999999
LRRCC1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
RNASET2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
DANCR,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1,0.1
DLGAP5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
RAB3B,0.1,4.1,3.1,1.1,0.1,0.1,0.1,3.1,0.1
WFS1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CTRL,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TLE2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PPWD1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SEMA4C,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
STX12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TLCD2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1,0.1
USP15,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
GPBP1,0.1,1.1,1.1,1.1,1.1,0.1,0.1,0.1,0.6
ENSG00000186369,0.1,0.1,0.1,1.1,0.1,0.1,0.1,0.1,0.1
RPL26,9.1,4.1,7.1,5.1,5.1,3.1,7.6000004,4.1,4.1
STIP1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
METTL17,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
STAT1,0.1,0.1,1.1,0.1,1.1,0.1,1.1,1.1,0.1
MPRIP,0.1,0.1,0.1,0.1,0.1,2.1,1.1,0.1,0.1
FAM217B,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
RPL22L1,0.1,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.6
GK,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PDCD7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
EMB,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MCTS1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
VMP1,1.1,0.1,0.1,0.1,1.1,1.1,2.1,0.1,0.1
YWHAZ,4.1,2.1,2.1,2.1,6.1,5.1,4.1,1.1,2.6
BIK,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TOP2A,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ABHD15,0.1,1.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
GGA2,0.1,1.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
NCL,1.1,1.1,1.1,1.1,1.1,2.1,2.1,1.1,1.5999999
GALM,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
KCNK5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MRPL51,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000189136,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TMSB4X,19.1,2.1,1.1,4.1,24.1,12.1,10.1,1.1,6.6000004
XRCC6,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1,0.1
FSTL5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
TMEM8B,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
POLR2E,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1,0.1
PLXNA2,0.1,0.1,0.1,0.1,0.1,2.1,0.1,0.1,0.1
PTP4A2,4.1,1.1,2.1,2.1,4.1,2.1,3.1,1.1,1.5999999
TRUB1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
GLRB,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ICAM1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
AKIRIN2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
FUS,0.1,0.1,0.1,0.1,0.1,1.1,0.1,1.1,0.1
PYGB,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
BOD1L1,0.1,0.1,1.1,0.1,1.1,1.1,1.1,0.1,0.6
PDIA4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CCT6A,1.1,1.1,1.1,1.1,2.1,2.1,2.1,1.1,1.1
CD200,0.1,1.1,1.1,1.1,0.1,1.1,0.1,1.1,0.1
SYVN1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SNTB2,0.1,0.1,0.1,0.1,0.1,2.1,0.1,0.1,0.1
ACBD3,0.1,0.1,1.1,1.1,1.1,0.1,1.1,1.1,1.1
SESN2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1
DAPL1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
BCHE,0.1,0.1,0.1,1.1,0.1,0.1,0.1,0.1,0.1
S100A11,4.1,0.1,0.1,1.1,7.1,2.1,4.1,1.1,1.5999999
NPTN,1.1,2.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1
TRAM2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
SMC2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
HAPSTR1,0.1,0.1,0.6,0.1,0.1,0.1,1.1,0.1,0.1
MAVS,0.1,0.1,0.1,0.1,1.1,0.1,0.1,1.1,0.1
PGAM1,1.1,2.1,3.1,2.1,2.1,2.1,4.1,1.1,1.1
TCF20,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MEST,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
GYPC,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CD69,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
RAB1B,0.1,0.1,0.1,0.1,0.1,1.1,0.1,1.1,0.1
SMARCC2,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1,0.1
MAGI2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
PSG5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
RPS15,1.1,1.1,1.1,1.1,1.1,1.1,1.1,2.1,0.1
SFRP2,0.1,0.1,0.1,0.1,0.1,0.1,7.1,0.1,0.1
FABP5,0.1,1.1,0.1,0.1,0.1,4.1,0.1,1.1,0.1
PEPD,0.1,0.1,1.1,1.1,1.1,1.1,0.1,0.1,0.6
CYP1B1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
MTHFD2,0.1,0.1,0.1,0.1,0.1,0.1,1.1,0.1,1.1
DDX18,0.1,0.1,0.1,0.1,0.1,1.1,1.1,0.1,1.1
BACE2,3.1,0.1,0.1,0.1,3.1,1.1,0.1,0.1,0.1
PGR,0.1,1.1,0.1,0.1,0.1,0.1,0.1,1.5999999,0.1
CD63,6.1,6.1,4.1,4.1,7.1,5.1,7.1,3.1,5.1
AKAP11,0.1,1.1,1.1,1.1,0.1,0.1,1.1,1.1,0.1
IPO5,0.1,0.1,0.1,0.1,0.1,1.1,1.1,0.1,0.1
ENSG00000239911,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
OTUD5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
GCLM,0.1,1.1,1.1,1.1,1.1,0.1,1.1,1.1,0.6
UFC1,1.1,0.1,0.1,0.1,1.1,1.1,0.1,0.1,0.1
TPPP3,0.1,0.1,0.1,2.1,0.1,0.1,0.1,0.1,0.1
HSDL1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
CHD5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
YES1,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.1,0.1
PACSIN2,1.1,0.1,0.1,0.1,1.1,0.1,0.1,0.1,0.6
XRN1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1,1.1
SLC30A8,0.1,9.1,11.1,4.1,0.1,0.1,0.1,4.1,0.6
