,Endothelial1,Endothelial2,Fibroblast,Lymphocyte,Macrophage,Microvasculature,Smooth Muscle,Uncharacterized
ENSG00000078618,0.2856139,0.50685734,0.45619094,0.0,0.48017168,0.3379035,0.32934785,0.48337796
ENSG00000117862,0.43883395,0.48780248,0.36525282,0.0,0.56006885,0.0,0.0,0.0
ENSG00000134717,0.31560266,0.0,0.45809403,0.0,0.61823606,0.5310602,0.46949047,0.46123344
ENSG00000134744,0.28695062,0.6040598,0.0,0.0,0.0,0.0,0.2532791,0.47633687
ENSG00000121310,0.0,0.0,0.38849956,0.0,0.0,0.0,0.0,0.269369
ENSG00000116171,0.8547961,0.9222418,0.96988606,0.5780102,0.881765,0.801194,0.84048027,1.0134181
ENSG00000174348,0.0,0.0,1.3167255,0.0,0.0,0.0,0.0,0.7490319
ENSG00000162384,0.447563,0.45403087,0.516544,0.0,0.0,0.6292465,0.633427,0.48416546
ENSG00000162385,0.5730656,0.54045886,0.46335456,0.0,0.5354198,0.5416745,0.48707566,0.37117603
ENSG00000081870,0.0,0.0,0.0,0.0,0.29194558,0.36046088,0.25911182,0.45447168
ENSG00000116209,1.3555408,1.6037027,1.7151107,1.2014911,1.2235143,1.4430907,1.6088995,1.6096779
ENSG00000157216,0.0,0.0,0.0,0.0,0.0,0.0,0.33783203,0.0
ENSG00000162407,0.0,0.51813084,0.7596805,0.0,0.0,0.32478523,0.0,0.69327223
ENSG00000177606,1.4273216,1.0506214,1.3539351,2.259394,2.0147607,1.9135506,0.6337382,1.6164345
ENSG00000162599,0.9041321,1.5337877,1.3788881,0.0,0.0,0.7403368,1.1260289,1.043381
ENSG00000162604,0.0,0.52815306,0.4797607,0.0,0.0,0.3969766,0.4720927,0.47772834
ENSG00000162607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44153532
ENSG00000162434,1.0509137,0.7952826,0.9875584,0.8261255,0.78655326,1.0413208,0.60259664,0.654429
ENSG00000213625,1.3333793,1.5569221,1.3948487,0.0,0.8079212,1.4031177,1.3393004,1.271466
ENSG00000116678,0.0,0.94906014,0.48291385,0.0,0.0,0.0,0.0,0.0
ENSG00000198160,0.5365969,0.68106985,0.6242132,0.0,0.38695437,0.5577419,0.59927547,0.49677813
ENSG00000142864,1.6800754,1.50835,1.2366911,1.0954227,1.2139761,1.2773516,1.2646143,1.2259822
ENSG00000116717,0.3371001,0.0,0.3732801,0.0,0.0,0.51519823,0.9389634,0.52292496
ENSG00000172380,0.45640266,0.69727254,0.7231542,0.0,0.0,0.57682204,0.72927,0.5027966
ENSG00000116729,0.0,0.5836918,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000116754,1.0456402,1.077596,1.0821326,1.0394535,0.8143834,0.9447629,0.8660518,1.0336349
ENSG00000132485,0.5410144,0.8899164,0.7657541,0.0,0.32986918,0.55075663,0.783182,0.5708125
ENSG00000172260,0.0,0.0,0.74340445,0.0,0.0,0.0,0.0,0.4780542
ENSG00000162623,0.0,0.0,0.22871482,0.0,0.0,0.28644568,0.2784801,0.0
ENSG00000117054,0.0,0.0,0.0,0.0,0.0,0.0,0.29640293,0.43073446
ENSG00000137955,0.0,0.0,0.0,0.0,0.33787912,0.0,0.0,0.0
ENSG00000142892,0.0,0.0,0.0,0.0,0.0,0.0,0.3327322,0.0
ENSG00000077254,0.0,0.0,0.3412314,0.0,0.0,0.0,0.0,0.0
ENSG00000162614,0.0,0.0,0.99227375,0.0,0.0,1.8522351,2.0829408,0.52376556
ENSG00000162616,0.46773487,0.8702635,0.0,0.0,0.0,0.656072,0.40561935,0.0
ENSG00000137960,0.0,0.3974298,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137959,0.0,0.58903384,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137965,0.0,0.0,0.0,0.0,0.35397622,0.0,0.0,0.0
ENSG00000162618,1.6637348,0.6885294,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137941,0.0,0.0,0.0,0.0,0.0,0.621409,0.8473741,0.0
ENSG00000142875,0.0,0.0,0.0,0.0,0.31206736,0.0,0.0,0.0
