,Best4+ Enterocytes,CD4+ Activated Fos-hi,CD4+ Activated Fos-lo,CD4+ Memory,CD4+ PD1+,CD69+ Mast,CD69- Mast,CD8+ IELs,CD8+ IL17+,CD8+ LP,Cycling B,Cycling T,Cycling TA,DC2,Enterocyte Progenitors,Enterocytes,Enteroendocrine,Follicular,GC,Goblet,Immature Enterocytes 1,Immature Enterocytes 2,Immature Goblet,M cells,MT-hi,Macrophages,NKs,Plasma,Secretory TA,Stem,TA 1,TA 2,Tregs,Tuft
ENSG00000051523,1.2582603,1.6096573,1.8164086,0.0,0.80414605,0.53880084,1.440968,1.9075273,1.7499162,1.7832294,1.4068918,1.7932755,1.706902,2.2946334,1.2286348,0.39559036,1.2826614,1.9744836,2.0979223,0.0,0.0,1.0424967,0.97286355,1.7713931,1.4227755,2.118441,1.9793527,1.9130455,1.5071831,1.2767656,1.1296641,1.6448948,1.3408163,1.2565246
ENSG00000052344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7074221,0.0,0.0,0.0,0.0,0.2843671,0.32697475,0.0,0.19802104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000053371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35392615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34949747,0.0,0.0,0.0,0.0,0.29761013,0.18910402,0.0,0.37098438,0.0,0.0
ENSG00000054118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5220808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000054148,0.48279008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7982698,0.749825,0.43008512,0.0,0.0,0.6113341,0.0,0.0,0.0,0.0,0.4998897,0.0,0.739525,0.0,0.0,0.0,0.0,0.70386326,0.58359545,0.0,0.7168042,0.0,0.0
ENSG00000055044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3311592,0.0
ENSG00000057608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571733,0.0,1.0230563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33184803,0.0,0.0,0.0,0.0
ENSG00000059728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4233191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000060762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19332516,0.38642633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42350805,0.0,0.0,0.0,0.0,0.0,0.0,0.1609612,0.0,0.0,0.3564748,0.0,0.0
ENSG00000060971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43793276,0.0,0.0,0.0,0.0,0.0,0.54903287,0.0,0.19708592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000061794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25330612,0.0,0.0,0.0,0.0
ENSG00000063046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27736017,0.0,0.0,0.0,0.0
ENSG00000063177,1.876485,2.5706189,2.5400107,2.6614616,2.8526096,2.0375454,1.9320354,2.2777333,2.2695286,2.3083882,2.1021671,2.1416712,2.5544698,2.0792143,1.636564,1.2591037,2.464685,2.6400223,2.15079,1.1896873,1.0491917,1.4605422,2.475371,2.4359074,1.7004055,1.695307,2.4198952,1.8638246,2.692696,2.7202568,1.9087259,2.4669027,2.5653083,1.9641552
ENSG00000063241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39653933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18994021,0.0,0.0,0.0,0.0,0.39854515,0.34076998,0.0,0.33985895,0.0,0.0
