,B mem,B mem exhausted,Basal 1,Basal 1 KHDRBS2+,Basal 2,Ciliated 1,Ciliated 2,Club,Cycling basal,Cycling hillock,Deuterosomal,Duct,Goblet 1,Goblet 2 BPIFA2+,Goblet 2 PLAU+,Goblet 2 inflammatory,Hillock,Ionocyte,LC,MAIT,Mac,Mast,Mono IL6+,Secretory,Secretory GALNT4+,Squamous,T CD8 mem 1,T CD8 mem 2,T naive,Transit epi 1,Transit epi 2,pDC
ENSG00000143537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2353976,0.0,0.0,0.45578307,0.7303401,0.81715333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000042980,0.0,0.0,0.0,1.3110735,0.8774817,0.0,0.0,0.61566854,0.981171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5265473,1.8728898,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50040245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160710,0.0,1.1016324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5181939,0.0,0.0,0.0,0.0,0.540867,0.0,0.0,0.0,0.0,0.0,1.2339752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000118492,0.0,0.0,0.0,0.0,0.0,0.0,1.083437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000127507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6067107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000123146,0.0,1.2612853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80036414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000153292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92743474,1.0104501,0.9160572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9171791,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000069122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1523986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000248144,0.0,0.0,1.4843012,1.3706999,1.5383971,0.38909227,0.0,2.1996315,0.15846054,0.0,1.6878483,2.0668747,2.3990588,2.3278723,1.5452124,2.7437673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5333762,1.4319828,0.0,0.0,0.0,0.0,2.2879634,2.1242335,0.0
