,Activated CD4 T,Activated CD8 T,Adult Glia,BEST2+ Goblet cell,BEST4+ epithelial,CD8 Tmem,CX3CR1+ CD8 Tmem,Colonocyte,Contractile pericyte (PLN+),Cycling B cell,D cells (SST+),EC cells (TAC1+),EECs,Enterocyte,Goblet cell,I cells (CCK+),ILC3,IgA plasma cell,IgG plasma cell,L cells (PYY+),LEC1 (ACKR4+),LEC3 (ADGRG3+),LEC4 (STAB2+),LEC5 (CLDN11+),LEC6 (ADAMTS4+),LYVE1+ Macrophage,Lymphoid DC,MAIT cell,Macrophages,Mast cell,Mature arterial EC,Mature venous EC,Memory B,Mesothelium (PRG4+),Microfold cell,Monocytes,N cells (NTS+),NK cell,Naive B,Paneth,Pericyte,SELL+ CD4 T,SELL+ CD8 T,Stem cells,Stromal 1 (ADAMDEC1+),Stromal 1 (CCL11+),Stromal 2 (NPY+),Stromal 3 (C7+),T reticular,TA,TRGV2 gdT,TRGV4 gdT,TRGV5/7 gdT,Th17,Transitional Stromal 3 (C3+),Treg,Tuft,arterial capillary,cDC1,cDC2,cycling EC,gdT,mLN Stroma (FMO2+),myofibroblast,myofibroblast (RSPO2+),venous capillary
TNFRSF14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96872965831023,0.0,0.0,0.0,0.0,0.9606585841912489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642492936207698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CEP104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1orf174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPHP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL22,0.3323611241120559,0.18929989979817316,0.04336120715508094,0.11213516272031344,0.03705517787199754,0.16547329976008487,0.14407824277877807,0.039887000047243555,0.0731634470132681,0.18273678651222816,0.049645367952493524,0.06681142586928147,0.034176537623772256,0.06458501999194806,0.11408546337714562,0.059611964225769046,0.1480058504984929,0.03846293871219342,0.04240583181381226,0.09268422860365648,0.18889213892129753,0.16414779791465173,0.0,0.13715137151571422,0.13282058238983155,0.10804879115178034,0.10679215926390428,0.20645425503070539,0.09662621112970206,0.15653216930536124,0.06997392269281241,0.11457749330080473,0.26080873471039995,0.2545589758799626,0.106951314669389,0.10163720020881066,0.03076923076923077,0.10335712707959689,0.28815447183755727,0.08632941246032715,0.05967657290972196,0.3579217268870427,0.3555596159054683,0.19055738173998318,0.09783382140673123,0.1509735189951383,0.07820988985208364,0.09594198648746197,0.17213280017559346,0.07602503299713134,0.1174270354784452,0.17388305205565233,0.23428545273267307,0.13272292063786434,0.10591872013532198,0.28609033181117133,0.0,0.07366122832665077,0.1572856563788194,0.20102954919521626,0.12668102704561673,0.15348104788706854,0.14024243171398457,0.07921459949933565,0.11373574091837957,0.07198694119086632
TNFRSF25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
THAP3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAMTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9349815918849065,0.0,0.9230769230769231,0.9345221913777865,0.0,0.0,0.0,0.0,0.9418039037631109,0.0,0.0,0.0,0.9482734909424415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9578387132057777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARK7,0.0,0.6250433243238009,0.0,0.0,0.0,0.6557363959459158,0.6471889853477478,0.0,0.0,0.6406706580748924,0.6713524112334618,0.6,0.0,0.0,0.0,0.6609482242510869,0.0,0.0,0.0,0.6247592577567467,0.0,0.0,0.0,0.6544359408892118,0.6173208355903625,0.0,0.6835843939047593,0.6784127336281996,0.0,0.0,0.0,0.0,0.0,0.6387493014335632,0.0,0.0,0.6061047086348901,0.0,0.0,0.0,0.0,0.0,0.6177957608149602,0.6151439144061162,0.0,0.6421546807655921,0.0,0.6422681093215943,0.6898233239467327,0.0,0.6403497310785147,0.6466919037011953,0.6504252626345708,0.0,0.6190522707425631,0.6481558396266057,0.0,0.0,0.0,0.0,0.0,0.640361503454355,0.6178457269301781,0.0,0.6537279871793894,0.0
ENSG00000284716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
