,Aberrant erythroid,CD11c+ memory B cells,CD4+ cytotoxic T cells,CD4+ memory T cells,CD4+ naive T cells,CD56brightCD16- NK cells,CD56dimCD16+ NK cells,CD69+PD-1+ memory CD4+ T cells,CD8+ central memory T cells,CD8+ effector memory T cells,CD8+ naive T cells,CD8+CD103+ tissue resident memory T cells,Class switched memory B cells,Classical Monocytes,Conventional dendritic cell 1,Conventional dendritic cell 2,Early erythroid progenitor,Early promyelocytes,Eosinophil-basophil-mast cell progenitors,Erythro-myeloid progenitors,GammaDelta T cells,HSCs & MPPs,Immature B cells,Late erythroid progenitor,Late promyelocytes,Lymphomyeloid prog,Mature naive B cells,Megakaryocyte progenitors,Mesenchymal cells_1,Myelocytes,NK T cells,NK cell progenitors,Non-classical monocytes,Nonswitched memory B cells,Plasma cells,Plasmacytoid dendritic cell progenitors,Plasmacytoid dendritic cells,Pre-B cells,Pre-pro-B cells,Pro-B cells
TMPO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.9446496780102069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9258002975048163,0.0,0.9524320012483841,0.0,0.0
TMSB10,0.0,0.0405459388708457,0.12285513908435138,0.13398999128586206,0.1563413265423897,0.06586993199128371,0.0921913370107993,0.06527003569480701,0.05147129144424047,0.1188439925511678,0.12459331292372483,0.08740985546356593,0.057711382706960045,0.04891586150878515,0.12971218274189875,0.12173279126485188,0.04378731281329424,0.028251707553863525,0.02074116315597143,0.023335079352060955,0.08644649157157311,0.01794731922638722,0.11740657457938561,0.01599685198221451,0.07210999268751878,0.019848387974959154,0.07483161412752591,0.017872778268960807,0.08657455291503514,0.0622632472943037,0.051826863716810175,0.026042990195445526,0.07253294113354805,0.054020583629608154,0.014522827588594876,0.07728115870402409,0.062020243742527105,0.0659179993164845,0.09086960706955348,0.0678021816106943
TMSB4X,0.0,0.09418177604675293,0.14432212786796766,0.12640835688664362,0.12489159137774737,0.10478743528708434,0.12890060131366438,0.14393336344987917,0.12666557996700972,0.1349629316574488,0.10446721009719066,0.12566854709233993,0.06998530412331605,0.07866706450780232,0.08430118591357501,0.10333649928753193,0.015065032702225905,0.03026964572759775,0.03314955876423763,0.03005760296797141,0.12452715788132106,0.02661282893938896,0.05269183256687262,0.006197773493253267,0.07624227725542508,0.02929218915792612,0.07060796633744851,0.051442720951178134,0.0848193306189317,0.07498805798017062,0.13695291983775604,0.05645609818972074,0.12722750657644027,0.065080952950013,0.02025421766134409,0.06343436088317479,0.06744090716044109,0.07004216236945911,0.08832124104866615,0.08244576209630722
TOP2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9246532290409772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9329900863843087,0.0,0.9603011180192996,0.0,0.9230769230769231
TPX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.949066773439065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9410921656168424,0.0,0.9662357522891118,0.0,0.0
ENSG00000277734,0.0,0.0,0.7781156576596774,0.7887454201013614,0.7776576662674929,0.0,0.0,0.8111809522677691,0.788210697663136,0.7819086894010886,0.7881807837730799,0.788196128148299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7729146144328973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000211829,0.0,0.0,0.0,0.0,0.0,0.906121198947613,0.9051428513649182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9151536577787155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9143291803506705,0.8974358974358975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000227191,0.0,0.0,0.7999097766020359,0.0,0.0,0.7941457812602704,0.7864135809433765,0.7753648299437302,0.8045305273471735,0.8059801168930836,0.0,0.7815745167243175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8346454485868796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8350110145715567,0.7692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC22D1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8095751389479026,0.7692307692307693,0.775283538378202,0.8026152971463326,0.0,0.804638880949754,0.0,0.7894568061217283,0.0,0.7855043900318635,0.0,0.7761021516261957,0.8448631916290674,0.0,0.0,0.8052867085505755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUBA1B,0.0,0.008499364058176676,0.05713769564261803,0.050343646452977106,0.07127514405128284,0.01723801784026317,0.027926529065156594,0.02961067205820328,0.010509524589929825,0.061190710617945746,0.008569492743565487,0.029135881326137446,0.014819684701088147,0.007764110198387733,0.3061841160823137,0.15437816962217674,0.23736265225288194,0.2211601122831687,0.1823134055504432,0.07713332695838733,0.034569231363443226,0.11961481968561809,0.00964057445526123,0.33473530182471645,0.22321301393019846,0.3084268218431717,0.008563642318432148,0.25761229258317214,0.23306597501803666,0.020583146657699194,0.02498930845505152,0.050273837187351324,0.12705914485148895,0.021296826692727897,0.044797371595333785,0.37283540077698535,0.16280661943631294,0.43685349134298473,0.1053478351006141,0.3846790805841104
