,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),Dendritic cell,Endothelial cell,Endothelial cell (APC),Enterocyte progenitor,Erythroid progenitor cell (RP high),Goblet cell,Macrophage,Mast cell,Monocyte,Neutrophil,Sinusoidal endothelial cell,Smooth muscle cell,T cell
CHCHD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2053306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SELENOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1065965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL36,3.2948744,3.2973788,2.7176223,3.3151019,3.1493726,3.1903384,3.0553637,3.9421415,3.0053785,2.5957737,1.4272748,3.10761,2.1502078,3.1764739,3.0145464,3.3125494
EEF1A1,3.3758314,3.234365,2.4931047,3.2066689,3.2414207,3.1496215,2.9218986,3.9404817,3.0774934,0.0,3.0374813,3.2414207,2.8495548,0.0,0.0,3.2824523
TMBIM4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8079755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCGR3A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2152367,0.0,0.0,0.0,0.0,0.0,0.0
JUN,0.0,0.0,0.0,0.0,0.0,2.270595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPS21,2.8971977,3.0874224,0.0,2.9352024,0.0,0.0,2.9218986,3.5958786,2.8079755,0.0,2.9749968,2.472983,0.0,2.2631438,0.0,3.0621524
RPL28,3.0145464,2.9020646,0.0,2.9028788,2.7189443,0.0,1.6010664,3.2449024,2.7369895,0.0,3.3094049,2.9201388,0.0,0.0,0.0,3.0492973
ID3,0.0,0.0,0.0,0.0,3.1158116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSME2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0113676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
