,author_cell_type_final,silhouette_score
IDA008_S2_cell_7,Basal cells,0.6692484632590204
IDA008_S2_cell_8,Club cells,0.3646788844768845
IDA008_S2_cell_9,Basal cells,0.687687298512521
IDA008_S2_cell_10,Basal cells,0.3686663623186136
IDA008_S2_cell_11,Basal cells,0.6768530970713995
IDA008_S2_cell_12,Basal II cells,0.7052282469916419
IDA008_S2_cell_15,Basal cells,0.6750297685439843
IDA008_S2_cell_16,Basal cells,0.6631779818350616
IDA008_S2_cell_17,Basal cells,0.6681760399288088
IDA008_S2_cell_18,Basal cells,0.5632753308517606
IDA008_S2_cell_19,Basal cells,0.6613054707471884
IDA008_S2_cell_21,Basal II cells,0.4257568623516148
IDA008_S2_cell_22,Basal cells,0.6795238669881875
IDA008_S2_cell_23,Basal cells,0.6808047896257763
IDA008_S2_cell_24,Basal cells,0.5440784161278035
IDA008_S2_cell_25,Basal cells,0.623214469047467
IDA008_S2_cell_26,Basal cells,0.6865419525606655
IDA008_S2_cell_28,Basal cells,0.64558832678217
IDA008_S2_cell_29,Basal cells,0.676435951504746
IDA008_S2_cell_30,Basal cells,0.5779701229291522
IDA008_S2_cell_31,Basal cells,0.6604540097144886
IDA008_S2_cell_32,Basal II cells,0.21057482312935405
IDA008_S2_cell_34,Basal cells,0.6769070679650235
IDA008_S2_cell_35,Basal cells,0.6883956125283566
IDA008_S2_cell_36,Basal cells,0.6637632944918409
IDA008_S2_cell_37,Basal cells,0.6917993065880351
IDA008_S2_cell_38,Basal II cells,0.7116912740300823
IDA008_S2_cell_40,Basal cells,0.687876574156581
IDA008_S2_cell_41,Club cells,0.7056581967870605
IDA008_S2_cell_42,Basal cells,0.6580359985202604
IDA008_S2_cell_43,Basal cells,0.2840140113312849
IDA008_S2_cell_44,T cells,0.7068039904578233
IDA008_S2_cell_45,Basal II cells,0.0341634798491145
IDA008_S2_cell_46,Basal cells,0.6769844704811229
IDA008_S2_cell_47,Basal cells,0.6883089114783983
IDA008_S2_cell_48,Basal cells,0.6656251052662688
IDA008_S2_cell_49,Ciliated cells,0.9449851020490013
IDA008_S2_cell_50,Ciliated cells,0.9595956965050672
IDA008_S2_cell_51,Basal II cells,0.6728905588045127
IDA008_S2_cell_52,Basal cells,0.39085026233265446
IDA008_S2_cell_53,Basal cells,0.530245225698304
IDA008_S2_cell_56,Club cells,0.7136522102089163
IDA008_S2_cell_57,Basal II cells,0.5601296795889549
IDA008_S2_cell_58,Basal II cells,0.38388484582876775
IDA008_S2_cell_60,Goblet cells,-0.06770138179927498
IDA008_S2_cell_61,Basal cells,0.679969097541532
IDA008_S2_cell_62,Club cells,0.5763205541490141
IDA008_S2_cell_63,Club cells,0.7076953606550301
IDA008_S2_cell_64,Basal cells,0.6885997766444659
IDA008_S2_cell_65,T cells,0.6736247594306415
IDA008_S2_cell_66,Neutrophils & macrophages,0.8359524301932078
IDA008_S2_cell_67,Basal cells,0.6519997014000556
IDA008_S2_cell_68,Basal II cells,0.6721679737746983
IDA008_S2_cell_70,Basal cells,0.6906367080032919
IDA008_S2_cell_72,T cells,0.6308698941840967
IDA008_S2_cell_73,Basal cells,0.6833327726225611
IDA008_S2_cell_74,Basal II cells,0.6762204723719338
IDA008_S2_cell_75,Basal II cells,0.7204494094200178
IDA008_S2_cell_76,Ciliated cells,0.9622353869210187
IDA008_S2_cell_77,Basal cells,0.6821788436676299
IDA008_S2_cell_79,Basal cells,0.6561861708125403
IDA008_S2_cell_80,Basal cells,0.6896665987862531
IDA008_S2_cell_81,Basal cells,0.6636698724378739
IDA008_S2_cell_82,Basal cells,0.6628219593010836
IDA008_S2_cell_83,Club cells,0.21373082508038907
IDA008_S2_cell_84,Basal cells,0.6913145773135709
IDA008_S2_cell_87,Basal cells,0.685819072857663
IDA008_S2_cell_88,Basal cells,0.6805802152098871
IDA008_S2_cell_89,Goblet cells,0.1482470392502955
IDA008_S2_cell_91,Basal cells,0.5865019350107777
IDA008_S2_cell_92,Basal cells,0.6613027353038664
IDA008_S2_cell_93,Club cells,0.2185389502661627
IDA008_S2_cell_94,Basal cells,0.6684780571182038
IDA008_S2_cell_95,Basal II cells,0.35137806812647854
IDA008_S2_cell_96,Basal cells,0.622454613661584
IDA009_S2_cell_1,Peri-goblet cells,0.4826661794880431
IDA009_S2_cell_2,Peri-goblet cells,0.36992435170906024
IDA009_S2_cell_3,Basal II cells,0.4895660128783225
IDA009_S2_cell_4,Peri-goblet cells,0.023588572846511495
IDA009_S2_cell_5,Peri-goblet cells,-0.10498470378776902
IDA009_S2_cell_6,MT gene enriched cells,-0.08921530820555437
IDA009_S2_cell_7,Peri-goblet cells,0.5191355659667599
IDA009_S2_cell_8,MT gene enriched cells,-0.09031670474522557
IDA009_S2_cell_10,MT gene enriched cells,-0.09051713392244906
IDA009_S2_cell_11,Peri-goblet cells,0.4437347575301286
IDA009_S2_cell_13,Ionocytes,0.9808270029297969
IDA009_S2_cell_15,MT gene enriched cells,-0.05688565829099501
IDA009_S2_cell_17,Basal cells,0.6039162877124005
IDA009_S2_cell_19,MT gene enriched cells,-0.007669326779694441
IDA009_S2_cell_21,MT gene enriched cells,-0.8244433800346544
IDA009_S2_cell_22,MT gene enriched cells,-0.11145402304641577
IDA009_S2_cell_24,Peri-goblet cells,0.451727682234947
IDA009_S2_cell_25,Ionocytes,0.9830730206797261
IDA009_S2_cell_31,MT gene enriched cells,-0.14616056782913353
IDA009_S2_cell_32,Peri-goblet cells,0.42997933087154044
IDA009_S2_cell_34,Peri-goblet cells,0.45507731138366175
IDA009_S2_cell_35,MT gene enriched cells,-0.020887513446304806
IDA009_S2_cell_37,MT gene enriched cells,-0.026003410302713362
IDA009_S2_cell_38,MT gene enriched cells,-0.19490408512366647
IDA009_S2_cell_40,MT gene enriched cells,-0.040114861128195636
IDA009_S2_cell_43,Secretory cells (HLA-DQA1),0.3952056473102273
IDA009_S2_cell_45,Ionocytes,0.9815093445299051
IDA009_S2_cell_46,Neutrophils & macrophages,0.838548962251391
IDA009_S2_cell_47,Ciliated cells,0.9504213190044429
IDA009_S2_cell_48,Peri-goblet cells,0.5520447598914991
IDA009_S2_cell_49,Basal cells,0.5159780036777047
IDA009_S2_cell_50,NK cells,-0.9679644489177407
IDA009_S2_cell_51,Peri-goblet cells,0.3387725919984738
IDA009_S2_cell_52,Peri-goblet cells,-0.3993291229715091
IDA009_S2_cell_53,MT gene enriched cells,-0.24361632434683347
IDA009_S2_cell_55,Peri-goblet cells,-0.6250613818691837
IDA009_S2_cell_56,Peri-goblet cells,0.47323046938095364
IDA009_S2_cell_57,MT gene enriched cells,-0.057469939798094935
IDA009_S2_cell_60,Peri-goblet cells,0.44674526314268864
IDA009_S2_cell_61,Peri-goblet cells,0.5316789414935061
IDA009_S2_cell_63,Peri-goblet cells,0.5752058012365681
IDA009_S2_cell_64,MT gene enriched cells,-0.04896352491663958
IDA009_S2_cell_66,Peri-goblet cells,0.5544383818756617
IDA009_S2_cell_67,Peri-goblet cells,-0.15671821881675108
IDA009_S2_cell_69,Peri-goblet cells,-0.10857674786917196
IDA009_S2_cell_71,Peri-goblet cells,0.4940742505193758
IDA009_S2_cell_73,MT gene enriched cells,-0.03867124767005321
IDA009_S2_cell_75,Basal II cells,0.5143943260240204
IDA009_S2_cell_76,MT gene enriched cells,-0.10576522547297937
IDA009_S2_cell_77,Peri-goblet cells,0.4896619696131384
IDA009_S2_cell_78,Basal cells,0.6757915009492876
IDA009_S2_cell_79,MT gene enriched cells,-0.15410533589109734
IDA009_S2_cell_80,MT gene enriched cells,-0.06838931549879736
IDA009_S2_cell_81,Peri-goblet cells,-0.4583664650499563
IDA009_S2_cell_82,MT gene enriched cells,-0.09907487435049142
IDA009_S2_cell_84,MT gene enriched cells,-0.040442141870190414
IDA009_S2_cell_87,Goblet cells,0.08591927920304958
IDA009_S2_cell_89,Peri-goblet cells,-0.17286194995252152
IDA009_S2_cell_90,MT gene enriched cells,0.005754666664017009
IDA009_S2_cell_91,MT gene enriched cells,-0.08973657703513951
IDA009_S2_cell_92,MT gene enriched cells,-0.06674370056055981
IDA009_S2_cell_93,Ionocytes,0.9858184940061228
IDA009_S2_cell_95,Peri-goblet cells,0.5086255711476132
IDA010_S2_cell_1,Ciliated cells,0.935468736332234
IDA010_S2_cell_2,Basal cells,-0.5559255670278744
IDA010_S2_cell_5,Basal II cells,0.5609737223993256
IDA010_S2_cell_6,Basal cells,0.6801989100652385
IDA010_S2_cell_7,T cells,0.7353890639037459
IDA010_S2_cell_8,Basal cells,0.6500395939338122
IDA010_S2_cell_9,Basal II cells,0.6223609478804015
IDA010_S2_cell_10,Basal cells,0.6294939730152322
IDA010_S2_cell_11,Basal cells,0.48059332719492337
IDA010_S2_cell_13,Club cells,0.7242480604406639
IDA010_S2_cell_15,Basal II cells,0.6110981431727099
IDA010_S2_cell_16,Basal II cells,0.7113605472654602
IDA010_S2_cell_17,Basal cells,0.46336056804872516
IDA010_S2_cell_18,MT gene enriched cells,-0.09337532693779896
IDA010_S2_cell_19,Club cells,0.3807256104215193
IDA010_S2_cell_20,Basal cells,0.5098961351310948
IDA010_S2_cell_21,Club cells,0.6906542953434969
IDA010_S2_cell_22,Basal II cells,0.6215791127801623
IDA010_S2_cell_23,Basal cells,0.6563372376349106
IDA010_S2_cell_24,MT gene enriched cells,-0.030582282850114714
IDA010_S2_cell_25,Basal cells,0.6214390538936887
IDA010_S2_cell_26,Basal II cells,0.7096671895998334
IDA010_S2_cell_28,Basal II cells,0.7089631301813505
IDA010_S2_cell_29,MT gene enriched cells,-0.07144449818112873
IDA010_S2_cell_30,Basal II cells,0.4414307034532169
IDA010_S2_cell_31,Basal cells,0.6908576285332235
IDA010_S2_cell_32,Mast cells,0.9550434289744045
IDA010_S2_cell_33,MT gene enriched cells,-0.04664185421997997
IDA010_S2_cell_35,Club cells,0.23005560973437192
IDA010_S2_cell_36,Basal cells,0.6686817388049107
IDA010_S2_cell_37,Basal II cells,0.6280366789925822
IDA010_S2_cell_38,Basal cells,0.6495618138475588
IDA010_S2_cell_40,Club cells,0.7040875265452633
IDA010_S2_cell_41,Ciliated cells,0.9515377477946292
IDA010_S2_cell_42,Basal II cells,0.5864462928756919
IDA010_S2_cell_43,Basal II cells,0.6408292055682865
IDA010_S2_cell_44,Mast cells,0.9551628038646356
IDA010_S2_cell_45,MT gene enriched cells,-0.040628401734800104
IDA010_S2_cell_46,Ionocytes,0.9853149759017452
IDA010_S2_cell_47,Ciliated cells,0.9608370643088316
IDA010_S2_cell_48,Basal cells,0.524807883127305
IDA010_S2_cell_49,Basal cells,0.633226232938821
IDA010_S2_cell_50,Ciliated cells,0.9513890524564076
IDA010_S2_cell_51,MT gene enriched cells,-0.07618572490629862
IDA010_S2_cell_52,NK cells,0.4940719155240032
IDA010_S2_cell_53,Basal cells,0.660436296536738
IDA010_S2_cell_54,Ciliated cells,0.9482294621840629
IDA010_S2_cell_55,Basal II cells,0.6760346576743976
IDA010_S2_cell_56,Basal II cells,0.6721000696728205
IDA010_S2_cell_57,Basal II cells,0.6506272634473668
IDA010_S2_cell_60,Basal cells,0.46718441145569206
IDA010_S2_cell_61,Basal II cells,0.6792056308580896
IDA010_S2_cell_62,Neutrophils & macrophages,0.7586272900207968
IDA010_S2_cell_63,Basal cells,0.5562775628984491
IDA010_S2_cell_64,Basal II cells,0.6762988162673328
IDA010_S2_cell_65,Ciliated cells,0.95845457632705
IDA010_S2_cell_66,MT gene enriched cells,-0.8161063216549516
IDA010_S2_cell_68,Basal cells,0.659248568275529
IDA010_S2_cell_69,Club cells,0.7099365586149289
IDA010_S2_cell_70,Basal II cells,0.6069764872794002
IDA010_S2_cell_71,Basal cells,0.5668247518035859
IDA010_S2_cell_73,Basal II cells,0.6408798303822703
IDA010_S2_cell_74,Basal cells,0.6079539121800119
IDA010_S2_cell_75,Club cells,0.6223175502404958
IDA010_S2_cell_76,Basal II cells,0.6059413417564349
IDA010_S2_cell_77,Basal II cells,0.3330915738352832
IDA010_S2_cell_78,MT gene enriched cells,-0.05952205230230085
IDA010_S2_cell_79,Basal cells,0.3081536527080688
IDA010_S2_cell_80,Basal cells,0.3971261150707875
IDA010_S2_cell_82,Basal cells,0.6633976212959695
IDA010_S2_cell_83,Basal II cells,0.6497267519613458
IDA010_S2_cell_84,Basal II cells,0.6016104986279022
IDA010_S2_cell_86,T cells,0.6974777581557039
IDA010_S2_cell_87,T cells,0.7181497493893805
IDA010_S2_cell_88,T cells,0.015323447893956725
IDA010_S2_cell_90,Club cells,0.17213723324661126
IDA010_S2_cell_91,Basal cells,0.6718251671145775
IDA010_S2_cell_92,Basal II cells,0.6610054530280146
IDA010_S2_cell_93,Basal II cells,0.3048347013035487
IDA010_S2_cell_95,Basal II cells,0.6268959582702326
IDA010_S2_cell_96,Neutrophils & macrophages,0.7368287592359487
IDA012_S2_cell_3,Peri-goblet cells,0.47203659385813257
IDA012_S2_cell_5,T cells,0.6935323286466368
IDA012_S2_cell_7,T cells,0.6686775475114755
IDA012_S2_cell_8,Club cells,0.6130008253335583
IDA012_S2_cell_9,T cells,0.6482979948250432
IDA012_S2_cell_18,T cells,0.34621240117828017
IDA012_S2_cell_19,T cells,0.7324638497950625
IDA012_S2_cell_20,Ionocytes,0.975266323030883
IDA012_S2_cell_21,T cells,0.5570845075262197
IDA012_S2_cell_26,Ionocytes,0.9831988287317347
IDA012_S2_cell_27,T cells,0.7020554938775919
IDA012_S2_cell_28,T cells,0.6524824862215276
IDA012_S2_cell_29,Peri-goblet cells,0.10943383830462562
IDA012_S2_cell_31,Peri-goblet cells,0.23287915633646863
IDA012_S2_cell_32,Ionocytes,0.9806985523775217
IDA012_S2_cell_34,Goblet cells,0.5656384397911546
IDA012_S2_cell_37,T cells,0.4809209360694804
IDA012_S2_cell_39,MT gene enriched cells,-0.8205729072311684
IDA012_S2_cell_40,Neutrophils & macrophages,0.8674612621475214
IDA012_S2_cell_43,T cells,0.5433661426877403
IDA012_S2_cell_44,Mast cells,0.9336234778902431
IDA012_S2_cell_45,T cells,0.5716140229406853
IDA012_S2_cell_46,T cells,0.6545756759091352
IDA012_S2_cell_48,T cells,0.6052000719721277
IDA012_S2_cell_49,MT gene enriched cells,-0.8106287109304399
IDA012_S2_cell_54,Goblet cells,0.5324594826861867
IDA012_S2_cell_58,T cells,0.5647394207396279
IDA012_S2_cell_63,T cells,0.7162619265271574
IDA012_S2_cell_65,T cells,0.6852286513543473
IDA012_S2_cell_67,T cells,0.607114612073621
IDA012_S2_cell_70,Ionocytes,0.9844144459929502
IDA012_S2_cell_71,Neutrophils & macrophages,0.867845034047747
IDA012_S2_cell_74,Peri-goblet cells,0.5131682738939645
IDA012_S2_cell_75,T cells,0.6519377527218733
IDA012_S2_cell_79,T cells,0.7042814450588215
IDA012_S2_cell_81,Basal cells,0.5927643653841145
IDA012_S2_cell_82,T cells,0.49338801426814255
IDA012_S2_cell_84,T cells,0.6114030199819633
IDA012_S2_cell_93,T cells,0.7434521934739675
IDA012_S2_cell_94,Peri-goblet cells,0.5587409801381076
IDA012_S2_cell_95,T cells,0.7046155406856393
IDA013_S2_cell_1,T cells,0.36162319680789734
IDA013_S2_cell_2,Peri-goblet cells,0.4498339382737223
IDA013_S2_cell_3,Neutrophils & macrophages,0.8617751205688203
IDA013_S2_cell_4,T cells,0.19096119224449687
IDA013_S2_cell_5,Neutrophils & macrophages,0.8416456121143631
IDA013_S2_cell_6,Neutrophils & macrophages,0.8625339312177485
IDA013_S2_cell_7,T cells,0.15368203045952034
IDA013_S2_cell_8,Peri-goblet cells,0.23515997512467426
IDA013_S2_cell_9,T cells,0.18418228865316028
IDA013_S2_cell_10,T cells,0.7286955361346346
IDA013_S2_cell_13,Peri-goblet cells,0.15524599748736018
IDA013_S2_cell_14,Goblet cells,0.35574772480298433
IDA013_S2_cell_15,Peri-goblet cells,0.438024366164154
IDA013_S2_cell_18,Neutrophils & macrophages,0.8686173398814047
IDA013_S2_cell_19,Basal cells,0.6118983180025664
IDA013_S2_cell_20,Peri-goblet cells,0.48444574030524895
IDA013_S2_cell_21,Peri-goblet cells,0.6143526452322974
IDA013_S2_cell_22,T cells,0.3800134787077411
IDA013_S2_cell_24,Ionocytes,0.9759902545254477
IDA013_S2_cell_25,T cells,0.24028791282776038
IDA013_S2_cell_26,Neutrophils & macrophages,0.8690373026940047
IDA013_S2_cell_28,Goblet cells,0.39444590476534847
IDA013_S2_cell_29,Neutrophils & macrophages,0.8664058356328459
IDA013_S2_cell_30,Neutrophils & macrophages,0.8416984417975782
IDA013_S2_cell_31,T cells,0.2303841778674432
IDA013_S2_cell_34,Neutrophils & macrophages,0.8699670820058955
IDA013_S2_cell_35,Goblet cells,0.38963029851215186
IDA013_S2_cell_36,T cells,0.43720326608513815
IDA013_S2_cell_37,T cells,0.22783268026487694
IDA013_S2_cell_38,T cells,0.21189383037373125
IDA013_S2_cell_39,T cells,0.7358012846681657
IDA013_S2_cell_40,Neutrophils & macrophages,0.8692545011345568
IDA013_S2_cell_41,Ionocytes,0.9768473900648778
IDA013_S2_cell_43,Neutrophils & macrophages,0.8692994141399533
IDA013_S2_cell_44,Dendritic cells,0.7369754230030237
IDA013_S2_cell_45,Peri-goblet cells,0.5315615869710081
IDA013_S2_cell_46,Neutrophils & macrophages,0.8699646935404587
IDA013_S2_cell_47,Peri-goblet cells,0.4709088162331135
IDA013_S2_cell_48,Neutrophils & macrophages,0.8357188686509465
IDA013_S2_cell_49,Ionocytes,0.9829700402280059
IDA013_S2_cell_50,Ionocytes,0.9837586303428544
IDA013_S2_cell_51,T cells,0.38063425847735166
IDA013_S2_cell_52,MT gene enriched cells,0.02068659143956062
IDA013_S2_cell_53,Neutrophils & macrophages,0.8535968698267005
IDA013_S2_cell_54,Neutrophils & macrophages,0.8015616216716807
IDA013_S2_cell_55,T cells,0.20841078640076366
IDA013_S2_cell_56,Secretory cells (HLA-DQA1),-0.17808214068984876
IDA013_S2_cell_57,T cells,0.24280880544869843
IDA013_S2_cell_58,Neutrophils & macrophages,0.8676287734268128
IDA013_S2_cell_61,T cells,0.21419139558722664
IDA013_S2_cell_62,T cells,0.5524053303383043
IDA013_S2_cell_64,Neutrophils & macrophages,0.8597363736235849
IDA013_S2_cell_65,Peri-goblet cells,0.567130884377144
IDA013_S2_cell_66,T cells,0.2621266600384518
IDA013_S2_cell_67,Neutrophils & macrophages,0.8551192721528885
IDA013_S2_cell_68,Basal cells,0.6311879365242474
IDA013_S2_cell_69,Goblet cells,0.35470610536356234
IDA013_S2_cell_70,Neutrophils & macrophages,0.8578359969752414
IDA013_S2_cell_73,T cells,0.6944341014713855
IDA013_S2_cell_75,Ionocytes,0.9811330036479281
IDA013_S2_cell_76,Ionocytes,0.9803137661203918
IDA013_S2_cell_77,T cells,0.22895526528419208
IDA013_S2_cell_78,Goblet cells,0.37497030431045275
IDA013_S2_cell_79,Peri-goblet cells,0.5676639359341289
IDA013_S2_cell_80,T cells,0.31636119034785576
IDA013_S2_cell_81,T cells,0.2667973880646339
IDA013_S2_cell_83,T cells,0.5512946027092457
IDA013_S2_cell_84,Secretory cells (HLA-DQA1),0.5838898504563999
IDA013_S2_cell_86,T cells,0.286192468277272
IDA013_S2_cell_87,MT gene enriched cells,-0.0025261352427497974
IDA013_S2_cell_90,Goblet cells,0.3480484610796856
IDA013_S2_cell_91,Neutrophils & macrophages,0.8677520804664927
IDA013_S2_cell_92,Dendritic cells,0.8685044634245928
IDA013_S2_cell_93,T cells,0.2058328467940214
IDA013_S2_cell_94,T cells,0.19021995779581344
IDA013_S2_cell_95,T cells,0.1874374524386451
IDA013_S2_cell_96,T cells,0.19156062353284484
IDA015_S2_cell_2,Peri-goblet cells,0.5701937533588447
IDA015_S2_cell_4,Mast cells,0.9246178984376064
IDA015_S2_cell_5,Peri-goblet cells,0.3959332323016546
IDA015_S2_cell_6,Peri-goblet cells,0.4986079800674058
IDA015_S2_cell_7,Basal cells,0.6002344261396197
IDA015_S2_cell_9,MT gene enriched cells,-0.2800874325803376
IDA015_S2_cell_10,Mast cells,0.9379064382190893
IDA015_S2_cell_12,Peri-goblet cells,0.21061003711533102
IDA015_S2_cell_14,Mast cells,0.9408333981213478
IDA015_S2_cell_20,T cells,0.43053751831483394
IDA015_S2_cell_21,Peri-goblet cells,0.596475426846278
IDA015_S2_cell_24,Ionocytes,0.9782661954159022
IDA015_S2_cell_26,Peri-goblet cells,0.3572786818970183
IDA015_S2_cell_29,Basal cells,0.6631953279567419
IDA015_S2_cell_30,Peri-goblet cells,0.1789401185764366
IDA015_S2_cell_31,Basal cells,0.672822020476834
IDA015_S2_cell_32,Mast cells,0.9131196359193566
IDA015_S2_cell_33,Mast cells,0.9313403023013239
IDA015_S2_cell_35,T cells,0.4823859701758118
IDA015_S2_cell_37,Peri-goblet cells,0.3156664481104905
IDA015_S2_cell_38,Mast cells,0.9157110140629888
IDA015_S2_cell_40,T cells,0.7091572579354454
IDA015_S2_cell_41,Dendritic cells,0.8022215388826066
IDA015_S2_cell_44,Goblet cells,0.47969296007896883
IDA015_S2_cell_45,Peri-goblet cells,0.5629211079032458
IDA015_S2_cell_47,Mast cells,0.9525471963299083
IDA015_S2_cell_48,Peri-goblet cells,0.15437165352022258
IDA015_S2_cell_49,Goblet cells,0.4459101102869375
IDA015_S2_cell_50,Ionocytes,0.9794541570409027
IDA015_S2_cell_52,Mast cells,0.9387297926331648
IDA015_S2_cell_53,Peri-goblet cells,0.6050984086083205
IDA015_S2_cell_54,Mast cells,0.9276808851173591
IDA015_S2_cell_55,Peri-goblet cells,0.16162215502356872
IDA015_S2_cell_56,T cells,0.22593030182547164
IDA015_S2_cell_57,T cells,0.5283298358887747
IDA015_S2_cell_61,T cells,0.3412795119848064
IDA015_S2_cell_62,T cells,0.5080017250277116
IDA015_S2_cell_63,T cells,0.6337842910516258
IDA015_S2_cell_65,Peri-goblet cells,0.46913392427705275
IDA015_S2_cell_66,Peri-goblet cells,0.31143832603217564
IDA015_S2_cell_68,Basal cells,0.6197808368543666
IDA015_S2_cell_74,T cells,0.5152281866176385
IDA015_S2_cell_75,Peri-goblet cells,0.5940595873485702
IDA015_S2_cell_76,Mast cells,0.940846871104216
IDA015_S2_cell_78,Mast cells,0.9224200271586821
IDA015_S2_cell_82,Peri-goblet cells,-0.035345162047509086
IDA015_S2_cell_83,Secretory cells (HLA-DQA1),0.30131479731438077
IDA015_S2_cell_84,Dendritic cells,0.8867473110251464
IDA015_S2_cell_86,T cells,0.4916276343215617
IDA015_S2_cell_87,T cells,0.5403454564515235
IDA015_S2_cell_88,Mast cells,0.9280920883322149
IDA015_S2_cell_92,Dendritic cells,0.8774811281666429
IDA015_S2_cell_93,Goblet cells,0.35246141377889884
IDA017_S2_cell_1,Basal II cells,0.6583247560061776
IDA017_S2_cell_2,Basal cells,-0.05459733969914387
IDA017_S2_cell_3,Basal cells,0.5251022347702514
IDA017_S2_cell_4,Basal cells,0.5321622598438603
IDA017_S2_cell_6,Club cells,0.5777854592320453
IDA017_S2_cell_8,Basal cells,0.3801139608427356
IDA017_S2_cell_9,Club cells,0.7280985301021073
IDA017_S2_cell_10,Club cells,0.5939288132117336
IDA017_S2_cell_11,Club cells,0.6509969579876927
IDA017_S2_cell_12,Basal II cells,0.6927349502585778
IDA017_S2_cell_13,Club cells,0.728155464186027
IDA017_S2_cell_14,Ciliated cells,0.951389610204126
IDA017_S2_cell_15,T cells,0.4408244807213811
IDA017_S2_cell_16,Club cells,0.6296296692969828
IDA017_S2_cell_18,Ciliated cells,0.9496438307072688
IDA017_S2_cell_19,Basal II cells,0.7094401348710607
IDA017_S2_cell_20,Ciliated cells,0.936714063971215
IDA017_S2_cell_21,Ciliated cells,0.9515984262341136
IDA017_S2_cell_22,Neutrophils & macrophages,0.8394369685204475
IDA017_S2_cell_24,Club cells,0.6120421685767446
IDA017_S2_cell_25,Basal cells,0.6115421538338008
IDA017_S2_cell_26,Basal II cells,0.5647563815296344
IDA017_S2_cell_28,Club cells,0.6107667324387008
IDA017_S2_cell_29,Ciliated cells,0.9470405485854084
IDA017_S2_cell_30,Ciliated cells,0.955428035378064
IDA017_S2_cell_31,Basal cells,0.5449374084115354
IDA017_S2_cell_32,T cells,0.7092457839762899
IDA017_S2_cell_33,Basal cells,0.6400230792407706
IDA017_S2_cell_36,Basal II cells,0.4973662865745367
IDA017_S2_cell_39,T cells,0.741356690345192
IDA017_S2_cell_40,Dendritic cells,0.884277693465109
IDA017_S2_cell_41,Basal cells,0.24959158715983473
IDA017_S2_cell_42,Basal II cells,0.6165969364778872
IDA017_S2_cell_43,Basal cells,0.5531468018121044
IDA017_S2_cell_44,Club cells,0.7074823057430502
IDA017_S2_cell_46,Basal cells,0.5467420766382624
IDA017_S2_cell_47,T cells,0.6677119633199374
IDA017_S2_cell_48,Ciliated cells,0.9512059631189987
IDA017_S2_cell_49,Ciliated cells,0.9451232590034313
IDA017_S2_cell_50,Club cells,0.5983391081281894
IDA017_S2_cell_51,Basal II cells,0.6543229216933816
IDA017_S2_cell_52,Neutrophils & macrophages,0.8396305392229363
IDA017_S2_cell_53,Basal cells,0.6574413702313523
IDA017_S2_cell_54,Club cells,0.7361819322677242
IDA017_S2_cell_55,Basal cells,0.575854058117863
IDA017_S2_cell_56,Club cells,0.7370099626599188
IDA017_S2_cell_57,Basal II cells,0.6734199261510985
IDA017_S2_cell_58,Club cells,0.6898107886226484
IDA017_S2_cell_59,Basal cells,0.1999292192960004
IDA017_S2_cell_60,Club cells,0.7409455489340437
IDA017_S2_cell_61,Club cells,0.567010646514193
IDA017_S2_cell_63,Club cells,0.6723878916439509
IDA017_S2_cell_64,Basal cells,0.4955267490067672
IDA017_S2_cell_65,Club cells,0.640034490959408
IDA017_S2_cell_66,Neutrophils & macrophages,0.7426178037407649
IDA017_S2_cell_67,Basal II cells,0.6260017242046276
IDA017_S2_cell_68,Club cells,0.5613818751483072
IDA017_S2_cell_69,Neutrophils & macrophages,0.8154882663461661
IDA017_S2_cell_71,Basal II cells,0.618869318851212
IDA017_S2_cell_72,Basal II cells,0.6218673525254678
IDA017_S2_cell_73,Basal cells,0.5470332440248524
IDA017_S2_cell_74,Basal II cells,0.36213162701038404
IDA017_S2_cell_75,Basal cells,0.6267301902433318
IDA017_S2_cell_76,Club cells,0.7383297167462345
IDA017_S2_cell_77,Maturing ciliated cells,0.9078543801899079
IDA017_S2_cell_78,Club cells,0.7386357089749661
IDA017_S2_cell_79,Ciliated cells,0.9576798262698746
IDA017_S2_cell_80,Basal cells,0.5004155962067703
IDA017_S2_cell_82,Basal II cells,0.4103646123383293
IDA017_S2_cell_83,Club cells,0.6269949381294931
IDA017_S2_cell_84,Club cells,0.73989180476072
IDA017_S2_cell_86,Club cells,0.7022072584145714
IDA017_S2_cell_87,Basal II cells,0.45219891263778267
IDA017_S2_cell_88,Basal II cells,0.5910303351180776
IDA017_S2_cell_89,Basal II cells,0.6013602534566435
IDA017_S2_cell_90,Basal cells,0.5335803984962758
IDA017_S2_cell_91,Basal II cells,0.6960762740305748
IDA017_S2_cell_92,Club cells,0.7346060939352075
IDA017_S2_cell_93,Club cells,0.614406540016342
IDA017_S2_cell_94,Basal cells,0.5928078287406199
IDA017_S2_cell_95,Club cells,0.5796224628352842
IDA017_S2_cell_96,Basal cells,0.30867303028831866
IDA019_S2_cell_1,Ionocytes,0.9793131834120622
IDA019_S2_cell_3,T cells,0.7337455728354914
IDA019_S2_cell_5,Goblet cells,0.5563308125711494
IDA019_S2_cell_6,T cells,0.7363694855423415
IDA019_S2_cell_7,Goblet cells,0.5469053207517393
IDA019_S2_cell_8,Ionocytes,0.9827589669984238
IDA019_S2_cell_10,Peri-goblet cells,-0.16434722954160386
