,author_cell_type_final,silhouette_score
IDA008_S1_cell_84,Basal II cells,-0.8569234423172433
IDA008_S1_cell_86,Ciliated cells,0.9595857695025302
IDA008_S1_cell_87,Suprabasal cells,0.774995259765418
IDA008_S1_cell_88,Secretory cells (HLA-DQA1),-0.1258154501158857
IDA008_S1_cell_89,Basal cells,0.6026374128754528
IDA008_S1_cell_90,Basal cells,0.5152882505841537
IDA008_S1_cell_91,T cells,0.6744175055781401
IDA008_S1_cell_92,Neutrophils & macrophages,0.8697809283825017
IDA008_S1_cell_93,MT gene enriched cells,-0.10072889272403536
IDA008_S1_cell_95,Basal cells,0.6876627717178053
IDA008_S1_cell_96,Basal cells,0.6535078946293835
IDA009_S1_cell_1,Club cells,0.7285110587999638
IDA009_S1_cell_2,Ciliated cells,0.946653722291013
IDA009_S1_cell_5,Basal cells,0.49595378576769406
IDA009_S1_cell_6,Secretory cells (HLA-DQA1),0.14003241480902648
IDA009_S1_cell_7,Basal II cells,0.47949163622861524
IDA009_S1_cell_8,Basal II cells,0.644097535709247
IDA009_S1_cell_9,Goblet cells,-0.12255183978120404
IDA009_S1_cell_11,Basal II cells,0.5963809929292966
IDA009_S1_cell_13,Basal cells,0.6236429940507278
IDA009_S1_cell_14,Basal II cells,0.6921303009274831
IDA009_S1_cell_15,Basal cells,0.379587794992358
IDA009_S1_cell_16,Peri-goblet cells,0.140940226522013
IDA009_S1_cell_17,Basal cells,0.5960722775041226
IDA009_S1_cell_18,Basal cells,0.6476017973936118
IDA009_S1_cell_20,Basal II cells,0.3908342145205463
IDA009_S1_cell_21,Basal II cells,0.6264131890210964
IDA009_S1_cell_22,MT gene enriched cells,-0.1357112180758602
IDA009_S1_cell_24,MT gene enriched cells,0.013676720068031323
IDA009_S1_cell_25,Neutrophils & macrophages,0.8521870259413359
IDA009_S1_cell_26,Basal cells,0.5963107731225255
IDA009_S1_cell_27,Ionocytes,0.9794942476782572
IDA009_S1_cell_29,MT gene enriched cells,-0.10668776345048467
IDA009_S1_cell_30,Basal II cells,0.6995849557990544
IDA009_S1_cell_32,MT gene enriched cells,-0.16818938119803123
IDA009_S1_cell_33,Basal II cells,0.6509549599012185
IDA009_S1_cell_34,Ciliated cells,0.9549449075295532
IDA009_S1_cell_36,Basal cells,0.6395695253717544
IDA009_S1_cell_37,Ciliated cells,0.9450879788872051
IDA009_S1_cell_38,T cells,0.7451611176312339
IDA009_S1_cell_39,Goblet cells,0.4393879633893016
IDA009_S1_cell_40,Peri-goblet cells,0.40827172562565345
IDA009_S1_cell_42,Basal cells,0.6648691624780899
IDA009_S1_cell_43,Basal cells,0.6219546451235234
IDA009_S1_cell_45,Basal cells,0.5990163831004298
IDA009_S1_cell_46,T cells,0.44384271404487796
IDA009_S1_cell_47,Neutrophils & macrophages,0.8266676769255455
IDA009_S1_cell_49,Club cells,0.5677661980467
IDA009_S1_cell_50,Basal cells,0.6442938718611072
IDA009_S1_cell_51,Basal II cells,0.6322521434015131
IDA009_S1_cell_52,Basal cells,0.5450226535703917
IDA009_S1_cell_54,Basal II cells,0.6880801829031391
IDA009_S1_cell_55,NK cells,0.6043145124761956
IDA009_S1_cell_56,Neutrophils & macrophages,0.79066435398908
IDA009_S1_cell_57,Basal II cells,0.2924002198684762
IDA009_S1_cell_59,Basal II cells,0.6450642532089802
IDA009_S1_cell_61,Mast cells,0.9424746785230759
IDA009_S1_cell_62,T cells,0.6146145142485314
IDA009_S1_cell_63,Basal cells,0.6115892695934599
IDA009_S1_cell_64,Ciliated cells,0.9262873030680072
IDA009_S1_cell_65,Basal cells,0.6342638660984856
IDA009_S1_cell_66,Ciliated cells,0.9361734015159456
IDA009_S1_cell_67,Basal cells,0.5796102998794462
IDA009_S1_cell_68,Basal cells,0.6350957646539626
IDA009_S1_cell_70,T cells,0.7431622195092309
IDA009_S1_cell_71,Basal cells,0.6205939619303104
IDA009_S1_cell_72,T cells,0.7093604665204529
IDA009_S1_cell_73,T cells,0.4182349634780316
IDA009_S1_cell_74,Basal II cells,0.6871234000899809
IDA009_S1_cell_75,Basal cells,0.6476108828894876
IDA009_S1_cell_77,Secretory cells (HLA-DQA1),0.6391174326658384
IDA009_S1_cell_78,Basal cells,0.6234445476570363
IDA009_S1_cell_79,Ionocytes,0.9823356219534503
IDA009_S1_cell_80,T cells,0.43067503264234336
IDA009_S1_cell_82,MT gene enriched cells,-0.7730230287555357
IDA009_S1_cell_84,Basal cells,0.589279742252351
IDA009_S1_cell_87,Suprabasal cells,0.7549425849853075
IDA009_S1_cell_88,T cells,0.5502780005058832
IDA009_S1_cell_89,Basal cells,0.633145615340399
IDA009_S1_cell_90,Ionocytes,0.9777502198773912
IDA009_S1_cell_91,Basal II cells,0.5869527765859213
IDA009_S1_cell_93,Basal II cells,0.3915803396584304
IDA009_S1_cell_95,Neutrophils & macrophages,0.756808174747356
IDA009_S1_cell_96,Basal II cells,-0.07715082433000311
IDA010_S1_cell_7,Peri-goblet cells,-0.5180495055714665
IDA010_S1_cell_8,NK cells,0.6156867783392289
IDA010_S1_cell_9,NK cells,0.6991318895325284
IDA010_S1_cell_10,T cells,0.7289098766172156
IDA010_S1_cell_15,NK cells,0.6769276541752474
IDA010_S1_cell_16,Peri-goblet cells,0.5987637046725477
IDA010_S1_cell_17,Neutrophils & macrophages,0.819557795816536
IDA010_S1_cell_19,Neutrophils & macrophages,0.8268852112693234
IDA010_S1_cell_21,T cells,0.22970709692075178
IDA010_S1_cell_22,Peri-goblet cells,-0.5713159770889011
IDA010_S1_cell_24,Peri-goblet cells,-0.5518119414571434
IDA010_S1_cell_26,Peri-goblet cells,0.07255485634878277
IDA010_S1_cell_27,Basal cells,0.5308592761767883
IDA010_S1_cell_29,Peri-goblet cells,0.43292082358556216
IDA010_S1_cell_30,Ionocytes,0.9840333524729582
IDA010_S1_cell_31,Neutrophils & macrophages,0.8305528674187526
IDA010_S1_cell_33,T cells,0.6686842761642636
IDA010_S1_cell_38,T cells,0.4266832321462329
IDA010_S1_cell_39,Peri-goblet cells,0.5801283678756817
IDA010_S1_cell_46,Peri-goblet cells,0.479431384634479
IDA010_S1_cell_50,T cells,0.588834589411857
IDA010_S1_cell_51,MT gene enriched cells,0.005510228905839497
IDA010_S1_cell_52,Neutrophils & macrophages,0.845696123518824
IDA010_S1_cell_56,T cells,0.6357478835618245
IDA010_S1_cell_57,Peri-goblet cells,0.4937989050463682
IDA010_S1_cell_65,T cells,0.23351307640411292
IDA010_S1_cell_66,T cells,0.2773860908627589
IDA010_S1_cell_70,Peri-goblet cells,-0.49819514024616623
IDA010_S1_cell_71,Peri-goblet cells,0.47311752251851313
IDA010_S1_cell_74,Peri-goblet cells,-0.4728969971458058
IDA010_S1_cell_81,Neutrophils & macrophages,0.826518579152782
IDA010_S1_cell_82,Peri-goblet cells,0.5358316932927684
IDA010_S1_cell_83,T cells,0.5926789725499432
IDA010_S1_cell_88,Neutrophils & macrophages,-0.8860322711049918
IDA010_S1_cell_90,Ionocytes,0.9843209914570441
IDA010_S1_cell_92,T cells,0.7154517717439879
IDA010_S1_cell_95,T cells,0.4907348680756874
IDA010_S1_cell_96,Neutrophils & macrophages,0.8474645171364971
IDA012_S1_cell_3,Basal II cells,0.6052289792589083
IDA012_S1_cell_6,Ionocytes,0.9802844811119725
IDA012_S1_cell_7,T cells,0.5004023138234969
IDA012_S1_cell_8,Goblet cells,0.4999195233944903
IDA012_S1_cell_11,Goblet cells,0.501075019402044
IDA012_S1_cell_12,Basal cells,0.46170835983115766
IDA012_S1_cell_13,T cells,0.5502337148894968
IDA012_S1_cell_21,Goblet cells,0.5176447673319685
IDA012_S1_cell_22,Peri-goblet cells,0.39393844419011576
IDA012_S1_cell_30,Dendritic cells,0.8882251274777457
IDA012_S1_cell_31,T cells,0.5394414027100071
IDA012_S1_cell_32,T cells,0.5317211944360805
IDA012_S1_cell_37,Dendritic cells,0.8663008996382308
IDA012_S1_cell_39,Basal cells,0.6576825772645728
IDA012_S1_cell_40,T cells,0.41580339260246213
IDA012_S1_cell_42,T cells,0.5201118405534316
IDA012_S1_cell_45,T cells,0.4892036832633332
IDA012_S1_cell_49,MT gene enriched cells,-0.1549509590354614
IDA012_S1_cell_50,Peri-goblet cells,0.5992321970222102
IDA012_S1_cell_52,Basal cells,0.4952604212071716
IDA012_S1_cell_55,Basal II cells,-0.036167952265260615
IDA012_S1_cell_56,Basal II cells,0.5763507943485028
IDA012_S1_cell_60,T cells,0.46979981727208886
IDA012_S1_cell_62,Peri-goblet cells,0.5480748606947109
IDA012_S1_cell_72,Dendritic cells,0.7961785988453423
IDA012_S1_cell_74,T cells,0.674637594369888
IDA012_S1_cell_77,NK cells,0.724076383193076
IDA012_S1_cell_84,Ciliated cells,0.9400138769914324
IDA012_S1_cell_91,Basal cells,0.6023865082274904
IDA012_S1_cell_93,MT gene enriched cells,-0.06883994159144345
IDA012_S1_cell_94,T cells,0.17088440188408158
IDA012_S1_cell_95,T cells,0.2592133789376024
IDA012_S1_cell_96,MT gene enriched cells,-0.8087649203830963
IDA013_S1_cell_2,Peri-goblet cells,-0.6335836272703871
IDA013_S1_cell_4,Basal cells,0.617328870505696
IDA013_S1_cell_5,Neutrophils & macrophages,0.8279630678330737
IDA013_S1_cell_6,Peri-goblet cells,0.2376881287610861
IDA013_S1_cell_7,Peri-goblet cells,-0.21662675975860593
