,author_cell_type,silhouette_score
670,Proximal tubule,0.10924464633502765
671,NKT cell,0.17662791744434952
673,Proximal tubule,0.12460341440054631
674,Descending vasa recta endothelium,0.06283799754344029
675,CD8 T cell,-0.02530770925822067
676,MNP-a/classical monocyte derived,-0.09458794237208468
678,NKT cell,-0.06282961906848078
679,CD8 T cell,0.0814536949635928
680,Proximal tubule,0.13237420997915744
681,Glomerular endothelium,0.7007723126773368
682,MNP-a/classical monocyte derived,0.2844915003174322
683,Proximal tubule,0.1306031644169836
688,CD8 T cell,0.18003809539241827
691,Proximal tubule,-0.002454215811330619
692,Type B intercalated cell,-0.29676181401384705
693,CD8 T cell,0.15098294013328672
694,Proximal tubule,0.025251734690876965
700,Proximal tubule,0.12228783925079646
703,MNP-a/classical monocyte derived,0.23445554554330153
704,Proximal tubule,-0.07991072213341079
705,Proximal tubule,0.12451286941337425
709,CD4 T cell,0.0006279732297079151
715,MNP-b/non-classical monocyte derived,0.3632151072928316
717,Proximal tubule,-0.08267175245602205
719,Proximal tubule,0.08391954488588431
720,NK cell,0.24841051090360775
722,Proximal tubule,0.08789432921400014
723,NKT cell,-0.06410927752696437
725,NK cell,-0.5322414344861007
727,Proximal tubule,-0.013710459323098985
730,Proximal tubule,-0.07777740489951415
732,Proximal tubule,0.09797050307902457
734,Proximal tubule,0.017333057362309456
735,Proximal tubule,-0.5561477067188034
736,Ascending vasa recta endothelium,0.288224536812567
739,Proximal tubule,0.07426469297276853
747,NK cell,-0.4922714688456871
748,Distinct proximal tubule 1,0.3627563009053349
750,MNP-c/dendritic cell,0.04874659564203581
753,Proximal tubule,0.12699395883676617
755,MNP-d/Tissue macrophage,-0.3087653964427736
756,CD8 T cell,-0.2275117726843592
758,Proximal tubule,0.11961879865959184
760,Proximal tubule,0.11590864326884934
762,Proximal tubule,0.05593513927319906
764,Peritubular capillary endothelium 2,-0.026486510857221902
765,Proximal tubule,0.12850126970485964
768,CD8 T cell,0.0624895478924739
769,Proximal tubule,-0.9087908743314541
774,Glomerular endothelium,0.7170692911644817
777,Epithelial progenitor cell,0.47758873268089513
778,Proximal tubule,0.12403959724441704
779,Proximal tubule,0.08477682479291428
781,B cell,0.6674232908373979
783,B cell,0.5980858021006978
785,Proximal tubule,-0.003902265918984874
786,CD4 T cell,0.04240627680185543
787,CD4 T cell,-0.03394210886640443
791,NK cell,0.3150492654194454
792,CD4 T cell,-0.5054102632028691
794,CD4 T cell,-0.15379830706774486
796,B cell,0.6728407621577273
797,Proximal tubule,0.023567903460518683
798,CD8 T cell,0.13824106551536672
800,NKT cell,0.08030031833673806
801,Thick ascending limb of Loop of Henle,0.02869492813911733
802,Proximal tubule,0.09321655788033549
803,Proximal tubule,-0.08264979355664208
805,CD8 T cell,-0.26316407168240125
806,B cell,0.764890632910177
808,CD4 T cell,0.06573273219702029
812,MNP-a/classical monocyte derived,-0.30563928984599176
813,Proximal tubule,-0.007272952603378034
814,CD4 T cell,-0.33954536954421644
815,NK cell,0.2217802132718912
821,Proximal tubule,0.12234925466984169
822,Proximal tubule,0.08254934820082627
826,Proximal tubule,0.020984552525274047
828,Proximal tubule,0.10770711624102583
831,Proximal tubule,0.09907825071927552
834,MNP-a/classical monocyte derived,-0.11169371598044697
835,Proximal tubule,-0.08221319324977171
836,Proximal tubule,0.1009877749452503
837,Proximal tubule,-0.0356831930868265
838,CD4 T cell,-0.14213331415892128
839,Proximal tubule,0.04676569456909946
845,Proximal tubule,0.13127380777658076
847,Proximal tubule,0.1354550371646176
848,Proximal tubule,-0.018010538040317502
849,NKT cell,0.149912834391632
851,Proximal tubule,-0.27597877177487123
853,Proximal tubule,0.12345066961336097
857,NK cell,-0.18021489999003765
858,Proximal tubule,0.11264314454711107
859,Proximal tubule,-0.08223079033066819
861,Thick ascending limb of Loop of Henle,-0.5429008431695311
862,Proximal tubule,-0.08655332463200266
863,Proximal tubule,0.12273376343040483
865,Thick ascending limb of Loop of Henle,0.46475557106061377
866,Descending vasa recta endothelium,-0.1883587006982609
868,Proximal tubule,0.05046218440271067
869,Proximal tubule,0.07254860009998272
872,Ascending vasa recta endothelium,0.021371382338520567
873,Proximal tubule,0.07480790109140685
877,B cell,0.06702054113481079
878,MNP-b/non-classical monocyte derived,0.24500786392515678
880,Peritubular capillary endothelium 1,0.3811781042347297
882,Proximal tubule,-0.05724893577175684
885,NK cell,0.2556317958172282
886,CD4 T cell,-0.08005709909154031
892,CD4 T cell,-0.07557655438990034
893,Proximal tubule,-0.08047815556675178
894,Proximal tubule,0.10844901183082846
895,Proximal tubule,0.09867610652546124
896,Proximal tubule,0.1127782232294699
897,MNP-a/classical monocyte derived,-0.7675835982614988
906,Proximal tubule,-0.08013183023629092
909,Proximal tubule,0.09154446921966523
911,Proximal tubule,-0.2600522394329752
912,Proximal tubule,0.07861802805157395
913,Proximal tubule,-0.08217043082347855
915,Proximal tubule,-0.02438049149349838
916,MNP-b/non-classical monocyte derived,0.022080216577327276
917,Proximal tubule,-0.4264318998712302
919,Peritubular capillary endothelium 1,-0.18587079786749947
921,Type A intercalated cell,0.0945763771761972
922,NKT cell,0.026449490585974716
923,Proximal tubule,0.1255504299024159
925,Proximal tubule,-0.03125678596705937
926,Proximal tubule,0.12118140024331335
928,Proximal tubule,0.02770603659752823
930,NKT cell,0.0601528916588222
936,Myofibroblast,0.02080225597259973
937,Proximal tubule,0.03083341766480424
938,Proximal tubule,0.10200460441688172
941,Proximal tubule,0.12511000038928202
942,Peritubular capillary endothelium 1,-0.3757052595863551
943,CD4 T cell,-0.2755897389974116
946,NK cell,0.32946924166065855
948,Epithelial progenitor cell,-0.3379770090151175
949,Glomerular endothelium,0.7708313624639663
950,Proximal tubule,0.07891878421772076
955,Proximal tubule,0.017177836286707184
958,Proximal tubule,0.01665827429114693
960,Proximal tubule,-0.06568290244506993
961,Descending vasa recta endothelium,-0.4061028443489897
964,Proximal tubule,0.0990132144701781
966,CD4 T cell,-0.04922855110688373
968,Thick ascending limb of Loop of Henle,0.3134155398635993
971,B cell,0.7567460905337838
972,Proximal tubule,0.10592908198795985
974,Myofibroblast,-0.4642808212659357
975,Proximal tubule,-0.06429223771852671
976,Proximal tubule,0.04133924870109595
977,Proximal tubule,0.06751494274950767
979,Proximal tubule,0.06506297114600312
982,Proximal tubule,0.09314929732911655
985,Proximal tubule,0.11673240649513135
986,CD4 T cell,-0.07259408468704033
987,Proximal tubule,-0.01220487029309015
988,Type A intercalated cell,0.1394288829680865
990,NKT cell,0.12739645862950352
992,Proximal tubule,-0.08118001042835966
994,Proximal tubule,-0.002508831510180305
997,MNP-c/dendritic cell,0.37983780270845197
998,Peritubular capillary endothelium 1,0.40146708195973035
1000,B cell,0.5197317422817468
1001,CD4 T cell,-0.07863104293815881
1005,CD4 T cell,-0.014682537737933803
1006,MNP-a/classical monocyte derived,-0.7405572543121348
1007,Proximal tubule,-0.0821663566721626
1008,Proximal tubule,0.12008033078550806
1011,CD4 T cell,0.0016196530908665723
1012,Proximal tubule,0.13046618998414417
1013,MNP-a/classical monocyte derived,0.21664640235061428
1015,CD4 T cell,-0.026666914604328233
1017,CD8 T cell,-0.3810068488954048
1020,Proximal tubule,-0.07864489510763341
1024,Proximal tubule,0.11851908420908744
1025,Proximal tubule,0.023653596808910073
1029,Proximal tubule,0.013045229480347496
1031,Proximal tubule,0.09136375120072585
1032,NK cell,-0.16565185412092454
1033,Proximal tubule,0.128449072813937
1034,NKT cell,-0.23741007397750072
1038,Proximal tubule,-0.03041984576680492
1039,Glomerular endothelium,0.6997239124184472
1041,Proximal tubule,0.10009465440326945
1044,CD4 T cell,-0.05350372535811652
1049,CD4 T cell,-0.08212543197594865
1050,CD4 T cell,-0.03515554496774035
1051,CD8 T cell,-0.18437191690939206
1056,CD4 T cell,-0.17810425976737887
1057,Proximal tubule,0.10652209591257608
1060,Proximal tubule,0.10584664723072486
1061,Proximal tubule,0.09088121358172815
1062,Proximal tubule,0.07140540626694626
1063,Proximal tubule,0.1043390492383646
1064,NK cell,0.3037222012569719
1065,Proximal tubule,-0.009424385455583098
1066,B cell,0.7604526501173581
1067,Proximal tubule,0.10634198451778851
1073,B cell,0.6108105320187662
1074,B cell,0.7604432710671912
1077,Epithelial progenitor cell,0.47646871332729984
1082,Peritubular capillary endothelium 1,0.3624188569011719
1083,Glomerular endothelium,0.7975127794696473
1085,Myofibroblast,-0.43690679216403316
1086,Proximal tubule,-0.024272918553520106
1089,Proximal tubule,0.0732338359084073
1091,Proximal tubule,0.09816466362873859
1093,CD4 T cell,0.014250302036635546
1097,Proximal tubule,0.10998955795449734
1098,NK cell,-0.06597728393435545
1099,Proximal tubule,0.10914418520148117
1100,CD4 T cell,-0.318322710688886
1104,Proximal tubule,-0.33685951837203326
1105,Proximal tubule,0.0953284333977941
1106,CD4 T cell,-0.06863745965201228
1107,Proximal tubule,0.12747561391868545
1108,Proximal tubule,0.10487671903228171
1109,Proximal tubule,-0.08138293773026162
1110,Proximal tubule,0.10486281373007367
1111,Peritubular capillary endothelium 1,0.32984801183815327
1112,CD4 T cell,-0.06075482777564544
1115,Proximal tubule,0.1147959157644678
1119,Proximal tubule,0.06812034211139646
1120,Proximal tubule,0.07895361406115928
1123,B cell,0.748255631035587
1124,Glomerular endothelium,0.7799476140216081
1125,Proximal tubule,0.07980668321868674
1126,Proximal tubule,0.10732758484595842
1127,NK cell,0.20470746094675807
