,acinar,alpha,beta,delta,duct,endothelial,mesenchymal,pp,unclear
ENSG00000113194,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.1,0.6
ENSG00000105281,0.1,0.1,0.1,0.1,0.1,1.1,2.1,0.1,0.6
ENSG00000151715,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000204385,0.1,0.1,0.1,0.1,1.1,0.1,0.1,0.1,0.1
ENSG00000108848,1.1,2.1,2.1,2.1,2.1,2.1,1.1,3.1,1.5999999
ENSG00000133739,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000026297,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000226950,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1,0.1
ENSG00000126787,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000169213,0.1,4.1,3.1,1.1,0.1,0.1,0.1,3.1,0.1
ENSG00000109501,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000141086,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000065717,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000113593,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000168758,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000117758,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000185561,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.1,0.1
ENSG00000135655,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000062194,0.1,1.1,1.1,1.1,1.1,0.1,0.1,0.1,0.6
ENSG00000186369,0.1,0.1,0.1,1.1,0.1,0.1,0.1,0.1,0.1
ENSG00000161970,9.1,4.1,7.1,5.1,5.1,3.1,7.6000004,4.1,4.1
ENSG00000168439,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000165792,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000115415,0.1,0.1,1.1,0.1,1.1,0.1,1.1,1.1,0.1
ENSG00000133030,0.1,0.1,0.1,0.1,0.1,2.1,1.1,0.1,0.1
ENSG00000196227,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
ENSG00000163584,0.1,0.1,0.1,0.1,0.1,0.1,1.1,0.1,0.6
