,Ascending vasa recta endothelium,B cell,CD4 T cell,CD8 T cell,Connecting tubule,Descending vasa recta endothelium,Distinct proximal tubule 1,Distinct proximal tubule 2,Epithelial progenitor cell,Fibroblast,Glomerular endothelium,Indistinct intercalated cell,MNP-a/classical monocyte derived,MNP-b/non-classical monocyte derived,MNP-c/dendritic cell,MNP-d/Tissue macrophage,Mast cell,Myofibroblast,NK cell,NKT cell,Neutrophil,Pelvic epithelium,Peritubular capillary endothelium 1,Peritubular capillary endothelium 2,Plasmacytoid dendritic cell,Podocyte,Principal cell,Proliferating Proximal Tubule,Proximal tubule,Thick ascending limb of Loop of Henle,Type A intercalated cell,Type B intercalated cell
ENSG00000154856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8676576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000141401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6283191,0.0
ENSG00000141385,0.0,0.0,0.0,0.0,0.47785628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78928137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7159209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37602106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000067900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7019758,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101773,0.0,0.0,0.0,0.0,0.0,0.0,0.77932656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170558,0.0,0.0,0.0,0.0,0.0,0.0,0.7417705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000046604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2658074,0.0
ENSG00000141424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74201953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000141469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3682063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000152234,0.0,0.0,0.0,0.0,1.7430518,0.0,0.0,0.0,0.0,0.0,0.0,2.6379402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3078147,0.0,0.0,2.4663115,2.4558153,2.0604262
ENSG00000134049,0.0,0.0,0.0,0.0,0.65176284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000177576,0.0,0.0,0.0,0.0,0.40882647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000265681,0.0,1.9924014,2.002865,1.8060683,1.6504258,0.0,2.053698,2.0212734,1.7449455,0.0,0.0,2.4127526,1.9291282,1.9187245,1.9289944,0.0,0.0,1.4042598,1.7572956,2.0252333,0.0,1.9990256,0.0,1.4864864,2.6456947,0.0,1.4787521,0.0,0.0,1.951371,1.6273469,2.352865
ENSG00000196628,1.3736782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9806026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3244572,1.2040895,2.3672023,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134440,0.0,0.0,0.0,0.0,0.7595285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9203751
ENSG00000049759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1044799,1.2378321
ENSG00000166562,0.0,0.0,0.0,0.0,0.47785628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41117367,0.0,0.0,0.0,0.0,0.0,0.67476773,0.5985087
ENSG00000074695,0.0,0.0,0.0,0.0,0.85917985,0.0,0.7723308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3439445,0.0,0.0,0.0,0.0,0.0,0.68140745,0.0
ENSG00000141682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37810767,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000176641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3321667
ENSG00000166347,0.0,0.0,0.0,0.0,1.8771585,0.0,1.7366413,2.7609472,0.0,0.0,0.0,0.97817695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4994879,3.2898855,3.3840523,2.626258,1.6305352,0.0
ENSG00000133313,0.0,0.0,0.0,0.0,0.0,0.0,0.9962243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000197971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37602106,0.0,0.65523803,0.0,0.0,0.0,0.0,0.0
ENSG00000226742,0.0,0.0,0.0,0.0,0.58668655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101276,0.0,0.0,0.0,0.0,0.26104406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000088832,2.1929693,0.0,0.0,0.0,0.9483329,1.9177333,1.0624537,0.0,0.0,0.0,2.018344,0.0,1.4187866,1.8056433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0092688,2.0596297,0.521621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000125835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8092487,0.0,0.0,0.0,0.0,0.0,0.0,0.8243551
ENSG00000101361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0762408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000101265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72205216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000089063,0.0,0.0,0.0,0.0,1.1155618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1953577,0.0,0.0,0.0,1.0734725,1.1493008
ENSG00000125869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7416506,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000125863,0.0,0.0,0.0,0.0,0.47785628,0.0,0.0,0.0,0.0,0.0,0.0,0.78863513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0690233,0.76323885
ENSG00000089048,0.0,0.0,0.0,0.0,0.0,0.0,0.43470806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000125848,0.0,0.0,0.0,0.0,0.0,0.0,0.37745166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000125870,0.0,0.0,0.0,0.0,0.0,0.0,0.35516465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37810767,0.0,0.0,0.0,0.0,0.0,0.0,0.6399885
ENSG00000125868,0.0,0.0,0.0,0.0,2.2067318,1.8103317,2.1129193,1.7295682,2.441515,2.418832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0453959,0.0,0.0,0.0,1.6414967,0.0,2.5168512,1.2787509,2.1873305,2.0147789,0.0,0.0,2.9900036,1.518293,1.3789891
