,ASDC,BFU-E,Basophilic Erythroblast,CD14 Mono,CD16 Mono,CD4 Central Memory,CD4 Effector Memory,CD4 Naive,CD4 Regulatory,CD8 Central Memory,CD8 Effector Memory 1,CD8 Effector Memory 2,CD8 Naive,CD8 Tissue Resident Memory,CFU-E,CLP,Cycling Progenitor,Early GMP,Early ProMono,EoBasoMast Precursor,GMP-Cycle,GMP-Mono,GMP-Neut,HSC,Immature B,LMPP,Large Pre-B,Late ProMono,MEP,MLP,MLP-II,MPP-MkEry,MPP-MyLy,Mature B,Megakaryocyte,Megakaryocyte Precursor,NK,NK CD56high,NK Proliferating,Orthochromatic Erythroblast,Plasma Cell,Polychromatic Erythroblast,Pre-ProB,Pre-cDC,Pre-pDC,Pre-pDC Cycling,Pro-B Cycling,Pro-B VDJ,Pro-Erythroblast,Small Pre-B,Stromal,T Proliferating,cDC1,cDC2,pDC
ABCF1,0.0,0.0,0.39535233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.447613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3410309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4965893,0.0,0.0,0.0,0.0,0.0,0.0
ABHD14B,0.0,0.65030676,0.20365602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68820906,0.0,0.52159965,0.5772982,0.0,0.0,0.0,0.0,0.0,0.7682248,0.0,0.70227045,0.0,0.0,0.7455808,0.0,0.0,0.7543016,0.7486794,0.0,0.0,0.64151776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49965417,0.0,0.0,0.0,0.0,0.0,0.0
ABI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2454426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRACL,0.7496495,0.9759184,0.0,0.0,1.11151,0.0,0.0,0.0,1.030031,0.0,0.0,0.0,0.0,0.0,0.7280215,0.95832646,1.1287211,1.2204678,0.9504694,1.0430653,1.1742254,1.1899022,1.224482,0.0,0.0,1.0554214,0.6571701,0.0,1.0300312,1.0171046,0.9948553,0.9478972,0.87139404,0.0,0.0,1.4543,0.0,0.0,0.76965314,0.0,0.0,0.0,1.1919745,0.95129764,1.1348141,0.9499344,1.1011117,0.0,0.48023042,0.0,0.0,1.2368826,0.8198898,0.8101671,0.7169165
ABT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27912536,0.0,0.0,0.0,0.0,0.0,0.0
ABTB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18302524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000237819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81368315,0.82791203,0.0,0.0,0.45409378,0.0,0.0,0.0,0.0,0.53128386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91240835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR142HG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4928538,0.0,0.0
ENSG00000257698,0.0,1.7957468,1.1645069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7471846,0.86885476,1.1364696,1.4855781,0.0,1.8331226,1.4765481,1.3701637,1.5460213,0.0,0.0,1.2958992,0.0,0.0,1.8879919,0.9491915,1.1287241,1.0755553,0.0,0.0,0.0,0.9213757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3591412,0.8389482,0.0,0.0,1.3866554,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000234471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3171947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAA1,0.5327662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAA2,0.0,0.0,0.60659075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46927726,0.0,0.37612653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32747453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49154496,0.527944,0.0,0.0,0.61303395,0.0,0.0,0.0,0.0,0.0,0.0
ACADM,0.0,0.4797021,0.4067861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5255964,0.0,0.43811488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61121726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48126706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34369993,0.3944929,0.7070179,0.0,0.48164517,0.0,0.0,0.0,0.0,0.0,0.0
ACADS,0.0,0.0,0.22604084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2572889,0.0,0.0,0.0,0.0,0.0,0.0
ACADVL,0.0,0.0,0.7306762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571114,0.0,0.3124717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46871722,0.0,0.0,0.0,0.0,0.6463243,0.46114686,0.0,0.45198527,0.0,0.5032749,0.0,0.0,0.77280873,0.0,1.2345827,0.0,0.6035161,0.0,0.0
ACAP1,0.0,0.0,0.0,0.0,0.0,1.1409367,1.0935712,1.0934392,1.1597521,1.2342376,0.0,0.0,1.2452252,0.0,0.0,0.0,0.45223463,0.4384564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70708275,0.0,0.0,0.0,0.5591264,0.87888145,0.63779277,0.57831085,0.0,0.0,0.0,0.0,1.3138173,0.0,0.0,0.0,0.0,0.0,0.0,0.43739438,0.0,0.0,0.0,0.0,0.0,0.0,0.7034562,0.0,0.0,0.0
ACAT1,0.0,0.0,0.7427397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5437034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37137124,0.0,0.0,0.0,0.0,0.0,0.0,0.6817173,0.0,0.0,0.0,0.0,0.0,0.0
ACAT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41446316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63718367,0.0,0.0,0.28170156,0.0,0.0,0.0,0.0,0.0,0.0
ACBD6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36147505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3553344,0.0,0.0,0.0,0.0,0.0,0.0
ACHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26768607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACIN1,0.0,0.0,0.257462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3349828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888207,0.0,0.0,0.0,0.0,0.0,0.0
ACLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25380567,0.0,0.0,0.0,0.0,0.0,0.0
ACO2,0.0,0.0,0.2652788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37561905,0.0,0.0,0.0,0.0,0.0,0.0
ACOT13,0.0,0.0,0.25719565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41015273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40319064,0.0,0.0,0.0,0.0,0.0,0.0
ACOT7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21300109,0.0,0.0,0.0,0.0,0.0,0.0
ACP1,0.73322666,0.78997135,0.85944146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75488365,0.8224193,0.78332186,0.7252495,0.0,0.5798974,0.54355955,0.0,0.0,0.0,0.0,0.7424226,1.1010851,0.0,0.78548014,0.73892,0.7101251,0.0,0.0,0.0,1.3019288,0.93893975,0.0,0.0,0.9703778,0.9633336,0.0,0.98462105,1.1007502,0.6333647,0.8020749,0.81494415,1.1979978,1.0294523,0.847679,0.0,0.0,0.95788264,0.54375744,0.0,0.0
ACRBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9713879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39245254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSS1,0.0,0.0,0.57594806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54807925,0.0,0.0,0.0,0.0,0.0,0.0
ACTB,4.3253174,3.449532,3.3099241,4.4541826,4.757436,3.6154041,3.5422041,3.4281986,4.266868,3.6206832,3.8460226,3.9043806,3.5260286,3.7119994,3.3222241,3.3128254,3.279357,3.1029124,4.290665,2.9793053,3.0245066,3.4197013,2.8677669,2.6601107,3.4332962,2.9824996,4.428276,4.5760794,3.0849137,3.366794,3.8172889,2.7602,2.734966,3.3013582,4.956377,4.15051,4.2045746,3.917921,4.7274284,1.6271205,2.064793,2.9611824,3.5689073,4.4792614,3.6839755,4.0860434,4.240343,3.4867322,3.3194823,4.257109,3.3529243,5.0441093,5.0209694,4.7080708,3.750073
ACTG1,3.2800841,2.67425,0.5858378,2.217752,2.2742813,2.066326,2.0067565,1.9626379,2.8438685,1.9764355,2.0633204,2.0910559,2.0885215,2.032258,2.220407,3.6170592,2.7012758,2.9083898,2.8471189,2.6669781,2.5442297,2.9178889,2.549432,2.585192,1.5454404,2.95218,3.467589,2.7603922,2.935501,3.415013,3.8149452,2.8438175,2.7185035,1.4781138,2.566801,3.0585651,2.3866084,2.3099985,2.7395594,0.0,1.2482103,0.0,3.5997944,3.0526452,3.565368,3.5620282,3.3490217,3.3740141,1.099378,3.4836662,2.4013875,3.3472753,3.1409168,2.7261071,2.7637272
ACTL6A,0.0,0.0,0.59389573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4581047,0.0,0.33941805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31899622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4058989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49679238,0.0,0.58605856,0.0,0.0,0.0,0.0,0.0,0.0
ACTN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9366264,0.87038445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7423934,0.0,0.0,0.0,0.0
ACTN4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39004937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3706681,0.0,0.0,0.0,0.0,0.0,0.0
ACTR10,0.0,0.0,0.2945255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2873824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34295002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3462813,0.0,0.0,0.0,0.0,0.0,0.0
ACTR2,1.0782995,0.50339115,0.2817335,1.2563459,1.1736851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48899472,0.0,0.507488,0.5205443,1.3616834,0.0,0.6801552,0.9187427,0.5336789,0.0,0.0,0.0,0.9650889,1.4483927,0.0,0.0,0.72459245,0.0,0.0,0.0,0.0,0.65844846,0.0,0.0,0.981559,0.0,0.0,0.0,0.6461081,1.2160797,0.8067173,0.97867334,0.8388548,0.0,0.46914834,0.0,0.0,0.9812504,0.8782226,1.1468763,0.9711419
ACTR3,1.1737111,0.671194,0.72659826,0.0,1.1104169,0.0,0.0,0.0,0.9127674,0.0,0.0,0.0,0.0,0.0,0.6199075,0.0,0.593551,0.57574356,0.0,0.531284,0.48495555,0.0,0.0,0.0,0.0,0.51475275,0.9682791,0.0,0.5471262,0.0,0.78460467,0.0,0.0,0.0,0.9951968,1.0653533,0.0,0.0,1.2035997,0.0,0.0,0.7968856,0.63888866,1.0649588,0.7995051,0.9380872,0.9268756,0.0,0.6714902,0.0,0.0,1.5023026,1.269676,0.97683644,0.0
ACY3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6651508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACYP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40088484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27544987,0.0,0.0,0.0,0.0,0.0,0.0
ADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6854064,0.5187768,0.6148814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6975764,0.43302795,0.0,0.0,1.5245165,1.317122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7957288,0.0,1.3853576,1.4367324,1.2500186,1.3518347,0.0,0.0,0.0,0.5620671,0.0,0.0,0.0
ADAM28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37682575,0.0,0.0
ADAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26234925,0.0,0.0,0.0,0.0,0.0,0.0
ADD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26730815,0.0,0.0,0.0,0.0,0.0,0.0
ADD2,0.0,0.0,0.62936795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50754064,0.0,0.0,0.0,0.0,0.0,0.0,0.4791242,0.0,0.0,0.0,0.0,0.0,0.0
