,ActMac,AntiB,Arterial,C-Hepato,C-Hepato2,CD3T-lrNK,CD4T,CD8T,CD8T-cNK,Chol,CholMucus,Fibroblast,Hepato,Hepato--Mac,I-Hepato,Kupffer,Kupffer--LSEC-Doublet,LAM-like,MHCII,MatB,Monocyte,NKT--Mac-Doublet,Neutrophil,P-Hepato,P-Hepato2,Prolif,Stellate,Tcell,cDC,cNK,cvEndo,cvLSEC,cvLSEC--T-Doublet,lrNK,pDC,ppLSEC
ENSG00000009950,0.0,0.0,0.0,0.21259421,0.7810486,0.0,0.0,0.0,0.0,0.58533037,0.2674313,0.5358952,0.6200299,0.67208356,0.53464293,0.0,0.0,0.0,0.0,0.6540742,0.0,0.0,0.0,0.8562867,0.8875135,0.0,0.0,0.60256135,0.0,0.0,0.0,0.0,0.0,0.0,0.39571962,0.0
ENSG00000010256,0.0,0.0,0.0,0.13260937,0.14267594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000010278,0.0,0.0,0.5970017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08167408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08745951,0.0,0.0,0.0,0.0,0.7511874
ENSG00000010327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9205377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76290274,0.94644016,0.0,0.0,0.0
ENSG00000010610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000011347,0.0,0.0,0.0,0.0,0.10134443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000011465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89675975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000011600,1.5102952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.220047,1.0351336,2.1653588,1.8597535,0.0,1.734195,0.8891274,1.9745634,0.0,0.0,0.0,0.0,0.0,0.0,0.57357645,0.0,0.0,0.0,0.7266261,0.0,0.0
ENSG00000015475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.310058,0.0,0.0,0.0,0.0,0.0,0.16758156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000019582,4.0358944,1.0400922,0.9809603,0.0,0.0,0.6390722,0.0,0.59828734,0.55568147,0.0,0.84533,0.0,0.6509974,0.0,0.0,1.7004253,1.0825531,3.4584823,3.3544917,0.0,1.8421745,1.2806702,2.3975458,0.0,0.0,0.0,0.6028407,0.0,4.197811,0.0,0.0,0.0,0.35016984,0.0,0.0,0.0
ENSG00000019991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60013705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000021355,0.43781728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000021826,0.0,0.0,0.0,0.44007114,0.78502977,0.6072062,0.50450647,0.5350091,0.53832823,0.58957005,0.5127231,0.6578997,0.6835377,0.6423279,0.6380611,0.0,0.0,0.0,0.0,0.62875456,0.0,0.47284147,0.0,0.7440124,0.5708795,0.40941447,0.6167895,0.6111022,0.0,0.57913625,0.6342254,0.60143876,0.5734166,0.5733752,0.7013266,0.0
ENSG00000021852,0.0,0.0,0.0,0.24346596,0.4542304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21441138,0.0
ENSG00000023191,0.17569894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33100438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31709784,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000023330,0.0,0.0,0.0,0.14002419,0.10631416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22703555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000023839,0.0,0.0,0.0,0.0,0.18593676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000025423,0.0,0.0,0.0,0.70667076,0.82805264,0.0,0.46847123,0.0,0.0,0.27260965,0.0,0.40325314,0.39882964,0.0,0.7225403,0.0,0.0,0.0,0.0,0.5256529,0.0,0.0,0.0,0.5418392,0.44740933,0.0,0.353823,0.5012781,0.0,0.19473238,0.0,0.0,0.0,0.0,0.6416583,0.0
ENSG00000025708,0.4527313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27039924,0.35550028,0.0,0.55836713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000026025,1.6208161,0.09456715,0.749169,0.0,0.0,0.0,0.50450647,0.5135066,0.53832823,0.0,0.0,0.0,0.0,0.0,0.0,0.6006942,0.51165104,2.1683316,0.9550194,0.0,1.3441374,0.56248873,1.0503796,0.0,0.0,0.0,0.0,0.0,1.2075214,0.0,0.5981667,0.0,0.0,0.0,0.0,1.4656967
ENSG00000026297,0.43559572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64189863,0.5893912,0.0,0.0,0.0,0.44533294,0.0,0.0,0.0,0.0,0.0,0.18267363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000027697,0.44827893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26703557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000030582,0.65610874,0.0,0.0,0.0,0.08283387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46947923,0.35218823,1.195822,0.7188529,0.0,0.61940205,0.0,0.77171206,0.0,0.0,0.0,0.0,0.0,0.38029045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000034510,2.8243494,0.7059728,2.3351693,0.17320383,0.0,1.318541,1.08708,1.3549747,1.4609898,0.42884123,0.49879754,0.40548638,0.67315173,0.4880453,0.0,2.000585,2.2823675,2.6625834,2.6108985,0.35003096,2.7380986,1.4963526,2.8038867,0.0,0.0,0.59546113,0.4843094,0.4759121,2.464275,1.1261384,1.3616335,1.0210828,1.4885367,1.0456839,0.21143225,1.837962
ENSG00000034713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34072977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000035862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1921304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000038427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.560783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000039068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13844837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000039537,0.0,0.0,0.0,0.2310195,0.5125746,0.0,0.0,0.0,0.0,0.42926076,0.58366907,0.0,0.44756395,0.0,0.39999914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50764596,0.45391554,0.0,0.0,0.41881728,0.0,0.0,0.20937502,0.0,0.0,0.0,0.31973103,0.0
ENSG00000042493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5758574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000042753,0.35499036,0.0,0.0,0.17005488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4039411,0.51717716,0.512565,0.0,0.47123313,0.0,0.62509984,0.0,0.0,0.0,0.0,0.0,0.32183254,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000043462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24725446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000044574,0.0,0.49338633,0.5114018,0.36698562,0.64082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5578004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5196452,0.0,0.4317544,0.0,0.0,0.0,0.33760816,0.0,0.0,0.0,0.0,0.0,0.3183428,0.0
ENSG00000047457,0.0,0.45161062,0.0,0.5468501,1.0030584,1.057124,0.9970875,0.95649713,1.0133717,0.9376757,0.50240165,1.0791106,1.1182134,1.0151541,0.8952209,0.6003226,0.60199004,0.0,0.0,0.971652,0.0,0.8488349,0.0,1.1338127,1.0084695,0.6906611,0.9995893,1.0072727,0.3502552,0.85542136,0.7181966,0.8789837,0.84363556,0.8806345,0.6261107,0.3803995
ENSG00000048828,0.0,0.0,0.0,0.0,0.038868092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000049239,0.0,0.0,0.0,0.0,0.15519345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000049656,0.0,0.0,0.0,0.0,0.1186471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000049860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29136264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000051108,0.5651307,0.52109927,0.0,0.1233856,0.14875928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36673397,0.36683807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34072977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000051523,0.9669436,0.8730631,0.0,0.0,0.0,0.5572932,0.0,0.5870764,0.6083245,0.0,0.0,0.0,0.0,0.0,0.0,0.71363366,0.7027944,1.2229466,1.106169,0.0,0.9901695,0.61101365,1.4114106,0.0,0.0,0.0,0.0,0.0,0.8295058,0.22022414,0.0,0.0,0.6326622,0.0,0.0,0.0
ENSG00000052344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13844837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000052795,0.0,0.0,0.0,0.0,0.038868092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000052802,0.0,0.0,0.0,0.2781566,0.23799223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39375165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44480753,0.0
ENSG00000055955,0.0,0.0,0.0,0.16019516,0.6941694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33465365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4891411,0.45671028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000055957,0.0,0.0,0.0,0.473085,1.1872907,0.0,0.0,0.0,0.0,0.4454006,0.0,0.5606901,0.49652374,0.5730646,0.69996625,0.0,0.0,0.0,0.0,0.42828044,0.0,0.0,0.0,0.69065654,0.68451047,0.0,0.48448855,0.53670126,0.0,0.5284252,0.0,0.0,0.0,0.54624754,0.38778454,0.0
ENSG00000057593,0.0,0.0,0.0,0.0,0.226834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000057608,0.47589082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000058262,0.0,0.0,0.0,0.09216285,0.23727879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2723809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2617733,0.0
ENSG00000060566,0.0,0.0,0.0,0.15148348,0.4100036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34022838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29889,0.0
ENSG00000060762,0.0,0.0,0.0,0.26741022,0.11686812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22083446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28624594,0.0
ENSG00000060971,0.0,0.0,0.0,0.31354958,0.39893895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31022766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000061656,0.0,0.16991875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000062282,0.0,0.0,0.0,0.0,0.1460117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000062716,0.0,0.0,0.0,0.0,0.09147224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000063046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40288103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
