,2_Smooth muscle,3_EC arterial,3_Fibromyocytes,3_Lymphatic EC mature,3_Mast cells,4_Adventitial fibroblasts,4_Alveolar fibroblasts,4_Alveolar macrophages,4_B cells,4_Basal resting,4_CD4 T cells,4_CD8 T cells,4_Classical monocytes,4_DC2,4_Deuterosomal,4_EC general capillary,4_EC venous pulmonary,4_EC venous systemic,4_Ionocyte,4_Neuroendocrine,4_Peribronchial fibroblasts,4_Pericytes,4_Plasma cells,4_SMG duct,4_SMG mucous,4_Suprabasal,4_Tuft,Alveolar Mφ CCL3+,Club (nasal),Club (non-nasal),Goblet (bronchial),Goblet (nasal),Goblet (subsegmental),Interstitial Mφ perivascular,Monocyte-derived Mφ,Multiciliated (nasal),Multiciliated (non-nasal),None,SMG serous (bronchial),SMG serous (nasal),Unknown
ENSG00000162618,0.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9784032583236695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117114,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000174021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7446087598800659,0.0,0.0,0.0,0.0,0.0,0.6828786700963974,0.8119860768318177,0.0,0.0,0.7297971427440644,0.0,0.0,0.0,0.0,0.0,0.7298666223883629,0.7035977438092231,0.7227557852864266,0.65,0.784457589685917,0.0,0.698824043571949,0.6978647351264954,0.657490088045597,0.0,0.0,0.7853373661637306,0.0,0.692121559381485,0.0,0.6644736796617507,0.0,0.0
ENSG00000117151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9630927801132202,0.9698527291417122,0.0,0.0,0.0,0.0
ENSG00000153904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9903758466243744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.0
ENSG00000122417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9071977630257606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8904327109456063,0.8833874225616455,0.875,0.0,0.0,0.0,0.9362903043627739,0.9196393117308617,0.0,0.0,0.0,0.0
ENSG00000097033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9463935792446136,0.0,0.9395836040377616,0.9468326002359391,0.0,0.0,0.0,0.0,0.925,0.0,0.0,0.0,0.0,0.0
ENSG00000183291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6799828201532364,0.0,0.0,0.0,0.0,0.0,0.0,0.7377735555171967,0.0,0.0,0.0,0.823660460114479,0.8201501190662384,0.0,0.0,0.0,0.7887105107307434,0.7265223205089569,0.7043082341551781,0.696671438217163,0.7548049360513687,0.0,0.7320322304964065,0.7315106078982353,0.0,0.6768298283219337,0.0,0.0,0.0,0.675,0.0,0.0,0.7126143932342529,0.0
ENSG00000143013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.892347140610218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8797999665141105,0.0,0.8841295823454857,0.0,0.890526582300663,0.886266003549099,0.0,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0
