,AntiB,C-Hepato,C-Hepato2,CD4T,Chol,Chol--Stellate-Doublet,Chol-Doublet,CholMucus,Fibroblast,Hepato-Doublet,I-Hepato,Kupffer,Kupffer-Doublet,Monocyte,P-Hepato,P-Hepato2,Prolif,Stellate,Stellate-Doublet,Tcell-Doublet,VSMC,aStellate,cvEndo,cvLSEC,cvLSEC--Mac,cvLSEC-Doublet,lrNK,ppLSEC
KDM7A,0.0,0.21844506,0.0,0.0,0.0,0.09051539,0.1466322,0.0,0.0,0.24515265,0.0,0.0,0.2021154,0.0,0.23748863,0.15532023,0.0,0.0,0.18235406,0.16514416,0.0,0.0,0.0,0.0,0.10095533,0.23940232,0.0,0.0
PHTF2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16208649,0.0,0.0,0.0,0.0,0.0,0.0,0.25849974,0.24143957,0.08566145,0.0,0.0
FARP2,0.0,0.19311109,0.0,0.0,0.0,0.15231581,0.1709911,0.31328958,0.0,0.22336878,0.0,0.0,0.2156897,0.0,0.18563071,0.1324817,0.15364996,0.0,0.19781537,0.1574479,0.0,0.0,0.0,0.0,0.2420983,0.18096508,0.0,0.0
IFRD1,0.0,0.11448105,0.0,0.0,0.0,0.0,0.110028155,0.0,0.0,0.15218794,0.0,0.0,0.0,0.0,0.0,0.0956478,0.08845931,0.0,0.14194044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094284974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPS41,0.0,0.15891904,0.0,0.0,0.4011103,0.23632182,0.23943113,0.2640949,0.0,0.18529725,0.0,0.0,0.1933714,0.0,0.13093132,0.086292945,0.1561451,0.0,0.12765971,0.16149244,0.0,0.0,0.0,0.0,0.0,0.15533835,0.0,0.0
ARHGAP44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5482333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11774142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIPOR2,0.0,0.47690618,0.33341482,0.0,0.0,0.0,0.35958627,0.21967359,0.0,0.5177042,0.35161635,0.0,0.40705472,0.0,0.48639086,0.4375311,0.37824357,0.0,0.450794,0.399435,0.0,0.0,0.0,0.0,0.32956117,0.45731232,0.0,0.0
MARK4,0.0,0.0,0.0,0.0,0.0,0.0,0.08958739,0.0,0.0,0.08460272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059826277,0.0,0.0,0.0,0.05302134,0.15426981,0.0,0.0
PROM1,0.0,0.0,0.0,0.0,0.0,0.15231581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAFAH1B1,0.0,0.27974886,0.0,0.0,0.34547997,0.38863763,0.31619865,0.3112253,0.36904114,0.27448738,0.2642353,0.0,0.2883573,0.0,0.2611469,0.20435345,0.2901101,0.4304332,0.29519662,0.32370618,0.33052146,0.36958036,0.48541498,0.36801672,0.3260541,0.31415784,0.0,0.41730565
BLTP2,0.0,0.0,0.0,0.0,0.0,0.09051539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAS7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33369556,0.0,0.49407265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10095533,0.0,0.0,0.0
ST7L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09554713,0.0,0.0,0.0,0.0,0.0,0.0,0.06524932,0.0,0.08278153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUC7L,0.0,0.0,0.0,0.0,0.0,0.09051539,0.09091385,0.0,0.0,0.11530177,0.0,0.0,0.0,0.0,0.0,0.062862605,0.082236126,0.0,0.10556959,0.14333569,0.13432121,0.0,0.0,0.0,0.25862676,0.093868695,0.0,0.0
DNAJC11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049928006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FMO3,0.0,0.58233905,0.3160349,0.0,0.0,0.0,0.26618084,0.0,0.0460264,0.56464386,0.37878647,0.0,0.4466474,0.0,0.37722003,0.3111217,0.48976624,0.0,0.32289815,0.37491012,0.0,0.0,0.0,0.0,0.0,0.2661452,0.0,0.0
JARID2,0.3881381,0.16949493,0.0,0.0,0.0,0.15231581,0.21068351,0.2367261,0.0,0.1768575,0.0,0.64533114,0.28954834,0.86372393,0.098103404,0.11134353,0.13994458,0.0,0.18215856,0.18037313,0.0,0.0,0.0,0.0,0.6610574,0.15515722,0.0,0.0
NADK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09324678,0.0,0.0,0.0,0.0,0.0,0.09191127,0.0,0.0,0.070350304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYTH3,0.0,0.0,0.0,0.0,0.0,0.22622234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPAG9,0.0,0.36016995,0.2173487,0.0,0.24742533,0.38863763,0.34125417,0.26252592,0.3436291,0.37683645,0.3065137,0.0,0.32926026,0.0,0.33635798,0.2624653,0.29234388,0.36453927,0.36356825,0.290439,0.44300532,0.322406,0.5609561,0.35099313,0.2796686,0.37180424,0.0,0.37455145
AASS,0.0,0.5695156,0.3326313,0.0,0.0,0.09051539,0.31696928,0.0,0.35074586,0.56503975,0.3695113,0.0,0.45404658,0.0,0.4440597,0.34412995,0.34825718,0.28797403,0.43519667,0.34998125,0.0,0.47071722,0.0,0.0,0.0,0.35507205,0.0,0.0
MGST1,0.0,1.0389843,0.8763154,0.0,0.4314825,0.15231581,0.7754349,0.49758556,0.47866148,0.949566,1.0120784,0.0,0.83427507,0.0,0.8835388,1.0055697,0.84704405,0.0,0.83916247,0.80118144,0.3008747,0.0,0.0,0.0,0.11393343,0.7937029,0.0,0.0
CRY1,0.0,0.0,0.0,0.0,0.0,0.0,0.0974813,0.21967359,0.0,0.14954294,0.0,0.0,0.0,0.0,0.0,0.06449484,0.1371406,0.0,0.1379371,0.0,0.0,0.0,0.0,0.0,0.0,0.055715404,0.0,0.0
ST3GAL1,0.0,0.20550185,0.0,0.0,0.0,0.46987033,0.16081208,0.0,0.10206139,0.19414341,0.0,0.4076436,0.23168473,0.21052769,0.1780732,0.21993434,0.15841714,0.0,0.23850271,0.2356363,0.36334026,0.29679728,0.27885932,0.0,0.2550764,0.19469322,0.0,0.0
PKD1,0.0,0.0,0.0,0.0,0.0,0.13570695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEATR5B,0.0,0.0,0.0,0.0,0.0,0.2428312,0.08148159,0.21894923,0.0,0.1157829,0.0,0.0,0.0,0.0,0.0,0.0,0.14047319,0.0,0.06142742,0.08367132,0.0,0.0,0.0,0.0,0.0,0.10745701,0.0,0.0
SEC62,0.34377155,0.16231184,0.0,0.0,0.0,0.0,0.1451187,0.0,0.0,0.15834536,0.0,0.0,0.12265,0.0,0.12735787,0.17467782,0.0674607,0.0,0.16597691,0.12786058,0.0,0.0,0.0,0.0,0.0,0.11089227,0.0,0.0
CSDE1,0.274829,0.18601163,0.0,0.0,0.0,0.0,0.17699873,0.22698379,0.0,0.19557175,0.0,0.0,0.19651638,0.0,0.17380653,0.16976172,0.1622385,0.0,0.19672047,0.2103822,0.0,0.0,0.0,0.0,0.05302134,0.20730816,0.0,0.0
UBE3C,0.0,0.34203994,0.0,0.0,0.301776,0.23354852,0.3567564,0.0,0.25908095,0.3511174,0.35214803,0.0,0.34545064,0.0,0.3271949,0.25498667,0.35929245,0.0,0.3175153,0.33151746,0.3228261,0.0,0.3025152,0.0,0.39830902,0.30957422,0.0,0.0
REV3L,0.0,0.49267554,0.3239865,0.0,0.43527263,0.09051539,0.48483568,0.34216794,0.22973731,0.49088025,0.46295056,0.0,0.41316038,0.0,0.4293541,0.33378342,0.64139986,0.2493303,0.442,0.49573904,0.1961776,0.15231569,0.36447987,0.0,0.10095533,0.4057431,0.0,0.0
TENM1,0.0,0.3694768,0.44430205,0.0,0.0,0.0,0.40347505,0.0,0.0,0.5776296,0.24627523,0.0,0.4622814,0.0,0.6077818,0.42720455,0.5201756,0.0,0.39077514,0.49604028,0.0,0.0,0.0,0.0,0.0,0.40699473,0.0,0.0
MASP2,0.0,0.27801043,0.18679568,0.0,0.0,0.0,0.15224598,0.0,0.0,0.3130753,0.18424162,0.0,0.21556136,0.0,0.29279274,0.26402482,0.1303932,0.0,0.25883913,0.28148,0.0,0.0,0.0,0.0,0.0,0.21070579,0.0,0.0
VTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101121694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLXIPL,0.0,1.0680606,1.2341509,0.0,0.42141157,0.0,0.95984966,0.0,0.5489782,0.98377436,1.0504345,0.0,0.9732296,0.0,1.0296837,0.91030777,1.0045043,0.0,1.0038935,0.983637,0.0,0.0,0.0,0.0,0.0,0.89365375,0.0,0.0
BAZ1B,0.0,0.0,0.0,0.0,0.0,0.09051539,0.10836912,0.0,0.0,0.14068596,0.0,0.0,0.10699094,0.0,0.0,0.08853787,0.1700895,0.0,0.13918556,0.026301093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANBP9,0.0,0.17046517,0.0,0.0,0.0,0.2428312,0.13477503,0.0,0.0,0.20206417,0.0,0.0,0.16314784,0.0,0.15071715,0.11713043,0.27178872,0.0,0.18697944,0.17792553,0.23027688,0.0,0.0,0.0,0.0,0.1603813,0.0,0.0
ZNF207,0.41801363,0.3054404,0.0,0.0,0.2702521,0.15231581,0.3080363,0.0,0.1633534,0.32245845,0.24688633,0.2377439,0.32212666,0.0,0.30148503,0.22542936,0.31240863,0.2493303,0.28945494,0.26231843,0.17734365,0.30020833,0.56983805,0.3207903,0.38537574,0.30806816,0.0,0.29903254
CD9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17871328,0.0,0.0,0.0
NCAPD2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14417079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STAB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4225848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2066824,0.56118655,0.3640026,0.0,0.0
SLC6A13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100587234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SCMH1,0.0,0.41171807,0.26522216,0.0,0.54109025,0.15231581,0.42866883,0.26325577,0.524866,0.40384668,0.38558722,0.0,0.33650082,0.0,0.36450568,0.27048445,0.71048284,0.0,0.3630034,0.4544044,0.4006871,0.0,0.34720424,0.0,0.1625511,0.30740398,0.0,0.0
FYN,0.0,0.0,0.0,1.2532096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29410517,0.111935034,0.0,0.44953352,0.36605728,0.43161988,0.116791464,1.4998982,0.35460854
HIVEP2,0.0,0.17653665,0.0,0.0,0.30858752,0.47865582,0.2460215,0.39967513,0.18014291,0.18845506,0.0,0.0,0.0,0.0,0.1278552,0.08130944,0.07156024,0.33107534,0.22585747,0.21357173,0.16500698,0.55804,0.0,0.0,0.0,0.10748013,0.0,0.0
TSPAN9,0.0,0.38206136,0.32483587,0.0,0.0,0.0,0.31704527,0.0,0.16672996,0.41460693,0.3697877,0.0,0.30634806,0.0,0.38282263,0.33553305,0.2651072,0.0,0.33698028,0.30566365,0.23479632,0.0,0.4424752,0.401587,0.2926467,0.38965687,0.0,0.43799782
