,PP,alpha_MHC II,alpha_immature,alpha_mature,alpha_stress II,beta_MHC/autoantigen,beta_immature,beta_mature,beta_mtDNA deficient,beta_stress I,beta_stress II,delta
ENSG00000197982,1.1241199,0.0,1.1405982,1.3365948,1.1239809,0.0,1.1087618,1.342631,1.4154706,1.6242071,1.2486545,1.2158792
ENSG00000183520,0.0,0.0,0.0,0.0,0.6324575,0.0,0.34434226,0.0,0.0,0.0,0.332442,0.0
ENSG00000116954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5321424,0.0
ENSG00000174574,0.0,0.0,0.43360862,0.0,0.65802914,0.0,0.46194988,0.0,0.0,0.0,0.42672256,0.0
ENSG00000168653,2.18225,1.5384777,2.1133173,2.1837866,1.8801734,1.6536124,1.7880559,2.1473887,2.6059666,2.367415,1.7101166,2.2815595
ENSG00000127603,0.0,0.0,0.757102,0.61914474,0.6730059,0.0,0.394626,0.5286696,0.0,0.0,0.0,0.6568775
ENSG00000090621,0.0,0.0,0.0,0.0,0.0,0.0,0.38978353,0.0,0.0,0.0,0.4558781,0.0
ENSG00000084072,0.0,0.0,0.49626613,0.0,0.59155977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000131236,0.70759976,0.0,1.2997837,0.9614293,1.4660975,0.0,1.0889807,0.81949323,0.0,0.0,0.9081693,0.84143084
ENSG00000131238,0.0,1.1757795,0.595258,0.62159544,0.0,1.3311368,0.0,0.55911684,0.0,0.0,0.0,0.0
ENSG00000127125,0.0,0.0,0.7516857,0.7521811,0.7081612,0.0,0.7814767,0.76270074,0.0,0.0,0.47952557,0.7540861
ENSG00000065978,1.8911542,1.6381137,2.6657705,2.6898663,2.652694,1.891031,2.3258588,2.4710948,2.7808728,2.3384626,2.3157423,2.5966294
ENSG00000177868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.386183,0.0,0.0,0.0,0.0
ENSG00000117395,0.6603267,0.0,1.0714146,0.8800848,0.98958063,0.0,0.6570477,0.75846136,0.8194482,0.0,0.69286406,0.8981338
ENSG00000066322,0.0,0.0,0.6481839,0.0,0.51248354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159479,0.0,0.0,0.461618,0.0,0.554639,0.0,0.53344715,0.0,0.0,0.0,0.7741131,0.0
ENSG00000142949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39698833,0.0,0.0,0.0,0.0
ENSG00000117410,1.6439029,2.7567205,1.9397839,2.0184476,2.0719194,2.9122863,1.9388602,1.9247669,2.0172389,2.4208586,2.0570536,1.9254183
ENSG00000117419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45108515
ENSG00000142937,3.3311863,2.2327414,3.5674493,3.6140985,3.3848124,2.7689617,3.637051,3.677534,4.0727186,4.244778,3.812027,3.42187
ENSG00000117450,1.1686074,0.0,1.5018715,1.4104457,1.4615673,1.8987187,2.0108318,1.7430601,2.2041705,1.0734534,1.5135955,1.6044043
ENSG00000117448,1.1186578,0.0,0.82392585,0.81293523,0.81029254,0.91570085,0.70659345,0.95068276,0.92462236,1.015875,0.74494755,0.93137574
ENSG00000117472,0.0,0.0,0.0,0.0,0.0,1.0242838,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173660,1.8452798,0.0,1.7412925,1.9154766,1.5769986,1.0578289,1.8195217,1.9415138,2.233099,2.443401,2.1489275,1.953336
ENSG00000159658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32636607,0.0,0.0,0.0,0.0
ENSG00000162368,0.90652055,0.0,1.002542,0.8769988,0.97814363,0.7004664,0.8346145,0.9930028,0.9118264,1.1493125,0.7357492,0.8651646
ENSG00000162374,0.0,0.0,0.0,0.0,0.0,0.0,0.6847324,0.8712636,0.0,0.0,0.0,0.7455795
ENSG00000123091,0.0,0.0,0.7526747,0.7076636,0.766967,0.0,0.94392854,0.7732616,0.0,0.93911004,1.0308309,0.7581492
ENSG00000085831,0.0,0.0,0.7289004,0.69544834,0.6112654,0.0,0.0,0.4330965,0.0,0.0,0.0,0.25330666
ENSG00000078618,0.0,0.0,0.0,0.37281704,0.0,0.0,0.0,0.5064157,0.0,0.0,0.0,0.4667401
ENSG00000169213,1.2453263,1.1325827,1.2462987,1.1044782,0.98018235,0.7998918,0.90984386,1.1911304,0.0,0.0,0.0,1.1687131
ENSG00000117862,0.0,0.0,0.463779,0.6086391,0.69498366,0.0,0.505104,0.32162252,0.0,0.0,0.6174306,0.5836126
ENSG00000134717,0.49597424,0.0,0.8373937,0.820512,0.86234516,0.0,1.1051935,0.92021596,1.2265568,0.0,1.1637641,0.8179735
ENSG00000116171,1.3119273,0.0,1.3755559,1.5872281,1.2931619,0.0,0.91703886,1.1630089,1.4748032,1.0885688,0.73088557,1.2201715
ENSG00000162385,0.0,0.0,0.77004975,0.68747014,0.8938242,0.0,0.5003713,0.25805196,0.0,0.0,0.62746537,0.6173643
ENSG00000081870,0.0,0.0,0.0,0.6735644,0.0,0.0,0.59751,0.7365196,1.1862684,0.0,0.0,0.83342075
ENSG00000116212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4242788,0.0,0.0,0.0,0.57785136
ENSG00000116209,2.0221481,2.8633142,1.8086598,2.045351,1.8721716,3.163359,1.9413155,1.9276326,1.9931391,2.9012992,1.9534271,2.172683
ENSG00000177606,2.0456376,0.0,1.2351482,1.3680154,1.149825,0.0,0.8556368,0.79875404,0.0,1.8736359,0.8544308,1.5122154
ENSG00000162604,0.0,0.0,0.6506646,0.6551144,0.7149974,1.2641987,0.59749883,0.6926857,0.0,0.0,0.0,0.76648974
ENSG00000162607,0.0,0.0,0.0,0.0,0.0,0.0,0.56401473,0.0,0.0,0.0,0.7918051,0.0
ENSG00000162434,0.9252542,0.0,1.0107245,0.8493451,1.0784845,0.0,0.9813455,0.9091571,0.0,0.0,0.8198117,0.80567795
ENSG00000213625,0.0,0.0,0.7915242,0.6709488,0.73654366,1.0888281,0.78256464,0.73450714,0.0,0.0,0.6533537,1.0086356
ENSG00000142864,0.9291371,0.0,1.3961087,1.2499758,1.332236,0.0,1.178528,1.0649979,0.9795712,1.0417866,1.1616869,1.0949782
ENSG00000116717,0.0,0.0,0.5287282,0.0,0.8958734,0.0,0.77729416,0.5084216,0.0,1.6488963,1.4974573,0.0
ENSG00000172380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55671966
ENSG00000162595,0.8868985,0.0,0.5247191,0.54339856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94806623
ENSG00000116754,1.0509648,0.0,1.0572258,0.93565154,1.2036774,1.0628088,1.121346,1.0245591,0.0,1.2393787,1.3748119,0.978515
ENSG00000132485,0.0,0.0,0.68005913,0.5454069,0.6113391,0.0,0.3800299,0.5078874,0.0,0.0,0.74901783,0.6432208
ENSG00000116791,0.76731086,0.0,0.8043286,0.68015957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162623,0.0,0.0,0.0,0.0,0.0,0.0,0.41767493,0.5784994,0.0,0.0,0.0,0.0
ENSG00000117054,0.0,0.0,0.0,0.0,0.0,0.0,0.35876897,0.39201197,0.0,0.0,0.0,0.0
ENSG00000137955,0.0,0.0,0.6383291,0.5131889,0.57061154,0.0,0.7413377,0.57508653,0.0,1.2296206,1.3047911,0.58116806
ENSG00000137941,0.0,0.0,0.0,0.0,0.0,0.0,0.4963111,0.609129,0.0,0.0,0.709158,0.0
ENSG00000142875,0.62355953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117133,0.0,0.0,0.636863,0.0,0.6327131,0.0,0.60187006,0.24089344,0.0,0.0,0.47768033,0.61470264
ENSG00000174021,1.6815937,0.0,2.2910028,2.0978749,2.1541395,0.7756519,1.7976438,1.3409011,1.6668395,0.97420245,1.6446784,1.8478147
ENSG00000117151,0.0,0.0,0.0,0.5386876,0.0,0.0,0.4519734,0.42413774,0.0,0.0,0.0,0.0
ENSG00000117155,0.0,0.0,0.0,0.7818163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71440417,0.0
ENSG00000097033,0.81098187,0.0,1.6551381,1.2447284,1.5032698,0.0,1.4402081,0.9953035,1.181694,1.1910298,1.5561975,1.0213716
ENSG00000183291,1.1394635,1.6814519,1.5934061,1.5023236,1.5713613,2.029754,1.5217819,1.5793433,1.6106132,1.3420948,1.7154746,1.517558
ENSG00000122406,2.75819,2.07196,3.0633607,3.209392,2.975421,2.756547,3.5524046,3.5471766,3.841615,4.4856405,3.8577826,3.1708655
ENSG00000117500,0.0,0.0,0.0,0.0,0.37674692,0.0,0.0,0.0,0.0,0.0,0.7536957,0.0
ENSG00000067334,0.0,0.0,0.71058375,0.0,0.72656965,0.0,0.60823536,0.0,0.0,0.0,0.636502,0.40815255
ENSG00000023909,0.59171045,0.0,1.0631932,0.8672486,1.2096049,0.0,1.0989943,0.6598367,0.0,0.0,1.1161668,0.71790564
ENSG00000137996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7438277,0.0
ENSG00000134186,0.0,0.0,0.0,0.0,0.0,0.0,0.54070103,0.48654738,0.0,0.0,0.5864807,0.40444988
ENSG00000215717,0.0,0.0,0.0,0.0,0.0,0.0,0.35468376,0.0,0.0,0.0,0.6981348,0.0
ENSG00000116299,0.9832706,1.536736,0.0,0.73779655,0.0,1.171562,0.0,0.627051,0.0,0.8202755,0.0,0.55341846
ENSG00000031698,0.9565305,0.0,1.2308335,0.9664524,1.6827614,0.8609199,1.3363761,0.92738295,1.066067,1.1850027,1.7676449,0.8437605
ENSG00000143106,0.77375185,0.0,0.9465298,0.91539073,0.99614704,0.0,1.0132366,0.85997295,1.2308918,0.69892573,1.2848767,0.98000145
ENSG00000065135,0.0,0.0,0.62116647,0.0,0.7425459,0.0,0.34985062,0.0,0.0,0.0,0.48663625,0.0
ENSG00000168710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6374309,0.0,0.0,0.0,0.4701144
ENSG00000134248,1.6102433,0.0,1.960505,1.9266567,2.013789,1.1661955,1.6562078,1.5446044,1.9590874,1.5851167,1.5717494,1.7321845
ENSG00000116459,1.0363182,0.0,1.1017151,1.151057,1.0419145,1.2237353,0.81632996,0.9733899,1.257036,1.3667182,0.91364604,1.1155545
ENSG00000116473,0.0,0.0,0.7834327,0.6666638,0.7391303,0.0,0.5747322,0.34663668,0.0,0.0,0.0,0.5799623
ENSG00000116489,0.0,0.0,0.5896723,0.0,0.53735703,0.0,0.2969509,0.0,0.0,0.0,0.53690547,0.0
ENSG00000155366,0.0,0.0,1.8886944,1.0834992,1.3443886,0.0,0.0,0.0,0.0,0.0,0.0,1.4525573
ENSG00000116752,0.0,0.0,0.5389935,0.0,0.6653664,0.0,0.62002635,0.40878895,0.0,0.89507025,0.77841264,0.5766902
ENSG00000009307,1.0064445,0.0,0.9861485,1.1098968,0.95279944,0.86899924,1.2042638,1.1293632,0.0,1.3083003,1.24221,1.0606556
ENSG00000163399,0.99080485,1.6128631,0.78727454,0.87921166,0.6898924,1.613785,0.6123747,0.80116534,0.0,1.0216287,0.0,0.8756119
ENSG00000198162,0.0,0.0,0.0,0.0,0.0,0.0,0.7716127,0.8111886,0.0,0.7419001,1.1152209,0.3807637
ENSG00000178104,0.69414634,0.0,0.7181322,0.75505227,0.75347954,0.0,0.90798277,0.94776297,0.0,0.0,1.2002854,0.70222044
ENSG00000121851,0.0,0.0,0.0,0.67293376,0.0,0.0,0.4672741,0.6120631,0.0,0.0,0.0,0.61576885
ENSG00000184678,0.0,0.0,0.5957798,0.0,0.6336523,0.0,0.32220346,0.0,0.0,0.0,0.0,0.0
ENSG00000143368,0.0,0.0,0.59304905,0.0,0.6662766,0.0,0.4215859,0.0,0.0,0.0,0.0,0.0
ENSG00000143401,0.0,0.0,0.0,0.0,0.0,0.0,0.35326523,0.0,0.0,0.0,0.0,0.0
ENSG00000117362,0.0,0.0,0.7340505,0.6677124,0.7484581,0.6893335,0.675423,0.6051292,0.0,0.8259478,0.6663784,0.6366447
ENSG00000143384,0.6770647,0.0,0.6099927,0.0,0.0,0.0,0.4690092,0.0,0.0,0.0,0.65314627,0.5960726
ENSG00000143420,1.0794848,0.0,1.3421799,1.4128518,1.2979933,0.0,1.109348,1.2583927,1.4613658,1.2453597,1.0237103,1.2062123
ENSG00000143418,0.0,0.0,0.39123863,0.40794706,0.0,0.0,0.0,0.38096607,0.0,0.0,0.0,0.0
ENSG00000197622,0.0,0.0,0.58812803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000213190,0.0,0.0,0.85079414,0.84977114,0.7996203,0.0,0.5568359,0.67943466,0.0,0.0,0.0,0.0
ENSG00000163156,0.0,0.0,0.0,0.0,0.4066468,0.0,0.40863442,0.0,0.0,0.0,0.31692713,0.0
ENSG00000159352,0.86813253,0.0,0.98821896,0.99230236,0.8882922,0.0,0.94027066,0.90992683,1.1437857,1.0728356,0.7669443,1.0158617
ENSG00000159377,0.95350736,0.0,0.9553568,0.9457308,0.91086656,0.0,0.7934975,0.9008518,1.2199304,0.38478786,0.66222256,1.0095935
ENSG00000143436,0.0,0.0,0.6854131,0.638971,0.68352544,0.0,0.5881241,0.4580298,0.0,0.0,0.0,0.40578422
ENSG00000197747,2.5496256,0.0,2.7443254,2.0569913,1.8488694,0.0,0.548003,0.34099567,0.9865631,0.0,0.0,2.1483936
ENSG00000163191,2.2906501,0.0,2.9691067,2.2152982,2.282591,1.3819753,1.5522597,1.7939315,2.385995,1.0918068,1.1539054,2.444471
ENSG00000197956,2.900824,2.9063551,4.1629167,3.2922266,3.2314405,2.2959373,2.081387,2.18321,2.5434318,1.9874953,1.5263684,3.9127913
ENSG00000160679,0.0,0.0,0.7496609,0.65975016,0.7942734,0.0,0.7148735,0.56903183,0.0,0.0,0.89756876,0.6126305
ENSG00000143553,0.0,0.0,0.0,0.0,0.0,0.0,0.43720746,0.0,0.0,0.0,0.0,0.0
ENSG00000143621,0.695309,0.0,0.92033637,0.7279059,1.0221175,0.0,0.851186,0.7039745,0.83469,1.3172091,1.5786268,0.87920195
ENSG00000143570,0.4431943,1.4975412,1.2616873,1.0872531,1.307477,1.1726699,0.93935513,0.645773,0.0,0.0,0.74749607,0.78148973
