,Differentiated keratinocytes I,Differentiated keratinocytes II,Endothelial cells,Fibroblasts I,Fibroblasts II,Immune,Melanocytes/melanocyte-like,Pericytes,Terminally differentiated keratinocytes,Undifferentiated keratinocytes I,Undifferentiated keratinocytes II
SH3GLB1,0.54708016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SELENOF,0.39274198,0.0,0.0,0.0,0.66629475,0.0,0.0,0.0,0.0,0.0,0.0
LMO4,0.76074183,0.5479633,0.0,0.0,0.0,0.0,0.0,0.0,0.49179304,0.0,0.63191843
RPL5,3.4087648,3.5102026,3.4025927,3.0390153,2.9380674,3.1489344,2.5316372,3.54196,2.6739361,3.5808208,3.4949484
ARHGAP29,0.0,0.0,1.1719525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNN3,0.0,0.0,1.0827353,0.0,1.3063079,0.0,1.4227744,0.0,0.0,0.0,0.0
PALMD,0.55002666,0.0,1.0699208,0.0,0.0,0.0,0.0,0.0,0.26939043,0.0,0.0
PRPF38B,0.39286736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5529567
SARS1,0.38802636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52377963,0.0,0.0
GNAI3,0.62526137,0.6026902,0.0,0.0,0.0,0.0,0.0,0.0,0.81342137,0.57716185,0.60583293
GSTM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46166763
AHCYL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36502707,0.0,0.0
LAMTOR5,0.69070613,0.6028025,0.0,0.0,0.0,0.0,0.0,0.0,0.59211254,0.64795274,0.7042551
ATP5PB,0.7614246,0.6386987,0.0,0.0,0.0,0.0,0.0,0.0,0.58097136,0.68939567,0.85722923
CAPZA1,0.55991596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6731807,0.0,0.48790118
RHOC,0.28733695,0.0,1.2729495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75510836
OLFML3,0.0,0.0,0.0,0.0,1.1568115,0.0,0.0,0.0,0.0,0.0,0.0
BCAS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5184193
DENND2C,0.0,0.69025975,0.0,0.0,0.0,0.0,0.0,0.0,0.6766765,0.0,0.0
CSDE1,1.0482172,0.9613091,0.9432772,0.0,0.0,0.0,0.0,0.0,1.3816347,0.9868586,0.8730956
ATP1A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84802234,0.7558857
