,cd3_gd,cd4_cm,cd4_naive,cd4_tem,cd4_temra,cd4_treg,cd4_trm,cd8_cm,cd8_mait,cd8_naive,cd8_tem,cd8_temra,cd8_trm,dc1,dc2,ilc1,ilc3,macrophage,monocyte_classical,monocyte_nonclassical,nk_cd56br,nk_cd56dim,nk_ilc_precursor,pdc,progenitor
SZRD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24626377,0.0,0.0,0.0,0.17175296,0.09426282,0.81917185,0.0,0.0,0.0,0.09743264,0.0,0.0,0.0,0.0,0.04027592
NECAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09407023
SDHB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23535323,0.17853028,0.0,0.0,0.0,0.0,0.29064208,0.0,0.0,0.0,0.0,0.19261068
PADI2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22231652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17175296,0.31611395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28146034
IFFO2,0.0,0.0,0.0,0.0,0.0,0.0,0.49128005,0.43390223,0.59071034,0.3783245,0.0,0.0,0.0,0.18252228,0.22510073,0.6771769,0.0,0.0,0.0,0.0,0.4463143,0.0,0.41821045,0.0,0.0
UBR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3221678,0.0,0.0,0.0,0.0,0.0,0.2898581
MRTO4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09407023
AKR7A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3368163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC66A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16942969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPZB,0.63785684,0.70368016,0.5477622,0.82636607,0.7736868,0.74545205,0.6951987,0.4932433,0.6137244,0.5777588,0.6935694,0.6640362,0.6875994,0.7891141,0.7015377,1.1415589,0.7381015,1.0542526,0.87651634,0.9381478,0.6903067,0.74516636,0.641985,0.6109844,0.6002811
MICOS10,0.0,0.4343335,0.0,0.28968152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44075963,0.37227812,0.0,0.0,0.46285197,0.547897,0.65299946,0.0,0.0,0.0,0.0,0.3040856
CDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45959944,0.29451397,0.0,0.0,0.0,0.0,0.0
DDOST,0.37457544,0.0,0.0,0.0,0.3123876,0.33736405,0.0,0.0,0.4327549,0.0,0.0,0.0,0.0,0.46808073,0.57294226,0.5368143,0.5583298,0.31732863,0.0,0.23540527,0.5505151,0.5751537,0.5095669,0.8298814,0.5967485
HP1BP3,0.54741615,0.47055042,0.0,0.51927567,0.53251755,0.43744943,0.49264666,0.46858236,0.4966724,0.5306828,0.5654657,0.48839408,0.0,0.2881239,0.29129028,0.6771769,0.0,0.19932641,0.0,0.33661544,0.51164186,0.53621185,0.5990404,0.38730395,0.5365765
EIF4G3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23535323,0.172463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12252927,0.25536612
USP48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16685241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33421904
CDC42,0.92419744,1.0568603,0.8675039,0.9799987,1.1534483,0.9396112,0.9745072,1.080035,0.93142354,1.1651516,0.9046843,0.95717293,0.9737047,0.872476,1.0606041,0.7042781,1.1765769,1.155741,1.094976,1.2072332,0.9306227,1.0881369,0.9715509,0.68078446,0.6932844
C1QA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4397601,0.0,0.4470492,0.0,0.0,0.0,0.0,0.0
KDM1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18252228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2783518
HNRNPR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5105304,0.0,0.0,0.0,0.42573252,0.39441177,0.0,0.0,0.0,0.0,0.28055978,0.4764797,0.0,0.41821045,0.29645294,0.4830612
RPL11,2.4660554,3.181116,3.3650095,2.6942687,2.5765774,2.8139558,2.6602037,3.0202,2.6230633,3.0078936,2.6528935,2.5138671,2.569678,2.7926493,2.6458523,2.5052197,2.1276383,2.4193625,2.2561762,2.475995,2.345982,2.1309435,2.3248656,2.7530432,2.9827344
PITHD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17284858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3038655
LYPLA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124584585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FUCA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1814674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNRC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16942969,0.27869868,0.0,0.0,0.09069399,0.0,0.27156878,0.0,0.0,0.0,0.34465635,0.07872557
SRSF10,0.54706013,0.4261886,0.0,0.36351484,0.0,0.47201857,0.0,0.0,0.39771783,0.4998296,0.0,0.0,0.0,0.29163602,0.27475888,0.0,0.6384646,0.0,0.0,0.0,0.5194745,0.5237287,0.5261007,0.42480242,0.687811
RCAN3,0.0,0.4465528,0.7529447,0.0,0.0,0.48230666,0.0,0.0,0.0,0.24626377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRRM1,0.729836,0.73418605,0.5831197,0.6367303,0.66447675,0.7442728,0.7458661,0.7486102,0.60442734,0.6400416,0.69063103,0.73346907,0.73940694,0.606939,0.55848086,1.0263976,0.7381015,0.5790837,0.412865,0.47091836,0.7060549,0.69598645,0.717671,0.78789437,0.62480617
CLIC4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31834525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04027592
RUNX3,0.8077961,0.0,0.0,0.37685752,0.59594345,0.0,0.503554,0.500458,0.4733665,0.0,0.61701655,0.78087014,0.7736114,0.124584585,0.23200125,0.5368143,0.0,0.0,0.0,0.28650337,0.6293194,0.667856,0.60163164,0.0,0.0
SYF2,0.0,0.0,0.43789664,0.0,0.52774143,0.0,0.0,0.500458,0.0,0.5513413,0.0,0.0,0.0,0.31828564,0.22971925,0.0,0.0,0.0,0.3558219,0.41702944,0.0,0.0,0.0,0.44418892,0.04027592
