,Cell_label,silhouette_score
400522_Aged2_400522_4,Conventional dendritic cell 2,0.5503073437249056
219708_Aged2_219708_4,Pre-B cells,0.49922873864749173
256641_Aged2_256641_4,Non-classical monocytes,0.64336492601463
152110_Aged2_152110_4,Pre-B cells,0.42332411693485966
883600_Aged2_883600_4,Late erythroid progenitor,0.4930901941571658
289336_Aged2_289336_4,Plasmacytoid dendritic cell progenitors,0.463694572304603
581179_Aged2_581179_4,Pro-B cells,0.389171312009156
563129_Aged2_563129_4,Early erythroid progenitor,0.5711577138861633
395517_Aged2_395517_4,Conventional dendritic cell 2,0.5421874985978494
505696_Aged2_505696_4,Myelocytes,0.032223570909490726
406054_Aged2_406054_4,Plasmacytoid dendritic cells,0.7130210644567869
213496_Aged2_213496_4,Nonswitched memory B cells,0.1959092892202685
149974_Aged2_149974_4,Conventional dendritic cell 2,0.48754667104979454
388856_Aged2_388856_4,Pre-B cells,-0.002956537017783057
419121_Aged2_419121_4,Classical Monocytes,0.5253958473838143
118980_Aged2_118980_4,Conventional dendritic cell 1,0.07180871202924395
457101_Aged2_457101_4,Pro-B cells,0.43092743857880667
66685_Aged2_66685_4,Pro-B cells,0.1666702603354711
873635_Aged2_873635_4,Pre-B cells,0.41050432737699305
529715_Aged2_529715_4,Pre-B cells,0.4431186278491141
268281_Aged2_268281_4,Conventional dendritic cell 2,0.6303734434032496
818233_Aged2_818233_4,Pre-B cells,-0.4229192221748357
382929_Aged2_382929_4,Conventional dendritic cell 1,-0.1933331502056768
44152_Aged2_44152_4,Nonswitched memory B cells,0.23539076967822228
800991_Aged2_800991_4,Lymphomyeloid prog,0.08684653758009055
882404_Aged2_882404_4,Early erythroid progenitor,0.5875123353155994
375643_Aged2_375643_4,Pro-B cells,0.4083164914820557
139052_Aged2_139052_4,Pre-B cells,0.4607431508315273
110054_Aged2_110054_4,Plasmacytoid dendritic cell progenitors,0.37596201074813723
440174_Aged2_440174_4,Classical Monocytes,-0.18196314369367964
242439_Aged2_242439_4,Pro-B cells,0.17394275939054335
22466_Aged2_22466_4,Pre-B cells,0.40994519932145873
692333_Aged2_692333_4,Pro-B cells,0.36801497669143707
783119_Aged2_783119_4,Pre-B cells,0.5244724441602188
83638_Aged2_83638_4,Lymphomyeloid prog,-0.26734928466067037
709084_Aged2_709084_4,Conventional dendritic cell 2,0.5788411412269077
197014_Aged2_197014_4,Late erythroid progenitor,0.574000642569145
273328_Aged2_273328_4,Pro-B cells,0.06778514660400901
311481_Aged2_311481_4,Conventional dendritic cell 2,0.6192215120705128
390445_Aged2_390445_4,Conventional dendritic cell 1,0.21971267604478403
112369_Aged2_112369_4,Pro-B cells,0.38834519438175447
768452_Aged2_768452_4,Pre-B cells,0.3645645670740034
444415_Aged2_444415_4,Pre-B cells,0.4160136852770109
343339_Aged2_343339_4,Conventional dendritic cell 1,0.37104819455509197
161300_Aged2_161300_4,HSCs & MPPs,0.039421458059293445
92369_Aged2_92369_4,Late erythroid progenitor,0.005907177321141174
273364_Aged2_273364_4,Pre-B cells,0.07250013973686742
626242_Aged2_626242_4,Lymphomyeloid prog,0.25064872155882784
737011_Aged2_737011_4,HSCs & MPPs,-0.35814992793404576
145263_Aged2_145263_4,Early erythroid progenitor,0.5800179735744532
55691_Aged2_55691_4,Conventional dendritic cell 1,0.23206101611382565
353686_Aged2_353686_4,Pre-B cells,0.08125362826239693
753562_Aged2_753562_4,Conventional dendritic cell 2,0.6305985517382136
557525_Aged2_557525_4,Lymphomyeloid prog,0.3168383902341709
414125_Aged2_414125_4,Plasmacytoid dendritic cell progenitors,0.37121209315578235
435252_Aged2_435252_4,Early erythroid progenitor,0.46380297650568714
849830_Aged2_849830_4,Pre-B cells,0.181842115082031
489521_Aged2_489521_4,Conventional dendritic cell 2,-0.5635299756312894
754822_Aged2_754822_4,Pro-B cells,0.43466786269633434
663305_Aged2_663305_4,Early erythroid progenitor,0.5707371148016329
46588_Aged2_46588_4,CD8+CD103+ tissue resident memory T cells,-0.4140256182447545
801345_Aged2_801345_4,Conventional dendritic cell 1,-0.29272373913543326
536183_Aged2_536183_4,Late erythroid progenitor,0.510086316199531
794766_Aged2_794766_4,Pro-B cells,0.13598124684144075
549666_Aged2_549666_4,Late erythroid progenitor,0.6117669299050842
224485_Aged2_224485_4,Conventional dendritic cell 2,0.34430620296133235
58188_Aged2_58188_4,Pro-B cells,0.31422764918954255
847830_Aged2_847830_4,Pro-B cells,0.32944221200268925
755120_Aged2_755120_4,Pro-B cells,0.4209718131486669
398462_Aged2_398462_4,Conventional dendritic cell 2,0.5843829617388075
519167_Aged2_519167_4,Plasma cells,-0.6751121454549436
325294_Aged2_325294_4,Non-classical monocytes,0.7092957608745273
850212_Aged2_850212_4,Pre-B cells,0.4851704983916538
249539_Aged2_249539_4,Pre-B cells,-0.17030387430102478
14952_Aged2_14952_4,Pre-B cells,0.028831188404069074
666191_Aged2_666191_4,Pre-B cells,0.2859076933606565
96362_Aged2_96362_4,Aberrant erythroid,0.5932079870013542
801158_Aged2_801158_4,Pre-B cells,0.5219239318617813
605231_Aged2_605231_4,Pro-B cells,0.08179711242033594
129676_Aged2_129676_4,CD8+CD103+ tissue resident memory T cells,-0.16622703014142687
530753_Aged2_530753_4,CD56brightCD16- NK cells,0.2943684740786375
425495_Aged2_425495_4,Non-classical monocytes,0.573919389855885
255426_Aged2_255426_4,Late erythroid progenitor,0.05896426133701069
106570_Aged2_106570_4,Non-classical monocytes,0.6322599360569191
759316_Aged2_759316_4,Pro-B cells,0.3434178443943647
512913_Aged2_512913_4,CD4+ memory T cells,-0.5409632493004431
407166_Aged2_407166_4,Conventional dendritic cell 1,0.3706851863854158
98000_Aged2_98000_4,Late erythroid progenitor,0.526530675909437
443934_Aged2_443934_4,Pre-B cells,-0.317535042407675
728297_Aged2_728297_4,Pre-B cells,0.3544590258648397
178825_Aged2_178825_4,Pro-B cells,-0.2772729720840215
37747_Aged2_37747_4,Plasmacytoid dendritic cells,0.70537283093066
871236_Aged2_871236_4,Late promyelocytes,0.22516268619538823
146984_Aged2_146984_4,Early erythroid progenitor,0.44066002070967014
552795_Aged2_552795_4,CD8+CD103+ tissue resident memory T cells,-0.4065697670991966
707668_Aged2_707668_4,Conventional dendritic cell 1,0.20376342847474907
23277_Aged2_23277_4,Pro-B cells,0.12761915841935428
297041_Aged2_297041_4,HSCs & MPPs,0.556729674372014
367542_Aged2_367542_4,Conventional dendritic cell 2,-0.5197990838891708
568961_Aged2_568961_4,Plasmacytoid dendritic cell progenitors,0.38360132652329954
702127_Aged2_702127_4,CD8+CD103+ tissue resident memory T cells,-0.24668986650903302
403629_Aged2_403629_4,Pre-B cells,0.5179045882299899
199495_Aged2_199495_4,Conventional dendritic cell 2,-0.043398857325305074
27461_Aged2_27461_4,Pro-B cells,0.3683830681542121
17678_Aged2_17678_4,Pre-B cells,0.33353737665621114
621638_Aged2_621638_4,HSCs & MPPs,0.6010777658047464
489800_Aged2_489800_4,Pre-B cells,0.41886783007958317
730400_Aged2_730400_4,Conventional dendritic cell 2,0.3219781747442848
338677_Aged2_338677_4,Early erythroid progenitor,0.14125186070940882
180875_Aged2_180875_4,CD4+ memory T cells,0.22322034348706077
663680_Aged2_663680_4,HSCs & MPPs,0.5461343592731718
418008_Aged2_418008_4,Pro-B cells,0.2602097820743623
731832_Aged2_731832_4,Nonswitched memory B cells,0.3110028742586622
61856_Aged2_61856_4,Pro-B cells,0.25467574182850367
216790_Aged2_216790_4,CD4+ memory T cells,0.11778468402913003
379563_Aged2_379563_4,Pro-B cells,0.28683297855857076
82022_Aged2_82022_4,Pre-B cells,0.5346433178074353
748316_Aged2_748316_4,Early promyelocytes,-0.031150928372364793
23347_Aged2_23347_4,Classical Monocytes,0.5258267587223451
300903_Aged2_300903_4,CD4+ memory T cells,0.15796962796733943
