,B,CCDlike,CNT,CTAL,DCT,Endothelial,ICA,ICB,LOHlike,MNP,Mesangial,NK,PC,PEC,PT,Podocytes,T cell,VCAM1_PT,unknown
ENSG00000053372,0.0,0.0,0.9585451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162482,0.0,0.0,0.0,0.0,0.49881527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9212432,0.0,0.0,0.0,0.0
ENSG00000053371,0.0,0.9089204,3.9744854,0.99354863,0.99239963,0.0,0.9148803,0.9878601,0.0,0.0,0.0,0.0,1.8710265,0.99407125,2.8874905,0.0,0.0,1.9266949,0.96604556
ENSG00000077549,0.0,0.0,5.971079,0.99485195,1.9032528,0.0,1.9580348,1.9601829,0.0,0.99784845,0.97695446,0.0,1.9794556,0.9956263,0.946253,1.4791428,0.0,1.9244182,0.9763476
ENSG00000173436,0.0,1.9714264,13.818306,3.9141216,4.8311567,0.0,5.830244,4.902174,0.9846381,0.9801239,0.9626044,0.0,5.968323,0.99406654,0.9968062,0.0,0.0,1.9609437,0.9790375
ENSG00000158747,0.0,0.0,0.99295413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99853706,1.9738479,0.0,0.0,0.0,0.0,0.0
ENSG00000162542,0.0,0.0,0.99639994,0.0,0.0,0.0,0.98684525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000178828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88577074,0.0,0.0,0.0,0.0
ENSG00000162545,0.0,2.9679916,38.24366,0.9747575,3.9007494,0.0,10.373237,7.986809,0.0,0.0,0.0,0.0,15.803757,2.4114,2.8757353,0.0,0.0,2.9790735,0.99358815
ENSG00000158825,0.0,0.0,3.965537,0.0,0.0,0.0,1.9596579,4.987404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000158828,0.0,0.0,3.9670196,0.99036336,0.99693453,0.9573742,0.9935663,0.98506045,0.0,0.0,0.0,0.0,0.9956416,0.0,0.0,0.0,0.0,0.9506945,0.0
ENSG00000244038,0.0,0.0,2.4527602,0.9684304,0.0,0.0,0.96640134,0.98767155,0.0,0.0,0.0,0.0,1.9183563,0.99176204,0.0,0.0,0.0,0.98511016,0.9687473
ENSG00000127483,0.0,0.9697241,6.9808755,1.985579,1.9662485,0.98825765,2.9887192,1.9910069,0.0,0.9941253,0.98596644,0.99534714,2.9949937,1.9983777,0.95717424,0.96820605,0.991429,0.9947264,1.9154539
ENSG00000075151,0.0,0.0,0.9823736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9743199,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117298,0.0,0.0,0.9039359,0.0,0.0,0.996083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000076864,0.0,0.0,2.4448764,0.99420094,0.0,0.0,0.99478626,0.0,0.0,0.0,0.0,0.0,0.0,0.9922215,0.0,0.0,0.0,0.0,0.0
ENSG00000090686,0.0,0.0,0.9966031,0.0,0.0,0.0,0.94350046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000142798,0.0,0.0,0.0,0.0,0.0,1.9988122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000070831,0.9893448,0.9758727,7.8476567,1.9593465,1.9746841,0.9975879,2.981635,2.3911796,0.92321324,1.9960016,0.9956895,0.9978856,4.9280524,2.9859838,0.96093696,0.0,0.9940975,2.9622722,1.9936779
ENSG00000173372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000159189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9656706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9952704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000004487,0.0,0.0,0.99168456,0.0,0.0,0.0,0.9525963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000169641,0.0,0.0,1.9857882,0.0,0.9584962,0.9856161,0.9423326,0.0,0.0,0.0,0.0,0.0,0.943271,0.0,0.0,0.0,0.0,0.9535048,0.0
ENSG00000125944,0.0,0.92160547,4.4198112,1.9609976,0.98728764,0.9733043,1.9485159,0.99731207,0.0,0.99266726,0.9872683,0.0,1.9761088,1.991888,0.0,0.0,0.0,0.9875478,0.99139506
ENSG00000204219,0.0,0.0,3.9027357,0.9979296,0.98111725,0.0,0.967623,0.9473804,0.0,0.0,0.0,0.0,1.9218104,0.98389417,0.97737265,0.0,0.0,1.9373056,0.98378134
ENSG00000117318,0.0,0.0,2.1931396,0.0,0.0,1.9814483,0.5752013,1.9038262,0.0,0.0,1.9913175,0.0,3.911876,0.0,0.0,0.0,0.0,0.0,5.9477696
ENSG00000142676,21.768583,13.966173,107.85806,28.76181,19.77052,8.58997,47.37115,38.161934,8.854323,21.82339,10.747485,6.9706783,27.742332,36.312317,11.826973,3.245635,12.971235,33.878017,22.68962
ENSG00000011007,0.0,0.0,0.97374105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000057757,0.0,0.0,1.9730777,0.0,0.0,0.0,0.9409776,0.0,0.0,0.0,0.0,0.0,0.9696912,0.46995893,0.0,0.0,0.0,0.0,0.0
ENSG00000011009,0.0,0.0,0.9888847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
