,acinar,acinar_minor_mhcclassII,alpha,beta_major,beta_minor,delta,duct_acinar_related,duct_major,endothelial,epsilon,hybrid,immune_stellates,pp,stellates
ENSG00000247516,0.0,0.0,0.0,0.38733125,0.0,0.0,0.0,0.0,0.0,0.0,0.5694767,0.0,0.0,0.0
ENSG00000102265,0.0,0.0,1.5465717,1.3612248,1.3910131,1.649661,0.5126053,1.105594,1.5828598,0.0,0.9964224,0.8249307,1.3946966,3.9579692
ENSG00000148154,0.0,0.0,0.0,0.0,0.0,0.0,0.8821677,0.706614,0.0,0.0,0.0,0.0,0.0,0.2997048
ENSG00000110917,0.0,0.0,0.0,0.2153051,0.0,0.0,0.0,0.5188181,0.0,0.0,0.0,0.0,0.0,0.43850672
ENSG00000131174,0.5093103,1.0171015,1.2846365,1.0492328,0.8589152,1.051529,1.4312851,1.6202449,1.6658626,0.0,1.1977556,0.0,0.76847285,1.4586143
ENSG00000164949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9227518
ENSG00000102580,0.23083329,0.0,0.6863791,0.50283533,0.23013088,0.555828,0.8169676,0.7272608,0.57546544,0.0,0.7249545,0.0,0.4033266,0.77285576
ENSG00000073712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38895118
ENSG00000197063,0.0,0.0,0.47105643,0.33529922,0.0,0.0,0.69374794,0.0,0.0,0.0,0.0,0.0,0.0,0.32206374
ENSG00000198258,0.51975584,1.2013836,1.5726645,1.5919567,1.5782048,1.5207193,1.4908148,1.8313383,1.5083518,0.0,1.2590187,1.3866507,1.1986443,1.5462527
ENSG00000144451,0.0,0.0,0.0,0.19756024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162585,0.0,0.0,0.687078,0.6123949,0.43556577,0.52934057,0.1824038,0.59648603,0.0,0.0,0.58801866,0.0,0.4847638,0.49826917
ENSG00000187840,0.46921,0.8333033,0.544262,0.3942549,0.20664695,0.0,0.0,0.44215044,0.0,0.0,0.0,0.0,0.0,0.55070436
ENSG00000182220,0.0,0.0,1.0959527,0.6255442,0.37992424,0.7458719,0.661044,0.74914944,0.26768166,0.0,0.530188,0.0,0.54090816,0.9252704
ENSG00000196531,2.1257348,2.6694176,2.3293958,2.2566106,2.1955514,2.0895839,2.8120203,2.553069,2.9129465,2.0454135,2.2182875,3.001737,1.9011638,2.9756355
ENSG00000007372,0.0,0.0,0.58363044,0.5693351,0.4122496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000124733,0.0,0.0,0.0,0.2559315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000151923,0.0,0.0,0.0,0.15226689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000147065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1784139,0.0,0.0,0.0,0.0,0.7255111
ENSG00000204574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43689138
ENSG00000085871,0.0,0.0,0.0,0.12075049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000166173,0.0,0.0,0.0,0.0,0.0,0.0,0.4572419,0.20159617,0.0,0.0,0.0,0.0,0.0,0.7000365
ENSG00000147677,0.73552287,1.0717487,0.9251891,1.0437484,0.8568212,0.920766,1.1536764,1.142606,1.1236664,0.0,0.93454826,1.1748438,0.7629944,1.177381
ENSG00000124380,0.0,0.0,0.0,0.25798294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000071082,2.7936084,3.7326345,1.9770861,3.0056186,2.9182181,2.5682049,2.830308,2.9293141,2.0731878,1.0770094,3.0962906,3.0649405,2.5076091,3.1981044
ENSG00000054116,0.0,0.0,0.56799805,0.45775253,0.15745175,0.44366583,0.48944312,0.6905821,0.0,0.0,0.0,0.0,0.0,0.44515228
ENSG00000130638,0.0,0.0,0.0,0.250719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000257704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5472952
ENSG00000168925,5.862179,3.8178267,0.0,0.0,0.0,0.0,1.6690744,1.1564564,0.0,0.26193893,2.203755,0.0,1.5382227,0.0
ENSG00000196141,0.0,0.0,0.36388206,0.0,0.0,0.0,1.1254971,1.3592057,0.0,0.0,0.0,0.0,0.0,0.99148524
ENSG00000118181,2.8254597,3.4520092,2.5271566,2.8618507,2.8515573,2.6920738,2.9391973,2.9935443,2.9899433,2.1499472,2.9689856,3.3515942,2.563105,3.293276
ENSG00000116560,0.5251939,0.0,1.125097,0.38416252,0.0,0.4991576,1.3876839,1.019551,1.474727,0.0,0.5510682,0.0,0.7503863,1.0181727
ENSG00000182899,3.1723046,3.6750379,2.7659373,2.8751886,2.8470032,2.7611785,3.1792383,3.0317743,3.348167,2.671712,3.2016177,3.537113,2.7435021,3.354886
ENSG00000182240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56550735,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000121774,0.0,0.0,0.4756673,0.42366603,0.12846409,0.31932887,1.0369284,0.76336116,0.0,0.0,0.0,0.0,0.0,0.6875453
ENSG00000175390,0.869584,1.2160581,0.87141424,0.8745108,0.67240405,0.78548014,1.2135859,1.1642796,1.3286271,0.0,0.9516168,1.2171524,0.72223157,1.2891085
ENSG00000169213,0.0,0.0,0.6026303,0.2479755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2578358,0.0
ENSG00000105472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6743835
ENSG00000161011,0.7004301,1.7103549,1.5198606,1.3266901,1.5204865,1.314348,1.7505801,1.8568686,1.6641731,0.8725203,1.024142,1.3827797,0.9754447,2.0210156
ENSG00000142534,2.550181,3.0437984,2.6268976,2.5215757,2.509879,2.380473,2.4720783,2.5274746,2.5380533,2.2637973,2.4612136,3.001737,2.3085287,2.808662
ENSG00000079785,0.0,0.0,0.45983034,0.2075716,0.0,0.0,0.5349237,0.44817394,0.0,0.0,0.0,0.0,0.0,0.42987496
ENSG00000111481,0.0,0.28058735,0.6505916,0.49397302,0.39532065,0.50419474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204983,6.44662,3.9976616,0.0,0.0,0.0,0.0,2.3250313,1.7809392,0.9784924,1.9260345,2.4505172,0.0,2.1325142,0.0
ENSG00000154582,0.38222277,0.45025682,0.94140273,0.6624966,0.42404044,0.7023732,1.3115591,1.1614451,1.5069164,0.0,0.7263226,0.0,0.6253017,1.2352312
ENSG00000006016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2752082
ENSG00000156642,0.0,0.0,0.6828826,0.34261778,0.16611825,0.41609013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000108691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44310632,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135821,0.0,0.27714127,0.0,0.0,0.0,0.0,0.3779686,0.44270754,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000124226,0.44631803,0.0,0.42442375,0.32683885,0.0,0.22665311,0.82738715,0.66047746,0.0,0.0,0.0,0.0,0.0,0.48456025
