,Endothelial cell (lymphatic),Endothelial cell (vascular),Epithelial cell (alveolar type I),Epithelial cell (alveolar type II),Epithelial cell (basal),Epithelial cell (ciliated),Epithelial cell (club),Fibroblast,Immune (B cell),Immune (DC/macrophage),Immune (NK cell),Immune (T cell),Immune (alveolar macrophage),Immune (mast cell),Pericyte/SMC
TMEM163,0.0,0.0,0.0,2.0357234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARHGAP15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0365841,2.176171,3.151514,3.1731794,0.0,2.9891067,0.0
ZEB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7280974,0.0,2.952241,3.0465808,0.0,2.4885354,0.0,0.0
MBD5,0.0,0.0,0.0,1.7938459,1.4695482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FMNL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6954482,0.0,0.0,3.0598898,0.0,0.0
SCN7A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3145075,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TTN,0.0,0.0,0.0,1.8276424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCDC141,0.0,0.0,0.0,2.153638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF385B,0.0,0.0,0.0,4.0416117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CALCRL,0.0,2.6738265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFPI,2.9394321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAH7,0.0,0.0,0.0,0.0,0.0,2.938586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8485603,1.2744281,2.9229562,2.999922,0.0,2.7176223,0.0
CFLAR,0.0,0.0,2.0538797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMPR2,0.0,2.8324609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBEAL1,0.0,0.0,2.113924,1.9401042,1.8074739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARD3B,0.0,0.0,2.5221024,0.0,0.0,1.7917595,1.8541833,2.579284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
