,act_CD4,act_CD8,act_unassigned,rest_CD4,rest_CD8,rest_unassigned
RPL24,1.9643586,1.7463994,1.9277819,1.8768561,1.676008,1.6381997
ENSG00000203875,1.179366,1.0568302,1.3953862,1.0932648,0.92169106,0.8442929
RBM3,0.64460254,0.50373316,0.0,0.0,0.0,0.0
NEAT1,0.63430667,0.92612374,1.007628,1.4117895,1.2357038,1.4625887
EIF1,2.2561605,2.397007,2.023066,1.9040593,1.9753122,1.902457
EIF3F,0.3939306,0.0,0.0,0.64917654,0.0,0.0
CYBA,0.9470035,1.4384003,1.0644953,1.3524146,1.8747652,1.3182182
UQCRB,0.8932599,0.9586263,1.1093763,1.1353017,1.141433,1.2652072
DRAP1,0.50564045,0.5972198,0.0,0.0,0.0,0.0
RPL12,2.6730256,2.390313,2.487908,2.5717826,2.2341805,2.384671
RPS16,2.5798624,2.3239763,2.5176115,2.7288814,2.393846,2.6781852
GUK1,0.7468716,0.89753103,0.0,0.0,0.8820384,0.0
PFDN5,1.3602574,1.3002791,1.5070866,1.5589409,1.4230194,1.6279922
RPL29,2.3033774,1.9835337,2.0753405,2.2945747,1.9633932,2.1610422
COPS9,0.46487072,0.59342,0.0,0.0,0.0,0.0
BTG1,1.1041164,1.2036991,1.6236893,1.3838799,1.5778275,1.5636665
RGS10,0.29464132,0.0,0.0,0.0,0.0,0.0
SEPTIN7,0.30768666,0.6664039,0.0,0.0,0.6931474,0.0
GAS5,0.97730815,0.74230367,1.4378688,1.3380992,0.96654695,1.1734529
RPL27,2.3318913,2.1044116,2.3336606,2.3295214,2.0964727,2.1446073
RPLP0,2.408005,2.1960785,2.472602,2.3679833,2.1199484,2.1850946
PSMA4,0.38347805,0.0,0.0,0.0,0.0,0.0
CST7,0.0,0.9529921,0.0,0.0,0.577549,0.0
LCK,0.30909222,0.4934634,0.0,0.61670876,0.6940284,0.0
ARF6,0.8478569,1.0348895,0.8716527,0.0,0.83824074,0.0
NDUFC2,0.37155443,0.0,0.0,0.0,0.0,0.0
CAP1,0.24556598,0.47415352,0.0,0.0,0.0,0.0
ENSG00000211772,0.69802123,1.1050398,0.8347977,1.1194692,1.5590858,1.2638701
PSMA7,1.2638701,1.2712641,1.0492263,0.75765455,0.9524186,0.0
SPCS1,0.37398663,0.4396041,0.0,0.0,0.0,0.0
COX6B1,0.9894638,1.0397176,0.9291048,0.7966397,0.9292402,0.6466271
EIF2S2,0.92568034,0.9504156,0.29360688,0.0,0.0,0.0
HNRNPA2B1,0.82970655,0.91902673,0.9154603,0.0,0.63824874,0.0
HNRNPDL,0.8442929,0.82566655,0.0,0.0,0.0,0.0
CSTB,0.40444136,0.4127813,0.0,0.0,0.0,0.0
RPL18,2.2732928,2.0129485,2.272831,2.3772821,2.0729523,2.192028
PKM,1.0618246,1.3814751,0.0,0.64090383,0.9699635,0.0
UBE2N,0.32188982,0.0,0.0,0.0,0.0,0.0
RPS23,2.6710727,2.3675313,2.6548045,2.6276531,2.3542933,2.5355482
RPL23,1.7733225,1.4852017,1.5725298,1.5649812,1.3960505,1.5769334
CIAO2B,0.66157585,0.6408415,0.0,0.0,0.0,0.0
PRELID1,0.757184,0.7899319,0.0,0.0,0.0,0.0
PNISR,0.0,0.0,0.6592496,0.0,0.0,0.0
TBCA,0.7439708,0.7344142,0.0,0.0,0.0,0.0
