,Adipocytes,Arterial SMC,Arterial endothelial cells,Atria-enriched endothelial cells,Atria-enriched pericytes,Atrial cardiomyocytes,Basic SMC,CMC-like endothelial cells,CMC-like pericytes,Capillary endothelial cells,Cytoplasmic cardiomyocytes,Fibroblast-like endothelial cells,Fibroblasts,Immune-related endothelial cells,Lymphatic endothelial cells,Lymphoid,MT-high fibroblasts,Mast cells,Mesothelial cells,Myeloid,NK cells,Neuronal cells,Stromal pericytes,Venous endothelial cells,Ventricle-enriched pericytes,Ventricular cardiomyocytes
ENSG00000260314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000179010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000214787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000110077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000235531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000153944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9234801316261292,0.0,0.0,0.0,0.0,0.0,0.0,0.9266303348541259,0.0,0.0,0.0,0.0,0.0,0.0,0.92
ENSG00000038945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000174099,0.0,0.8520616364479064,0.0,0.0,0.0,0.8396409749984741,0.8,0.0,0.8131458783149719,0.0,0.0,0.0,0.0,0.0,0.8093788838386535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8164727377891541
ENSG00000198899,0.0,0.0,0.6496480345726013,0.0,0.0,0.0,0.0,0.5999366807937622,0.0,0.6365464878082275,0.6300815844535828,0.5681181931495667,0.0,0.74787269115448,0.0,0.6129357981681823,0.6500793600082397,0.0,0.0,0.56,0.6567993426322937,0.0,0.6258191156387329,0.5804192996025086,0.0,0.0
ENSG00000228253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198804,0.0015335631370544433,0.08104265928268432,0.25819686412811277,0.08386911392211914,0.04227510929107666,0.024672212600708007,0.09883167743682861,0.22883200645446777,0.037564313411712645,0.2683661150932312,0.3137722134590149,0.08220524787902832,0.06221861124038696,0.3768019676208496,0.09749742031097412,0.28292787313461304,0.3992065954208374,0.04015856504440308,0.054199051856994626,0.14282562494277953,0.371369845867157,0.09125319480895996,0.2916612648963928,0.18571401119232178,0.08478176355361938,0.0
ENSG00000198712,0.0,0.36,0.5411794877052307,0.37182049751281737,0.0,0.0,0.384053213596344,0.46632899761199953,0.0,0.5366325616836548,0.492348415851593,0.37781983375549316,0.0,0.6128892064094543,0.3990432143211365,0.5116519522666931,0.6290619564056397,0.0,0.36930776596069337,0.4199677586555481,0.5821621942520142,0.0,0.5321070170402527,0.4543680453300476,0.0,0.0
ENSG00000198938,0.0,0.2191053795814514,0.3720799255371094,0.1594573140144348,0.1237734055519104,0.12,0.19673420906066894,0.3201067113876343,0.1372589635848999,0.3817263031005859,0.4213781237602234,0.19692063570022583,0.14178749084472655,0.5091382598876953,0.17052862644195557,0.3452897000312805,0.4855207896232605,0.0,0.13097114324569703,0.21134533643722533,0.4182854104042053,0.17882914543151857,0.3697208881378174,0.26653347015380857,0.16896333932876587,0.0
ENSG00000198727,0.0,0.4422189831733704,0.5877606058120728,0.0,0.0,0.0,0.0,0.533587441444397,0.0,0.5812545990943909,0.5687026405334472,0.4596782636642456,0.0,0.671991548538208,0.460228271484375,0.5590471863746643,0.6763205432891846,0.0,0.44,0.4734597611427307,0.5954169034957886,0.0,0.5694281697273255,0.5172713446617127,0.0,0.0
ENSG00000198888,0.0,0.0,0.6950235629081726,0.0,0.0,0.0,0.0,0.6513859033584595,0.0,0.6843202424049377,0.6924382352828979,0.0,0.0,0.778058066368103,0.0,0.6540169954299927,0.7105319142341614,0.0,0.0,0.0,0.6806459283828735,0.0,0.6698740983009338,0.64,0.0,0.0
ENSG00000198763,0.0,0.0,0.7098801207542419,0.0,0.0,0.0,0.0,0.68,0.0,0.7060176634788513,0.707117440700531,0.0,0.0,0.7738909363746643,0.0,0.6878725934028626,0.7061759376525879,0.0,0.0,0.0,0.7279530429840088,0.0,0.6996522474288941,0.0,0.0,0.0
ENSG00000198840,0.0,0.0,0.6874824619293213,0.0,0.0,0.0,0.0,0.6244118118286133,0.0,0.6735676550865173,0.6634926915168762,0.6,0.0,0.7520284366607666,0.0,0.6501373934745789,0.7581800866127014,0.0,0.0,0.0,0.7010391378402709,0.0,0.6554801630973816,0.625664291381836,0.0,0.0
