Original_annotation,mean,std,median,count,q1,q3,f_score
CD4+ Memory/Effector T,0.04304324188813559,0.33261807705163227,0.17924903,2419,-0.28126350499999997,0.34668734,0.504581064931616
CD4+ Naive T,0.11746859190430554,0.23225493409886133,0.177471765,288,-0.00164057435,0.2878741575,0.3125
DC_Monocyte_Dividing,0.01736546187975207,0.3143576998209431,0.176370735,242,-0.34677042,0.29403637,0.6274131274131274
Serous,0.1416959545,0.1051920371738921,0.17609689,24,0.09872591624999999,0.21025535,0.8928571428571429
Muscle_perivascular_immune_recruiting,0.018127987120000005,0.28133808908653546,0.1305083,25,-0.10996932,0.22312956,0.3333333333333333
T,0.09750885587716009,0.11685995753590563,0.121130128,4410,0.0496629145,0.18248488,0.5418106427090532
SMG_Mucous,-0.014881193410810808,0.21781594742787602,0.11872173,37,-0.24205701,0.14847478,0.9887005649717514
Intermediate Monocyte,0.059112708275,0.2500468309037927,0.114140985,188,-0.14457339749999998,0.27718579250000003,0.3350515463917525
Classical Monocyte,0.03989340619372162,0.27630897074677707,0.11382485,1013,-0.1690851,0.2680957,0.6627175120325806
Ionocyte_n_Brush,0.0744637482,0.1318152786964965,0.10610670500000001,20,-0.04875139775,0.2079174075,0.7291666666666666
Myeloid Dendritic Type 1,0.09742955246884616,0.1717614579831027,0.1021524145,130,-0.019393489,0.2317066875,0.3260869565217391
Lymph_vessel,0.08379120285489615,0.17318831506204008,0.09989217,337,-0.026775893,0.23900703,0.5249569707401033
B_Plasma,0.03499558235344828,0.312612031665034,0.09236074,232,-0.1271652025,0.31363529749999997,0.4285714285714285
pDC,-0.032915032634615385,0.25671971889501854,0.089411833,52,-0.340136885,0.1459525475,0.4891304347826087
VE_Peribronchial,0.004879272289156626,0.2203469511106345,0.08256807,83,-0.14493072499999998,0.185691105,0.4098360655737705
Club,0.008196228725948784,0.31026883435669994,0.08192362,1152,-0.21579574,0.27452902,0.6560150375939849
Macro_alv,0.002978511824137974,0.22495840640042866,0.078192204,14539,-0.12535227,0.16593218,0.5566452485627325
Myeloid Dendritic Type 2,0.039529467330932204,0.26286698549683263,0.07607025,236,-0.161471205,0.2759712575,0.56
Muscle_pericyte_parenchyma,0.007884884128794848,0.2709792432509329,0.07241363,1087,-0.230447735,0.251322625,0.6888733868154866
Proximal Basal,0.02178654081847134,0.20935024985799255,0.06686215,157,-0.12916581,0.2013008,0.6744186046511628
TREM2+ Dendritic,0.013756000393710693,0.1933222130370693,0.061378445,159,-0.029345510499999998,0.14047499000000002,0.6208425720620843
Natural Killer T,0.05487150600838806,0.20329787976340838,0.05915375,335,-0.06545726,0.241382345,0.5405405405405406
SMG_Duct,0.03489468843030303,0.2061025032531064,0.048052713,33,-0.15624826,0.2346676,0.5072463768115942
Alveolar Epithelial Type 2,-0.004674721889604091,0.2723497022884939,0.043630911,3814,-0.2002405175,0.241094145,0.7777615642784182
VE_Arterial,0.025694193098175184,0.1634626475915686,0.0401382565,274,-0.1085653565,0.1724411625,0.5385852090032154
Ionocyte,-0.021996433363636367,0.14995978420685102,0.02926707,22,-0.15544034,0.1118029975,0.8673469387755102
B_plasma_IgA,-0.07443869431885246,0.28080291144108677,0.025398626,244,-0.2122182025,0.15407967,0.3289473684210526
VE_Venous,0.0019179452696902657,0.12930494569040157,0.015244633,226,-0.068838725,0.09394036125,0.5245901639344263
Proliferating Basal,0.024391439073333333,0.16428220185083128,-0.0018874253,45,-0.06054313,0.18329632,0.8823529411764706
Endothelia_vascular_arterial_systemic,-0.016717373322891565,0.17109274729640706,-0.0041332636,83,-0.14157967999999999,0.143571855,0.3488372093023256
Fibromyocyte,-0.0270814099,0.14771778834158983,-0.0096440595,98,-0.07396744699999999,0.097388739,0.7116788321167883
SMG_Basal,-0.10714516519830508,0.2518277155615553,-0.019101832,59,-0.26519503,0.0964206425,0.5960264900662252
Fibro_peribronchial,-0.0930225709375969,0.26914754800330026,-0.026859572999999998,258,-0.31337055,0.14328236,0.4351535836177474
B_naive,-0.031100151715237067,0.19674763951236118,-0.034743819499999995,464,-0.19052743749999998,0.1694251725,0.5796089385474861
Secretory_Club,-0.09891380875156716,0.27497028370089366,-0.04021347,871,-0.27970920499999996,0.116414425,0.5371900826446281
CD8+ Memory/Effector T,-0.08752947614293126,0.19796904159462259,-0.06839933,771,-0.248689105,0.086403945,0.4410039878020174
Macro_CHIT1,-0.11743001725426379,0.12467889521863823,-0.07769389,1433,-0.17355965,-0.040204197,0.5164150491253295
cMonocyte,-0.08060130348914323,0.247949848410938,-0.081358225,6106,-0.2284398625,0.1325668875,0.5477855477855478
Endothelia_vascular_venous_systemic,-0.1181072026102289,0.20597878443085238,-0.094541624,1529,-0.28059176,0.07531532,0.5061631261473905
Plasmacytoid Dendritic,-0.1637831017413793,0.1735652673881964,-0.11596195000000001,116,-0.1868652625,-0.0724333,0.754950495049505
Endothelia_vascular_arterial_pulmonary,-0.12763606450826834,0.12967155911164857,-0.11778824199999999,1692,-0.2132237675,-0.0184592805,0.519019248395967
T_Regulatory,-0.1418139550886076,0.12475864736359873,-0.1230817375,316,-0.1841902625,-0.049729225249999995,0.4076086956521739
