Original_annotation,mean_silhouette,std_silhouette,median_silhouette,count
Plasmacytoid Dendritic,-0.1637831,0.17356527,-0.115961954,116
Proliferating Basal,0.024391439,0.1642822,-0.0018874253,45
Proliferating Macrophage,-0.4485345,0.14235117,-0.39013773,226
Proliferating NK/T,0.5306149,0.1501472,0.578635,101
Proximal Basal,0.02178654,0.20935024,0.06686215,157
Proximal Ciliated,0.5799343,0.19378792,0.658816,88
SMC,-0.24135476,0.13042015,-0.2572116,69
SMG_Basal,-0.10714516,0.25182772,-0.019101832,59
SMG_Duct,0.03489469,0.2061025,0.048052713,33
SMG_Mucous,-0.014881194,0.21781595,0.11872173,37
SMG_Serous,-0.20354061,0.076382235,-0.19761603,18
Secretory_Club,-0.09891381,0.2749703,-0.04021347,871
Secretory_Goblet,0.10572968,0.4018205,0.31727615,461
Serous,0.14169596,0.105192035,0.17609689,24
Signaling Alveolar Epithelial Type 2,0.14986825,0.3267583,0.27794126,669
Suprabasal,-0.34676164,0.14780848,-0.30408585,312
T,0.09750886,0.11685996,0.121130124,4410
TREM2+ Dendritic,0.0137559995,0.19332221,0.061378445,159
T_CD4,-0.32158107,0.1941469,-0.31926787,7211
T_CD8_CytT,-0.4527135,0.1240261,-0.458127,5755
T_Cytotoxic,-0.2782447,0.14284666,-0.27627382,4061
T_Regulatory,-0.14181395,0.124758646,-0.123081736,316
T_cells_Dividing,-0.4202584,0.14372005,-0.4242047,88
T_reg,-0.43264082,0.1672218,-0.4873609,419
T_regulatory,-0.46473774,0.13168627,-0.47625482,481
VE_Arterial,0.025694193,0.16346265,0.040138256,274
VE_Capillary_A,0.4456512,0.27411902,0.5547148,192
VE_Capillary_B,0.2514622,0.19338655,0.3001318,436
VE_Peribronchial,0.004879274,0.22034694,0.08256807,83
VE_Venous,0.001917945,0.12930495,0.015244633,226
Vascular Smooth Muscle,-0.19941555,0.25313717,-0.24647994,469
Vein,-0.19324678,0.16053578,-0.18309282,1155
cDC1,-0.47163132,0.14337084,-0.4999741,199
cDC2,-0.3997893,0.20769243,-0.36577684,1364
cMonocyte,-0.080601305,0.24794985,-0.081358224,6106
gdT,-0.43221772,0.16258304,-0.4674039,573
ncMonocyte,-0.23036294,0.38754785,-0.16227937,1058
pDC,-0.032915033,0.2567197,0.08941183,52
