,AT2 cell,Antigen presenting cell (RPS high),B cell,B cell (Plasmocyte),Basal cell,CB CD34+,Chondrocyte,Dendritic cell,Endothelial cell,Endothelial cell (APC),Endothelial cell (endothelial to mesenchymal transition),Epithelial cell,Fetal chondrocyte,Fetal epithelial progenitor,Fetal mesenchymal progenitor,Fetal stromal cell,Fibroblast,M2 Macrophage,Macrophage,Mast cell,Mesothelial cell,Monocyte,Neutrophil,Neutrophil (RPS high),Sinusoidal endothelial cell,Smooth muscle cell,Stratified epithelial cell,Stromal cell,T cell,Thyroid follicular cell
ANXA5,0.0,0.6551724137931034,0.0,0.0,0.6649604727481974,0.0,0.7000161964317848,0.0,0.6576306470509233,0.0,0.0,0.0,0.7187517490880243,0.0,0.0,0.0,0.0,0.7060055383320513,0.6873468263395901,0.0,0.0,0.0,0.0,0.0,0.6866360203973179,0.0,0.6747083766707058,0.6650218922516395,0.0,0.669930729372748
GNLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
GNB1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF4A2,0.0,0.0,0.0,0.0,0.8439326738489086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8564084768295288,0.0,0.0,0.0,0.0,0.8396489825741998,0.0,0.0,0.0,0.8405365101222334,0.0,0.8275862068965517,0.0,0.0,0.8429149224840361
EFEMP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL30,0.4550799645226577,0.0,0.48277466256043006,0.4285161803508627,0.0,0.49616295099258423,0.0,0.49062024519361297,0.0,0.4596927186538433,0.469497995129947,0.4994539577385475,0.43214740424320613,0.0,0.5193218013335918,0.0,0.0,0.4380474645515968,0.41379310344827586,0.5097103735496258,0.4253232006368966,0.0,0.0,0.503155924122909,0.4405503334670231,0.456694888657537,0.0,0.0,0.5519825137894729,0.0
C1R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9697470192251534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9655172413793104,0.0,0.0
ITM2B,0.0,0.0,0.0,0.0,0.5908191347944325,0.0,0.5973509200688066,0.0,0.6298964763509816,0.6638088329084988,0.6290612138550857,0.0,0.6524005203411497,0.5922070104500343,0.0,0.6167634273397511,0.0,0.6299358626891827,0.5862068965517241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5963757819142835,0.6055332155063234,0.0,0.627974744500785
SH3BGRL3,0.0,0.6160635680987917,0.5862068965517241,0.0,0.5960881812819119,0.0,0.5915317370973784,0.6223152834793617,0.0,0.0,0.0,0.0,0.6075966152651556,0.0,0.0,0.0,0.0,0.6359194414368992,0.6070969186980149,0.6253598229638462,0.0,0.6533535986111082,0.0,0.5888309252673182,0.6191143311303238,0.0,0.0,0.0,0.6516424458602379,0.0
HLA-B,0.7024567723274231,0.7364581062875944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7498668699428953,0.7292726594826271,0.7252595383545448,0.6896551724137931,0.0,0.0,0.0,0.0,0.780560801769125,0.7161850209893852,0.0,0.0,0.7075945426677835,0.0,0.0,0.7350108397418055,0.0,0.0,0.0,0.0,0.0
