,Adventitial Fibroblast,Airway Smooth Muscle,Alveolar Epithelial Type 1,Alveolar Epithelial Type 2,Alveolar Fibroblast,Artery,B,Basal,Basophil/Mast 1,Basophil/Mast 2,Bronchial Vessel 1,Bronchial Vessel 2,CD4+ Memory/Effector T,CD4+ Naive T,CD8+ Memory/Effector T,CD8+ Naive T,Capillary,Capillary Aerocyte,Capillary Intermediate 1,Capillary Intermediate 2,Ciliated,Classical Monocyte,Club,Differentiating Basal,EREG+ Dendritic,Fibromyocyte,Goblet,IGSF21+ Dendritic,Intermediate Monocyte,Ionocyte,Lipofibroblast,Lymphatic,Macrophage,Mesothelial,Mucous,Myeloid Dendritic Type 1,Myeloid Dendritic Type 2,Myofibroblast,Natural Killer,Natural Killer T,Neuroendocrine,Nonclassical Monocyte,OLR1+ Classical Monocyte,Pericyte,Plasma,Plasmacytoid Dendritic,Platelet/Megakaryocyte,Proliferating Basal,Proliferating Macrophage,Proliferating NK/T,Proximal Basal,Proximal Ciliated,Serous,Signaling Alveolar Epithelial Type 2,TREM2+ Dendritic,Vascular Smooth Muscle,Vein
ENSG00000141753,0.7607996804373605,0.0,0.0,0.7077772159661565,0.0,0.8075489476323128,0.0,0.7014971982155528,0.0,0.0,0.7999056151935032,0.7811780774167606,0.0,0.0,0.0,0.0,0.7871317309992654,0.7890459277800151,0.7871201102222715,0.7832308422241893,0.0,0.0,0.0,0.7043304358209882,0.0,0.0,0.6964285714285714,0.0,0.0,0.0,0.8121932329876083,0.7829002642205783,0.0,0.763428872185094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7177931634443147,0.0,0.0,0.7231369263359478,0.0,0.0,0.0,0.0,0.0,0.7722998186945915
ENSG00000138778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9821428571428571,0.9904515072703362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000149021,0.0,0.0,0.5475075361984116,0.5159638268607003,0.0,0.4789923589144434,0.0,0.5522008804338319,0.4675297758408955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5430321789213589,0.5345069308366094,0.6449769341519901,0.5907102759395327,0.5848117385591779,0.0,0.5626231293593135,0.6131019028169769,0.43624051979609896,0.0,0.8193370816963059,0.0,0.42726135147469385,0.546963495867593,0.0,0.49360401715551105,0.46250360565526144,0.0,0.8797075205615589,0.42479579895734787,0.0,0.0,0.0,0.0,0.5511162312967437,0.0,0.4471139045698302,0.0,0.41894405760935377,0.4251790706600462,0.4721026303512709,0.5716584590928895,0.4647525580865996,0.4466665046555655,0.558641006903989,0.6044963002204895,0.5592950848596436,0.5106583173785891,0.4107142857142857,0.0,0.47920928469726015
ENSG00000083857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000180964,0.0,0.0,0.0,0.7764361298510006,0.0,0.0,0.0,0.772669788982187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7669601759740284,0.0,0.0,0.7786904743739537,0.0,0.0,0.768135663654123,0.0,0.0,0.7802509058799062,0.8321609858955655,0.75,0.0,0.0,0.0,0.0,0.0,0.8510419013244765,0.0,0.0,0.0,0.0,0.0,0.7864952619586673,0.7931045964360237,0.7817731201648712,0.0,0.8025536313652992,0.0,0.7540479419486863,0.0,0.7576582708529064,0.0,0.0
ENSG00000109861,0.0,0.0,0.0,0.6251522973179817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6427522354892322,0.696771617446627,0.6593844028455871,0.0,0.7511191123298236,0.7869235745498112,0.6597472833735603,0.0,0.6675789909703391,0.0,0.7910387281860624,0.6153965262430054,0.6868708314640182,0.6142845015440669,0.6573607825807163,0.0,0.0,0.0,0.0,0.7115181141666004,0.6395074278116226,0.0,0.0,0.7136690318584442,0.7850564665028027,0.6523093730211258,0.8004631336246218,0.6697589467678752,0.6802219727209636,0.0,0.6071428571428571,0.0,0.758770156119551,0.0,0.0
ENSG00000133318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7516203214015279,0.0,0.0,0.7162735472832408,0.0,0.6964285714285714,0.7285448355334145,0.0,0.0,0.8307029221739087,0.0,0.0,0.8121404104999134,0.7329210489988327,0.6997574344277382,0.0,0.7115762680768967,0.0,0.0,0.0,0.804080109511103,0.0,0.0,0.0,0.7185009313481194,0.0,0.7919503269451005,0.7469943431871278,0.8309777879289219,0.0,0.7384469370756831,0.745549524469035,0.7058600123439517,0.0,0.774370693734714,0.0,0.0
ENSG00000048140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000166598,0.4128503512058939,0.2956752734524863,0.0,0.2797758568610464,0.3402775749564171,0.36049636772700716,0.0,0.340839330639158,0.27085310433592114,0.3087627461978367,0.30281667304890497,0.3293433061667851,0.0,0.0,0.0,0.0,0.0,0.0,0.29117502165692194,0.0,0.3883352982146399,0.0,0.32039754731314524,0.32186698487826754,0.26785714285714285,0.3301773635404451,0.40291317978075575,0.2897116797310965,0.0,0.43289036197321756,0.33927196690014433,0.3473004400730133,0.3408474251627922,0.41667730041912626,0.2834669638957296,0.27009319620473043,0.28174042382410597,0.3987427886043276,0.0,0.0,0.3839437727417265,0.0,0.2824740399207388,0.39497335787330357,0.7120548486709595,0.5137350239924022,0.33642833679914474,0.3912544772028923,0.4247863920671599,0.30279417761734556,0.34271978054727825,0.42842392304113935,0.2843516671231815,0.0,0.34250236409051077,0.35999642844711033,0.33337632779564175
ENSG00000085514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9036102688738278,0.0,0.0,0.0,0.9164834703717913,0.0,0.0,0.0,0.8928571428571429,0.0,0.0,0.0,0.0,0.9348110907844135,0.0,0.0,0.0,0.0,0.893281455550875,0.0,0.8955982721277645,0.0,0.0,0.0,0.0,0.0,0.9249644524284771,0.0,0.0
