free_annotation,mean,std,median,count,q1,q3,f_score
Vascular Smooth Muscle,-0.5057837240511727,0.1539752449833049,-0.44755635,469,-0.574547,-0.38568637,0.6865177832919769
Natural Killer,-0.5503308758164706,0.20075848080661648,-0.48711938,4250,-0.8019702,-0.38212567249999996,0.883036856179514
Adventitial Fibroblast,-0.5778097049371634,0.2251722089641253,-0.48966417,557,-0.74310935,-0.38011962,0.7856774858320453
Proliferating NK/T,-0.438868071980198,0.2709207298409683,-0.51937217,101,-0.6553314,-0.1621709,0.7088122605363985
Artery,-0.5633857774191374,0.12255633256422373,-0.55420315,1484,-0.687973825,-0.450734255,0.7929238505747126
B,-0.5771103584,0.15325485820662796,-0.55984705,250,-0.691854175,-0.436618485,0.8808553971486762
Mucous,-0.6405985454582486,0.1953581143933572,-0.5681746,491,-0.9335887199999999,-0.48273173,0.85210860774119
Alveolar Fibroblast,-0.5810777344598765,0.09785130725536442,-0.57900116,1296,-0.638899825,-0.5130522024999999,0.8287067276290007
Proliferating Macrophage,-0.6508936851769912,0.09401372270812478,-0.6053670950000001,226,-0.7640652099999999,-0.58230653,0.6752577319587629
CD8+ Memory/Effector T,-0.6309025394033723,0.11880569606209737,-0.62146765,771,-0.750263,-0.5676322,0.5493895671476138
TREM2+ Dendritic,-0.5428924916352201,0.1602453975653608,-0.6407565,159,-0.6501967,-0.345503515,0.6527415143603134
Macrophage,-0.6720898635027827,0.10521264434628802,-0.6778619,14734,-0.744304075,-0.593802825,0.9598155274212026
Capillary,-0.6666628080665675,0.11510302165277043,-0.6805423,7391,-0.7454451,-0.58050213,0.7901460429612339
Bronchial Vessel 1,-0.6776549643076922,0.07390284395784517,-0.6987378,455,-0.74860255,-0.614377435,0.5430060816681147
Plasmacytoid Dendritic,-0.6749659818965518,0.14477743643642657,-0.70443683,116,-0.8171077625,-0.5221048749999999,0.9014423076923076
EREG+ Dendritic,-0.6355698137323943,0.1824715284413859,-0.707520755,142,-0.7530685699999999,-0.60348105,0.4354838709677419
Basophil/Mast 1,-0.6646552678576724,0.1424285487263748,-0.7116376,1349,-0.747932,-0.63429415,0.7480094202085903
Ionocyte,-0.71174406,0.12026623303172268,-0.7234646,22,-0.729597225,-0.716868475,0.9574468085106383
Alveolar Epithelial Type 1,-0.7153320457407407,0.057888225631384106,-0.73243883,972,-0.75072724,-0.646578375,0.947779605263158
CD8+ Naive T,-0.652159945102764,0.20358461396393837,-0.7418935,1411,-0.789411565,-0.423144635,0.6594556873691556
Bronchial Vessel 2,-0.7340996795744681,0.0483072954668319,-0.7429419,235,-0.764091115,-0.6902531,0.3130755064456721
Capillary Aerocyte,-0.7449371593060662,0.11206586193935929,-0.74524474,4352,-0.84755588,-0.662451865,0.8338896306186026
Vein,-0.7545281294199134,0.05762228150899005,-0.75841314,1155,-0.78869968,-0.7151542,0.7862857142857143
Myeloid Dendritic Type 2,-0.704437631779661,0.17742213366276144,-0.7617511,236,-0.8070502749999999,-0.7194955,0.7171052631578947
Alveolar Epithelial Type 2,-0.72946563467226,0.11121482325709114,-0.76368905,3814,-0.8153028175000001,-0.6541278525,0.8601302533835351
Ciliated,-0.8182586003330811,0.10558416842200306,-0.7767694,1321,-0.93393093,-0.72667634,0.9263822578161096
Platelet/Megakaryocyte,-0.7843523963636364,0.10616190234394846,-0.78501356,11,-0.785149325,-0.75320115,0.01628664495114
Club,-0.7869670395572353,0.05549856509228083,-0.79203662,926,-0.8293880775,-0.7450645725,0.7723677706376668
Airway Smooth Muscle,-0.7666218283549784,0.06214284711190273,-0.7966106,693,-0.8136408,-0.6955744,0.762936753648828
Classical Monocyte,-0.7542411892003948,0.21533865745556127,-0.8097973,1013,-0.9280695,-0.75710523,0.7995523501616514
IGSF21+ Dendritic,-0.7406541848201439,0.17502282386877752,-0.8154979,278,-0.8379147450000001,-0.78245041,0.7897862232779097
Basal,-0.8072082157209302,0.060941795174338065,-0.817718425,430,-0.8409750625,-0.7816325049999999,0.7646176911544228
Nonclassical Monocyte,-0.7829346127649006,0.20645643975307776,-0.8351686,604,-0.90365659,-0.76938233,0.6509336099585062
Myeloid Dendritic Type 1,-0.8138217808461539,0.15941323956125547,-0.8666415000000001,130,-0.8941166125,-0.8350311225,0.7121212121212122
Proliferating Basal,-0.8342448331111112,0.11219772352653656,-0.87621194,45,-0.8894243,-0.8660308,0.6382978723404256
Myofibroblast,-0.8549621678225806,0.06425718472969828,-0.8767702500000001,248,-0.9053247625,-0.77437685,0.6852791878172588
Differentiating Basal,-0.8327375959036144,0.13806573364294697,-0.8882055,249,-0.911046,-0.86961406,0.4481434058898847
