,BEST4+ cell,Enterocyte progenitor cell subset 2,Enterocyte progenitor cell subset 3,Enterocyte subset 1,Enterocyte subset 2,Enteroendocrine cell subset 1,Enteroendocrine cell subset 2,Goblet cell subset 1,Goblet cell subset 2,Goblet cell subset 3,Goblet progenitor,Mature enterocyte subset 1,Mature enterocyte subset 2,Microfold cell,Mixed cell types,Paneth cell,Stem cell,Transit amplifying cell subset 1,Transit amplifying cell subset 2,Transit amplifying cell subset 3,Tuft cell,enterocyte progenitor subset 1
ENSG00000066422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0
ENSG00000114391,2.8903718,2.6390574,3.1354942,2.944439,2.5649493,2.7080503,2.4849067,2.8903718,1.9459101,2.944439,2.7725887,2.3978953,2.1972246,2.6390574,2.7725887,2.3025851,3.0445225,2.944439,2.9957323,3.0445225,2.5649493,3.0445225
ENSG00000144802,0.0,0.6931472,0.6931472,0.6931472,0.0,0.0,1.0986123,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.6931472,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.0
ENSG00000170017,1.0986123,1.3862944,1.0986123,1.0986123,0.6931472,1.0986123,1.3862944,1.3862944,1.609438,1.0986123,1.0986123,1.0986123,0.6931472,0.6931472,1.3862944,1.0986123,0.6931472,1.0986123,1.0986123,1.0986123,0.6931472,0.6931472
ENSG00000114423,1.0986123,0.6931472,0.6931472,0.6931472,0.6931472,1.3862944,1.0986123,0.6931472,1.0986123,1.0986123,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,1.0986123,1.0986123,0.6931472,0.6931472,0.6931472,0.89587975,0.6931472
ENSG00000114439,1.3862944,1.0986123,1.0986123,1.0986123,0.6931472,1.3862944,1.3862944,1.0986123,1.3862944,1.3862944,1.0986123,0.6931472,0.6931472,1.0986123,1.0986123,1.0986123,1.3862944,1.0986123,1.0986123,1.0986123,1.9459101,1.0986123
ENSG00000196776,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.6931472,0.6931472,0.6931472,1.0986123,0.0,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472
ENSG00000114446,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.6931472
ENSG00000114455,0.0,0.0,0.0,0.6931472,1.3862944,0.0,0.0,0.0,0.0,0.0,0.0,1.3862944,1.609438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0
ENSG00000241224,0.0,0.0,0.0,0.6931472,1.0986123,0.0,0.0,0.0,0.0,0.0,0.0,1.3862944,1.9459101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000177707,1.0986123,1.609438,1.609438,1.609438,1.0986123,0.6931472,1.0986123,0.6931472,0.6931472,0.6931472,0.6931472,1.0986123,1.0986123,0.6931472,1.3862944,0.6931472,1.609438,1.3862944,1.609438,1.3862944,0.6931472,1.609438
ENSG00000144824,0.0,0.0,0.0,0.0,0.0,0.6931472,1.0986123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000114529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,1.0986123,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.3465736,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000144848,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.6931472,0.6931472,0.3465736,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472
ENSG00000206530,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000072858,0.0,0.0,0.0,0.0,0.0,1.0986123,1.0986123,1.609438,1.7917595,1.609438,1.609438,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000176542,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.6931472,0.0,0.6931472,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.6931472
ENSG00000121579,0.6931472,1.0986123,1.0986123,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,1.0986123,1.0986123,1.0986123,0.6931472,1.0986123
ENSG00000114573,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.6931472,0.6931472,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.6931472,0.0,0.0,0.6931472,0.0,0.0,0.0,0.6931472
ENSG00000181722,2.3978953,2.3978953,2.1972246,2.3978953,1.9459101,2.8903718,2.944439,2.1972246,2.6390574,2.5649493,1.9459101,2.3978953,1.7917595,2.1972246,2.3978953,2.3978953,2.7725887,1.7917595,1.3862944,2.0794415,2.7080503,2.0794415
ENSG00000121578,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.6931472,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000176142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163389,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.6931472
ENSG00000113845,0.0,0.0,0.6931472,0.6931472,0.6931472,0.0,0.0,0.6931472,0.0,0.6931472,0.6931472,0.6931472,0.0,0.0,0.6931472,0.0,0.0,0.6931472,0.6931472,0.6931472,0.0,0.6931472
ENSG00000138495,1.0986123,0.6931472,0.6931472,0.6931472,1.0986123,0.6931472,0.6931472,1.0986123,0.6931472,0.6931472,1.3862944,1.0986123,1.0986123,0.6931472,0.6931472,0.6931472,0.6931472,1.0986123,1.0986123,0.6931472,0.6931472,0.6931472
ENSG00000144852,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000082701,1.609438,1.609438,1.3862944,1.3862944,1.3862944,1.7917595,1.609438,1.609438,1.9459101,1.609438,1.609438,1.0986123,1.0986123,1.3862944,1.609438,1.609438,1.3862944,1.3862944,1.3862944,1.3862944,1.7917595,1.3862944
ENSG00000163428,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.6931472,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.6931472
ENSG00000065518,1.7917595,1.609438,1.9459101,1.7917595,1.9459101,1.609438,1.0986123,1.7917595,1.0986123,2.0794415,1.7917595,1.609438,1.9459101,1.3862944,1.3862944,1.0986123,1.7917595,1.9459101,1.9459101,1.7917595,1.3862944,1.7917595
ENSG00000113924,0.6931472,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000144840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000145087,0.0,0.0,0.0,0.0,0.0,0.6931472,2.5649493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000051341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,0.0,0.0,0.0
