,B cells,CD16+ NK cells,CD16- NK cells,CD4 T cells,Central venous LSECs,Cholangiocytes,Classical monocytes,DC1,DC2,Fibroblasts,Immune mix,Inflammatory macrophages,Interzonal hepatocytes,MAIT cells,Macrophages,Migratory DCs,NK cells,Neutrophils,Non-classical monocytes,Non-inflammatory macrophages,Pericentral hepatocytes,Periportal LSECs,Periportal hepatocytes,Plasma cells,Portal endothelial cells,Stellate cells,Tem/Temra cytotoxic T cells,Tem/Trm cytotoxic T cells,pDC
ENSG00000002933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.946051687002182,0.0,0.0,0.9288065029042107,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000168701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ENSG00000149932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8950171598366329,0.8928571428571429,0.0,0.0,0.895217742238726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8991355342524392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000187824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9689422015632901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000089063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9013210896934781,0.9101913890668324,0.0,0.0,0.0,0.0,0.0,0.0,0.8928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9020001696688789,0.0,0.0,0.0,0.0,0.0
ENSG00000135185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9874333505119596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0
ENSG00000106771,0.0,0.0,0.0,0.0,0.0,0.9461724715573447,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9424345684903008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134825,0.0,0.0,0.0,0.0,0.0,0.0,0.7399803272315434,0.7299723901918956,0.7330572392259326,0.0,0.0,0.7301847572837558,0.0,0.0,0.0,0.7533259093761444,0.0,0.0,0.74415237562997,0.7142857142857143,0.0,0.0,0.0,0.834524120603289,0.0,0.0,0.0,0.0,0.7927695704357964
ENSG00000183726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8273020386695862,0.8214285714285714,0.0,0.0,0.8214920886925289,0.0,0.0,0.0,0.8259009101561138,0.0,0.0,0.0,0.8409415164164135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8889551375593457
ENSG00000116209,0.0,0.6885602005890438,0.0,0.0,0.0,0.0,0.6827714911528996,0.6838611981698445,0.6809633267777306,0.0,0.0,0.7165898574250085,0.0,0.0,0.0,0.0,0.0,0.0,0.7236827250037875,0.7817507939679282,0.0,0.6785714285714286,0.0,0.8002812032188688,0.0,0.0,0.0,0.0,0.7367984971829823
