,B cells,CD16+ NK cells,CD16- NK cells,CD4 T cells,Central venous LSECs,Cholangiocytes,Classical monocytes,DC1,DC2,Fibroblasts,Immune mix,Inflammatory macrophages,Interzonal hepatocytes,MAIT cells,Macrophages,Migratory DCs,NK cells,Neutrophils,Non-classical monocytes,Non-inflammatory macrophages,Pericentral hepatocytes,Periportal LSECs,Periportal hepatocytes,Plasma cells,Portal endothelial cells,Stellate cells,Tem/Temra cytotoxic T cells,Tem/Trm cytotoxic T cells,pDC
ABCA9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18493491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3155854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7132874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88405204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5436525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC3,0.0,0.0,0.0,0.0,0.0,1.9199653,0.0,0.0,0.0,0.0,0.0,0.0,1.58113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5994728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6784292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1158378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD3,0.0,0.0,0.0,0.0,0.0,0.90798414,0.0,0.0,0.0,0.0,0.0,0.0,1.086299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4011192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCG5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50719273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.010826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCG8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69060683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17A,0.0,1.7683969,1.2009132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39968,0.0,0.0
ABHD2,0.0,0.0,0.0,0.0,0.0,1.1287563,0.0,0.0,0.0,0.0,0.0,0.0,1.6623487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8111874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55866635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABLIM1,0.0,0.0,0.0,0.0,0.0,1.4356537,0.0,0.0,0.0,0.0,0.0,0.0,0.7634376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5152615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABLIM3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6035573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5593052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRACL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97022533,0.7425088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3905469,0.99737537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9442347
ABTB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81691396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000232451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0576859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73187935,0.0,0.0,0.0,0.8521886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8302405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6521738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34869626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACACB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3909097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.931138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACADM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59710974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84901583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACADSB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.896485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1065075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACADVL,0.0,0.0,0.0,0.0,0.0,0.8051408,0.0,0.46721593,0.0,0.0,0.0,0.0,0.9294035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9912069,0.0,0.0,0.44038334,0.0,0.0,0.0,0.0,0.0
ACAT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98090523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0256648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACMSD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3010519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACO1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5958028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59340584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7463734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOT12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22431135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.90567803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9609103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1607296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACOX2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37992257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2638967,0.0,1.8639448,0.0,0.0,0.0,0.0,0.0,2.5575964,0.0,2.163801,0.0,0.0,0.0,0.0,0.0,0.0
ACSL5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7388629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSM2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0559566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.627954,0.0,2.1576877,0.0,0.0,0.0,0.0,0.0,0.0
ACSM2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.281282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9451132,0.0,2.3978953,0.0,0.0,0.0,0.0,0.0,0.0
ACSM3,0.0,0.0,0.0,0.0,1.2961884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSM5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8208554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0609174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACSS3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37902087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1356921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTB,2.9674191,3.4890895,3.6169257,3.2372985,0.0,0.70422846,4.259322,4.6800756,4.4750166,0.0,3.0874224,3.8957138,0.69078064,3.4838705,0.0,4.9873176,3.124011,4.431694,4.5895042,3.8522325,0.0,2.7198517,0.0,2.308955,2.5016317,0.0,3.3802068,3.6363263,3.4380906
ACTN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51819956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2533883,0.0,0.0,0.0
ACTR2,0.0,0.0,0.0,0.0,0.0,0.0,1.2272879,0.89463615,1.112606,0.0,0.0,0.9837553,0.0,0.0,0.0,0.91264975,1.384157,0.0,1.2086833,1.1984833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0297995
ACTR3,0.0,0.0,1.0339267,0.0,0.0,0.0,0.0,1.2350012,1.2775028,0.0,0.0,0.9401748,0.0,0.0,0.0,1.2834,0.0,0.0,1.2522275,0.6941995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTR3C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45198542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACVR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6823982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACYP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2089698,0.0,0.0,0.5622792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1181887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM10,0.0,0.0,0.0,0.0,0.0,1.1542709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856387,0.0,1.9141455,0.0,0.0,0.0,0.4669786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72904027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTS12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2504814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7160487,0.0,0.0,0.0
ADAMTS17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6125304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAMTS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1727161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.138964,0.0,0.0,0.0
ADAMTS9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0709949,0.0,0.0,0.0
ENSG00000241684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4639182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89567786,0.0,0.0,0.0
ADAMTSL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8453777,0.0,0.0,0.0
ADAMTSL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5960534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6982334,0.0,0.0,0.0
ADAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0962181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36311793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8578936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCY5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0447648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4279339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGRA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7878022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7380298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGRG6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0978906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADGRL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112445086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1506143,0.0,0.0,0.0
ADH1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6577394,0.0,0.0,2.006916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2534451,0.0,1.7197176,0.0,0.0,1.2472546,0.0,0.0,0.0
ADH4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.127562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8571422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADH6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38753757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74389654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADHFE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7073434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86444545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7346046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIRF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3578327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADK,0.0,0.0,0.0,0.0,0.0,1.1319579,0.0,0.0,0.0,0.27279806,0.0,0.0,2.3156137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7032645,0.0,0.0,0.0,0.0,1.0570728,0.0,0.0,0.0
ADNP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37787396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADORA2A-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3436227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRA1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8339661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4865627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRK3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60486424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADRM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5288846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1994216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEBP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5142851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TLE5,0.0,1.8707241,1.1458876,1.4292607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0541407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7259529,0.0,1.0154347
ENSG00000232855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2367656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8979421,0.0,0.0,0.0
AFDN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7663402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFF1,0.0,0.0,0.0,0.0,1.5302333,0.9793732,0.0,0.0,0.0,0.9454994,0.0,0.0,0.72004163,0.0,1.1369667,0.0,0.0,0.0,0.0,0.0,1.1421919,0.0,0.0,0.0,0.9147335,0.7791701,0.0,0.0,0.0
AFF4,0.0,0.0,0.0,0.0,0.0,0.55481553,0.0,0.0,0.0,0.0,0.0,0.0,0.5217627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.735537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3025652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7062469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFMID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44978237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGAP1,0.0,0.0,0.0,0.0,0.0,1.0263394,0.0,0.0,0.0,1.7747421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9645125,0.0,0.0,0.0,0.0,1.0813162,0.0,0.0,0.0
AGL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5997925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8578545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6141118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4225879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGO3,0.0,0.0,0.0,0.0,0.0,0.36918017,0.0,0.0,0.0,0.0,0.0,0.0,0.30929476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8276944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGPAT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34166244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGPAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6824466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGT,0.0,0.0,0.0,0.0,0.0,1.6322217,0.0,0.0,0.0,0.0,0.0,0.0,1.8080974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9778874,0.0,0.7608623,0.0,0.0,0.0,0.0,0.0,0.0
AGTR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.320759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4292608,0.0,0.0,0.0
AGXT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1824608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0866828,0.0,2.4284475,0.0,0.0,0.0,0.0,0.0,0.0
AHCYL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34153664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHI1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24555035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHNAK,0.0,0.0,0.0,0.0,0.0,1.1883135,0.0,0.99592024,0.921991,0.0,0.0,0.7847017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4901686,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53839684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHSG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6353557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0419934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4619932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9403439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRYBG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6577003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69756794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8517672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
