,DC1,DC2,Differentiated_KC,F1,F2,F3,ILC1_3,ILC1_NK,ILC2,Inf_mac,LC,LE1,LE2,Macro_1,Macro_2,Mast_cell,Melanocyte,MigDC,Mono_mac,NK,Pericyte_1,Pericyte_2,Plasma,Schwann_1,Schwann_2,Tc,Th,Treg,Undifferentiated_KC,VE1,VE2,VE3,migLC,moDC
ENSG00000100292,0.0,0.0,0.0,0.8511529,0.0,0.5230013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8505078,0.5680388,0.0,0.0,0.36201376,0.6599502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3307838,1.0977428,0.0,0.0,0.3994944
ENSG00000128340,0.0,0.0,0.0,0.0,0.0,0.0,1.3355784,1.1797056,0.20944709,0.0,0.0,0.0,0.0,0.0,0.0,1.4538387,0.0,0.0,0.0,1.4161131,0.0,0.0,0.0,0.0,0.0,1.031325,0.6657825,1.0087023,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100079,0.0,0.7635708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000100097,1.9293038,2.1704917,0.0,1.5574272,2.5277257,1.7092642,2.484299,1.70662,1.5141494,1.5747521,2.1341858,1.815513,1.8295721,2.3424804,2.0066233,2.2238545,2.6988356,2.1477237,2.3701348,0.0,2.048099,2.2924929,1.5813926,2.1365137,2.238344,2.3367715,1.703757,1.7790843,0.0,1.7472054,2.016278,0.64728993,1.9139143,2.4075527
ENSG00000189060,0.0,0.0,0.0,0.27852073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000239713,0.0,0.0,0.0,0.0,0.0,0.0,0.50381356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000128274,0.0,0.0,0.0,0.68449545,0.0,0.7727215,0.0,0.0,0.0,0.0,0.0,0.0,0.75871754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51237214,0.0,0.0,0.6281901,0.0,0.0,0.0,0.0,0.0,0.75229996,0.701838,0.0,0.0,0.0
ENSG00000077942,0.0,0.0,0.0,0.5465865,0.70505923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000155307,0.0,0.0,0.0,0.0,0.0,0.0,1.3063143,0.5156778,0.8773033,1.1996042,0.0,0.0,0.0,1.1256858,0.0,0.0,0.0,1.1179614,1.4111738,0.0,0.0,0.0,0.0,0.0,0.0,1.0162975,0.9174112,1.2716628,0.0,0.0,0.0,0.0,0.8603676,1.5076047
ENSG00000154639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59825313,0.0,0.0,0.0,0.0,0.0
ENSG00000234883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0274425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38739786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51645845,0.9461541
ENSG00000154721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3229744,0.62444884,0.0,0.0
ENSG00000166265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36482784,0.26450345,0.0,0.0,0.0
ENSG00000154734,0.0,0.0,0.0,0.65540355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0968747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000154736,0.0,0.0,0.0,0.80774015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000156299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60814893,0.0
ENSG00000159147,0.2778344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22098273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000243927,0.4404486,0.0,0.42667565,0.0,0.0,0.0,1.4505664,0.5744383,0.0,0.0,0.0,0.0,1.0358951,0.0,0.0,0.0,0.0,0.38694474,1.1195359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5652687,0.98575133,0.46636784,0.3864293,0.49983305,0.0,0.34164533,0.97772187
ENSG00000159200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6954866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.062121,1.8512915,1.2663484,0.0,0.0
ENSG00000159216,0.0,0.0,0.0,0.436446,0.0,0.41053286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000157551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36420146,0.0,0.0,0.0
ENSG00000157554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49460894,0.5243093,0.0,0.0,0.0
ENSG00000157557,0.0,0.0,1.1102087,0.3257655,0.0,0.0,0.0,0.0,0.0,0.26226532,0.0,0.0,0.6349957,0.773307,0.0,0.0,0.0,0.0,0.85544395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1020223,1.2572939,1.4820255,1.3057393,0.0,0.42163518
ENSG00000182240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6103621,0.0,0.0,0.0,0.82304764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4956822,0.5301986,0.0,0.0,0.0
ENSG00000160180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7520242,1.0748218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000160213,0.9298142,1.4581347,1.2610502,0.3453115,0.27893728,0.0,0.0,0.0,0.6324024,1.6094805,0.7931671,0.9887066,1.6356051,2.0312805,1.6405184,1.4048302,1.5276053,1.494761,2.0153236,0.0,0.0,0.0,0.0,0.63914484,0.0,0.74844897,0.7582674,0.78485334,0.5470439,1.5443054,1.6905813,0.6433504,1.902907,1.8077261
