,cell_type,silhouette_score
cell395,T cell of anorectum,0.5906198403632398
cell396,T cell of anorectum,0.7609693235211681
cell397,T cell of anorectum,0.5948183616703075
cell398,T cell of anorectum,0.48311579468501287
cell399,T cell of anorectum,0.7331411472807223
cell400,T cell of anorectum,0.7054511201173003
cell401,T cell of anorectum,0.7455586630101632
cell402,T cell of anorectum,0.7174408820594976
cell403,T cell of anorectum,0.7612173795944824
cell404,T cell of anorectum,0.6565891368849335
cell405,T cell of anorectum,0.5517751935809099
cell406,T cell of anorectum,0.6670823800608754
cell407,T cell of anorectum,0.45633855474626
cell408,T cell of anorectum,0.5408756886238573
cell409,T cell of anorectum,0.5407202705683194
cell410,T cell of anorectum,0.732160938351088
cell411,T cell of anorectum,0.6826590505321884
cell412,T cell of anorectum,0.6733703763591121
cell413,T cell of anorectum,0.7367258811359957
cell414,T cell of anorectum,0.6863946934475503
cell415,T cell of anorectum,0.6637061398350192
cell416,T cell of anorectum,0.7018728709653106
cell417,T cell of anorectum,0.7214698020273626
cell418,T cell of anorectum,0.6759007761974655
cell419,T cell of anorectum,0.7048992929142414
cell420,T cell of anorectum,0.6929322156901265
cell421,T cell of anorectum,0.7558756783744024
cell422,T cell of anorectum,0.7291443281700458
cell423,T cell of anorectum,0.65321488087057
cell424,T cell of anorectum,0.6464098204372319
cell425,T cell of anorectum,0.7584063862147483
cell426,T cell of anorectum,0.6931354763551103
cell427,T cell of anorectum,0.7595220052472961
cell428,T cell of anorectum,0.7251678578314801
cell429,T cell of anorectum,0.6823158623127651
cell430,T cell of anorectum,0.7060254601868
cell431,T cell of anorectum,0.6149719327653729
cell432,T cell of anorectum,0.7651747530597648
cell433,T cell of anorectum,0.6612682770521519
cell434,T cell of anorectum,0.7400776955636554
cell435,T cell of anorectum,0.6611574471665994
cell436,T cell of anorectum,0.716191815735294
cell437,T cell of anorectum,0.6560538629713591
cell438,T cell of anorectum,0.7001388251086834
cell439,T cell of anorectum,0.6477354118858075
cell440,T cell of anorectum,0.7327494589296779
cell441,T cell of anorectum,0.5678412965266317
cell442,T cell of anorectum,0.7173708242680317
cell443,T cell of anorectum,0.7155977157609991
cell444,T cell of anorectum,0.6468580411852995
cell445,T cell of anorectum,0.7184038846612666
cell446,T cell of anorectum,0.5652454221960437
cell447,T cell of anorectum,0.6799997968797286
cell448,T cell of anorectum,0.5313078249752057
cell449,T cell of anorectum,0.6969311193595075
cell450,T cell of anorectum,0.7331280284090974
cell451,T cell of anorectum,0.678981907930767
cell452,T cell of anorectum,0.6738147291777556
cell453,T cell of anorectum,0.6834575332195139
