,cell_type,silhouette_score
cell31912,colon epithelial cell,0.6245757983514698
cell31913,colon epithelial cell,0.5093009052958298
cell31914,colon epithelial cell,0.6689465021101619
cell31915,colon epithelial cell,0.6878927541144655
cell31916,colon epithelial cell,0.5486844787527427
cell31917,colon epithelial cell,0.6179921382806107
cell31918,colon epithelial cell,0.6982339412806794
cell31919,colon epithelial cell,0.39334111991978193
cell31920,colon epithelial cell,0.6705741456978275
cell31921,colon epithelial cell,0.6716617219945917
cell31922,colon epithelial cell,0.5007900253806545
cell31923,colon epithelial cell,0.6857345039127253
cell31924,colon epithelial cell,0.6853754465872038
cell31925,colon epithelial cell,0.7404239962600774
cell31926,colon epithelial cell,0.5338881766626382
cell31927,colon epithelial cell,0.6354867993417378
cell31928,colon epithelial cell,0.6993214918285752
cell31929,colon epithelial cell,0.5839684531933088
cell31930,colon epithelial cell,0.44112334757554145
cell31931,colon epithelial cell,0.6816070631218831
cell31932,colon epithelial cell,0.620563577992089
cell31933,colon epithelial cell,0.6474192752014492
cell31934,colon epithelial cell,0.7106993406890332
cell31935,colon epithelial cell,0.5076634134375075
cell31936,colon epithelial cell,0.7416784047790065
cell31937,colon epithelial cell,0.627839627321235
cell31938,colon epithelial cell,0.7305269486389941
cell31939,colon epithelial cell,0.6648780674998106
cell31940,colon epithelial cell,0.6181525064455576
cell31941,colon epithelial cell,0.6395342045347702
cell31942,colon epithelial cell,0.5209657285364847
cell31943,colon epithelial cell,-0.034643214856921255
cell31944,colon epithelial cell,0.7374477863814028
cell31945,colon epithelial cell,0.49510427701618637
cell31946,colon epithelial cell,0.6619181441698694
cell31947,colon epithelial cell,0.48310336753523975
cell31948,colon epithelial cell,0.5868552414747883
cell31949,colon epithelial cell,0.6291526006010041
cell31950,colon epithelial cell,0.5056719569001701
cell31951,colon epithelial cell,0.684061172348999
cell31952,colon epithelial cell,-0.03043466327861941
cell31953,colon epithelial cell,0.5532251276009181
cell31954,colon epithelial cell,0.7394289376142607
cell31955,colon epithelial cell,0.5672714181795561
cell31956,colon epithelial cell,0.6075098245248134
cell31957,colon epithelial cell,0.6922669983978496
cell31958,colon epithelial cell,-0.11955664257386751
cell31959,colon epithelial cell,0.6509992509449984
cell31960,colon epithelial cell,0.7436133430313495
cell31961,colon epithelial cell,0.5217843284700477
cell31962,colon epithelial cell,0.4812051705369964
cell31963,colon epithelial cell,0.7018471029721038
cell31964,colon epithelial cell,0.7150849270355311
cell31965,colon epithelial cell,0.6439680853723284
cell31966,colon epithelial cell,0.7084442293416339
cell31967,colon epithelial cell,0.6805352068874383
cell31968,colon epithelial cell,0.7144697330270923
cell31969,colon epithelial cell,0.7297899746014426
cell31970,colon epithelial cell,0.7274988312502663
cell31971,colon epithelial cell,0.46662377821189643
cell31972,colon epithelial cell,0.735275771730269
cell31973,colon epithelial cell,0.5987659304767491
cell31974,colon epithelial cell,0.6665763427879292
cell31975,colon epithelial cell,0.5166368832611781
cell31976,colon epithelial cell,-0.13812558654950557
cell31977,colon epithelial cell,0.6026160828248754
cell31978,colon epithelial cell,0.6180355238210956
cell31979,colon epithelial cell,0.677767796551483
cell31980,colon epithelial cell,0.6651096655088797
cell31981,colon epithelial cell,0.735445540720454
cell31982,colon epithelial cell,0.6679488118112976
cell31983,colon epithelial cell,0.5992173126781417
cell31984,colon epithelial cell,0.4885682579888613
cell31985,colon epithelial cell,0.45015781906459473
cell31986,colon epithelial cell,0.5917799465568838
cell31987,colon epithelial cell,0.6042262483596875
cell31988,colon epithelial cell,0.6000423635604067
cell31989,colon epithelial cell,0.6039005239842914
cell31990,colon epithelial cell,0.6741311550464241
cell31991,colon epithelial cell,0.7467342405227568
cell31992,colon epithelial cell,0.4966595368782245
cell31993,colon epithelial cell,0.7431416411094919
cell31994,colon epithelial cell,0.5538536368729885
cell31995,colon epithelial cell,0.6363409387849717
cell31996,colon epithelial cell,0.6656744717852836
cell31997,colon epithelial cell,0.6581408525569987
cell31998,colon epithelial cell,0.7116737520207453
cell31999,colon epithelial cell,0.7228745910252811
cell32000,colon epithelial cell,0.7220289583932007
cell32001,colon epithelial cell,0.6795521761407365
cell32002,colon epithelial cell,0.5833825954434475
cell32003,colon epithelial cell,0.6222415420356859
cell32004,colon epithelial cell,0.48229845936854576
cell32005,colon epithelial cell,0.7114562104302664
cell32006,colon epithelial cell,0.3989378577083346
cell32007,colon epithelial cell,0.7378971809498259
cell32008,colon epithelial cell,0.6866086358930303
cell32009,colon epithelial cell,0.6335424228098295
cell32010,colon epithelial cell,0.6950672823422497
cell32011,colon epithelial cell,0.7127451671546298
cell32012,colon epithelial cell,0.735186206452698
cell32013,colon epithelial cell,0.6190887972755097
cell32014,colon epithelial cell,0.558961843923026
cell32015,colon epithelial cell,0.7327846595777849
cell32016,colon epithelial cell,0.7374041835069968
cell32017,colon epithelial cell,0.7177968047024346
cell32018,colon epithelial cell,0.7087404727447386
cell32019,colon epithelial cell,0.68121956226768
cell32020,colon epithelial cell,0.7025199895229183
cell32021,colon epithelial cell,0.7292533440351883
cell32022,colon epithelial cell,0.6733904160677493
cell32023,colon epithelial cell,0.6259595904170612
cell32024,colon epithelial cell,0.7377390307868058
cell32025,colon epithelial cell,0.7300541204367971
cell32026,colon epithelial cell,0.6496382497668777
cell32027,colon epithelial cell,0.6618457643720095
cell32028,colon epithelial cell,0.7430693282587625
cell32029,colon epithelial cell,0.665627618930678
cell32030,colon epithelial cell,0.6057524857413534
cell32031,colon epithelial cell,0.6553357674923966
cell32032,colon epithelial cell,0.7101856942830724
cell32033,colon epithelial cell,0.618240029281367
cell32034,colon epithelial cell,0.6563732093467529
cell32035,colon epithelial cell,0.7468985035267689
cell32036,colon epithelial cell,0.4829363211425209
cell32037,colon epithelial cell,0.7410891561720773
cell32038,colon epithelial cell,0.4347771956358768
cell32039,colon epithelial cell,0.7358919166268089
cell32040,colon epithelial cell,0.6432479304909784
cell32041,colon epithelial cell,0.657248464643176
cell32042,colon epithelial cell,0.5423313113802031
cell32043,colon epithelial cell,0.70460557325656
cell32044,colon epithelial cell,0.6343464096675971
cell32045,colon epithelial cell,0.7250366048840863
cell32046,colon epithelial cell,0.605374592206209
cell32047,colon epithelial cell,0.5020140312100807
cell32048,colon epithelial cell,0.5169355744664961
cell32049,colon epithelial cell,0.5972363573949947
cell32050,colon epithelial cell,0.7492010487609907
cell32051,colon epithelial cell,0.47245957333914745
cell32052,colon epithelial cell,0.6002216077195908
cell32053,colon epithelial cell,0.4582493863366402
cell32054,colon epithelial cell,0.6772055826742825
cell32055,colon epithelial cell,0.7299969042796266
cell32056,colon epithelial cell,0.4166401582272504
cell32057,colon epithelial cell,0.44599349215369294
cell32058,colon epithelial cell,0.5500071138534246
cell32059,colon epithelial cell,0.7338539948048295
cell32060,colon epithelial cell,0.7114346925023997
cell32061,colon epithelial cell,0.6266385825943341
cell32062,colon epithelial cell,0.7311842436501104
cell32063,colon epithelial cell,0.5775733766682762
cell32064,colon epithelial cell,0.7072411368311504
cell32065,colon epithelial cell,0.7235733210508464
cell32066,colon epithelial cell,0.7326760403565061
cell32067,colon epithelial cell,0.5594077644982949
cell32068,colon epithelial cell,0.6040712659651393
cell32069,colon epithelial cell,0.5161606240813913
cell32070,colon epithelial cell,0.7471857613737335
cell32071,colon epithelial cell,0.48292372207627576
cell32072,colon epithelial cell,0.7214186868940273
cell32073,colon epithelial cell,-0.0706679317874902
cell32074,colon epithelial cell,-0.06291993537013127
cell32075,colon epithelial cell,0.48352020310570043
cell32076,colon epithelial cell,0.7337725650230722
cell32077,colon epithelial cell,0.7486681586647229
cell32078,colon epithelial cell,0.7075891397725698
cell32079,colon epithelial cell,0.6390622850735469
cell32080,colon epithelial cell,0.7176081721690867
cell32081,colon epithelial cell,0.4978179094923853
cell32082,colon epithelial cell,0.6265086314107877
cell32083,colon epithelial cell,0.5450141920986874
cell32084,colon epithelial cell,0.7301211640975795
cell32085,colon epithelial cell,0.614802731231695
cell32086,colon epithelial cell,0.6375372006822078
cell32087,colon epithelial cell,0.5581017668762484
cell32088,colon epithelial cell,0.4459697821059866
cell32089,colon epithelial cell,0.6746430639810791
cell32090,colon epithelial cell,-0.11150708075838538
cell32091,colon epithelial cell,0.510375802147059
cell32092,colon epithelial cell,0.6521568963519211
cell32093,colon epithelial cell,0.6321292038216147
cell32094,colon epithelial cell,0.4066831612398737
cell32095,colon epithelial cell,0.5620599325197824
cell32096,colon epithelial cell,0.503249626015609
cell32097,colon epithelial cell,0.6419012210370475
cell32098,colon epithelial cell,0.7152429478333209
cell32099,colon epithelial cell,0.5423189776972694
cell32100,colon epithelial cell,0.48697619359155325
cell32101,colon epithelial cell,-0.03568071892311696
cell32102,colon epithelial cell,0.6626826571800517
cell32103,colon epithelial cell,0.6099223403942504
cell32104,colon epithelial cell,0.6995027161535308
cell32105,colon epithelial cell,0.6755503406717573
cell32106,colon epithelial cell,0.7374462764124823
cell32107,colon epithelial cell,0.5672752054376975
cell32108,colon epithelial cell,0.7296345170469566
cell32109,colon epithelial cell,0.6731614167820883
cell32110,colon epithelial cell,0.6890175177802073
cell32111,colon epithelial cell,0.48276610663871133
cell32112,colon epithelial cell,0.7347169642587059
cell32113,colon epithelial cell,0.7489394729418184
cell32114,colon epithelial cell,0.48002221058292144
cell32115,colon epithelial cell,0.5997729789258821
cell32116,colon epithelial cell,0.7114557975086954
cell32117,colon epithelial cell,0.5090139165807902
cell32118,colon epithelial cell,0.49535172770144104
cell32119,colon epithelial cell,0.48976590287638466
cell32120,colon epithelial cell,0.7381206869334475
cell32121,colon epithelial cell,0.438177996560663
cell32122,colon epithelial cell,-0.07840922466759076
cell32123,colon epithelial cell,0.7141831243344284
cell32124,colon epithelial cell,0.6114042717761201
cell32125,colon epithelial cell,0.7050877116169763
cell32126,colon epithelial cell,-0.06051460085631475
cell32127,colon epithelial cell,0.4506902868006498
cell32128,colon epithelial cell,0.5106262742439589
cell32129,colon epithelial cell,0.7306685596362804
cell32130,colon epithelial cell,0.7480424755740557
cell32131,colon epithelial cell,0.6204707036462219
cell32132,colon epithelial cell,0.4806479533492724
cell32133,colon epithelial cell,0.4840452313807788
cell32134,colon epithelial cell,0.6485477813826351
cell32135,colon epithelial cell,0.7270329704033425
cell32136,colon epithelial cell,0.7138657606311017
cell32137,colon epithelial cell,-0.042007316631819704
cell32138,colon epithelial cell,0.40212095638816325
cell32139,colon epithelial cell,0.7117057253181779
cell32140,colon epithelial cell,0.5247167411883619
cell32141,colon epithelial cell,0.4534877222910952
cell32142,colon epithelial cell,0.6474681959206056
cell32143,colon epithelial cell,0.5061584504771647
cell32144,colon epithelial cell,0.6088720928729079
cell32145,colon epithelial cell,0.45649182589845877
cell32146,colon epithelial cell,0.6232596900340035
cell32147,colon epithelial cell,0.7250699602965854
cell32148,colon epithelial cell,0.6411566301921588
cell32149,colon epithelial cell,0.5585403709199214
cell32150,colon epithelial cell,0.7362957631155667
cell32151,colon epithelial cell,-0.13083840600877666
cell32152,colon epithelial cell,0.6979431884624963
cell32153,colon epithelial cell,0.7211390561185022
cell32154,colon epithelial cell,0.5962061557483024
cell32155,colon epithelial cell,0.6393186471327669
cell32156,colon epithelial cell,0.7208366787946665
cell32157,colon epithelial cell,0.6237650858495084
cell32158,colon epithelial cell,0.45553475830531437
cell32159,colon epithelial cell,0.5260257318614616
cell32160,colon epithelial cell,0.6933277473955292
cell32161,colon epithelial cell,0.6146171044480802
cell32162,colon epithelial cell,0.737257443259212
cell32163,colon epithelial cell,0.7196145223288469
cell32164,colon epithelial cell,-0.032875139140586845
cell32165,colon epithelial cell,0.6378995965608645
cell32166,colon epithelial cell,0.7194505851777842
cell32167,colon epithelial cell,-0.0695079352307475
cell32168,colon epithelial cell,0.6731372685594735
cell32169,colon epithelial cell,0.4784098815692483
cell32170,colon epithelial cell,0.4835278248411626
cell32171,colon epithelial cell,0.6034268585540608
cell32172,colon epithelial cell,0.7479792981116192
cell32173,colon epithelial cell,0.6898403516269443
cell32174,colon epithelial cell,0.48310978197973964
cell32175,colon epithelial cell,0.6354649694287932
cell32176,colon epithelial cell,0.6014137190668132
cell32177,colon epithelial cell,0.552856122200013
cell32178,colon epithelial cell,0.5230695153387581
cell32179,colon epithelial cell,0.5177728873477183
cell32180,colon epithelial cell,0.6631303334795946
cell32181,colon epithelial cell,0.6201533179197579
cell32182,colon epithelial cell,0.6220894970885249
cell32183,colon epithelial cell,0.7453483699061433
cell32184,colon epithelial cell,0.7175340036655432
cell32185,colon epithelial cell,0.7098593063443039
cell32186,colon epithelial cell,0.6664233376623697
cell32187,colon epithelial cell,0.5395689210802405
cell32188,colon epithelial cell,-0.08105856111862329
cell32189,colon epithelial cell,0.7457538919099315
cell32190,colon epithelial cell,0.7322287460678579
cell32191,colon epithelial cell,0.6324701706273341
cell32192,colon epithelial cell,0.5513027788473002
cell32193,colon epithelial cell,0.6804494705094973
cell32194,colon epithelial cell,0.7440629195288773
cell32195,colon epithelial cell,0.6385861818116715
cell32196,colon epithelial cell,0.6892636012929934
cell32197,colon epithelial cell,-0.0878422381543844
cell32198,colon epithelial cell,0.7094685932347001
cell32199,colon epithelial cell,0.5413380694349513
cell32200,colon epithelial cell,0.7303687753762531
cell32201,colon epithelial cell,0.6828635041543436
cell32202,colon epithelial cell,0.7113211234612273
cell32203,colon epithelial cell,0.6490964570291962
cell32204,colon epithelial cell,0.6508357545785782
cell32205,colon epithelial cell,0.5494990987766271
cell32206,colon epithelial cell,0.6121619575696815
cell32207,colon epithelial cell,0.7101893215985882
cell32208,colon epithelial cell,0.4588608047512322
cell32209,colon epithelial cell,0.6265566558253756
cell32210,colon epithelial cell,0.718041307719334
cell32211,colon epithelial cell,0.583205565186593
cell32212,colon epithelial cell,0.6648780897678541
cell32213,colon epithelial cell,0.7395924600071164
cell32214,colon epithelial cell,0.48745204618542654
cell32215,colon epithelial cell,0.7317222079558813
cell32216,colon epithelial cell,0.6191559859039192
cell32217,colon epithelial cell,0.6315504237274645
cell32218,colon epithelial cell,0.7386159821672108
cell32219,colon epithelial cell,0.7492880796068616
cell32220,colon epithelial cell,0.7474418580606148
cell32221,colon epithelial cell,0.5830298662248119
cell32222,colon epithelial cell,0.5451164623833136
cell32223,colon epithelial cell,0.4504121904988989
cell32224,colon epithelial cell,0.7342647404472185
cell32225,colon epithelial cell,0.6479595961971167
cell32226,colon epithelial cell,0.7344887129352456
cell32227,colon epithelial cell,0.737755167855397
cell32228,colon epithelial cell,0.6220427944890213
cell32229,colon epithelial cell,0.6442346745245427
cell32230,colon epithelial cell,0.6078709850911442
cell32231,colon epithelial cell,0.4990977708444934
cell32232,colon epithelial cell,0.686551320025545
cell32233,colon epithelial cell,0.5293504050382479
cell32234,colon epithelial cell,0.7217652230187562
cell32235,colon epithelial cell,0.7335564110609226
cell32236,colon epithelial cell,0.5818202880594052
cell32237,colon epithelial cell,0.7353795432690072
cell32238,colon epithelial cell,0.5540010300180751
cell32239,colon epithelial cell,0.5190955208574555
cell32240,colon epithelial cell,0.7476110150411949
cell32241,colon epithelial cell,0.7264550194401075
cell32242,colon epithelial cell,0.4731529979474081
cell32243,colon epithelial cell,0.6101198065723333
cell32244,colon epithelial cell,0.6703778045350877
cell32245,colon epithelial cell,0.7004703741666706
cell32246,colon epithelial cell,0.5694587220198276
cell32247,colon epithelial cell,0.49955919118393827
cell32248,colon epithelial cell,0.5282225195934567
cell32249,colon epithelial cell,0.6984521938186657
cell32250,colon epithelial cell,0.6433613574273586
cell32251,colon epithelial cell,0.7340896010864573
cell32252,colon epithelial cell,0.5795638141543026
cell32253,colon epithelial cell,0.7050505163401831
cell32254,colon epithelial cell,0.6072160162859392
cell32255,colon epithelial cell,0.6056711699673419
cell32256,colon epithelial cell,0.6664142672924814
cell32257,colon epithelial cell,0.7455229819770437
cell32258,colon epithelial cell,0.6874568076828838
cell32259,colon epithelial cell,0.5137218123573786
cell32260,colon epithelial cell,0.7470257711003817
cell32261,colon epithelial cell,0.5712517201738466
cell32262,colon epithelial cell,-0.11608808130081519
cell32263,colon epithelial cell,-0.04283712322299274
cell32264,colon epithelial cell,0.6016795644432494
cell32265,colon epithelial cell,0.7379365570337484
cell32266,colon epithelial cell,0.746077290946689
cell32267,colon epithelial cell,0.7467905972369662
cell32268,colon epithelial cell,0.6792165250861623
cell32269,colon epithelial cell,0.6285591047390233
cell32270,colon epithelial cell,0.7289777025197411
cell32271,colon epithelial cell,0.6079215158775899
cell32272,colon epithelial cell,0.624816364234857
cell32273,colon epithelial cell,0.49753747377107294
cell32274,colon epithelial cell,0.6491156036245121
cell32275,colon epithelial cell,0.6791684613988757
cell32276,colon epithelial cell,0.3996266217871217
cell32277,colon epithelial cell,0.6505053258252187
cell32278,colon epithelial cell,0.5515310963416449
cell32279,colon epithelial cell,0.7087187981638092
cell32280,colon epithelial cell,0.6607443646367788
cell32281,colon epithelial cell,0.6634813072868252
cell32282,colon epithelial cell,0.5075676134981673
cell32283,colon epithelial cell,0.7190228365807413
cell32284,colon epithelial cell,0.7131063374990594
cell32285,colon epithelial cell,-0.043916154601539775
cell32286,colon epithelial cell,0.6222492359473002
cell32287,colon epithelial cell,0.6631239545502182
cell32288,colon epithelial cell,0.7405636920911908
cell32289,colon epithelial cell,0.47555874781029517
cell32290,colon epithelial cell,0.7414312741611185
cell32291,colon epithelial cell,0.6338813003278492
cell32292,colon epithelial cell,0.6374605755147019
cell32293,colon epithelial cell,0.6352969632456228
cell32294,colon epithelial cell,-0.12144822408588982
cell32295,colon epithelial cell,0.4458310746614076
cell32296,colon epithelial cell,0.7313129257259879
cell32297,colon epithelial cell,0.5595897984581153
cell32298,colon epithelial cell,0.708988618921058
cell32299,colon epithelial cell,0.7038514272483484
cell32300,colon epithelial cell,-0.016880999653515482
cell32301,colon epithelial cell,0.6978158594911652
cell32302,colon epithelial cell,0.6592206519414348
cell32303,colon epithelial cell,0.5275017044548606
cell32304,colon epithelial cell,0.6262228942725444
cell32305,colon epithelial cell,0.68151200569927
cell32306,colon epithelial cell,0.5071077127566308
cell32307,colon epithelial cell,-0.07433093966859144
cell32308,colon epithelial cell,0.5086468891270278
cell32309,colon epithelial cell,0.6562649156679731
cell32310,colon epithelial cell,-0.09636054145402916
cell32311,colon epithelial cell,0.6351773253950755
cell32312,colon epithelial cell,0.47518074953469625
cell32313,colon epithelial cell,0.7266062694069993
cell32314,colon epithelial cell,0.699588444316978
cell32315,colon epithelial cell,0.5486377446068412
cell32316,colon epithelial cell,-0.07171114468185576
cell32317,colon epithelial cell,0.7005548769509751
cell32318,colon epithelial cell,0.6327845969078981
cell32319,colon epithelial cell,0.7434394391600642
cell32320,colon epithelial cell,0.7350223963904201
cell32321,colon epithelial cell,0.638094857623507
cell32322,colon epithelial cell,0.6698612515146177
cell32323,colon epithelial cell,-0.12093665776437518
cell32324,colon epithelial cell,0.6998942094274978
cell32325,colon epithelial cell,0.6703653161586004
cell32326,colon epithelial cell,0.7285815887021461
cell32327,colon epithelial cell,0.5916289216205002
cell32328,colon epithelial cell,0.5980323363354869
cell32329,colon epithelial cell,-0.07091258884052722
cell32330,colon epithelial cell,0.5216075638589183
cell32331,colon epithelial cell,0.5000521170964571
cell32332,colon epithelial cell,0.42614816838899977
cell32333,colon epithelial cell,0.7389745870480172
cell32334,colon epithelial cell,0.7177820275119567
cell32335,colon epithelial cell,0.702028413078159
cell32336,colon epithelial cell,0.6990473648684636
cell32337,colon epithelial cell,0.7423365797838722
cell32338,colon epithelial cell,0.7379887808495101
cell32339,colon epithelial cell,0.6276888705643421
cell32340,colon epithelial cell,0.7036498406080111
cell32341,colon epithelial cell,0.5527766223817587
cell32342,colon epithelial cell,0.5951913275169204
cell32343,colon epithelial cell,0.722339495424409
cell32344,colon epithelial cell,0.7425659400197221
cell32345,colon epithelial cell,0.6526770315897653
cell32346,colon epithelial cell,0.6476278414078911
cell32347,colon epithelial cell,-0.09092965459423981
cell32348,colon epithelial cell,0.6998574806081708
cell32349,colon epithelial cell,0.5693559919222088
cell32350,colon epithelial cell,0.39308964345567976
cell32351,colon epithelial cell,0.7101978659649331
cell32352,colon epithelial cell,0.5447548637385624
cell32353,colon epithelial cell,0.7416523508084627
cell32354,colon epithelial cell,0.5358075477215517
cell32355,colon epithelial cell,0.5897385002407486
cell32356,colon epithelial cell,0.7148558535275913
cell32357,colon epithelial cell,0.5760047243150976
cell32358,colon epithelial cell,0.4274655404812859
cell32359,colon epithelial cell,0.7041887863730136
cell32360,colon epithelial cell,0.5239322941749508
cell32361,colon epithelial cell,0.6615408734010929
cell32362,colon epithelial cell,0.7077828258819869
cell32363,colon epithelial cell,0.7342416988072955
cell32364,colon epithelial cell,0.5331894003392669
cell32365,colon epithelial cell,0.6299853346891794
cell32366,colon epithelial cell,0.7001607004285579
cell32367,colon epithelial cell,0.7271791514838025
cell32368,colon epithelial cell,0.5644858321602911
cell32369,colon epithelial cell,0.5261916462021368
cell32370,colon epithelial cell,0.5358429384726687
cell32371,colon epithelial cell,0.506418532578553
cell32372,colon epithelial cell,0.7215640148846579
cell32373,colon epithelial cell,0.6466077382359661
cell32374,colon epithelial cell,0.4876875979358645
cell32375,colon epithelial cell,0.6673704881133427
cell32376,colon epithelial cell,0.6602384576584901
cell32377,colon epithelial cell,0.6031497136543271
cell32378,colon epithelial cell,0.44079370358944436
cell32379,colon epithelial cell,0.5435524569903104
cell32380,colon epithelial cell,-0.08562750130228804
cell32381,colon epithelial cell,0.599039538834224
cell32382,colon epithelial cell,0.5870228412531882
cell32383,colon epithelial cell,-0.09427075675787379
cell32384,colon epithelial cell,0.4943749712282817
cell32385,colon epithelial cell,0.6017190922303803
cell32386,colon epithelial cell,0.7376511684195356
cell32387,colon epithelial cell,0.5065203423141575
cell32388,colon epithelial cell,0.7392486205536817
cell32389,colon epithelial cell,0.48500948712568004
cell32390,colon epithelial cell,0.44867044128594047
cell32391,colon epithelial cell,0.6189393263277204
cell32392,colon epithelial cell,0.7296006434908002
cell32393,colon epithelial cell,0.7347692288045072
cell32394,colon epithelial cell,0.6095743070416908
cell32395,colon epithelial cell,0.7288008973792873
cell32396,colon epithelial cell,0.6304344117599245
cell32397,colon epithelial cell,0.7350407533195753
cell32398,colon epithelial cell,0.702652266129422
cell32399,colon epithelial cell,0.679259568315026
cell32400,colon epithelial cell,0.7310659054122923
cell32401,colon epithelial cell,0.6819281663003299
cell32402,colon epithelial cell,0.4381113955053634
cell32403,colon epithelial cell,0.4560284050052194
cell32404,colon epithelial cell,0.7390950305144376
cell32405,colon epithelial cell,0.5885783632504648
cell32406,colon epithelial cell,0.528779194595086
cell32407,colon epithelial cell,-0.025940825530366498
cell32408,colon epithelial cell,0.7112975386379201
cell32409,colon epithelial cell,0.7156674937767479
cell32410,colon epithelial cell,0.6400365223651027
cell32411,colon epithelial cell,0.7332149721160064
cell32412,colon epithelial cell,0.44641266197562535
cell32413,colon epithelial cell,0.673879745418522
cell32414,colon epithelial cell,0.5408729706021681
cell32415,colon epithelial cell,-0.07783512730200394
cell32416,colon epithelial cell,0.6604383844510269
cell32417,colon epithelial cell,0.506457913297725
cell32418,colon epithelial cell,0.6996260269171997
cell32419,colon epithelial cell,0.7111159285252382
cell32420,colon epithelial cell,0.6486910183331895
cell32421,colon epithelial cell,0.6922389898673272
cell32422,colon epithelial cell,0.5637671893885541
cell32423,colon epithelial cell,0.49561480320925594
cell32424,colon epithelial cell,0.733344314201767
cell32425,colon epithelial cell,0.5969241305650645
cell32426,colon epithelial cell,0.718551920942469
cell32427,colon epithelial cell,0.5717965109080734
cell32428,colon epithelial cell,0.6042606281433243
cell32429,colon epithelial cell,0.654244474035923
cell32430,colon epithelial cell,0.40499434025408726
cell32431,colon epithelial cell,0.714965916319057
cell32432,colon epithelial cell,0.5639037708420562
cell32433,colon epithelial cell,0.7241880588609902
cell32434,colon epithelial cell,0.481555476618009
cell32435,colon epithelial cell,0.6903620924219774
cell32436,colon epithelial cell,0.749084122415759
cell32437,colon epithelial cell,0.6350275126826601
cell32438,colon epithelial cell,0.6316650983707751
cell32439,colon epithelial cell,0.5269205039072102
cell32440,colon epithelial cell,0.4769977463978503
cell32441,colon epithelial cell,0.692454125344548
cell32442,colon epithelial cell,0.44522117924387794
cell32443,colon epithelial cell,0.5166881771036654
cell32444,colon epithelial cell,0.6499743612756734
cell32445,colon epithelial cell,-0.06976691115541252
cell32446,colon epithelial cell,0.7447567203356943
cell32447,colon epithelial cell,0.6210983831038145
cell32448,colon epithelial cell,0.6725463078584447
cell32449,colon epithelial cell,0.7140333395154956
cell32450,colon epithelial cell,0.6868651731068706
cell32451,colon epithelial cell,0.5095941625023044
cell32452,colon epithelial cell,0.7215630363079262
cell32453,colon epithelial cell,0.6390616218318712
cell32454,colon epithelial cell,0.6976571777661666
cell32455,colon epithelial cell,0.5905656841726401
cell32456,colon epithelial cell,0.6628058487332302
cell32457,colon epithelial cell,-0.08609900754322108
cell32458,colon epithelial cell,0.6141062980027837
cell32459,colon epithelial cell,0.4911959050243659
cell32460,colon epithelial cell,0.5157125787997612
cell32461,colon epithelial cell,0.6677548258706459
cell32462,colon epithelial cell,0.6125980439909837
cell32463,colon epithelial cell,0.4675084394520704
cell32464,colon epithelial cell,0.7328815395999876
cell32465,colon epithelial cell,0.7371580036588105
cell32466,colon epithelial cell,0.43083988533524
cell32467,colon epithelial cell,0.5014815131891187
cell32468,colon epithelial cell,0.6560413687796429
cell32469,colon epithelial cell,0.7288009107013399
cell32470,colon epithelial cell,0.6453790585790945
cell32471,colon epithelial cell,0.7273357329163326
cell32472,colon epithelial cell,0.4792582099478152
cell32473,colon epithelial cell,0.5193163906295861
cell32474,colon epithelial cell,0.43265369363350686
cell32475,colon epithelial cell,0.6256058714380729
cell32476,colon epithelial cell,0.49905035530087294
cell32477,colon epithelial cell,0.5182353384935463
cell32478,colon epithelial cell,0.5470484011749254
cell32479,colon epithelial cell,0.6712720211712223
cell32480,colon epithelial cell,0.49823427270063236
cell32481,colon epithelial cell,0.6183530472106883
cell32482,colon epithelial cell,0.5283743120168506
cell32483,colon epithelial cell,0.7235996177359797
cell32484,colon epithelial cell,0.4586570809172485
cell32485,colon epithelial cell,0.6207676744712542
cell32486,colon epithelial cell,0.4932133045715649
cell32487,colon epithelial cell,0.5177537161517952
cell32488,colon epithelial cell,-0.022886474811877028
cell32489,colon epithelial cell,0.6526882134008279
cell32490,colon epithelial cell,0.5477835973766972
cell32491,colon epithelial cell,0.7493229057125038
cell32492,colon epithelial cell,0.7335731577675563
cell32493,colon epithelial cell,0.7298805113412079
cell32494,colon epithelial cell,0.712997209028736
cell32495,colon epithelial cell,0.6125022742440978
cell32496,colon epithelial cell,0.445498916068295
cell32497,colon epithelial cell,0.6109369139364562
cell32498,colon epithelial cell,0.5817398275772235
cell32499,colon epithelial cell,0.5127122707425158
cell32500,colon epithelial cell,0.7141145907832882
cell32501,colon epithelial cell,-0.06250187736895996
cell32502,colon epithelial cell,0.7280221729374685
cell32503,colon epithelial cell,0.4862728470234722
cell32504,colon epithelial cell,0.6374931331815671
cell32505,colon epithelial cell,0.6921590115301545
cell32506,colon epithelial cell,0.4944782169969705
cell32507,colon epithelial cell,0.5758068940175533
cell32508,colon epithelial cell,0.5379262870827053
cell32509,colon epithelial cell,0.5021800401142122
cell32510,colon epithelial cell,0.5097136312323827
cell32511,colon epithelial cell,0.6927579998472848
cell32512,colon epithelial cell,0.7165270259178609
cell32513,colon epithelial cell,0.6386971640572254
cell32514,colon epithelial cell,0.7144220949533009
cell32515,colon epithelial cell,0.7308890223521545
cell32516,colon epithelial cell,0.7350553853784146
cell32517,colon epithelial cell,-0.024319393155235527
cell32518,colon epithelial cell,0.6159925895794343
cell32519,colon epithelial cell,0.6462484945836517
