,AT1/AT2-like,AT2/Club-like,B cell,T cell,alveolar macrophage,basal cell,blood vessel endothelial cell,chondrocyte,ciliated cell,club cell,dendritic cell,endothelial cell,endothelial cell of artery,enucleate erythrocyte,fibroblast,goblet cell,lymphatics,macrophage,mast cell,monocyte,myofibroblast cell,natural killer cell,pericyte cell,smooth muscle cell,type I pneumocyte,type II pneumocyte,unknown,vascular associated smooth muscle cell,vein endothelial cell
SF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9775644370487758,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNNM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SETX,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STK10,0.0,0.0,0.0,0.9475425886256355,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9403390671525683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFE2L2,0.0,0.8765347727707454,0.0,0.0,0.8990942580359322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.9045532814093998,0.0,0.0,0.0,0.0,0.0,0.0,0.8701323760407311,0.0,0.0,0.0,0.0
LURAP1L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITPR2,0.7490551535572324,0.7656855136156082,0.0,0.0,0.7468175206865583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8273927760975701,0.0,0.0,0.0,0.0,0.798090249300003,0.0,0.7373991778918675,0.0,0.0,0.0,0.0,0.0,0.7299745274441582,0.7142857142857143,0.0,0.7487863685403552
RBM6,0.24266948870250157,0.2676790143762316,0.4872670067208154,0.0,0.22681355902126857,0.26389711243765696,0.38260650634765625,0.2217955333845956,0.21813701944691793,0.2749542274645397,0.3084358870983124,0.0,0.2358104693038123,0.0,0.22780416693006242,0.3293381461075374,0.22033692683492387,0.21434534660407475,0.45425818860530853,0.21428571428571427,0.0,0.0,0.25416167080402374,0.24947044679096766,0.25568862685135435,0.2434898167848587,0.240846363561494,0.0,0.29628295983586994
MANBA,0.0,0.0,0.0,0.0,0.9413275399378368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,0.9287290381533759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKT3,0.0,0.0,0.0,0.6631837444646018,0.0,0.0,0.6457222593682153,0.0,0.0,0.0,0.0,0.6428571428571429,0.6629155299493245,0.0,0.6446512235062463,0.0,0.6493104951722282,0.0,0.0,0.0,0.6867956966161728,0.0,0.6493083366325924,0.666229961173875,0.0,0.0,0.0,0.6447756737470627,0.6580832877329418
