,AT1,AT2,Artery,B Cells,Basophil and Mast Cells,Capillary,Ciliated Cells,Lymphatic  Cells,Macrophage and Dendritic Cells,Macrophages,Monocytes,Natural Killer Cells,Neutrophils,Other Epithelial Cells,Proliferating Macrophage,Stromal Cells,T Cells,Vein
STMN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6524383,0.0,0.0,0.0,0.0,2.1968374,0.0,0.0,0.0
ZNF593,0.0,0.5366336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20136742,0.0,0.0,0.0
SH3BGRL3,0.0,0.5545946,0.0,0.0,2.3112264,0.0,0.5365083,0.0,2.5137157,2.6806622,3.0767038,2.3846676,2.5316372,0.0,0.651844,0.0,2.0441625,0.0
UBXN11,0.0,0.0,0.0,0.0,0.0,0.0,0.7303136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD52,0.0,0.0,0.0,0.0,1.8762054,0.0,0.0,0.0,0.0,2.7393036,0.0,0.0,0.0,0.0,0.0,0.0,1.3507739,0.0
HMGN2,0.0,0.9567192,0.0,0.0,0.0,0.0,1.5210825,0.0,0.6196596,1.2929602,0.0,0.0,0.0,0.2751562,2.747971,0.0,0.0,0.0
RPS6KA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20134467,0.0,0.0,0.0
ARID1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28695476,0.0,0.0,0.0,0.0,0.49671593,0.0,0.0,0.0
SFN,0.0,0.4516944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUDC,0.0,0.55026245,0.0,0.0,0.0,0.0,2.1108663,0.0,0.0,0.445212,0.0,0.0,0.0,0.0,0.7409638,0.0,0.0,0.0
SYTL1,0.0,0.0,0.0,0.0,0.0,0.0,0.169044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FCN3,0.0,0.0,0.0,0.0,0.0,2.2670116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD164L2,0.0,0.0,0.0,0.0,0.0,0.0,0.7713994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WASF2,0.0,0.46398926,0.0,0.0,0.0,0.0,0.716327,0.0,0.6831008,0.9586569,1.0345111,0.0,0.0,0.0,0.6791873,0.0,0.0,0.0
FGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59342396,1.2124863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFI6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9412478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STX12,0.0,0.4284109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52676505,0.0,0.0,0.0,0.0,0.39267975,0.0,0.0,0.0
THEMIS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7538992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059683997,0.0,0.0,0.0
PTAFR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62574637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAJC8,0.0,0.5819912,0.0,0.0,0.0,0.0,0.57353747,0.0,0.0,0.6919743,0.0,0.0,0.0,0.0,0.7693112,0.0,0.0,0.0
ATP5IF1,0.0,1.064523,0.0,0.0,0.0,0.0,2.5281818,0.0,0.0,0.8255352,0.0,0.0,0.0,0.45869267,1.2028522,0.0,0.0,0.0
PHACTR4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54590964,0.0,0.0,0.0
TRNAU1AP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24143647,0.0,0.0,0.0
YTHDF2,0.0,0.62912244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38460755,0.0,0.0,0.0,0.0,0.5073894,0.0,0.0,0.0
SRSF4,0.0,0.620096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44172364,0.0,0.0,0.0,0.0,0.74016696,0.0,0.0,0.0
LAPTM5,0.0,0.0,0.0,0.0,1.2237207,0.0,0.0,0.0,2.2684345,2.3451295,2.3452082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUM1,0.0,0.4776411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28277612,0.0,0.0,0.0,0.0,0.50249565,0.0,0.0,0.0
ZCCHC17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30679327,0.0,0.0,0.0
PEF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1934242,0.0,0.0,0.0
PTP4A2,0.0,1.2612802,0.0,0.0,0.0,0.0,0.53495044,0.0,0.0,0.83982545,1.4241501,0.0,0.0,0.6994309,1.213798,0.0,0.0,0.0
KHDRBS1,0.0,0.64636755,0.0,0.0,0.0,0.0,0.7952159,0.0,0.0,0.7246182,0.0,0.0,0.0,0.0,1.2033956,0.0,0.0,0.0
KPNA6,0.0,0.36314058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32423604,0.0,0.0,0.0
TXLNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18245286,0.0,0.0,0.0
DCDC2B,0.0,0.0,0.0,0.0,0.0,0.0,0.5197833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF3I,0.0,0.528303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51518327,0.0,0.0,0.0,0.0,0.6083411,0.0,0.0,0.0
ZBTB8OS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47878128,0.0,0.0,0.0,0.0,0.39968,0.0,0.0,0.0
RBBP4,0.0,0.41753548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3589763,0.0,0.0,0.0,0.0,0.5622755,0.0,0.0,0.0
AK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27373132,0.0,0.0,0.0
PHC2,0.0,0.25405526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80555296,0.0,0.0,0.0,0.27165323,0.0,0.0,0.0
SFPQ,0.0,1.1384068,0.0,0.0,0.0,0.0,0.86077857,0.0,0.0,0.67325807,1.0390637,0.0,0.0,0.5366263,0.9529598,0.0,0.0,0.0
KIAA0319L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17918482,0.0,0.0,0.0
PSMB2,0.0,0.42622322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47676504,0.0,0.0,0.0,0.0,0.607421,0.0,0.0,0.0
CLSPN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50402933,0.0,0.0,0.0
TEKT2,0.0,0.0,0.0,0.0,0.0,0.0,1.0136417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRAPPC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32734624,0.0,0.0,0.0,0.0,0.35807806,0.0,0.0,0.0
MAP7D1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30767328,0.0,0.0,0.0,0.0,0.2767815,0.0,0.0,0.0
THRAP3,0.0,0.62854016,0.0,0.0,0.0,0.0,0.74926704,0.0,0.0,0.75153375,0.0,0.0,0.0,0.0,1.0233562,0.0,0.0,0.0
LSM10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3805774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSCP1,0.0,0.0,0.0,0.0,0.0,0.0,0.95723784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPS15,0.0,0.64168394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5588602,0.0,0.0,0.0,0.0,0.688776,0.0,0.0,0.0
CSF3R,0.0,0.73314035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1169488,0.0,2.9891067,0.0,0.0,0.0,0.0,0.0
MEAF6,0.0,0.39200836,0.0,0.0,0.0,0.0,0.88533306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42259175,0.0,0.0,0.0
DNALI1,0.0,0.0,0.0,0.0,0.0,0.0,1.5721518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GNL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2759391,0.0,0.0,0.0
CDCA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3078667,0.0,0.0,0.0
C1orf122,0.0,0.43951386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38847274,0.0,0.0,0.0
SF3A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29379636,0.0,0.0,0.0
UTP11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29594183,0.0,0.0,0.0
RRAGC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3150115,0.0,0.0,0.0
MYCBP,0.0,0.0,0.0,0.0,0.0,0.0,0.40683645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKIRIN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18764332,0.0,0.0,0.0
NDUFS5,0.0,1.0097026,0.0,0.0,0.0,0.0,1.2027841,0.0,0.67745036,1.3962501,0.6768348,0.0,0.0,0.3681766,1.2526639,0.0,0.0,0.0
MACF1,0.0,1.0648496,0.0,0.0,0.0,1.6813009,0.8078179,0.0,0.0,0.2799828,0.0,0.0,0.0,0.0,0.7641882,0.0,0.0,0.9693103
PABPC4,0.0,0.46853828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6116221,0.0,0.0,0.0,0.0,0.6995096,0.0,0.0,0.0
MFSD2A,0.0,1.4470241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAP1,0.0,0.59716487,0.0,0.0,0.0,0.0,0.0,0.0,1.3548146,1.5281959,1.8357805,1.283598,2.5642111,0.0,0.925635,0.0,0.0,0.0
PPT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9538898,1.1233578,0.0,0.0,0.0,0.0,0.38978046,0.0,0.0,0.0
SMAP2,0.0,0.0,0.0,0.8461851,0.0,0.0,0.64971596,0.0,0.5755392,0.6032726,1.7749286,1.4256488,2.421405,0.0,0.21257022,0.0,1.4559119,0.0
PPCS,0.0,0.31510606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5731912,0.0,0.0,0.0,0.0,0.5698019,0.0,0.0,0.0
CCDC30,0.0,0.0,0.0,0.0,0.0,0.0,0.74424434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPIH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22987132,0.0,0.0,0.0
YBX1,1.3848523,1.6674155,0.0,0.60883784,1.7316731,0.0,1.1481606,1.714751,2.4855027,2.4693537,1.776643,1.5880265,0.0,0.985506,2.1945171,0.0,1.5574542,1.5890343
CFAP144,0.0,0.0,0.0,0.0,0.0,0.0,2.4233444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EBNA1BP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29588878,0.0,0.0,0.0
CFAP57,0.0,0.0,0.0,0.0,0.0,0.0,0.69165057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM125,0.0,0.7451008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29497936,0.0,0.0,0.0
ELOVL1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31664807,0.0,0.0,0.0
MED8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20210704,0.0,0.0,0.0
