,Basal II cells,Basal cells,Ciliated cells,Club cells,Dendritic cells,Goblet cells,Ionocytes,MT gene enriched cells,Mast cells,Maturing ciliated cells,NK cells,Neutrophils & macrophages,Peri-goblet cells,Secretory cells (HLA-DQA1),Suprabasal cells,T cells
XPO6,0.0,0.0,0.0,0.39935972232862915,0.0,0.39457005870309736,0.0,0.0,0.0,0.40745875674984244,0.0,1.5352186184836047,0.39733804557041785,0.6185516927499507,0.0,0.0
NSMCE1,0.0,0.0,0.5129497030402944,0.0,0.0,0.24513453592573103,0.0,0.0,1.1469862708576721,0.19545707035049387,0.0,0.0,0.0,0.4431262719268662,0.0,0.0
NPIPB12,0.5083050599480948,0.0,0.5931075363691287,0.3522483041250975,0.0,0.2825187540094178,0.0,0.0,0.0,0.4278405498970992,0.0,0.0,0.3943237502851361,0.5139922215172298,0.0,0.0
LMAN2,0.5201151299427026,0.0,0.7658962303668476,0.5685785975279163,0.0,1.0945841304171433,0.7480926734482433,0.0,0.0,1.0388196977874002,0.0,0.0,0.5758480665020809,0.6724589593614833,0.0,0.0
GCSAML,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9872281671031927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRELID1,0.5550682971517816,0.0,0.0,0.5387585131545153,0.9811418604730859,0.5256246418650883,0.4559897207469997,0.0,0.0,0.6795975748461275,0.0,0.0,0.4820125618750536,0.6843643738195466,0.0,0.0
SLC50A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3406784646438188,0.0,0.0,0.0,0.0,0.0,0.0
EFNA1,0.0,0.0,0.0,0.0,0.0,0.4355556360274656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NPIPB3,0.551176919289558,0.4611798011732595,0.7083794557855493,0.4495055274731126,0.5691769969888302,0.4647246941242129,0.4726664051583784,0.0,0.0,0.6405567426569865,0.0,0.0,0.4697824877200942,0.5295557679557613,0.0,0.0
ENSG00000169253,1.3476559749988386,1.2334178345577276,0.5491602881525277,0.9958299754854846,0.7495612698400367,0.879643129569817,0.7479168463659888,0.0,0.0,0.8758133820070539,1.830824846488147,0.0,0.8831462985426977,0.8173196787464879,1.3805887126930303,0.0
C22orf15,0.0,0.0,0.668178834354854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PTK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.274677057088935,0.0,0.0
RSPH10B2,0.0,0.0,0.16410671887108527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RNASE6,0.0,0.0,0.0,0.0,1.0086353621871846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CXCL8,0.36022457755196513,0.0,0.0,0.9601633642878832,0.0,0.6710067682688767,0.0,0.0,0.0,0.0,0.0,3.7530134826022783,0.0,0.6945501269770513,1.4335775803424458,0.0
RASSF6,0.0,0.0,0.0,0.0,0.0,0.0,0.7246730672907271,0.0,0.0,0.0,0.0,0.0,0.0,0.47449441101600603,0.0,0.0
SDC2,0.0,0.0,0.0,0.0,0.0,0.0,0.481456042953039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD52,0.0,0.0,0.0,0.0,0.8114861733107621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4893169811931535
GPR183,0.0,0.0,0.0,0.0,1.4821240278806966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUC15,0.0,0.0,0.5448955228720298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8918658634543901,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCBP1,0.7228675933071419,0.6615249824379288,0.9442727201972207,0.9191955449158559,1.0610100144901358,1.116528077309725,1.3673235024616563,0.0,1.3991048451970876,1.1811311188461047,0.0,0.0,0.9722576993810759,0.9316514540970955,0.5820411182869087,1.0790038172797334
HINT1,1.4788719364350893,1.49979004989601,1.334058240084584,1.5050425726844436,1.3142152326986685,1.4950036000854325,1.1712219345561738,1.0575267138919233,0.0,1.604409908448373,1.5542091544863146,0.0,1.4916466346616604,1.6465538228781007,1.4048396214258243,0.0
BOLA2B,0.0,0.0,0.0,0.0,0.0,0.2565653154914387,0.0,0.0,0.0,0.6392930798135896,0.0,0.0,0.0,0.0,0.0,0.0
CENPX,0.0,0.0,0.0,0.0,0.0,0.5113461651407623,0.0,0.0,0.0,0.42695717902002683,0.0,0.0,0.0,0.0,0.0,0.0
AGPAT2,0.0,0.0,0.0,0.0,0.0,0.45478709531916495,0.0,0.0,0.0,0.5612187330552378,0.0,0.0,0.0,0.0,0.0,0.0
ASPSCR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1456383700094763,0.0,0.0,0.0,0.0,0.0,0.0
