,AT1,AT2,Adventitial FB,Alveolar FB,Alveolar macrophage,Arteriole,B cells,Basal,CD4,CD8/NKT,Ciliated,Differentiating ciliated,Inflamed,Inflammatory monocyte,Interstitial macrophage,KRT5-/KRT17+,Lymphatic,Mast,Mesothelial,Monocyte,Monocyte-derived macrophage,MyoFB,MyoFB - Activated,NK,PLIN2+ FB,PNEC,Pericyte,Plasma,Proliferating - Epi,Proliferating - Imm,SMC,Secretory - SCGB1A1+/MUC5B+,Secretory - SCGB1A1+/SCGB3A2+,Secretory - SCGB3A2+,Systemic venous,Transitional AT2,Venule,aCap,cDC1,cDC2,gCap,moDC,pDC
EFHD2,0.0,0.0,0.0,0.0,1.2019187628949837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4966814486968643,1.5093296953471256,0.8282397306815151,0.0,0.0,0.0,1.7353386638688317,1.1338445519519873,0.0,0.0,1.7735328355335214,0.0,0.0,0.0,0.0,0.0,1.0599560643462427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1741310950327761,0.0,0.9164544427820125,0.0
EPHA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9565201191693076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZRD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24998283528200632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NECAP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5010530071552122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5086696123031411,0.0,0.0,0.0,0.0
MFAP2,0.0,0.0,0.0,1.6729192048509423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6606415467610502,0.0,0.0,0.0,1.7965752855730557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDHB,0.0,0.0,0.0,0.0,0.9903931596629314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12228325393929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKR7A2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2079373562017879,0.0,0.0,0.0,0.8263076332822533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8369160968937582,0.0,0.0,0.0,0.0,0.0,1.1399718004830781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPZB,0.0,0.0,1.5494920723952026,1.7050006826943274,1.4940435307176037,0.0,1.8129736199473585,1.3122130809070855,1.9593730013308532,1.9873166376401714,0.9219668549250319,0.8542398054959225,1.0891689113521568,1.8159167668499565,1.7793725811666996,1.277497959820632,1.3303628745770868,1.4295883783613983,0.0,1.8256091431465928,1.5579148786143926,1.6736734250887806,1.7633488179387553,2.0164912104320063,1.6274425167479776,1.5779543083997547,1.8988116367464438,1.0327183763118126,1.104794109248307,1.697233393881067,1.6573692091560293,0.0,0.0,1.2006915194369918,0.7183138998844655,0.9047451207183269,0.8175138873374705,0.0,1.6077024650217269,1.7086090979281578,0.0,1.8114568629705334,1.609242221271721
NBL1,0.0,0.0,2.1292017042758373,2.1907397365167744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9845260709291508,1.9580234062466635,0.0,1.851377946691563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLA2G2A,0.0,0.0,1.9381563241308168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6997196219315125,0.0,0.0,0.0,0.0,0.0,1.952940857148158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
