,Adipo,CM,EC,Fib,Lymph,Mast,Mural,Myel,Neuro,PKHD1L1+ EC
ENSG00000185811,-0.21735635,-0.18855329,-0.23276183,-0.23316708,1.2899911,3.147972,-0.24862824,-0.2017771,-0.2277153,-0.2069149
ENSG00000009950,9.166527,-0.12012011,-0.08429961,-0.08935321,-0.08647444,-0.08468229,-0.08801947,-0.09078538,-0.08579257,-0.0925679
ENSG00000005249,4.3388968,-0.24922839,-0.17158331,-0.19125697,-0.16637927,-0.18995897,-0.19059758,-0.19559593,-0.17867453,-0.18592528
ENSG00000106484,3.2339,-0.13393657,-0.19045225,-0.1787131,-0.19273415,-0.17952067,-0.17799903,-0.17464411,-0.1867194,-0.17208245
ENSG00000221866,2.8272948,-0.39515147,-0.25581452,-0.29555866,-0.23410705,-0.28905094,-0.3002488,-0.30923736,-0.26162732,-0.25283796
ENSG00000122778,-0.16448906,-0.15266666,-0.18612431,-0.18000524,-0.18925747,6.769711,-0.18049571,-0.17688473,-0.18503577,-0.17720845
ENSG00000056998,7.7453566,-0.07050604,-0.062178466,-0.06333222,-0.062567994,-0.06239845,-0.0631201,-0.063752234,-0.062570095,-0.06407136
ENSG00000046653,-0.28664994,-0.29164216,-0.2576761,-0.26694435,-0.24686697,-0.27206582,-0.27017543,-0.27306235,3.1744013,-0.27219412
ENSG00000130066,1.6365488,0.18735066,-0.5299798,-0.51851875,-0.42438662,-0.55684036,-0.62705743,1.4233007,-0.056634642,-0.36622587
ENSG00000038945,-0.21183294,-0.19441415,-0.20021284,-0.21212833,-0.15501466,-0.2283313,-0.22544771,2.536362,-0.1987361,-0.17794833
ENSG00000206579,-0.16416919,-0.15467596,-0.17566068,-0.17259005,-0.16988659,-0.17853442,-0.17592727,-0.17181222,6.782938,-0.16805369
ENSG00000205038,-0.13497579,-0.12633263,-0.11429264,-0.12985435,-0.08440767,-0.14138117,-0.13838087,-0.13156019,-0.11494278,5.8007517
ENSG00000173068,1.1852738,-0.38867015,-0.459112,1.4375197,-0.43287796,1.6872696,-0.4621031,-0.4248208,-0.45472312,-0.37742057
ENSG00000165025,-0.23952934,-0.21555863,-0.2279132,-0.24170822,-0.14868382,-0.2354548,-0.25972384,2.5410159,-0.22367209,-0.20429105
ENSG00000172889,-0.33355823,-0.26503026,2.90392,-0.41961873,-0.46801764,-0.42321065,-0.42336267,-0.4032511,-0.4493838,0.9697143
ENSG00000152270,3.3349216,-0.44395757,-0.3532626,-0.36526537,-0.30532777,-0.3533201,-0.38429892,-0.3745865,-0.3504442,-0.36766076
ENSG00000166900,-0.28771982,-0.27550954,-0.30666462,-0.30181774,-0.30732945,3.6857285,-0.3016435,-0.2995849,-0.30444837,-0.30030084
ENSG00000110077,-0.23173928,-0.20838454,-0.21667747,-0.2321671,-0.1566877,-0.25206915,-0.2495371,3.172234,-0.21382973,-0.19570428
