,b_age,b_gc,b_memory,b_naive,cd3_gd,cd4_cm,cd4_naive,cd4_tem,cd4_temra,cd4_treg,cd4_trm,cd8_cm,cd8_mait,cd8_naive,cd8_tem,cd8_temra,cd8_trm,dc1,dc2,dc_migratory,ilc1,ilc3,macrophage,mast_cell,monocyte_classical,monocyte_nonclassical,nk_cd56br,nk_cd56dim,nk_ilc_precursor,pdc,plasma_cell,plasmablast,progenitor
ENSG00000188313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40474457,0.7323204,0.0,0.0,0.0,0.40770325,0.0,0.54857767,0.54006577,0.0,0.0,0.0,0.0,0.0,0.0,0.18869735
ENSG00000163751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1269164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25630066,0.0,0.0,0.0,0.0,0.0,0.43923217,0.0
ENSG00000071794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0978755,0.0
ENSG00000114744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25708178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14228131,0.0
ENSG00000082996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22567445,0.0,0.0,0.0,0.5510723,0.0,0.0,0.39254218,0.0,0.0,0.0,0.0,0.0,0.09332262,0.0
ENSG00000196428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23366499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000120742,0.6180572,0.9093451,0.867167,0.8890681,0.674665,0.91849804,0.99972445,0.7587098,0.6986054,0.7657881,0.76397794,0.9588009,0.9956289,0.9262956,0.68882424,0.6971412,0.7213642,0.807984,1.0372789,0.97806394,0.6558162,0.8666377,0.99887633,0.9013254,1.190829,1.2401885,0.77444446,0.6951987,0.6413187,1.2065773,0.9031512,1.1368383,0.92298365
ENSG00000144895,0.0,0.21317506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12926808,0.0,0.0,0.0,0.0,0.0,0.20676161,0.29867667,0.0,0.0,0.0,0.22116423,0.0,0.0,0.0,0.0,0.0,0.0,0.35433444,0.0,0.28577664,0.26917294
ENSG00000198843,0.0,0.49826455,0.0,0.0,0.0,0.0,0.0,0.35977498,0.0,0.35714993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18758686,0.26450276,0.24899867,0.0,0.0,0.30348942,0.0,0.0,0.2984714,0.0,0.0,0.0,0.31735656,0.22957657,0.47232515,0.074338734
