,Adipocyte,Endothelial cell (lymphatic),Endothelial cell (vascular),Epithelial cell (basal keratinocyte),Epithelial cell (cornified keratinocyte),Epithelial cell (mature keratinocyte),Epithelial cell (suprabasal keratinocyte),Fibroblast,Immune (DC/macrophage),Immune (Langerhans),Immune (T cell),Immune (mast cell),Melanocyte,Pericyte/SMC,Sebaceous gland cell,Sweat gland cell,Unknown
LYST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8184364,2.3306916,0.0,3.0154724,0.0,0.0
AKT3,0.0,2.454301,3.0104094,0.0,0.0,0.0,0.0,3.0163913,0.0,0.0,2.7679136,0.0,0.0,2.450601,0.0,0.0,0.0
SMYD3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2839975,0.0,0.0,0.0,0.0,0.0
SNTG2,0.0,2.1330388,3.309157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIDINS220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2189652,0.0,0.0,0.0,0.0,0.0
MBOAT2,0.0,0.0,0.0,0.0,0.0,2.7913013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRHL1,0.0,0.0,0.0,0.0,0.0,2.0174205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP6V1C2,0.0,0.0,0.0,0.0,2.7808197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPIN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9501274,0.0,0.0
BIRC6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4156587,0.0,0.0,0.0,0.0,1.8651769,0.0,0.0
EML4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5412796,0.0,0.0,0.0,0.0,0.0,0.0
ZFP36L2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6703858,0.0,0.0,0.0,0.0,0.0
PLEKHH2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8923573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPAS1,0.0,0.0,2.020063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPTBN1,0.0,2.4860075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RTN4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3690176,0.0,0.0
USP34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2189652,0.0,0.0,0.0,0.0,0.0
EHBP1,0.0,0.0,0.0,2.3897576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EXOC6B,0.0,0.0,0.0,2.7363157,2.9059556,3.1096535,2.8411546,0.0,0.0,0.0,0.0,3.0350857,0.0,0.0,0.0,0.0,0.0
USP39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1138308,0.0,0.0,0.0,0.0,0.0
AFF3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.929324,0.0,0.0,0.0,0.0
RNF149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.130801,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL1R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3408122,0.9700521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL1R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93968594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFCP2L1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.853478,0.0
ARHGEF4,0.0,0.0,0.0,0.0,0.0,1.668608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MGAT5,0.0,2.4042833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LRP1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31031,0.0,0.0,0.0,0.0,0.0
ARHGAP15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0145464,1.3483685,0.0,0.0,0.0,0.0,0.0
ZEB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5327032,0.0,0.0,0.0,2.5343049,0.0,0.0,0.0,0.0
LYPD6B,0.0,0.0,0.0,0.0,0.0,1.604973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TANC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8873258,0.0,0.0,0.0,0.0
PLA2R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.239366,0.0,0.0
SLC38A11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2175577,0.0,0.0,0.0,0.0,0.0
STK39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.084433,0.0
CERS6,0.0,0.0,0.0,2.6858416,0.0,0.0,0.0,0.0,2.455274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGA6,0.0,0.0,1.9751025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAPGEF4,0.0,0.0,0.0,0.0,2.3162053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TFPI,0.0,3.0306604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STK17B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4165475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6369243,2.9144123,3.001737,2.8897429,2.323182,0.0,0.0,0.0,0.0
CFLAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.033552,0.0,0.0
RAPH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9094148,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARD3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9932973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAP2,0.0,0.0,0.0,0.0,0.0,2.2072425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERBB4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6839662,0.0
ABCA12,0.0,0.0,0.0,0.0,2.4892952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3949993,0.0,0.0,0.0
MOGAT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3848197,0.0,0.0
PID1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9385843,2.3408122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARMC9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6099539,0.0,0.0,0.0,0.0
AGAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7108388,0.0,0.0,0.0,0.0,0.0
COL6A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.782014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNED1,0.0,2.254699,0.0,0.0,0.0,0.0,0.0,3.038826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPARG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.705164,0.0,0.0
TMEM40,0.0,0.0,0.0,0.0,2.3610044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANKRD28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.099023,0.0,0.0,0.0,1.1138308,0.0,0.0,0.0,0.0,0.0
ZNF385D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.516157,0.0,0.0
RBMS3,0.0,2.8576398,0.0,0.0,0.0,0.0,0.0,2.8065128,0.0,0.0,0.0,0.0,0.0,2.897211,0.0,0.0,0.0
TGFBR2,0.0,2.3348935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLASP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1138308,0.0,0.0,0.0,0.0,0.0
GOLGA4,0.0,0.0,0.0,0.0,0.0,2.4690154,2.091981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7186046,0.0,0.0
NBEAL2,0.0,0.0,0.0,0.0,0.0,1.9581814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COL7A1,0.0,0.0,0.0,2.6920204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5790975,0.0,0.0
DOCK3,0.0,0.0,0.0,0.0,0.0,1.525712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FHIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9671187,0.0,0.0
PTPRG,2.8275318,0.0,0.0,0.0,0.0,0.0,0.0,3.845169,0.0,0.0,0.0,0.0,0.0,3.2192664,0.0,0.0,0.0
MAGI1,2.4632893,3.031286,3.173729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0512261,0.0
FRMD4B,0.0,2.635721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MITF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1155427,0.0,0.0,0.0,0.0
FOXP1,0.0,2.6539488,2.5132215,0.0,0.0,0.0,0.0,0.0,2.8955812,2.282526,2.7242525,1.2982695,0.0,0.0,2.3136973,2.5675445,0.0
GBE1,2.7210145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM45A,0.0,0.0,0.0,0.0,0.0,2.5380533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALCAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9195485,0.0,0.0
CBLB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.952241,0.0,0.0,2.0345666,0.0,0.0,0.0,0.0,0.0,0.0
C3orf52,0.0,0.0,0.0,0.0,0.0,2.9926975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZBTB20,0.0,3.0294108,3.0355206,1.7091017,0.0,0.0,0.0,3.2898855,2.1330388,2.4165475,2.4870176,3.1465003,0.0,2.700583,0.0,2.760254,0.0
LSAMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4739776,0.0,0.0,0.0,0.0,2.781837,0.0,0.0,0.0,0.0
KALRN,0.0,3.1515117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GATA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31031,0.0,0.0,0.0,0.0,0.0
RASA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8442688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GK5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3779335,0.0,0.0
MBNL1,0.0,2.1570113,2.6744516,2.2895832,0.0,0.0,0.0,0.0,2.870894,2.3237734,2.7417293,0.0,2.4374647,0.0,0.0,0.0,0.0
MECOM,0.0,0.0,3.0745363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TNIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1845741,0.0,0.0,0.0,0.0,0.0
FNDC3B,2.6151085,0.0,2.1706605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NAALADL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5748427,1.8685887,0.0
BCL6,2.1740503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1072516,2.3022182,0.0,0.0
LPP,2.863854,0.0,0.0,0.0,0.0,0.0,0.0,2.8279583,2.6466115,2.3166337,0.0,1.1138308,2.8118453,3.8663018,0.0,0.0,0.0
TP63,0.0,0.0,0.0,2.564765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLDN1,0.0,0.0,0.0,1.9227024,0.0,0.0,0.8917372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RGS12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.005845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STK32B,0.0,2.510592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBC1D14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8184364,0.0,0.0,0.0,0.0,0.0
CPEB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.414422,0.0,0.0,0.0,0.0
LDB2,0.0,3.4750333,2.9988728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBPJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8257155,2.2979546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARAP2,0.0,0.0,0.0,0.0,1.7312834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBM47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7764115,0.0,0.0
APBB2,0.0,0.0,2.0834832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1465003,2.7526636,0.0,0.0,0.0,0.0
HOPX,0.0,0.0,0.0,0.0,0.0,2.848401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SULT1E1,0.0,0.0,0.0,2.379479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNOT6L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7006152,0.0,0.0,0.0,0.0,0.0,0.0
BMP2K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8184364,0.0,0.0,0.0,0.0,0.0
RASGEF1B,4.779941,2.0634203,2.363183,3.035048,3.7575505,3.6641464,3.1869938,2.5620005,2.8287072,3.0732017,2.885944,3.0237596,2.8971992,2.8867435,2.3791971,3.059259,3.567933
GPAT3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3042481,0.0,0.0,0.0,0.0,0.0
PTPN13,0.0,0.0,0.0,2.0595307,0.0,2.182429,1.9075453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPARCL1,0.0,0.0,3.095949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8638864,0.0,0.0,0.0
SNCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1877096,0.0,0.0,0.0,0.0
MMRN1,0.0,3.1550875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCSER1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.039829,0.0,2.6526165,0.0,0.0,0.0,0.0,0.0
TSPAN5,0.0,0.0,0.0,0.0,2.3962133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADH1B,2.6927817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMCN,0.0,0.0,2.989555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPP3CA,0.0,0.0,2.2735476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8184364,0.0,0.0,0.0,0.0,0.0
CAMK2D,0.0,2.0151632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAML3,0.0,0.0,0.0,0.0,0.0,1.9581814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INPP4B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1440477,2.643891,0.0,0.0,0.0
ARHGAP10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0644212,0.0,0.0,0.0,0.0,0.0,2.6509464,0.0,0.0,0.0
NR3C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9178834,0.0,0.0,0.0
LRBA,0.0,0.0,0.0,0.0,0.0,2.5742302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9952126,0.0,0.0
SH3D19,0.0,2.1330388,0.0,0.0,0.0,1.604973,0.0,3.2006257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
