,CNT,DCT1,DCT2,ENDO,FIB,ICA,ICB,LEUK,MES,PC,PEC,PODO,PT,PT_VCAM1,TAL
ENSG00000134909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0
ENSG00000151240,0.0,0.0,0.0,0.0,0.6931472,1.3862944,0.6931472,0.0,0.0,0.6931472,0.6931472,0.0,1.0986123,0.6931472,0.6931472
ENSG00000067082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.6931472,0.0
ENSG00000198879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,0.0,0.0
ENSG00000107485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0
ENSG00000048740,0.0,0.0,0.0,0.0,0.0,1.0986123,2.7080503,1.609438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000183049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000151474,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,1.9459101,0.0,0.0,0.0,0.0
ENSG00000065809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0
ENSG00000148468,0.6931472,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0
ENSG00000077943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000107611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3978953,0.6931472,0.0
ENSG00000165995,0.0,0.0,0.0,0.0,0.0,1.7917595,0.0,0.0,1.0986123,0.0,0.0,1.0986123,0.0,0.0,0.6931472
ENSG00000120594,0.6931472,0.0,0.0,1.0986123,0.6931472,0.0,0.0,0.6931472,0.0,0.6931472,0.6931472,0.6931472,0.6931472,1.0986123,0.6931472
ENSG00000078114,1.0986123,0.0,0.6931472,0.0,0.0,0.6931472,1.7917595,0.0,0.0,0.6931472,0.0,2.5649493,0.0,0.0,0.6931472
ENSG00000078403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000136770,0.6931472,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000150867,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000120549,0.6931472,1.0986123,1.0986123,1.0986123,1.609438,0.6931472,0.6931472,0.6931472,1.0986123,1.0986123,0.6931472,0.0,0.6931472,0.6931472,0.6931472
ENSG00000136754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000150054,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000095787,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0
ENSG00000197321,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472
ENSG00000148516,0.0,0.0,0.0,1.3862944,0.6931472,0.0,0.0,0.0,1.0986123,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000120616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000099250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.6931472,0.0,0.0,0.6931472,0.0
ENSG00000148498,1.0986123,1.0986123,1.0986123,0.6931472,1.0986123,0.6931472,1.0986123,0.6931472,1.0986123,1.3862944,1.609438,1.9459101,1.0986123,1.609438,1.0986123
ENSG00000108100,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0
ENSG00000185904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000187783,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000107551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0
ENSG00000107643,0.6931472,0.6931472,0.6931472,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.6931472
ENSG00000198964,0.6931472,0.0,0.0,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0
ENSG00000185532,2.0794415,0.0,0.6931472,0.6931472,1.609438,1.609438,0.0,0.0,2.9957323,1.3862944,0.6931472,2.0794415,0.0,0.0,1.0986123
ENSG00000150275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,0.0
ENSG00000122870,2.0794415,1.7917595,2.1972246,0.0,1.3862944,0.0,0.0,0.6931472,0.0,1.7917595,1.9459101,0.0,1.3862944,2.3025851,1.3862944
ENSG00000148541,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000165449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609438,0.0,0.0
ENSG00000151150,1.609438,1.609438,1.3862944,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,1.9459101,1.3862944,0.0,1.609438,1.7917595,1.3862944
ENSG00000072422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0
ENSG00000150347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.6931472
ENSG00000171988,1.0986123,1.0986123,1.0986123,1.3862944,1.0986123,1.0986123,1.0986123,1.0986123,1.0986123,1.0986123,1.0986123,0.6931472,0.6931472,1.0986123,1.0986123
ENSG00000148634,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000122862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000156026,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0
ENSG00000035403,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.6931472,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000156110,0.6931472,0.6931472,0.6931472,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.6931472,0.0,0.6931472,0.0,0.0,0.6931472
ENSG00000156650,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000148655,1.9459101,1.9459101,1.7917595,1.609438,0.6931472,2.0794415,2.1972246,1.7917595,0.0,1.7917595,1.609438,1.3862944,1.9459101,1.9459101,0.0
ENSG00000108175,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185737,0.0,0.0,0.0,1.0986123,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,0.0,0.6931472,0.0
ENSG00000171862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000152779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.6931472,1.0986123
ENSG00000107864,0.6931472,0.6931472,0.6931472,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123
ENSG00000138193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,2.0794415,0.0,0.0,0.0
ENSG00000095637,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000177853,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000095585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0
ENSG00000196233,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000172987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000075891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.6931472,0.6931472,0.0
ENSG00000148842,0.0,2.0794415,1.609438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000076685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000107954,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000065613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000108018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,0.0
ENSG00000229981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9459101,0.0,0.0,0.0,0.0
ENSG00000148700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000023041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862944,0.0,0.0,0.0
ENSG00000151532,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.6931472,0.6931472,0.0,0.0,0.6931472,0.0,2.1972246,0.0,0.0,0.6931472
ENSG00000148737,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.6931472,0.0,0.6931472,0.0,0.0,0.0
ENSG00000099204,0.6931472,1.0986123,1.0986123,0.0,0.0,0.0,0.6931472,0.0,0.0,0.6931472,0.6931472,0.0,0.6931472,0.6931472,1.0986123
ENSG00000165868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000198873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0
ENSG00000138162,0.0,0.0,0.6931472,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0
ENSG00000175029,0.0,0.6931472,0.0,0.6931472,0.0,0.0,0.6931472,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.6931472
ENSG00000150760,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.6931472,0.6931472,0.6931472,0.6931472,0.0,0.6931472,0.6931472
ENSG00000010379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986123,0.0,0.0
ENSG00000139044,0.6931472,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000060237,1.609438,1.9459101,2.0794415,0.6931472,0.6931472,0.6931472,0.0,0.6931472,0.6931472,0.6931472,0.0,0.0,0.6931472,0.0,0.6931472
ENSG00000082805,0.6931472,0.0,0.0,0.6931472,0.0,0.6931472,0.6931472,0.0,0.6931472,1.3862944,0.6931472,1.0986123,0.0,0.6931472,0.0
ENSG00000006831,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000151067,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,2.3025851,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000011105,0.0,0.0,0.6931472,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000010278,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000111319,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000175899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931472,0.0,0.0,0.0,0.0,0.0,0.0
