,Age-associated B cells,CD16+ NK cells,CD16- NK cells,CD24 neutrophils,CMP,CRTAM+ gamma-delta T cells,Classical monocytes,Cycling T&NK,DC precursor,DC1,DC2,ELP,ETP,Early MK,Early erythroid,Erythrocytes,Follicular helper T cells,GMP,HSC/MPP,Late erythroid,MAIT cells,MEMP,Mast cells,Megakaryocyte precursor,Megakaryocytes/platelets,Memory B cells,Mid erythroid,NAMPT neutrophils,Naive B cells,Neutrophil-myeloid progenitor,Neutrophils,Non-classical monocytes,Plasma cells,Plasmablasts,Pro-B cells,Promyelocytes,Regulatory T cells,Small pre-B cells,Tcm/Naive cytotoxic T cells,Tcm/Naive helper T cells,Tem/Effector helper T cells,Tem/Temra cytotoxic T cells,Tem/Trm cytotoxic T cells,pDC,pDC precursor
USP39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9552104527300055,0.9378453980792653,0.9318181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9405623024160211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9883710809729316,0.0,0.9772727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP47,0.0,0.0,0.0,0.0,0.8570799908854745,0.0,0.0,0.0,0.8644903898239136,0.0,0.0,0.0,0.0,0.9011484194885601,0.8666295829144391,0.8693027862093665,0.0,0.0,0.0,0.0,0.0,0.8642234910618175,0.0,0.0,0.0,0.0,0.8409090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.8418048240921714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP48,0.0,0.0,0.0,0.0,0.6753514869646593,0.0,0.0,0.6793422116474672,0.6915061582218517,0.0,0.0,0.0,0.0,0.7145319743589922,0.7152820486914028,0.7115976146676324,0.0,0.7205803489143198,0.0,0.0,0.0,0.7058859047564593,0.7090834514661268,0.6637428917668082,0.0,0.0,0.7101154855706475,0.0,0.0,0.6940589533610777,0.0,0.0,0.6590909090909091,0.7526410574262793,0.0,0.7641221989284862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6752543395215814
USP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9653824554248289,0.9607404524629767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP6NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USP7,0.0,0.0,0.0,0.0,0.7576017176563089,0.0,0.0,0.0,0.7735490582206033,0.0,0.7742045345631513,0.0,0.0,0.7627244496887381,0.7548882243308154,0.8390113508159464,0.0,0.7627255686304786,0.0,0.9254236871545966,0.0,0.75,0.0,0.0,0.0,0.0,0.7523952573537827,0.0,0.0,0.0,0.0,0.0,0.0,0.758129743012515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7739891477606513,0.0
USP8,0.0,0.0,0.0,0.0,0.7841368994929574,0.0,0.0,0.0,0.8247056969187476,0.0,0.8132796815850518,0.0,0.0,0.8355887261303988,0.7871718772433021,0.7943385460159995,0.0,0.7883851541714235,0.0,0.0,0.0,0.7819614640691064,0.0,0.0,0.0,0.0,0.7727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.7786837016994302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7795437005433169,0.0
USP9X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9451263425025073,0.933599057522687,0.9684205732562325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9318181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTP11,0.0,0.0,0.0,0.0,0.889935394579714,0.0,0.0,0.0,0.8953142233870246,0.0,0.0,0.0,0.0,0.9177124215797945,0.8964026475494559,0.8561895543878729,0.0,0.0,0.0,0.0,0.0,0.8409090909090909,0.0,0.0,0.0,0.0,0.8841464912349527,0.0,0.0,0.0,0.0,0.0,0.0,0.8746739585291256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTP14A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9545454545454546,0.9673712673512372,0.957511155442758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
