,B cells,C-TAL,CCD-IC-A,CNT,Classical monocytes,DC,DC2,DCT,DTL,EC-AEA,EC-AVR,EC-DVR,EC-GC,EC-LYM,EC-PTC,FIB/aFIB,IC-A,IC-B,IMCD,M-FIB,M-TAL,Myeloid,NK cells,Non-classical monocytes,PC,PEC,PT,PT-S1/2,PT-S3,Podocytes,T cells,T/NK,VSMC,VSMC/P,aPT,aTAL,dATL,dC-IC-A,dM-FIB,dPT,dVSMC
ENSG00000143727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58994615,0.0,0.0,0.0
ENSG00000167107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0586352,1.9810017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7111182,0.0
ENSG00000151726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0393877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.070869,0.0
ENSG00000068366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6637348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1820059,0.0,0.0,0.0,0.0,0.0
ENSG00000183747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7643933,3.2787578,0.0,0.0,0.0,0.0,0.0,2.0419421,0.0,0.0,0.0,0.0,3.3508058,0.0
ENSG00000066813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6113071,3.0361485,0.0,0.0,0.0,0.0,0.0,1.4429362,0.0,0.0,0.0,0.0,3.3481946,0.0
ENSG00000107796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0240235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4163625
ENSG00000075624,3.4085188,1.3037612,2.685114,2.0538797,3.7249184,3.3523922,3.3818529,0.0,1.6948678,2.3322017,1.4979529,1.8740256,1.8753859,2.170134,2.0293825,1.0654156,0.0,2.0413878,1.3746704,1.2107468,1.098479,0.0,3.6074617,3.87972,2.0587099,0.0,2.0497425,0.0,0.0,1.1175196,3.5113635,0.0,1.3362255,2.3029065,1.6455964,1.5274744,1.6485579,2.9557285,2.2174206,0.0,3.4814243
ENSG00000072110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9379452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6515575
ENSG00000131966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4938594,0.0,0.0,0.0
ENSG00000138071,0.0,0.0,0.0,0.0,1.4293929,0.94862384,1.321023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5197557,0.0,0.0,0.0,0.0,1.486663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000115091,0.0,0.0,0.0,0.0,0.0,0.0,0.5274973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1313885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5618535,0.0,0.8126703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000170634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85506785,0.0,0.78263384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000137845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.215857,0.0,1.2829384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5924826,0.0,0.0,0.0,0.0,0.0,0.0,1.2142315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7598918,1.2133999,0.0,0.0,0.0,0.0
ENSG00000143537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.179972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000151694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47966683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000145808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9257624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000049192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0840929,0.0,1.9607141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000163638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0848653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000241158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.127418,2.4180393,0.7093048,0.0,0.0,0.0,0.0,0.596248,0.0,0.0,0.0,0.0,1.7152177,0.0
ENSG00000241684,0.0,0.0,0.0,0.77036935,0.0,0.0,0.0,2.0219555,1.4741637,0.0,1.03035,0.0,0.0,0.0,0.0,2.3382702,0.0,0.0,1.4673635,2.054854,0.0,0.0,0.0,0.0,0.63134074,2.238256,0.0,0.0,1.0706851,2.122345,0.0,0.0,2.459096,0.0,0.0,2.0548186,1.1710684,0.0,0.0,0.0,0.0
ENSG00000178031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3484471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000173175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4544529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7598918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000087274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76415706,1.1621618,1.0515294,0.0,0.0,0.0,0.0,0.0,0.0,0.71064514,0.9661733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8009232,0.0,0.0,1.450264,0.0
ENSG00000148700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66742766,0.0,0.0,0.0,0.0,0.0,0.79298615,0.0,0.0,0.0,0.0,0.69935447,0.965067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1840487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000135298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.187085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000123146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.958277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000153292,0.0,0.0,0.8635063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7100043,0.0,1.0006268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6203749,0.0,0.0,0.0
ENSG00000069122,0.0,0.0,2.0555854,0.0,0.0,0.0,0.0,0.0,0.0,2.1386337,1.6693944,1.6397123,2.6190474,0.0,1.8589692,0.0,3.174506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3692077,0.0,0.0,0.0,1.7946821,0.0,0.0,0.0
ENSG00000117114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8576655,0.0,0.0,0.0,0.0,1.1222247,0.0,0.0,0.0,0.7707747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000150471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.209526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0347593,1.8647078,1.8599987,1.2181574,0.0,1.3608205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
