,ABCs,Alveolar macrophages,Classical monocytes,Cycling,Cycling T&NK,DC1,DC2,Erythrophagocytic macrophages,ILC3,Intermediate macrophages,Intestinal macrophages,MAIT,MNP/B doublets,MNP/T doublets,Mast cells,Memory B cells,NK_CD16+,NK_CD56bright_CD16-,Naive B cells,Nonclassical monocytes,Plasma cells,Plasmablasts,Progenitor,T/B doublets,T_CD4/CD8,Teffector/EM_CD4,Tem/emra_CD8,Tfh,Tgd_CRTAM+,Tnaive/CM_CD4,Tnaive/CM_CD4_activated,Tnaive/CM_CD8,Tregs,Trm/em_CD8,Trm_Tgd,Trm_Th1/Th17,Trm_gut_CD8,migDC,pDC
ENSG00000211751,0.0,0.0,0.0,0.0,0.7899405,0.0,0.0,0.0,0.3748248,0.0,0.0,0.0,0.0,0.8514334,0.0,0.0,1.1511083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2809627,0.0,0.0,0.0,0.0,0.0,1.1220818,0.97380066,0.83374083,0.0,0.0,0.0,0.0
ENSG00000211772,0.6385286,0.0,0.0,0.0,1.0465343,0.0,0.0,0.0,0.8994344,0.0,0.0,1.5311596,0.0,1.1883664,0.0,0.0,1.2174871,1.0072627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6620028,1.6013275,1.5327905,1.5817382,1.4770563,0.0,1.4590718,2.0689678,1.7643762,1.0702388,1.835496,1.3727851,0.0,0.0
ENSG00000197448,1.015537,0.68818027,0.92710567,0.7694328,0.68447745,1.1279857,0.9700556,0.0,0.0,0.0,0.2901562,0.9201462,0.56978095,0.84828955,0.6923481,0.57948244,0.0,0.0,0.0,1.1131314,0.3235002,0.4802278,0.7909752,0.0,0.0,1.3744498,1.1154239,1.2189965,0.0,1.0293438,1.2866247,0.8853749,1.2314407,1.1003486,0.0,1.2449611,1.2736089,0.65289944,0.0
ENSG00000159840,0.0,0.76632404,1.2565856,0.855893,0.0,1.0896707,1.21537,0.56043184,0.0,1.0587422,0.803776,0.0,0.0,0.62132925,0.0,0.0,0.0,0.0,0.0,1.1195538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74320006,0.6574612
ENSG00000106462,0.0,0.0,0.0,0.18283884,0.8315445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39273423,0.156977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000155660,0.0,0.5465692,0.0,0.5460134,0.0,0.0,0.0,0.0,0.0,0.0,0.48403218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7985627,1.5866294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.79970735
ENSG00000214022,0.0,0.0,0.0,0.0,0.0,0.39378306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85765445,0.0
ENSG00000179144,0.0,0.0,0.0,0.0,0.68133265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000106565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6793659,0.0,0.0,0.0,1.2044164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3349481,0.0
ENSG00000002933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48403218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5408198,0.0
ENSG00000164896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19825014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000164897,0.0,0.0,0.0,0.20123172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3968284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000013374,0.0,0.33979648,0.0,0.30074042,0.4105479,0.45440868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18150698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778314,0.0
ENSG00000106615,0.32790387,0.89922786,0.0,1.167747,0.68750226,0.50048393,0.6851118,0.0,0.0,0.66951454,0.0,0.0,0.0,0.5225057,0.0,0.0,0.0,0.0,0.0,0.0,0.39806297,0.17438912,0.156977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6367666,0.0
ENSG00000106617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19193196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42563564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000055609,0.32617503,0.5658195,0.58012295,0.36535072,0.0,0.45873547,0.47154248,0.0,0.0,0.0,0.8312379,0.0,0.51443714,0.0,0.0,0.0,0.0,0.0,0.0,0.5541691,0.30560738,0.1698808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1946967,0.0,0.0,0.0,0.6574612
ENSG00000186480,0.0,0.0,0.68029964,0.0,0.0,0.5439535,1.104109,0.0,0.0,0.0,0.82522386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8217399,0.21540754,0.0,0.53353465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000184863,0.32790387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19683847,0.0892134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000146909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16414052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000105993,0.71001303,0.6896704,1.0348034,0.6529481,1.1645821,0.9740572,0.8562347,0.0,0.97748655,0.55866385,1.0038012,1.2394733,0.0,0.7905139,0.8184333,0.0,1.318611,1.4522836,0.0,0.89186805,0.0,0.31884912,1.971004,0.0,0.0,0.8471455,1.0726368,0.0,1.2367823,0.0,0.0,0.61890733,1.0874712,0.8597557,1.0434207,1.190539,0.0,1.2941184,0.80078787
ENSG00000146918,0.0,0.0,0.0,0.17625514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13399097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
