,Adventitial Fibroblast,Airway Smooth Muscle,Alveolar Epithelial Type 1,Alveolar Epithelial Type 2,Alveolar Fibroblast,Artery,B,Basal,Basophil/Mast 1,Bronchial Vessel 1,CD4+ Memory/Effector T,CD4+ Naive T,CD8+ Naive T,Capillary,Capillary Aerocyte,Capillary Intermediate 1,Ciliated,Classical Monocyte,Club,Dendritic,Differentiating Basal,Fibromyocyte,Goblet,IGSF21+ Dendritic,Intermediate Monocyte,Lipofibroblast,Lymphatic,Macrophage,Myeloid Dendritic Type 2,Myofibroblast,Natural Killer,Natural Killer T,Neuroendocrine,Neutrophil,Nonclassical Monocyte,Pericyte,Plasmacytoid Dendritic,Proliferating NK/T,Signaling Alveolar Epithelial Type 2,Vascular Smooth Muscle,Vein
POLR2J,0.0,0.0,0.0,2.2587948,0.0,0.0,0.0,2.5605302,0.0,1.1449478,3.4351568,0.0,0.0,0.0,0.0,0.0,3.582073,0.0,3.6920762,4.0177565,3.062953,0.0,2.9550998,0.0,0.0,0.0,0.0,0.58034223,2.4327955,0.0,0.0,0.0,4.45413,0.0,3.833939,0.0,3.2387724,1.9195366,3.5319326,0.0,0.0
ITGA10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9257274,3.5974903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COMMD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4024462,0.0,0.0,4.3836026,4.5961556,0.0,2.8834875,0.0,2.3180315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TGOLN2,3.176591,0.8399952,1.9664106,1.650403,0.0,5.3572454,4.578779,0.9711474,5.089605,3.7507987,4.836671,3.0645175,4.1319885,0.0,0.0,3.8873582,4.736279,4.7846546,4.1498966,5.255948,3.272056,2.491981,3.743504,5.4888344,5.9825687,3.6718569,0.95955646,4.217453,6.088771,1.4501576,1.3995509,0.0,5.663643,0.0,6.127257,0.0,0.0,0.0,3.742286,0.0,2.1829727
RHOBTB2,0.0,0.0,0.81842405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5756934,0.0,0.0
ITGB8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7728465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.265273,0.0,0.0,0.0,3.74432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69380075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RBCK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.720795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0661254,4.515149,0.0,2.6130242,0.0,0.0,0.0,0.0,0.0,4.5015273,0.0,0.0,0.0,3.5624611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYO1F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4567275,0.0,5.2963047,0.0,0.0,0.0,0.0,5.923364,0.0,5.0417767,0.0,0.0,0.0,4.250732,3.9608238,0.0,0.0,0.0,5.390004,0.0,3.9325829,0.0,0.0,5.8293633,5.1912794,0.0,0.0,3.6562777,0.0,0.0,0.0
CBX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.50390923,1.4170331,1.5874643,0.0,0.0,0.0,0.0,0.0,0.0,2.4159274,1.033066,4.52439,0.6156017,0.0,0.0,0.83486915,1.3363973,2.1057677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6712691,0.0,0.0,0.0,0.47623655,0.0,0.0
KNTC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2579846,0.0,0.0,0.0
ENSG00000243199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81941116,0.0,0.0,0.0,1.5824621,0.0,0.0,0.0,0.0,0.0,0.0,0.3708098,0.4574121,1.2129012,0.0,0.6292493,0.0,0.0,0.0,0.0,0.0,0.0,0.14726721,0.0,0.0,0.51667106,0.0,0.0,0.0,1.3827902,0.7312861,0.0,0.0,0.0
GOLGA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39736998,0.0,0.0,0.0,1.3261417,0.0,0.0,2.3999147,0.0,0.0,0.0,0.0,0.0,0.0,0.89182764,0.0,0.0,0.0,0.0,0.0,0.38129163,0.0,0.0
DNAJB13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1259587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSF2RB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.379984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9125829,0.0,0.0,0.0,0.0,2.3276124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.609669,0.0,0.0,0.0,0.0
CHD7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6086354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.174971,0.0,0.0,0.0,0.0,0.0,1.6897073,0.0,4.528451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4392192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000246451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.653274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAB31,0.0,0.0,6.1788144,1.8645062,0.0,0.0,0.0,5.090371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.875234,6.06438,4.623768,6.0497637,3.9683695,0.0,3.4339285,7.231411,5.731269,4.2273674,0.0,4.848468,6.2467656,0.0,0.0,0.0,0.0,0.0,6.0126443,0.0,0.0,0.0,2.5789552,0.0,0.0
BMS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10623586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C18orf32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28225538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
