index,free_annotation,silhouette_score
M20_B002383.gencode.vH29,Capillary Aerocyte,-0.71701115
M3_B003139.gencode.vH29,Capillary Intermediate 1,0.66494596
M6_B003136.gencode.vH29,Capillary Aerocyte,-0.56971157
M6_B003137.gencode.vH29,Capillary Intermediate 1,0.63064194
M8_B003142.gencode.vH29,Capillary,-0.826785
M9_B002383.gencode.vH29,Capillary Intermediate 1,0.66735893
N10_B002014.gencode.vH29,Capillary Aerocyte,-0.7041489
N10_B002383.gencode.vH29,Capillary Intermediate 1,0.70027584
N11_B003140.gencode.vH29,Capillary Aerocyte,-0.59475297
N12_B002382.gencode.vH29,Capillary Intermediate 1,0.6328973
N12_B003138.gencode.vH29,Capillary Intermediate 1,0.6664437
N12_B003140.gencode.vH29,Capillary Intermediate 1,0.63303435
N13_B003140.gencode.vH29,Capillary Aerocyte,-0.685314
N16_B003138.gencode.vH29,Capillary Aerocyte,-0.7083401
N17_B002383.gencode.vH29,Capillary Aerocyte,-0.6696964
N20_B002383.gencode.vH29,Capillary Aerocyte,-0.5943613
N4_B003138.gencode.vH29,Capillary Aerocyte,-0.54289013
N4_B003142.gencode.vH29,Capillary Aerocyte,-0.59727544
O1_B002383.gencode.vH29,Capillary Aerocyte,-0.63291246
O10_B003137.gencode.vH29,Capillary Intermediate 1,0.41247857
O10_B003141.gencode.vH29,Capillary Aerocyte,-0.64400035
O14_B002014.gencode.vH29,Capillary Intermediate 1,0.6999433
O16_B002383.gencode.vH29,Capillary Aerocyte,-0.66086286
O18_B002014.gencode.vH29,Capillary Aerocyte,-0.6907826
O4_B003138.gencode.vH29,Capillary Aerocyte,-0.5965682
O6_B003138.gencode.vH29,Capillary Aerocyte,-0.6646732
P10_B002014.gencode.vH29,Capillary Aerocyte,-0.836628
P10_B003142.gencode.vH29,Capillary Aerocyte,-0.6185465
P12_B002383.gencode.vH29,Capillary Intermediate 1,0.69142556
P15_B002383.gencode.vH29,Capillary Aerocyte,-0.42108634
P17_B002382.gencode.vH29,Capillary Aerocyte,-0.56672966
P5_B003140.gencode.vH29,Capillary Aerocyte,-0.6245987
P6_B002383.gencode.vH29,Capillary Intermediate 1,0.50297946
P6_B003138.gencode.vH29,Capillary Aerocyte,-0.35005942
P8_B003140.gencode.vH29,Capillary Intermediate 1,0.43233377
A1_B002382.gencode.vH29,Ciliated,-0.3056346
A10_B003135.gencode.vH29,Ciliated,-0.40913177
A10_B003136.gencode.vH29,Ciliated,-0.41019297
A10_B003137.gencode.vH29,Ciliated,-0.3374811
A10_B003140.gencode.vH29,Ciliated,-0.38456595
A11_B002014.gencode.vH29,Ciliated,-0.4338713
A11_B002386.gencode.vH29,Ciliated,-0.27934596
A12_B002382.gencode.vH29,Ciliated,-0.4130471
A12_B002386.gencode.vH29,Ciliated,-0.3332649
A13_B002386.gencode.vH29,Ciliated,-0.41339645
A13_B003135.gencode.vH29,Ciliated,-0.3702596
A13_B003137.gencode.vH29,Ciliated,-0.4083525
A13_B003141.gencode.vH29,Ciliated,-0.4540751
A3_B003137.gencode.vH29,Ciliated,-0.39259884
A7_B002383.gencode.vH29,Ciliated,-0.32457373
