,PP,alpha_MHC II,alpha_immature,alpha_mature,alpha_stress II,beta_MHC/autoantigen,beta_immature,beta_mature,beta_mtDNA deficient,beta_stress I,beta_stress II,delta
THRAP3,0.0,0.0,0.4970186081799594,0.46872576800259674,0.6045854796062816,0.0,0.5401078191670504,0.45454545454545453,0.0,0.0,0.5252444256435741,0.45752179622650146
LSM10,0.30646680701862683,0.0,0.2774581150575118,0.296604492447593,0.2727272727272727,0.0,0.4177276221188632,0.3064027157696811,0.0,0.38214267925782636,0.41034798188643024,0.2828476374799555
MRPS15,0.31032595851204614,0.0,0.30754429643804376,0.3328737399794839,0.2829554622823542,0.0,0.2727272727272727,0.3057465878399936,0.4621740308674899,0.32158697193319147,0.0,0.33564955537969415
MEAF6,0.22791760076176037,0.0,0.22896801341663708,0.21389580314809625,0.2029021978378296,0.0,0.25402228940616955,0.21784825758500534,0.31231662901965057,0.3713895949450406,0.18181818181818182,0.2982848991047252
DNALI1,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9108923077583313
YRDC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
C1orf122,0.18307145617224954,0.0,0.18699345805428244,0.253749587319114,0.18304912068627097,0.0,0.18181818181818182,0.25628714669834485,0.2898801944472573,0.38114191727204755,0.22040025212547995,0.20918752930381082
UTP11,0.0,0.0,0.0,0.0,0.9027194055643949,0.0,0.8213235844265331,0.0,0.0,0.0,0.8181818181818182,0.0
RRAGC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AKIRIN1,0.0,0.0,0.7287164384668524,0.0,0.8173221187158064,0.0,0.7397826584902677,0.0,0.0,0.0,0.7272727272727273,0.0
NDUFS5,0.10183851827274669,0.0,0.08586888963525946,0.10227860645814375,0.04015254432504827,0.006329650228673761,0.023487215692346745,0.09316088394685225,0.23789739608764648,0.16110443527048285,0.012128000909631903,0.13295756686817517
MACF1,0.0,0.0,0.6551054770296271,0.5917051326144825,0.6120088317177512,0.0,0.5454545454545454,0.5685044472867792,0.0,0.0,0.0,0.6047145507552407
PABPC4,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.9222711812366139,0.0
PPIE,0.0,0.0,0.9090909090909091,0.0,0.923735342242501,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAP1,0.36363636363636365,0.0,0.5365042307160117,0.417441108010032,0.5890830863605846,0.0,0.46437952193346893,0.3760490742596713,0.0,0.0,0.3992708975618536,0.38046577843752777
PPT1,0.0,0.771776177666404,0.6418831944465637,0.6493530923669989,0.0,0.7984122471375898,0.0,0.6363636363636364,0.0,0.0,0.0,0.0
PPCS,0.0,0.0,0.49272444573315705,0.4928789355538108,0.4838961958885193,0.0,0.5104442563923922,0.4983925169164484,0.0,0.0,0.45454545454545453,0.49370071020993317
YBX1,0.012169745835390959,0.0,0.1320155208761042,0.1389765522696755,0.12863303856416183,0.0121587027202953,0.061263555830175224,0.08925769545815208,0.167154306715185,0.0633832487193021,0.05994260311126709,0.1157076358795166
SVBP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
EBNA1BP2,0.2731787074695934,0.0,0.46070046858354047,0.3566319996660406,0.4161027724092657,0.0,0.2727272727272727,0.3045075969262557,0.3292057297446511,0.0,0.2816958048126914,0.36590735478834674
ELOVL1,0.0,0.0,0.9281231544234536,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MED8,0.0,0.0,0.7272727272727273,0.0,0.7459929856387052,0.0,0.739513716914437,0.0,0.0,0.0,0.8180082602934404,0.0
PTPRF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ATP6V0B,0.0,0.2509224848313765,0.015286971222270618,0.032460353591225365,0.048698078502308235,0.29093599861318414,0.015120999379591509,0.013265550136566162,0.032152956182306465,0.1596103852445429,0.04379416595805775,0.013322570107199928
ERI3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RPS8,0.045320180329409515,0.0,0.0687446810982444,0.0748978473923423,0.04892302643169056,0.01760490374131636,0.07844112678007646,0.08558358929374,0.16248816793615167,0.19643621011213822,0.11143052577972412,0.052331257950175895
PRDX1,0.09831137006933038,0.0,0.14498781074177136,0.1282171281901273,0.13645144484259866,0.2686722549525174,0.30437852577729657,0.2195999947461215,0.36539491740140045,0.09090909090909091,0.14808974482796408,0.17572591521523215
AKR1A1,0.2981076240539551,0.0,0.1152862472967668,0.11069956692782315,0.10987464406273582,0.15839933807199652,0.09090909090909091,0.18032506921074606,0.16301111741499466,0.2270924990827387,0.09558960524472324,0.1671025807207281
TSPAN1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
UQCRH,0.14931253411553122,0.0,0.13516866618936713,0.1638300039551475,0.120837618004192,0.09090909090909091,0.1449914899739352,0.17016705599698154,0.2577264200557362,0.32161347432570025,0.23221306909214368,0.1735388311472806
EFCAB14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CMPK1,0.14301735162734985,0.0,0.20157245072451505,0.129470402544195,0.18530543283982712,0.09090909090909091,0.11628972400318492,0.1947757059877569,0.14588807929645886,0.3035339225422252,0.09526862881400368,0.12502384727651422
ELAVL4,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.8507588885047219,0.0,0.0,0.0,0.8256009546193209
RNF11,0.0,0.0,0.3690728653560985,0.36363636363636365,0.3734048875895413,0.0,0.45664658871563996,0.37628549337387085,0.0,0.45432512868534436,0.5024530074813149,0.37034649740565906
TTC39A,0.0,0.0,0.7514167157086459,0.7394595146179199,0.7160980376330289,0.0,0.0,0.6741024093194441,0.0,0.0,0.0,0.6363636363636364
NRDC,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.8492871143601157,0.0,0.0,0.0,0.8364756378260526
RAB3B,0.37715127251364966,0.33179856972260907,0.3776372346011075,0.32404863834381104,0.29597239060835406,0.2727272727272727,0.28371337868950586,0.3529482700607993,0.0,0.0,0.0,0.34402453899383545
